File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
100119657,1224,984,386,216,175,13,127,67,47,84,110,300,456,66,236,66,129,285,108,106,96,34,16,1,7,0,0,55,25,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,40,103,127,36,23,21,4,13,4,2,13,2,0,female
101593344,1497,1008,420,166,64,40,160,163,42,84,155,279,426,86,207,33,126,268,111,125,90,76,33,20,10,0,0,52,25,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,29,111,100,9,33,45,6,13,13,5,10,3,0,female
114044206,2139,863,457,213,78,35,195,127,30,67,110,197,292,56,151,22,94,212,85,105,62,95,34,14,10,0,0,56,29,5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,35,96,87,6,8,21,6,5,3,3,20,2,0,male
123042176,1061,819,414,231,160,17,183,127,50,66,89,253,365,65,185,41,112,189,94,103,71,45,32,14,3,0,0,50,21,10,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,25,94,111,27,29,12,7,5,5,0,13,1,0,female
123986340,422,562,237,113,59,15,114,64,41,42,90,190,273,36,163,44,67,191,52,82,39,33,27,17,4,0,0,51,21,9,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,30,78,68,18,9,17,4,2,6,2,5,2,0,male
125217315,687,561,248,122,75,9,121,81,34,60,63,210,273,54,163,36,85,116,65,53,61,20,8,2,8,0,0,28,7,6,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,20,26,87,12,18,5,4,2,6,3,20,0,0,female
12618492,1786,1270,458,211,127,19,172,141,41,102,204,351,541,93,252,63,168,353,110,112,144,80,28,20,10,0,0,30,8,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,39,151,125,27,45,47,9,23,6,3,11,3,0,male
128091149,909,617,310,165,105,18,138,80,39,56,69,197,284,54,143,27,63,144,62,94,44,37,36,18,2,0,0,55,36,4,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,26,74,77,9,12,7,5,0,4,2,7,2,0,female
129371328,844,766,312,178,130,6,109,63,39,64,103,262,349,70,188,47,111,193,67,80,63,26,29,8,6,0,0,53,25,18,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,19,98,81,27,19,15,7,3,3,2,3,0,0,female
134120927,1541,107,20,6,6,0,4,4,0,0,45,29,38,8,30,0,2,16,6,10,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,8,17,2,4,4,3,2,0,0,9,0,female
134954386,851,623,285,129,69,20,150,80,55,51,102,224,297,46,180,40,90,149,65,70,63,33,27,7,3,0,0,33,13,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,16,49,69,19,17,9,4,11,4,6,11,0,0,female
