File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Frequency,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,Label
794695,4940,3005,1002,472,317,37,315,244,66,147,420,762,1036,277,530,95,333,1277,186,304,270,353,60,226,30,0,0,123,16,12,18,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,173,495,308,250,103,148,130,21,13,3,36,6,0,1.8001665,12,9,2,1,0,0,1,2,0,0,2,2,6,0,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,male
945721,6569,6216,2480,1226,813,66,805,407,249,599,910,1934,2745,554,1511,351,809,1590,551,589,520,322,161,70,51,0,0,157,52,36,40,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,241,689,561,220,132,101,32,122,23,19,38,18,0,1.0827814,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,male
8465072,7669,5927,2777,1211,583,191,1040,619,186,608,726,1789,2541,562,1380,316,723,1578,531,591,430,317,90,71,50,0,0,229,43,67,43,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,192,643,614,187,222,153,36,77,72,11,91,9,0,0.7967078,18,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,male
12618492,8735,6325,2487,1133,670,128,880,629,223,558,952,1807,2696,543,1330,289,815,1801,525,596,602,438,153,121,56,0,0,161,46,35,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,174,746,699,148,183,229,53,74,52,11,53,16,1,0.39116964,6,12,5,5,5,0,0,0,0,0,3,5,7,0,5,0,0,0,1,2,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,male
20214831,6495,4778,1892,811,491,98,733,520,252,451,758,1549,2190,475,1088,317,598,1293,367,487,389,327,102,81,63,0,0,230,81,68,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,159,609,496,120,143,147,22,28,21,18,61,11,1,0.017350158,2,3,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,male
20999981,7505,5314,2552,1263,784,93,896,511,302,488,719,1612,2254,439,1242,262,684,1333,584,526,471,303,191,57,60,0,0,315,137,46,107,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,147,604,557,94,94,97,30,42,52,25,54,11,0,0.09844135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female
22177502,7343,4649,1968,863,435,162,886,525,251,373,740,1489,2006,325,1130,253,620,1244,344,493,394,265,144,46,42,0,0,121,28,22,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,319,651,532,119,178,211,28,63,24,11,91,10,0,0.76853377,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male
22994551,9227,4358,1768,945,639,130,566,394,116,278,754,1331,1704,247,1113,159,301,1482,278,351,261,304,168,28,28,0,0,126,39,28,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,162,946,400,82,141,180,30,59,10,45,30,8,1,0.6717428,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male
23553730,6999,5234,2086,959,593,91,1046,611,261,456,697,1794,2236,487,1347,203,674,1539,495,525,454,287,117,60,49,0,0,197,39,47,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,229,647,571,160,156,142,37,130,23,16,85,17,0,0.5697674,7,17,8,4,4,0,2,1,1,3,2,6,9,2,4,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,female
24472132,5392,4497,1925,1020,727,71,717,381,190,375,603,1453,2075,457,1088,254,585,1119,365,448,411,203,95,48,27,0,0,189,66,48,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,183,473,459,114,76,109,39,42,30,12,100,26,0,0.6040438,12,13,7,3,0,0,3,1,0,1,2,3,4,0,3,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,0,0,1,0,0,0,1,0,0,0,male
25693282,3435,4499,1799,1043,654,31,773,531,219,264,409,1609,2219,373,1196,374,644,1367,403,551,491,263,130,113,74,0,0,272,128,64,67,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,286,570,405,61,80,57,63,24,24,2,19,1,0,0.1384487,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,female
25821356,5549,4275,2160,1052,609,128,1045,572,248,411,493,1530,2016,332,1167,259,573,990,402,467,354,265,140,61,47,0,0,149,43,37,62,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,150,422,426,94,119,98,21,49,35,22,156,45,0,0.8056013,11,8,3,2,2,0,1,1,0,0,0,3,6,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,male
25897435,5992,6265,3238,1581,816,178,1457,960,232,602,569,2136,3016,440,1723,345,854,1663,778,818,657,312,141,92,48,0,0,435,112,104,205,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,215,589,697,62,185,158,95,49,71,2,45,8,0,0.1537822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female
25940641,7896,5312,2556,1078,453,307,904,656,162,506,735,1472,2326,386,1233,225,612,1413,474,585,476,250,68,51,50,0,0,227,50,51,72,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,129,558,504,101,137,106,57,48,195,12,39,15,1,0.39155158,10,5,5,0,0,0,3,3,0,2,2,1,2,0,1,0,0,0,1,1,0,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,female
25963856,6080,4031,1966,983,720,88,847,570,197,398,478,1268,1717,364,899,191,488,1056,373,538,338,321,113,85,62,0,0,227,85,39,81,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,160,564,405,111,138,85,25,20,19,10,69,23,0,0.15384616,2,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,female
26834776,8039,6121,2637,1188,638,179,1140,878,272,602,672,2114,2694,496,1609,268,870,1606,588,669,567,405,211,72,49,0,0,155,56,20,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,222,645,777,139,159,142,38,25,86,26,123,15,3,0.10530612,11,1,4,2,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,2,0,0,0,0,female
28176987,4127,3910,1886,785,381,140,830,477,256,391,577,1294,1890,302,1016,195,453,995,363,543,353,267,153,99,44,0,0,263,96,61,96,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,138,474,417,79,113,95,26,14,30,11,20,3,0,0.3856773,2,4,2,1,1,0,1,0,1,0,2,2,3,1,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,male
28906465,7773,6428,2637,1314,862,121,872,590,239,536,856,2009,2739,602,1500,293,792,1719,634,577,567,330,176,40,56,0,0,341,69,89,86,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,235,756,749,170,223,188,164,52,41,26,63,10,0,0.09256198,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,female
