File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
319450103,773,825,369,194,144,13,143,85,42,60,79,288,397,62,230,43,121,197,89,97,68,42,22,14,9,0,0,45,16,11,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,25,93,96,13,18,15,8,3,3,0,14,2,0,male
42569198,1151,544,315,177,121,4,129,62,32,56,53,158,216,43,119,28,54,132,60,64,37,36,18,14,6,0,0,49,5,4,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,27,67,53,10,12,7,2,13,5,1,39,4,0,male
309303548,1208,879,412,220,139,23,192,99,66,71,139,316,433,75,259,69,117,191,94,81,85,50,33,5,12,0,0,55,14,15,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,23,86,92,8,20,16,4,5,8,6,5,1,0,female
36227219,984,1142,617,282,141,31,247,121,69,133,112,421,560,88,318,62,187,247,102,122,127,41,23,10,10,0,0,65,18,18,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,40,90,95,5,29,8,3,5,19,3,18,3,0,female
278855391,1030,848,400,198,122,20,180,108,61,75,122,302,407,67,213,68,123,201,96,105,71,59,45,16,12,0,0,93,31,26,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,39,100,99,15,20,25,8,9,11,0,8,3,0,female
30822218,1435,764,379,181,90,22,168,85,54,67,108,241,368,65,209,50,96,152,86,89,70,65,31,10,2,0,0,58,15,14,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,27,71,68,19,23,23,6,7,6,17,5,5,0,female
32331128,2125,1136,524,224,103,44,179,115,24,90,148,317,413,77,237,43,130,366,94,132,101,66,36,11,9,0,0,56,21,7,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,78,250,115,20,18,61,8,21,11,8,14,0,0,male
340007841,718,760,357,183,111,14,127,71,24,63,69,258,341,50,200,48,82,208,63,79,63,35,16,7,4,0,0,41,9,7,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,48,72,75,16,16,15,7,9,12,1,13,2,0,female
161521811,2963,230,74,39,15,9,84,43,31,3,113,76,165,34,138,10,10,18,28,38,15,31,4,5,1,0,0,34,4,8,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,39,12,26,18,17,4,11,13,4,4,3,0,female
8465072,1570,1017,424,173,69,39,180,93,45,103,148,309,476,87,242,62,108,296,104,116,98,58,18,13,12,0,0,44,9,17,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,43,101,96,53,61,33,7,11,17,4,3,3,0,male
95671622,1776,231,104,59,46,7,49,19,17,4,77,54,102,16,87,7,14,26,11,42,10,33,9,10,5,0,0,27,6,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,15,25,13,11,16,3,6,12,1,8,3,0,male
300928318,1008,802,402,192,95,25,192,125,38,61,87,306,368,50,248,45,112,170,96,75,90,30,15,3,4,0,0,46,7,5,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,26,67,80,23,34,16,7,5,10,0,9,1,0,female
231970972,636,950,390,207,150,14,137,101,36,65,124,300,390,57,227,48,112,268,101,108,74,46,17,9,8,0,0,57,16,14,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,41,126,142,23,30,28,14,7,9,2,4,1,0,female
235832375,1436,211,124,65,35,13,58,18,12,6,58,67,99,25,106,3,16,20,11,35,11,20,4,4,2,0,0,31,7,2,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,18,14,19,11,7,2,2,9,3,1,7,0,female
230580525,957,910,518,232,94,29,207,122,84,105,106,295,395,64,226,53,113,254,81,114,95,51,63,9,7,0,0,59,25,18,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,42,114,103,39,28,10,4,29,14,1,20,3,0,male
68979118,937,745,403,195,121,18,169,98,35,78,78,218,310,57,180,22,84,210,65,107,55,60,26,23,14,0,0,57,22,12,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,7,110,93,5,12,26,3,3,5,0,9,1,0,female
25963856,917,635,294,151,115,14,152,111,35,53,70,210,270,58,138,15,83,179,59,90,58,52,16,16,8,0,0,37,12,8,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,23,97,74,17,27,13,5,2,5,2,13,7,0,female
218099040,820,625,397,189,102,28,176,91,40,60,84,240,281,53,189,40,68,133,46,77,40,35,36,9,8,0,0,49,28,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,39,74,104,7,13,10,5,7,6,3,21,0,0,male
40067619,900,1174,577,281,184,33,180,106,44,121,113,422,567,107,325,67,165,242,132,141,110,65,19,23,9,0,0,41,12,12,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,41,107,112,30,23,33,10,13,12,0,21,0,0,female
257513036,1174,880,387,188,118,41,142,81,47,68,118,269,374,72,229,37,116,228,94,90,73,56,21,2,11,0,0,41,12,14,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,34,88,115,21,17,17,18,7,3,2,2,1,0,female
139272125,725,722,306,146,79,35,149,87,54,65,113,234,352,48,162,47,84,216,55,113,74,65,29,31,7,0,0,29,12,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,30,114,70,13,34,24,6,13,3,3,9,0,0,male
382947784,1032,1356,644,282,200,32,261,151,107,156,199,389,626,138,274,70,213,332,155,169,154,82,68,33,17,0,0,83,27,14,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,42,160,162,12,33,21,8,6,16,7,9,10,0,female
61270735,1525,752,357,165,83,24,164,94,55,62,120,232,342,45,190,33,100,190,80,93,73,53,29,22,9,0,0,42,21,9,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,31,99,80,25,32,27,4,10,11,2,9,6,0,female
40925887,1248,691,371,160,53,31,148,59,25,53,88,223,322,59,161,39,82,159,72,76,57,48,25,3,7,0,0,51,22,11,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,28,73,66,13,17,24,1,4,5,2,14,2,0,male
268366947,990,1191,537,298,197,23,225,130,71,98,125,421,544,100,319,68,168,283,111,149,106,75,21,19,12,0,0,71,19,18,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,47,147,106,19,28,20,12,10,6,4,25,1,3,female
262346368,998,752,450,185,80,33,185,84,56,101,99,266,349,68,218,34,83,179,74,79,51,35,33,10,7,0,0,56,22,21,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,33,96,86,16,30,14,2,6,10,1,8,2,0,male
22177502,1346,791,330,137,55,22,207,108,82,66,138,272,362,42,218,50,106,223,62,74,78,45,48,4,8,0,0,37,5,4,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,36,131,88,26,42,33,2,16,3,2,9,1,0,male
357971946,1045,1040,503,238,117,34,207,119,42,87,127,365,454,85,293,62,111,280,98,106,84,70,32,7,9,0,0,50,15,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,43,111,117,36,30,37,6,10,3,7,26,4,0,female
268557840,820,1135,569,248,128,39,231,109,78,118,140,371,540,93,282,70,165,299,116,131,108,62,29,15,12,0,0,61,18,9,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,42,127,93,16,31,10,5,8,18,2,6,2,0,female
82341423,1052,756,398,192,95,21,165,102,64,68,126,259,388,62,179,63,77,163,59,97,72,49,50,5,15,0,0,68,37,4,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,25,78,76,20,23,10,3,7,8,3,4,0,0,male
76197212,1138,879,450,240,151,17,192,103,46,65,100,276,406,87,205,60,129,249,58,96,69,49,28,18,9,0,0,56,20,13,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,28,124,73,6,9,23,6,4,13,6,5,4,0,male
310445971,990,764,357,175,109,19,139,86,29,60,88,252,335,52,201,52,81,233,70,99,57,46,26,10,9,0,0,35,10,5,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,42,86,112,27,21,15,1,4,8,0,13,1,0,male
267932188,996,823,329,169,118,19,148,84,59,65,114,267,361,49,224,38,101,219,82,92,80,51,34,11,7,0,0,58,15,10,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,36,86,73,39,22,22,2,8,5,3,11,0,0,male
252413333,1235,1073,493,230,136,34,188,104,48,87,136,344,510,93,266,58,157,242,149,118,112,56,19,11,27,0,0,73,23,24,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,33,117,94,36,38,39,8,5,2,2,6,3,0,female
279177113,1227,961,548,265,177,32,198,102,56,96,109,317,429,60,280,47,111,226,92,107,95,49,52,3,5,0,0,59,17,14,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,30,86,83,16,23,22,9,9,5,6,12,1,0,female
326509990,1043,636,322,172,111,19,154,86,49,53,110,236,297,71,169,54,71,155,52,81,60,46,53,17,9,0,0,69,21,10,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,38,62,63,12,11,10,4,2,4,2,4,1,0,male
308817567,940,489,314,140,68,33,157,115,21,48,71,201,209,27,170,28,56,109,34,40,40,32,21,8,2,0,0,42,14,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,13,56,56,11,20,9,7,3,2,3,4,1,0,male
351327876,1283,840,414,177,58,53,144,85,21,73,120,240,347,59,177,54,88,249,85,81,54,49,27,5,6,0,0,35,9,7,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,42,111,78,26,22,18,14,19,32,2,10,0,0,male
125217315,687,564,251,123,77,10,122,78,38,60,65,211,276,58,168,36,86,116,65,52,63,20,11,2,7,0,0,30,8,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,20,25,89,13,20,8,5,3,6,3,14,0,0,female
150383104,1681,393,240,126,68,11,121,48,25,27,75,137,181,58,116,23,45,70,30,32,36,42,13,11,6,0,0,45,9,9,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7,28,47,13,15,9,2,7,7,3,4,10,0,female
156393615,1101,642,262,123,72,26,134,82,34,47,98,205,292,32,156,44,79,168,62,61,56,40,23,7,6,0,0,41,14,7,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,32,75,63,14,14,24,4,9,2,0,5,3,0,male
162988060,734,527,307,142,88,13,155,75,51,63,60,256,277,35,202,47,81,113,51,55,55,19,24,5,4,0,0,43,7,5,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,19,48,71,13,23,12,1,4,9,0,11,0,0,female
52736381,966,891,411,191,101,35,165,101,28,88,113,312,409,79,233,68,113,244,88,96,75,64,24,19,3,0,0,25,7,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,36,117,101,12,27,13,6,8,4,1,10,4,0,male
321647306,1123,806,382,207,141,28,180,84,69,58,133,315,393,62,249,51,121,176,76,88,76,40,35,15,8,0,0,66,17,13,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,26,81,101,11,17,15,1,6,10,2,11,3,0,male
381572221,1112,1047,413,195,123,39,112,55,49,88,169,329,464,89,248,41,99,295,99,128,90,58,26,15,11,0,0,32,16,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,68,150,87,59,38,15,5,15,5,7,5,1,0,male
254748618,781,832,428,209,129,23,153,92,35,95,71,282,430,80,194,54,113,194,80,114,90,52,29,9,13,0,0,35,20,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,29,96,81,28,19,16,2,3,2,1,10,2,0,female
84167314,1842,551,292,159,101,29,116,68,10,29,78,171,186,38,134,13,69,145,27,21,33,40,20,15,2,0,0,32,15,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,22,74,85,17,5,49,1,9,17,0,6,0,0,male
