File,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,label
123986340,26,14,4,0,0,51,20,9,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,30,81,68,17,9,16,4,2,6,2,6,2,0,male
227108149,8,6,2,0,0,21,7,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,29,33,45,7,21,10,1,1,0,0,4,0,0,female
290268568,12,2,8,0,0,26,10,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,32,49,13,13,7,5,5,3,3,1,0,0,female
47992126,11,11,6,0,0,27,6,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,36,77,93,31,29,13,3,5,7,2,6,1,0,male
255293339,37,8,15,0,0,48,24,12,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,19,80,90,14,23,11,4,10,5,5,11,2,0,female
294864398,42,11,5,0,0,49,22,8,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,81,105,68,16,15,42,1,3,4,0,17,1,0,male
231970972,20,9,8,0,0,54,15,13,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,41,119,142,21,28,24,14,6,9,2,5,1,0,female
293213181,11,6,7,0,0,37,10,6,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,20,79,65,20,19,20,3,5,5,4,9,1,0,male
30972374,21,11,9,0,0,57,9,19,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,44,107,107,8,23,22,11,6,13,3,14,7,0,male
332456403,43,7,9,0,0,62,44,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,16,80,57,6,8,9,1,3,2,3,8,0,0,male
125217315,9,3,9,0,0,30,8,7,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,22,26,83,11,19,5,4,2,6,3,22,0,0,male
42510888,7,11,3,0,0,26,3,8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,24,48,47,9,14,12,4,1,3,2,11,5,0,male
362257288,34,14,9,0,0,37,12,10,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,53,107,118,22,31,29,8,18,15,2,4,2,0,male
340007841,16,7,4,0,0,41,11,8,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,27,72,74,12,18,15,7,8,11,1,19,2,0,female
231497380,18,7,10,0,0,40,8,19,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,23,65,79,18,24,15,4,4,3,3,12,4,0,male
25693282,24,15,18,0,0,56,31,8,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,52,102,68,18,19,9,7,5,5,0,4,0,0,male
237413240,18,10,11,0,0,35,12,16,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,41,109,76,16,31,16,8,7,4,4,11,0,0,female
163614757,30,14,2,0,0,41,18,8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,21,58,64,6,9,13,0,7,7,1,4,1,0,male
162988060,22,2,4,0,0,39,6,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,19,53,69,13,23,9,1,3,8,0,8,0,0,male
86168724,21,13,1,0,0,33,12,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,18,66,63,8,18,13,4,0,5,1,9,0,0,male
28176987,21,14,6,0,0,41,12,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,30,100,79,12,24,25,2,1,4,1,9,1,0,male
139272125,24,28,5,0,0,26,13,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,30,113,66,10,34,22,5,5,3,3,11,1,0,male
96066368,29,38,12,0,0,48,34,4,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,39,145,88,15,15,22,7,7,6,4,17,3,2,female
231083817,18,8,5,0,0,47,16,13,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,16,45,83,13,10,14,4,8,4,1,14,1,0,male
280777389,32,6,5,0,0,49,24,10,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,25,96,62,6,7,5,8,8,0,2,7,2,0,male
319450103,22,13,10,0,0,42,15,11,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,25,95,97,13,17,16,9,3,3,0,14,2,0,male
90233061,19,15,8,0,0,53,20,6,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,30,86,81,8,11,14,3,2,3,0,8,4,0,female
309984509,23,4,8,0,0,39,7,8,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,23,54,81,6,20,9,6,1,7,5,11,0,0,female
251395294,12,12,3,0,0,38,9,6,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,19,70,78,16,19,7,5,7,7,0,9,1,0,male
