File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,TweetFreq,Label
794695,0.999423374,0.904181027,-0.136811309,-0.221139877,-0.331549214,-0.104677659,-0.061509006,0.472354222,-0.60098217,-0.018335636,1.105978622,-0.235681312,0.300922895,0.108764834,-0.284646261,-0.289295671,0.68211008,1.990085857,0.246594771,0.792978416,0.601983525,1.386377044,-0.456843524,1.33692995,0.670401552,0,0,-1.28497295,-1.254152056,-0.819092614,-1.368098458,0.298354377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.765127459,0.901612166,2.062997884,0.74667693,0.922661435,1.875617285,1.848656242,0.910820628,0.663844015,-0.19505331,-0.752142014,0.820837469,1.441453498,-0.310475239,3.800218018,male
945721,0.29934303,1.974462348,1.209044515,1.412183635,1.582663867,-0.680222421,0.915756826,0.407295746,0.605169505,1.798752432,2.686463177,1.436471499,1.502799045,1.440958165,1.607346042,0.828850455,1.764135831,1.423862526,1.620906499,1.311509802,1.195195434,1.322498774,1.043056009,0.460454893,0.894436632,0,0,-0.337676844,-0.674057102,-0.001554255,-0.746128027,0.733075714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09450103,1.79611285,1.93906722,1.6257102,1.22076949,0.623129883,0.616739202,0.910820628,4.013783733,-0.573643866,-0.477019136,0.006707031,1.441453498,-0.310475239,3.256815079,male
8465072,1.100192515,0.799567064,0.284782081,-0.271655038,-0.986411584,1.526032499,0.458313245,0.016944888,-0.024127021,1.099872406,1.295636768,0.508770282,0.852468799,0.774861499,0.613248391,0.828850455,-0.006451761,1.2081584,0.770142096,0.792978416,0.733808394,0.747594348,-0.693669766,0.314375717,0.894436632,0,0,-0.041646811,-0.906095084,1.429137872,-0.953451504,0.950436383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35352644,0.901612166,0.358951265,-0.13235634,3.208156528,3.706175795,0.924718462,0.13559142,0.663844015,2.07649003,0.3483495,-1.078800219,0.314291149,-0.310475239,1.549972514,male
12618492,1.657074607,1.833635858,0.576654429,0.401880431,0.474435241,-0.296525913,0.312763015,1.54581908,-0.129009776,1.064928405,3.06577947,1.012706745,1.445174846,1.033899091,0.805654388,0.930500103,1.567403876,2.017048872,0.999194051,0.65470338,2.315706817,2.216794548,0.174693122,1.33692995,0.446366471,0,0,-0.752118891,-0.790076093,-1.023477204,-1.368098458,1.819879056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.718074092,0.738975678,1.846119223,1.379580884,1.022030786,2.260998024,2.875253775,0.910820628,3.225562623,-0.19505331,0.073226622,0.006707031,0.314291149,-0.310475239,0.316865845,male
20214831,-0.154118102,0.779448994,0.146953473,-0.05275601,-0.205614143,-0.680222421,0.084041225,0.407295746,0.972259145,0.715488392,1.327246459,0.795097818,0.827772714,1.366947424,0.388774728,1.743697285,0.583744103,0.453193959,0.41020331,0.447290825,0.700852177,2.089038009,-0.062133121,0.606534069,1.566541872,0,0,0.135971209,0.254094824,0.407214924,-0.331481073,0.733075714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012273582,0.495020945,0.792708586,1.379580884,0.12770662,0.815820253,1.335357476,-0.122818315,-0.124377095,-0.384348588,0.623472379,-0.807423406,-0.061429634,-0.310475239,-0.721173102,male
20999981,0.275476655,0.59436275,0.600977124,0.755486553,0.902614483,-0.872070675,-0.352609466,-0.796286065,0.028314356,0.890208398,0.568613873,0.245348949,0.432635349,0.441813166,0.340673229,0.523901512,0.854250541,0.399267927,0.639255265,-0.002103042,0.041727834,0.300446462,0.174693122,-0.269940987,0.894436632,0,0,0.905649296,1.298265741,0.202830334,0.290489358,0.950436383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729953379,-0.562116227,1.13351791,0.570870276,-0.269770788,-1.111083442,-0.409858331,-0.639637787,0.26973346,-0.19505331,-0.201896257,-0.264669781,-0.061429634,-0.310475239,-0.567905606,female
22177502,0.601650452,-0.109769697,-0.501651744,-0.860998573,-1.339029783,-0.104677659,0.395934575,0.147061841,0.972259145,-0.193055642,0.284126653,0.085005529,-0.053054328,-0.890380165,0.244470231,0.269777392,0.018139733,0.277934356,-0.604169632,-0.693478223,0.140596485,-0.210579695,-0.141075201,-1.000336867,-0.225738769,0,0,-0.574500871,-1.138133065,-1.227861793,0.290489358,-0.136366959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792691202,0.413702701,1.319413905,0.078611645,0.624553379,1.490236546,1.130037969,-0.898047523,1.649120403,-0.762939144,-0.477019136,-0.400358187,-0.437150417,-0.310475239,0.672167767,male
22994551,1.360070825,0.377087595,0.130738342,-0.524230838,-1.288655754,0.85456361,0.063248335,1.02535127,-0.705864925,0.296160376,1.64334337,0.004833818,0.111586241,0.256786315,0.019996567,-0.136821199,-0.645830613,0.749787132,-0.047900599,0.689272139,-0.188965686,0.172689923,0.332577283,0.168296541,-1.56994925,0,0,-0.811324897,-0.674057102,-0.614708024,-0.746128027,-0.571088296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463317631,0.007111481,0.668777923,0.113772975,0.326445323,1.201200991,2.053975749,0.394001156,1.255009847,-1.141529701,0.073226622,-0.128981375,-0.437150417,-0.310475239,0.205398576,male
23553730,-0.546587386,0.385134823,-0.323285309,-0.507392452,-0.180427128,-0.776146548,0.707827926,0.895234317,0.50028675,0.715488392,0.220907271,0.852363325,0.490259548,1.477963535,0.693417557,-0.390945318,0.460786631,0.628453561,0.442925018,0.239878271,0.865633263,-0.146701425,-0.456843524,-0.416020163,0.222331391,0,0,-0.929736911,-0.906095084,-0.001554255,-1.160774981,-0.353727628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479002086,0.738975678,0.358951265,0.254418299,0.425814675,-0.147631595,1.027378216,0.394001156,2.831452068,-0.384348588,0.073226622,-0.128981375,0.314291149,-0.310475239,2.511377714,female
24472132,-0.249583604,0.135670756,-0.080058353,-0.288493424,0.021068985,0.183094721,-0.498159696,-1.023990731,-0.443658039,0.261216375,0.695052637,0.130817934,0.531419691,0.811866869,0.244470231,-0.746719086,0.288646171,0.143119278,-0.015178891,-0.140378079,0.700852177,-0.91324066,-0.062133121,-0.416020163,-0.673808929,0,0,-0.100852817,-0.442019121,0.611599513,-0.435142811,0.950436383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.320905158,0.332384457,-0.353650048,-0.55429231,-0.170401436,-0.436667149,-0.101879071,-0.381228051,0.663844015,-0.952234423,0.3483495,0.820837469,1.065732715,-0.310475239,1.306137862,male
