File,Frequency,Label
319450103,18,male
42569198,524,male
309303548,14,female
36227219,55,female
278855391,17,female
30822218,65,female
32331128,35,male
340007841,30,female
161521811,68,female
8465072,328,male
95671622,76,male
300928318,179,female
231970972,115,female
235832375,361,female
230580525,301,male
68979118,20,female
25963856,98,female
218099040,26,male
40067619,7,female
257513036,20,female
139272125,24,male
382947784,89,female
61270735,1,female
40925887,193,male
268366947,174,female
262346368,332,male
22177502,202,male
357971946,142,female
268557840,5,female
82341423,102,male
76197212,6,male
310445971,291,male
267932188,40,male
252413333,51,female
279177113,65,female
326509990,13,male
308817567,52,male
351327876,383,male
125217315,63,female
150383104,103,female
156393615,32,male
162988060,5,female
52736381,46,male
321647306,53,male
381572221,51,male
254748618,28,female
84167314,510,male
293213181,46,female
40352693,214,male
380479475,47,female
64367166,136,male
320431059,37,male
101593344,68,female
81860959,19,male
100119657,34,female
290301230,16,female
377660514,14,female
33055549,57,male
28176987,365,male
303420630,160,male
155010707,385,male
262454953,28,female
135782947,483,male
134954386,177,female
263691205,71,male
346073826,53,male
135069683,329,female
160659354,30,female
264514479,31,male
287350897,96,female
251717831,21,female
292683893,173,male
241229843,312,male
234866000,4,female
37749959,652,male
52975520,27,male
62552349,53,male
347096222,25,female
288715240,15,female
43019337,16,female
794695,651,male
169001284,6,female
20999981,24,female
336950490,1,male
34094724,47,male
65107757,18,female
253297807,5,female
231497380,15,male
231083817,38,female
91925221,45,male
222824120,4,female
295340462,6,female
270479707,12,female
280777389,34,female
229865466,13,male
335518656,48,female
394418954,13,male
95656300,325,male
351687363,79,female
237413240,242,male
262912800,23,female
392169870,14,female
356418350,47,female
362257288,99,male
281289188,6,male
340737708,96,female
338167123,14,female
96066368,140,female
32623333,23,female
41536249,18,male
247085273,56,male
123042176,15,female
347613520,492,male
30972374,73,female
58374966,116,male
284628430,128,male
270906614,28,male
134120927,26,female
25693282,34,female
64489209,233,female
309800804,26,male
322987477,99,male
208279736,29,female
309106296,282,male
240492997,62,male
259533576,38,female
355248546,573,male
219049295,418,male
254108070,16,female
304705046,31,female
404439154,227,male
294823376,54,female
49100561,51,male
57798273,8,female
81647059,2,female
357813572,24,female
28906465,24,female
176663017,251,female
144415967,83,female
51877583,67,female
62648441,33,female
203656084,647,male
88870358,42,female
123986340,21,male
249449454,28,male
307701289,9,male
294037425,93,male
327078534,25,male
39897844,48,male
344215167,11,female
25940641,79,female
227108149,349,male
93350436,207,male
12618492,151,male
368368493,23,female
33135194,13,female
393642659,35,female
241666095,9,male
391823594,20,female
164799361,17,male
238452879,413,female
76225956,51,male
332456403,315,male
352884478,103,female
290268568,75,male
243429263,70,female
197700578,99,male
25821356,227,male
90233061,44,female
380053409,9,male
333794696,207,male
310492568,34,male
42510888,74,male
24472132,293,male
206912999,106,male
47992126,278,male
26834776,16,female
60252529,169,male
129371328,50,female
22994551,135,male
25897435,56,female
230097513,23,female
309984509,140,female
238867925,98,female
55482997,20,male
347524374,108,male
256773287,14,male
317569543,7,female
261914244,60,male
251799369,49,female
323127182,14,male
363847840,199,male
234669118,2,male
373115502,31,female
376466499,22,male
38096911,57,female
86168724,223,male
94761111,63,male
30597694,64,female
163614757,6,male
255799705,91,male
61634536,2,female
34768779,342,female
320884945,412,male
196757095,709,female
20214831,2,male
251395294,30,female
53334382,61,male
333194654,15,female
66154344,17,male
271739194,3,male
253766808,16,female
302662448,49,male
80862068,103,male
351067358,27,female
189895266,73,female
363979395,19,female
79753992,44,female
322956056,95,female
75281385,67,female
301117918,15,female
70724896,57,male
160059197,28,male
59524706,8,male
146868029,767,male
128091149,23,female
275725843,23,female
945721,573,male
327994124,16,male
304796892,7,male
343104919,13,female
255293339,4,male
286876100,7,female
233808043,15,female
350854412,108,male
386731248,25,female
353824529,89,female
69569991,283,female
198189594,180,female
57552116,17,male
285607620,155,female
96423170,9,female
23553730,466,female
195369385,20,female
96956807,52,male
183115415,100,female
382156129,205,male
321447612,133,male
279781693,9,female
302258234,188,female
257106582,226,female
296433109,23,male
114044206,45,male
271157909,33,female
294864398,290,male
234586270,27,female
218526813,86,male
40604299,13,male
246415736,17,male
243319382,5,female
349944244,36,female
264628404,2,male
69151701,13,male
