ID,S-Name,Name,Verified,Followers
860990054,rzimmermanjr,Robert Zimmerman JR,False,21081
86119466,GloriaTrevi,GloriaTrevi,True,3688261
86141342,ABCWorldNews,ABC World News,True,489884
86145874,istanforCBE,Chris Brown Fans,False,27530
86149228,ibieberblasted,Justin Bieber Fans,False,67294
86158118,jasonWSJ,Jason Gay,True,32219
86173709,BestPriceCenter,Best Price Center,False,184217
86196231,BeaccchHoussse,Beach House,True,126995
86246296,DoraWoodrum,Dora Woodrum,False,39954
862516914,schreiber_pablo,Pablo Schreiber,True,27711
862548744,LukeBryan__,Luke Bryan,False,50732
862681,ryan,Ryan Block,True,79521
86300007,ILLROOTS,ILLROOTS,False,43946
863186304,sinucabello,SINU,False,33994
86328927,TheFoodLab,J. Kenji López-Alt,False,24549
8633582,Linux,Linux,False,144336
86352107,AssoulinePub,Assouline,True,14243
86360997,RecetasLigeras,Recetas Ligeras,False,542363
86363143,roryscovel,Rory Scovel,True,31947
863765593,basecampmusique,B ▲ S E C ▲ M P,True,1473
8637672,scottbourne,ScottBourne,True,169915
86392183,LDRLB,LDRLB,False,151257
86395621,NVIDIAGeForce,NVIDIA GeForce,False,277857
86414722,soyMargarito,Margarito Esparza N,False,462194
86417618,Mess_CashOut,BALIFORNIA ,False,61305
86466840,kidrauhlepic,Erika,False,12250
86505815,Pheugitive,Troyce©,False,70462
86527966,FuntCaseUK,FuntCase #DPMO,True,55944
865315110,YafitAsus,Yafit Asus,False,19858
86565815,MissIzaCalzado,Izadora Calzado,False,1167538
86584390,KingDivine315,DIVINE PROMO KINGS,False,207335
86601245,RugbyUnionHQ,Rugby Union News,False,24063
866774575,AbandonedPIaces,Abandoned Places,False,267078
866862332,mindlessdrews,54 days✬,False,18363
867058854,LMAOBRUH,LMAOBRUH.com,False,20441
86766392,AaronFresh1,Aaron Fresh,True,93771
867702739,BundleStars,BundleStars,False,42665
86776918,OMGitsSTIFFLER,△⃒⃘♛Drug Addict☯☠,False,19140
868112707,AFPphoto,AFP Photo Department,False,20589
86817781,BriaUnAmor,Brooke ☥Δ McQueen.,False,34745
86874025,mikeredmusic,Michael from RED,True,20961
868751670,_Im_such_a_lady,Tiffiany ™,False,33370
86875633,BrainWines,BrainWines,False,14552
868892288,bulliedbyboss,Bullied by the Boss,False,13703
869363965,thehorse,The Horse,False,24535
86954440,theobserver,Charlotte Observer,True,43586
869646673,redlemonclub,Alex Mathers,False,20327
87020013,BelladonnaENT,Belladonna,False,117704
87052997,MikillPane,MIKILL PANE,True,50469
87066267,LaPsicologa,Susana Wise,False,67365
870680989,Budweiser,Budweiser,True,61466
87080278,George_Hill3,INDIANA GEORGE HILL,True,133378
87097693,Wereverwero,Wero,True,598579
87118217,warne888,Shane Warne,True,1529766
8713252,qik,Qik,False,39836
87142403,RealMenTalk,Mind Of A Real Man,False,80525
87144497,TonightAlive,Tonight Alive,True,126233
871516146,iMerryBieber,Queen.,False,13122
87162750,theWorldofJoe,Joe Cawley,False,51063
871656884,avonpearl,kristine,False,12247
87165980,BillNeelyNBC,Bill Neely,True,19460
87167688,teenagersfact,Teenagers fact!,False,196515
87170183,juniorbachchan,Abhishek Bachchan,True,3908973
87183181,YJNews_,YJNews,False,21338
87205530,LFHW_UK,Love Food Hate Waste,False,20158
87220411,777Okanda,Frank Lotion,False,11706
872427169,BestOfSelfie,Best Of Selfie,False,40095
872439752,ChaseSmallBiz,Chase Small Business,True,200179
87250968,ShakespeareFlow,Shakespeare Lyrics,False,181242
872915214,pqfasiso,CORINTHIANS MIL GRAU,False,36582
873025032,2014seniorprobs,♚ 2014 SENIORS ♚,False,94579
87302683,chadmendes,chad mendes,True,73329
87307588,dianiland,Presidenta ✞,False,27508
87316523,DICUCV,DIC-UCV,False,50202
87318558,AADaddario,Alexandra Daddario,True,262510
8732992,pcgamer,PC Gamer,False,114700
87347666,victoria1039fm,Victoria 103.9 FM,True,281919
8736882,globeandmail,The Globe and Mail,True,393959
87381346,yovaro,Yolanda Valenzuela,False,136131
87403396,alispagnola,Ali Spagnola,True,1521164
874052256,OxfordPrepster,Oxford Prep,False,10880
87410067,EconCulture,The Economist,False,15007
87416722,SkyNewsBreak,Sky News Newsdesk,True,1160691
874642484,Truthful_Humor,Ted Humor,False,49593
874884121,Mike_Matei,Mike Matei,False,25394
87495754,x_factor01,X Factor,False,21000
87500545,ConfidentInvest,Confident Investor,False,22022
875066226,Swirlovin,BlackGirls+WhiteGuys,False,23712
87529616,MeolloCriollo,Meollo Criollo,False,223563
87534416,PiKappaAlpha,Pi Kappa Alpha,False,13419
87540358,R0MANTISMO,Frases & RefIexões ∞,False,11992
87554292,googlemapmaker,Google Map Maker,True,118410
875771341,bibleseries,'The Bible' Series,True,78038
87582284,IAmLouisiana,King  Cal Vin,False,85874
87586376,gungormusic,Gungor,True,62431
87587166,biebertoronto,jasmine,False,72143
87645208,HDNER,Hurriyet Daily News ,False,28598
8766122,aphotoeditor,aphotoeditor,False,52197
87681715,JamieScottG6,Jamie Scott,True,160095
