id,created_at,text
293411395557527552,2013-01-21 17:35:02,RT @MatARIEal_GIRL: Get em Bey!!
292035107722768384,2013-01-17 22:26:10,@kimydd or road trip!!...hey Kimmie! 👋
288844670841266176,2013-01-09 03:08:30,-_- Why is that a show...
288844357551919105,2013-01-09 03:07:15,Best funeral ever? Smh
282091449204498432,2012-12-21 11:53:37,34 degrees -_-
281110085105758209,2012-12-18 18:54:01,"Loving my gifts so far this yr, cuz last yr my secret santa at work sucked!!!"
275781431538618368,2012-12-04 01:59:51,Officially done Christmas shopping!
274161021973823488,2012-11-29 14:40:55,Listening to Christmas music on pandora..I love this time of year! 🎄⛄
274004792773316609,2012-11-29 04:20:08,@Puffy_Houston thanks Ing!!
273571038355398660,2012-11-27 23:36:32,@PrettyBrwnRwnd Happy Birthday!!
270863696954286080,2012-11-20 12:18:32,@kimydd smh..I'm sleeepy!! 😴
270860119401721856,2012-11-20 12:04:19,Who wakes up at 6:30 on their off day?..Me smh 😠👎
270026979800133632,2012-11-18 04:53:43,Awww this man just proposed to his girl after the concert ♥
269997041315364864,2012-11-18 02:54:45,Waiting for trey to come out!!!
269980351923900416,2012-11-18 01:48:26,Miguel did a split..lol
269980108167708675,2012-11-18 01:47:28,At trey songz concert!!!
269841393722212352,2012-11-17 16:36:16,Was just singing that rocko nacho mozzarella extra cheese song...I'm so ashamed 😔...stupid song!
267505101428629505,2012-11-11 05:52:40,@Puffy_Houston happy birthday Ing!!!
266029698256101376,2012-11-07 04:09:57,@kimydd lol! I had to go back and read your other 1s
263069170978156544,2012-10-30 00:05:52,@AntLSin Im from memphis!! Lol
263063617388310529,2012-10-29 23:43:48,@AntLSin Lmao!! I read that in my k michelle voice!.
261421910817124352,2012-10-25 11:00:15,Dropped my phone again cracked it can't see the left side of my screen..I'm bout to cry!!
259842271061606400,2012-10-21 02:23:19,@kimydd lol! Don't be like that..we ♡ u ;)
259819011364253700,2012-10-21 00:50:54,@kimydd oh tonight until they close?..hmmm sale/sell idk!
259815697373360128,2012-10-21 00:37:44,"@kimydd oooh for how long?! We should really go, I still wanna try them"
259697747911901184,2012-10-20 16:49:02,@Jazzy__Belle lmao!! Mine too
259695553657585665,2012-10-20 16:40:19,@Jazzy__Belle lol oh be quiet!!..but it's funny I just saw that and what u said about teen witch..I'm watching that too!
259694090596261888,2012-10-20 16:34:30,Yaaay hocus pocus comes on tonight!
258384652283305985,2012-10-17 01:51:16,"@kimydd @msnikki_nicole yea, good idea!"
258378466553126912,2012-10-17 01:26:41,😒...@kimydd: Spent the last 30 mins face timing @msnikki_nicole. Gooood times. Lol!! 😁
258270163563069440,2012-10-16 18:16:20,I need a new ring :(
257993328543547393,2012-10-15 23:56:17,@wiggie_smalls ok I forgive u!
257992822253297665,2012-10-15 23:54:16,@himORRiginal *rolls eyes!.
257991643469316096,2012-10-15 23:49:35,"@himORRiginal lmfao!!.ughh u make me sick! man I don't even have a comeback for that, caught me off guard lol"
257988955218272256,2012-10-15 23:38:54,@wiggie_smalls  Don't laugh at him!!
257988823718428672,2012-10-15 23:38:23,@himORRiginal lmao!..ok I guess this is payback from last week
257984384500645890,2012-10-15 23:20:45,"Naw scratch that, a full body massage.!."
257984142141181952,2012-10-15 23:19:47,A back rub would be nice right about now...
257796571071131648,2012-10-15 10:54:26,Its soooo hard getting out the bed this morning..
257668724415406082,2012-10-15 02:26:25,..Still gotta be careful tho!
257646010082422784,2012-10-15 00:56:10,@_Driv3Uwild ok ok I'll tell him u said heyyyy!
257644119395012608,2012-10-15 00:48:39,@_Driv3Uwild lol
257640069798711296,2012-10-15 00:32:34,Ahhhhhh!! What to do wit this hair 😱😁
257639442293067776,2012-10-15 00:30:04,@_Driv3Uwild lmao!! Uh uh sit yo lil hot self down somewhere..lol
257633654342316032,2012-10-15 00:07:04,@_Driv3Uwild lol!..erik
257607758248042496,2012-10-14 22:24:10,@_Driv3Uwild lol!! Its cool I was on the winning team the 2nd go round..thanks for coming!
257131721173135360,2012-10-13 14:52:34,"Birthday next month!! 🎉 ..I need to start planning something, hmmmm what to do..."
256738855217164288,2012-10-12 12:51:27,@Donta_StayFresh morning
256728448263933952,2012-10-12 12:10:06,I love cuddling!! ☺😚😊
256521500205649921,2012-10-11 22:27:46,Did absolutely nothing all day...feels great!!
255844783342358530,2012-10-10 01:38:44,I just threw up...thanks rick ross..
255843898356822016,2012-10-10 01:35:13,Lol!!..@AntLSin But...😳😣 lol @msnikki_nicole: Freddy said he wants to be 2 Chainz for Halloween 😟
255840147042598913,2012-10-10 01:20:18,Really Diddy!..lol
255426716338630656,2012-10-08 21:57:29,@himORRiginal aww that's no fun.!.
255422596777119745,2012-10-08 21:41:07,@himORRiginal cuz u prefer guys below the age of 19 instead...right?
255124323336089601,2012-10-08 01:55:53,Ahhhhhhhhhhh! 😫I hate being confused..
255117823402196992,2012-10-08 01:30:03,The wobble tho??..lol
255102788202291201,2012-10-08 00:30:18,@kimydd nope!! It started doing it again in the car at the gas station
254986139415498753,2012-10-07 16:46:47,My eye keeps jumping...u know what that means!! 💰💸💰
254960962002624512,2012-10-07 15:06:44,Feels good outside....BURR!!
254791336752988160,2012-10-07 03:52:43,Taste of Atlanta tmrw!! 🍴😛🍝
254629918074359811,2012-10-06 17:11:17,But I will never ever eva eva eva eva try the mcRib!!!! Looks disgusting...
254629128026849280,2012-10-06 17:08:09,"Tried mighty wings last night, they were pretty good 😔 #guilty"
254593300764438528,2012-10-06 14:45:47,Soo many things I wish I could take back...
254287554990444546,2012-10-05 18:30:52,"Lol, All day 1 of my students been yelling out '2 CHAINZ'!!"
254188822638784512,2012-10-05 11:58:32,Lmaooo! I love rickey smiley morning show..i needed that laugh
252976738534039552,2012-10-02 03:42:09,@AntLSin lol ok ok!..
252972197700853760,2012-10-02 03:24:06,Lol
252972085884887040,2012-10-02 03:23:39,Why can't I be 1 of T.I kids..I would love for Uncle Nelly to come to the house 😉😍😘!
252912709258055680,2012-10-01 23:27:43,Why did I even turn to this 😑...*changes channel
252912409306619904,2012-10-01 23:26:31,Wait..is the bow wow
