id,created_at,text
456883188971757568,2014-04-17 19:53:35,What a good day
456851174223015936,2014-04-17 17:46:22,People like to be angry and they will take any reason to be angry.
456851066588389376,2014-04-17 17:45:56,"No matter what you do, someone will be offended."
456846100918702080,2014-04-17 17:26:12,I don't like people who write in British English for the purpose of sounding better than everyone.
456530855456804864,2014-04-16 20:33:32,"Note that if we date, I can play you the didgeridoo under the moon light while we eat Taco Bell and hate everything."
456499274566483968,2014-04-16 18:28:03,I like food.
456473292669333504,2014-04-16 16:44:48,Hanging out with my babes today
456184010012884992,2014-04-15 21:35:18,Got Black Flag tickets! My best friend is THE best. #blackflag #victimologytour http://t.co/b5NLhoZCuf
456135972971765760,2014-04-15 18:24:25,"The only drug I do is ""meow meow""."
456134150550867968,2014-04-15 18:17:10,Hanging out with the bae today.
456133614162296833,2014-04-15 18:15:02,@joe12618 @ZuzzethMuffinss she'll start convulsing
456109245599977473,2014-04-15 16:38:12,@ZuzzethMuffinss no but I should steal some
456107749089095680,2014-04-15 16:32:16,I have a drawer dedicated to incense. I need more incense.
456101342197456896,2014-04-15 16:06:48,Apparently my dog was in my bed last night and was growling because my dad was in my room trying to get her to leave.
456097814351605761,2014-04-15 15:52:47,It needs to be May already.
456093148364546049,2014-04-15 15:34:15,I'm so sick of Frozen. Never seen it and now I don't want to.
455964479235186688,2014-04-15 07:02:57,@ForeverInsecurr jk I'm alive
455964444435050496,2014-04-15 07:02:49,@ForeverInsecurr I'm dying from blood loss help.
455964100879585280,2014-04-15 07:01:27,My blood is everywhere
455776135523995648,2014-04-14 18:34:33,Hanging out with my babes today. Spring break has begun!
455768794179190785,2014-04-14 18:05:22,My mom and dad need to hurry up with lunch.
455738378890539009,2014-04-14 16:04:31,I remember the summer camp that the schools would always have. It was pretty rad.
455737256175624192,2014-04-14 16:00:03,I really need some where to go because I can't stand the sounds this guy and his carpet cleaner are making.
455731591676174338,2014-04-14 15:37:33,I'm not wearing any visible black. This is going to be a weird day.
455730996437319680,2014-04-14 15:35:11,Oh my geeker.
455727906183196672,2014-04-14 15:22:54,Leave me alone. Garsh.
455715728394424320,2014-04-14 14:34:31,My dog is freaking out from all this change that's going on
455714107044683776,2014-04-14 14:28:04,I'd much rather be asleep
455714041357692929,2014-04-14 14:27:48,Moving everything out of my room is a pain in the ass.
455589506327269376,2014-04-14 06:12:57,"Sometimes, I just need to shut my mouth."
455566632417382400,2014-04-14 04:42:03,The best way to get a picture with someone is to tell them to get in your snapchat and save the picture.
455551984376877056,2014-04-14 03:43:51,@FloatinPoptarts I was thinking the same thing
455537396042330112,2014-04-14 02:45:53,I have this undying need to go LARPing.
455525010426167296,2014-04-14 01:56:40,I got free mediums because Karoline  messed up. Thanks Karoline.
455524181048700928,2014-04-14 01:53:22,I always get kicked off of the McDonalds' wifi.
455516289016926209,2014-04-14 01:22:01,Anyone good at putting screen covers on phones?
455516162923589632,2014-04-14 01:21:30,My room feels so empty now that everything is out of it.
455400097296023552,2014-04-13 17:40:18,So much work today
455398472363962368,2014-04-13 17:33:51,UGGGH
454995224477966336,2014-04-12 14:51:29,And the hunger sets in
454683002883158016,2014-04-11 18:10:50,If we are friends I will most likely refer to you as my babe.
454682536182964225,2014-04-11 18:08:58,Hopefully sushi today with babes.
454681548168511488,2014-04-11 18:05:03,This is really what my life has come to.
454653601927794688,2014-04-11 16:14:00,Someone teach my mom how to type
454653527030132736,2014-04-11 16:13:42,RT @Puppy_Abortions: My mom is in New Orleans. http://t.co/yVajzYOY8a
454292996247535616,2014-04-10 16:21:05,Oh man :/
454290335649107969,2014-04-10 16:10:30,Art got cancelled and I'm having a cow because of it.
454286684490715136,2014-04-10 15:56:00,"All of my little info bars went from angsty, to stupid shit I come up with while I think to myself"
454285952324624384,2014-04-10 15:53:05,I dressed like a lumberjack
454277977346277376,2014-04-10 15:21:24,Class doesn't start for like another hour.
454270996292575232,2014-04-10 14:53:40,I'm so glad we got to skip math today.
454120834584412161,2014-04-10 04:56:58,Don't get me wrong. I love my 5c.
454120721803780096,2014-04-10 04:56:31,I'm just going to tell people I got the five instead of specifying that I got a 12 year old white girl's phone.
453935593706098688,2014-04-09 16:40:53,I'm pretty sure you're not the only one who listens to atmosphere. So you can calm the frick down brah.
453765474027708417,2014-04-09 05:24:54,SO @mushroomt3a IS THE BEST ALL OF YOU GO HOME YOU TOOL BAGS
