id,created_at,text
456853342711713792,2014-04-17 17:54:59,RT @Suggest: Wisdom from a six year old http://t.co/n6GB6L41GU
456850483064229888,2014-04-17 17:43:37,RT @Powerful_Pics: Scientifically proven http://t.co/K07JjJ9yPI
456815787030745088,2014-04-17 15:25:45,Dios me da nuevas razones para sonreír cada día. :) http://t.co/MLJZhqGjoH
456638388385218560,2014-04-17 03:40:50,Muchas cosas en un ratito!!! :\
456596611871670274,2014-04-17 00:54:50,"Now I'm lost in Your freedom and this world I'll overcome. My God's not dead, He's surely alive. He's living on the inside. ❤"
456506487704014851,2014-04-16 18:56:42,Daydreaming all the time. ☀
456483783290548225,2014-04-16 17:26:29,Play the music low and sway to the rhythm of love. 🎶💙
456452382486835200,2014-04-16 15:21:43,RT @Chichi_Maza_: *se pone en posición fetal y comienza a llorar* http://t.co/rH7TfUPPMF
456256001893625856,2014-04-16 02:21:22,RT @raquel_225: @Andrea_cc7 😍 http://t.co/Uk08VzwPDa
456246276582309888,2014-04-16 01:42:43,La luna está hermosa.. 😍
456118558175809537,2014-04-15 17:15:13,Hitch. 😍👌 Amo esta película!!! 😁
456092948481187842,2014-04-15 15:33:27,Cast all your anxiety on him because he cares for you... 1 Peter 5:7
455965714399391744,2014-04-15 07:07:52,😁🌙❤
455894502381993984,2014-04-15 02:24:54,Odio a los mosquitos!! :\
455830325055479809,2014-04-14 22:09:53,"I'm a boomerang, doesn't matter how you throw me I turn around.. 🎶"
455454405224312832,2014-04-13 21:16:06,@raquel_225 @Snowman1260 @Gaby_Elias11 haha si!! Ojala te haga mal! Hahaha
455354278455296000,2014-04-13 14:38:14,Katok. 😍👌
454800247664160768,2014-04-12 01:56:43,"Got my head spinning, no kidding."
454798963296985089,2014-04-12 01:51:37,"RT @FRIENDSHlP: If it's meant to be, it will be."
454425701807300609,2014-04-11 01:08:24,Deeply in love with my grandpa! 💙
454401111550865408,2014-04-10 23:30:42,☕❤👌
454117765499322368,2014-04-10 04:44:47,Cansancio emocional + físico + mental. 😭
454111541869436928,2014-04-10 04:20:03,"Por dentro tanto frío, por fuera tanta soledad."
