id,created_at,text
262598131672289280,2012-10-28 16:54:08,Look like a trainwreck goin to the mall. Just to get my new phone! :) #idgaf #hungover
262585886817001473,2012-10-28 16:05:29,Sour d/spidaman mix. Great hangover cure http://t.co/xEAW6rQN
262480773741953025,2012-10-28 09:07:47,Goodnight folks
262444851092652032,2012-10-28 06:45:03,Never seen these guys be so happy over mcdonalds lol
262443276227985408,2012-10-28 06:38:47,Just spent 30$  on dolla menu shit. Why? Because ima nice friend to the party lol
262429594970378240,2012-10-28 05:44:25,@dboi22 yaaaaa
262429053322145792,2012-10-28 05:42:16,Sausage fest hurre. 3 girls the rest dick
262369442044968960,2012-10-28 01:45:24,Happy halloween! @AlyB1105 @olivia @malpal! :) http://t.co/5fPxjvZT
262130233430405121,2012-10-27 09:54:52,Ah finally in ny own bed!!!!
262111203449503744,2012-10-27 08:39:15,Atleast jerz is an angel. Hasn't given me any problems.
262059382232211456,2012-10-27 05:13:20,RT @StonedWonka: Marijuana takes my brain on an adventure
262054760755113984,2012-10-27 04:54:58,@undadawg90 great when drunk
262054296777007105,2012-10-27 04:53:07,Little rascals is the shit!
262050884396138496,2012-10-27 04:39:34,RT @ChuyBravo: This is how I get ready for parties! http://t.co/5kXVD8FE
262049150017875968,2012-10-27 04:32:40,Sittin here watching peter cottontail. Oh boy. The joys of watching your friends kids while they go out.
262003620248158208,2012-10-27 01:31:45,I need to B my L on somebody's T's ;)
261815750422036480,2012-10-26 13:05:13,Shine bright like a diamond
261684470153900032,2012-10-26 04:23:34,RT @Shenenehh: 3 reasons why I curse? 1.) Because I fucking want to. 2.) Because I fucking can. 3.) Because I don't give a fuck.
261683910637916160,2012-10-26 04:21:20,Sometimes i laugh out loud. To myself. At the stupidest things. #nerd #loveit ;)
261683370919096320,2012-10-26 04:19:12,"RT @SquidwardTweets: A Girl in China lost her Virginity at the age of 13, She was called ""Sum Yung Ho"""
261683220414865408,2012-10-26 04:18:36,RT @smashgang_ish: Neck kissing is such a turn on.
261681526062862337,2012-10-26 04:11:52,Bored. Wide awake. Weed ain't gettin me high. I didn't smoke all day til no either. I quittin. Back to drinkin. Lol
261681306704936960,2012-10-26 04:10:59,RT @TreatWomenRight: We complain about a lack in “good ones” and when one shows up we run bc we think its “too good to be true”
261679501036109824,2012-10-26 04:03:49,I musta missed somethin on jersey shore tonight. Lol. Erryone talkin bout it
261678746266910720,2012-10-26 04:00:49,"@casey_honadel cousin u shoulda called me. I love kareoke thursdays at the tav....but then again, ima brokebitch :("
261678117486223361,2012-10-26 03:58:19,@dboi22 i would never.
261677877655904256,2012-10-26 03:57:22,"""@the_high_life: a boy who lays hand on a woman, (notice i didn't say man) will only ever be that... a BOY."""
261677300242845697,2012-10-26 03:55:04,"Lip biting, neck kissing, hair pulling. #thatstheshitidolike"
261676567921565696,2012-10-26 03:52:10,RT @blazednconfus3d: Uhh..😳 http://t.co/zTvaohMo
261676028857028609,2012-10-26 03:50:01,"""@GirlsCodeBook: Dear sweatpants &amp; hoodies, thanks for being there for me. Sincerely, sexy and I know it, but too lazy to show it."""
261675686329208832,2012-10-26 03:48:39,"RT @UberFacts: In the 1970s, Mattel marketed a doll called ""Growing Up Skipper."" Her breasts grew when the arm was turned."
261675569970823168,2012-10-26 03:48:12,"""@Lee_galize: A milky bong makes me so happy 😊"""
261673577911291905,2012-10-26 03:40:17,"After 4 years with an android, i think I'm gonna go back to the iphone. But hopefully i don't break this screen. Lol"
261633770149519360,2012-10-26 01:02:06,Nephew gets outta jail midnight christmas eve. Gonna be the best present to the fam!!!!!
261589610872840192,2012-10-25 22:06:37,Just watchted how to make. Horse shoe for ten min. So boring yet so weird and interesting.
261368899822555136,2012-10-25 07:29:36,"RT @SoMindBlowing: Based on a psychological study; a crush only lasts for a maximum of 4 months. If it exceeds, you're already in love."
261368706926530561,2012-10-25 07:28:50,You can never go wrong with some #mrbeans in your life
261352732449992705,2012-10-25 06:25:21,The world around me is focused on politics and I'm focused on a little girl who once owned a gender confused pig named Glitzy.
261351743554732032,2012-10-25 06:21:26,@dboi22 i guess that would be the one and only exception. :)
261350895265128448,2012-10-25 06:18:03,@dboi22 oh. Im already adicted to those. Lol
261350749466935296,2012-10-25 06:17:28,"""@Shenenehh: #MistakesBoysMake Comparing a woman to other women!!"""
261350679900192768,2012-10-25 06:17:12,RT @Shenenehh: You can strap up all you want but safe sex doesn't protect you from a crazy ass b*tch.
261349242604507136,2012-10-25 06:11:29,P.s. smoke somethin :) it'll cheer ya up
261349089512407040,2012-10-25 06:10:53,So whoever i marry better know your closets in the 2nd bedroom. Or the wholle room will be my closet ;)
261348592676114432,2012-10-25 06:08:54,Online shopping probably doesn't help my addiction.
261348502402121728,2012-10-25 06:08:33,"Fuck i need an intervention. Me and my clothes.... 2 closets. A 6 drawer dresser, 3 drawer, n 2 drawer n 2 shoe wracks n a bucket. Lol."
261348069881303041,2012-10-25 06:06:50,I get bored do easily. Online shoppin usually does th trick.....
261338141967933441,2012-10-25 05:27:23,Cock sucker ;) http://t.co/VfpYgDMB
261232223108337664,2012-10-24 22:26:30,I needa get high. And all yalls bunkass so called dro isn't any good n i ain't buying it nor smokin it.
261147227316183040,2012-10-24 16:48:46,Yup. http://t.co/JFbHiVXV
261105247647318017,2012-10-24 14:01:56,New queen sized bed for xmas. That i by far the best gift I've heard of yet!
260959711308963840,2012-10-24 04:23:38,True. http://t.co/ss3KJnnH
260932417131520000,2012-10-24 02:35:11,Uhh....hello kitty ;) http://t.co/nsn80gsu
260762266843111424,2012-10-23 15:19:04,"I ain't no photographer, but I'm gonn put this to some good use. #creativeoutlook http://t.co/k6Jw3bHX"
260756610190823427,2012-10-23 14:56:35,Always gotta have a variety. http://t.co/9npbN79g
260747995845390338,2012-10-23 14:22:21,"RT @SquidwardTweets: I will subtweet, mention, be depressed, cuss, cry, RT, all up &amp; down this damn TL, this my account bitches."
260747885338054656,2012-10-23 14:21:54,The awkward moment when there’s a guest over in your house and you would like them to leave but they won’t.
260747166165917696,2012-10-23 14:19:03,Be crazy. Be stupid. Be silly. Be weird. Be whatever. Because life is too short to be anything but happy.
260746724392448001,2012-10-23 14:17:18,"RT @KushJoint: I smoke #weed to feel good, not to feel cool."
260745858260295680,2012-10-23 14:13:51,"RT @jennaldewan: Does hot naked men, extra dancing and never before scenes seem fun to you?? Then trust me, go buy the Magic Mike DVD ou ..."
260745110805946368,2012-10-23 14:10:53,Who wanna come smoke a sista up? Lol
260743764262391808,2012-10-23 14:05:32,Uh oh.... magic mike is ondemand. This may or maynot be a good thing. Lol
260675742814318592,2012-10-23 09:35:14,Ima sacral charka
260661296062685184,2012-10-23 08:37:50,Nw #thecraft .... classic !
260659859509370880,2012-10-23 08:32:07,#larrycrowne ... good movie. Highly recommended
260658978567118848,2012-10-23 08:28:37,@Mal_Rae_Diehl id love to. But i probly shouldn't drive. I still feel dopey from my shots. Lol To bad u dont gotta car. Id say come here! :)
260657254230003712,2012-10-23 08:21:46,@Mal_Rae_Diehl me too. That n i can't sleep.
260656138666770432,2012-10-23 08:17:21,Mamabear got me both. As long as i wait til xmas. I think i can do that &lt;3 her http://t.co/nXFTtx0R
260654163946524674,2012-10-23 08:09:30,"RT @Shenenehh: Ladies dont be talkin bout ""Its cold out so that means it's cuddle season"". Girl you better cut your heater on and read t ..."
260653216058986496,2012-10-23 08:05:44,It doesn't matter what people say about you. It only matters when you decide to let them affect you.
260652919471370240,2012-10-23 08:04:33,RT @SamMight69Her: Get high http://t.co/F3vrtzhi
260652396886237184,2012-10-23 08:02:28,Man. I'm hungray. Haven't eaten since yesterday dinner. That's like 30 somethin hours. But i do not wanna get sick :/
260483995635154944,2012-10-22 20:53:19,N the other arm. Nurses bruises me the fuck up. http://t.co/5bmcHZMs
260482961324007424,2012-10-22 20:49:12,Damn looks like i got beat. Shitty nurses http://t.co/8Gf01aol
260118141152145409,2012-10-21 20:39:32,#gogo #hellokitty for #halloween. Don't hate :) http://t.co/kG1A3Czo
260107802981310464,2012-10-21 19:58:27,My boobs are sweatin. Now i know its a warm day.
259923411772534785,2012-10-21 07:45:45,"Ahh i dont feel good. That's what ""das boot"" does to ya. :/"
259855985961738241,2012-10-21 03:17:50,Moonshine :) @ticarra @ShearDriscoll http://t.co/qUWovYuG
259734938188926978,2012-10-20 19:16:49,Holy hairballz !!!! http://t.co/iFGrrJrv
259731431771742208,2012-10-20 19:02:53,Couldn't resist myself. http://t.co/71bF4Eco
259731316122206208,2012-10-20 19:02:26,Couldn't resist myself. http://t.co/QhoKzfal
259730715028107264,2012-10-20 19:00:02,Yup i went there. Couldn't resist http://t.co/Jsl2caxM
259711610904539136,2012-10-20 17:44:07,Oops i may have or.may nt have just bout a new paid of #coach shoes! :) &lt;3
259693412507348992,2012-10-20 16:31:49,Lets get drunk n watch the game!
259661924554387456,2012-10-20 14:26:41,RT @dboi22: @AngelMos418 goodmorning
259655992395059200,2012-10-20 14:03:07,RT @SoMindBlowing: I gotta dig bick. You that read wrong. That awkward when you read that wrong also. And said 'moment' after awkward .
259655591247618048,2012-10-20 14:01:31,Mornin folks
259541537812250624,2012-10-20 06:28:19,Night hoes. Go to bed.
259539695145459712,2012-10-20 06:21:00,Yup I'm doin it. But I'm thinkin blood red :) http://t.co/TopAvKLS
259538213247541248,2012-10-20 06:15:06,RT @MadeaSimmons_: my clever comebacks always come AFTER I lose the argument
259536931023630336,2012-10-20 06:10:00,https://t.co/7kEnt9My
259536185951657984,2012-10-20 06:07:03,Rmember them good ole days???... ya me either
259535066965893120,2012-10-20 06:02:36,Whoa I'm tweeting way to many thoughts!.... You love it though ;)
259534919859060737,2012-10-20 06:02:02,I love to bite. http://t.co/wkXX4nMR
259532690502606848,2012-10-20 05:53:09,@dboi22 just messing. Sharings caring.
259532480833519616,2012-10-20 05:52:19,RT @Shenenehh: 24 Inch weave #youredoingtoomuch (Broom Head!)
259532416119603201,2012-10-20 05:52:04,"Bands will make her dance , stamps will make her twerk , If Romney becomes president , these hoes will have to work."
259531708335026178,2012-10-20 05:49:15,"RT @UnusuaIQuestion: If seeing is believing, then how come looks are deceiving?"
259530682303406081,2012-10-20 05:45:11,@dboi22 you can't always get what you want :)
259529576491929600,2012-10-20 05:40:47,"I think this girl might take a nice ""trip"" tomorrow night :)"
259526122436452352,2012-10-20 05:27:04,"RT @SincerelyMen: New STD called, ""feelings"" Don't catch that shit.."
259525076439924736,2012-10-20 05:22:54,@dboi22 i see
259524926120292352,2012-10-20 05:22:18,@dboi22 ahhh! Lol
259524278020603904,2012-10-20 05:19:44,@dboi22. I have a driod. Dunno what that was lol.
259523519522697216,2012-10-20 05:16:43,Battery operated bf better be ready.
259522798614106112,2012-10-20 05:13:51,Seriously.... pass the fuck out as soon as you get in the car.
259392901182795776,2012-10-19 20:37:41,I've always been told to watch the road when rollin a blunt . ;)
259167735567753216,2012-10-19 05:42:57,I needa smoke
258979025890992128,2012-10-18 17:13:06,Remedy for aching back and burning esphagus. #meds #massagechair &lt;3 http://t.co/80DME9Wo
258972807847890944,2012-10-18 16:48:23,"Fuck you GERD comin outa no where! Have to leave work n shit. Don't feel sick, but can't stop getting sick. Like word vomit."
258936731410255873,2012-10-18 14:25:02,I'm sad my partners in crime are leaving me to go to Branson for the weekend
258814082294112256,2012-10-18 06:17:40,RT @UberFacts: Masturbation clears nasal congestion.
258813525034680320,2012-10-18 06:15:27,"RT @JoJoistheway: ""She's so busy being free..."""
258813484639338496,2012-10-18 06:15:17,Atleast your honest. Ill give you that.
258811718698954752,2012-10-18 06:08:16,"RT @MadeaSimmons_: remember when I asked for your opinion? yeah, me either. fuck off."
258811633378394112,2012-10-18 06:07:56,I guess i just have a shoe addiction in general. #heels #boots #flipflops #TAYLORS :)
258811008099950592,2012-10-18 06:05:27,I got a bucket and 3 shoe racks. Still not enough room. #girlprobz #flipflopaddiction #converseaddiction :P
258802547438018560,2012-10-18 05:31:50,@TheRealMalik_ i took it to the head. Lol
