id,created_at,text
456858023370457088,2014-04-17 18:13:35,"I won't ever have to meet with those selfish, inconsiderate group members again.....I'm BOOOOOOOSTED!!!!!"
456599175006666752,2014-04-17 01:05:01,@OhSoRaven thank you!! 😁☺️
456593496380432386,2014-04-17 00:42:27,😭😭😭😭😭 BEST. BIRTHDAY. WEEK. EVER.
456564293396217857,2014-04-16 22:46:24,RT @_lovewhittt: I've been struggling all week forreal
456493170990514177,2014-04-16 18:03:47,"But WHY is it so cold outside, Jeebus?!?"
456468244304367616,2014-04-16 16:24:44,@_LadyMarcy it legit didn't happen on purpose lol. The rest of the week is gonna be OC tho. I ain't too excited!
456467482039951361,2014-04-16 16:21:43,Soooo....no Friday classes next semester O_o
455863961658085376,2014-04-15 00:23:32,-___-
455748419341271040,2014-04-14 16:44:25,@Cole_NOslaw nerrrrrrrd!!!
455743181179465728,2014-04-14 16:23:36,Anatomy makes me wanna slit my wrists AND watch myself bleed out smh
455644957907615744,2014-04-14 09:53:18,Just gotta make it to Thursday....
455465831879933952,2014-04-13 22:01:31,@GreatKingMalik 😂😂😂 thank you Maliiikkkk!!
455425201149607936,2014-04-13 19:20:04,"@cut2thechaseR Thank youuu!! Yasss, we got to soon!"
455327366852902912,2014-04-13 12:51:18,RT @idiggs4: Thankful
455175574496235522,2014-04-13 02:48:08,@_CheesyBrissy @scuba_steve04 😂😂😂 yassss!!! I love you Briiii!!!
455174190182973441,2014-04-13 02:42:38,"RT @_CheesyBrissy: @Ashley_ChopstiX @scuba_steve04 Happy 21st birthday 🙌👏💃💃 turn up turn up 😁😤💨🍃🍂🍻🍺🍷🍸🍹, I hope you enjoy your day &amp; love yo…"
455174168146087936,2014-04-13 02:42:33,@_CheesyBrissy @scuba_steve04 thanks Bri!! Love you too! You know imma turn up!! Lol
455173624211976192,2014-04-13 02:40:23,@_CheesyBrissy @scuba_steve04 lol k cool
455173101740101632,2014-04-13 02:38:18,@_CheesyBrissy @scuba_steve04 nah. I just got auntie's tho
455103808537108480,2014-04-12 22:02:58,“@ThaKid_TAZ: @Ashley_ChopstiX mhmm I'll be watching from a distance like.... http://t.co/ts2LjZGXvW” 😂😂😂😂😩😩
455100855617081344,2014-04-12 21:51:14,"@thakid_taz thank you!!!! You know I gotchu, mentor!!"
455092107116838912,2014-04-12 21:16:28,@idiggs4 Thanks Juuuuuice!!
