id,created_at,text
456608569240993792,2014-04-17 01:42:20,People that go to bed before 9 are my type of people.
456552626797043712,2014-04-16 22:00:03,Just want to give a S/O to @DavidEarnst for getting me addicted to this damn 2048 game. Can't beat it. Bout to break phone.
456408620687564800,2014-04-16 12:27:49,RT @waff48: BREAKING: AU reports classes canceled due to parent/student concerns
456230161873395712,2014-04-16 00:38:41,Bitches be crazy.
456118701658349568,2014-04-15 17:15:47,I knew when my phone went off it was going to be work calling me in. #moneytomake
455735653737590784,2014-04-14 15:53:41,"Why do we still have black boxes? Why does everything not just get uploaded to the ""cloud""? #370Qs"
455435447221514240,2014-04-13 20:00:46,Time for a cruise.
455140986755108864,2014-04-13 00:30:42,"RT @EricJustinH: @BecattiTheBoss @easter_laura don't hate us, we are supporting you. When it starts peeling i'll help you #brosforlife"
455138546169290752,2014-04-13 00:21:00,@easter_laura @EricJustinH hate you
455136263268737024,2014-04-13 00:11:55,@EricJustinH @easter_laura my hair is plenty thick good sir
455133387598991360,2014-04-13 00:00:30,I didn't choose the pink life. It chose me. #sunburnedprobz
455131973066162177,2014-04-12 23:54:52,Didn't think the sunburn on the top of my head was too bad but don't worry it's a solid dark pink. http://t.co/mHzO5qH3CD
455102483262492672,2014-04-12 21:57:42,It's time for a change.
455086851242856448,2014-04-12 20:55:35,Whiskey Tango Foxtrot
455072228862746624,2014-04-12 19:57:28,HUGE S/O to my semi bald head for also getting sunburned. Didn't realize it till the hot water from the shower hit it.  #notbald #onlysemi
455062203146989568,2014-04-12 19:17:38,I burned the hell out of my right arm power washing today but the left arm is pale as can be. #winning  #BestOfBothWorlds
454754747476496384,2014-04-11 22:55:55,Busy busy busy.
454746966702841856,2014-04-11 22:25:00,People fighting makes it for a good good ass ride along!
454463442163085312,2014-04-11 03:38:22,@seleacayenne12 lol. Uh oh! Hit her with that un friending!
454458864285790209,2014-04-11 03:20:11,I have an idea. Let's make up rules at the end of each day for how to do something at work and then change it the next day!!!!!!!
454334481022062592,2014-04-10 19:05:56,RT @DavidEarnst: World Lit is fun. http://t.co/70E3dkBfIU
454276912546709504,2014-04-10 15:17:10,Left school to go to the gym. #priorities
454275738774958080,2014-04-10 15:12:30,RT @aubiecox: #publix #publife #1203 @BecattiTheBoss @JacobChilders1 @EricJustinH http://t.co/VULfxwwkLW
454074251109482496,2014-04-10 01:51:52,@autumnalexa1 fux wit me
454071896393265152,2014-04-10 01:42:31,"@autumnalexa1 must have been some off brand expired in 2010 ""Pam"""
454070554627432448,2014-04-10 01:37:11,@autumnalexa1 aluminum foil + Pam cooking spray = slightly less crappy cookies.
454017784519749632,2014-04-09 22:07:29,"People these days be like ""mom can I get money for clothes?"" And I'm over here like ""I have a third of my new car paid off."""
453295476276989954,2014-04-07 22:17:18,"""Now you see me"" was an incredible movie. #mindblown"
453246578011033600,2014-04-07 19:02:59,RT @TheFunnyVine: YEET https://t.co/86asQVmSLc
453222602312413184,2014-04-07 17:27:43,S/O to all the girls that go in the tanning beds after an old sweaty man just got out of them. #trooper #tooturnt #gottagettanforsummer
452928962420031488,2014-04-06 22:00:54,Sexy srt8 at work. #srt8 #dodge http://t.co/WWkYPWY8Vg
452928752373481472,2014-04-06 22:00:04,"I don't know why the song ""Selfie"" has me so pumped right now, but I kind of like it."
452466080456646656,2014-04-05 15:21:34,Scariest thing in the world- hearing the radar detector go off for laser or KA.
452157268864536576,2014-04-04 18:54:28,@easter_laura @EricJustinH @JacobChilders1 smh
452113813395873792,2014-04-04 16:01:47,Huntsville officer Moore took a shotgun blast to the face and survived last night. Can I say he is a badass.
452098498113323008,2014-04-04 15:00:56,http://t.co/Ghx3X0Y4OA hoping for a smooth recovery from a brother in blue
452093656103927808,2014-04-04 14:41:41,Officer shot last night going to a domestic violence call. As always the officer stayed in the fight and killed the suspect.
451912434094473216,2014-04-04 02:41:35,Blood got pumping from running code to a foot pursuit. We were hauling!
451881350245920768,2014-04-04 00:38:04,Just got asked if I had a kid swimming while sitting here waiting on my officers to finish swimming at Dublin.
451147714622128128,2014-04-02 00:02:51,Hey @OpTic_Scumper do you or @OpTiClayster want to use my controller for your next tournament? Batteries included. http://t.co/brgzeOFvHc
451094574954717184,2014-04-01 20:31:42,@xbox can I get a refund? #12gauge http://t.co/Rxi2RQrprw
451094541849096192,2014-04-01 20:31:34,Bang bang #12gauge http://t.co/JNqBtjStiK
450823913782509569,2014-04-01 02:36:11,@InfinityWard pew pew http://t.co/9N0yVv9ydK
450766926185521152,2014-03-31 22:49:44,Just a little upset that I couldn't get a jam undone out at the range but when I get home it unjams on the first try. #heated
450447027491860480,2014-03-31 01:38:34,It's a wee bit hot. http://t.co/uHB1o62MR9
450147269526835200,2014-03-30 05:47:27,RT @EricJustinH: @mbonnell678 @BecattiTheBoss @JacobChilders1 I'm going to need some backup here guys
449736170919190528,2014-03-29 02:33:53,Minute long wall sits got me feeling some type of way
449214294509776897,2014-03-27 16:00:08,@BrandonAllen114 😞
449212578263478272,2014-03-27 15:53:19,@BrandonAllen114 @tortellini_ @jakesmith243 @burkesellers 😞
449207342383763456,2014-03-27 15:32:30,We shotgun now. http://t.co/MUneNk9yh1
449182222604832768,2014-03-27 13:52:41,I've missed out on a lot of my future trying to get ready for my future. #deep
448971390515830784,2014-03-26 23:54:55,S/O to the higher ups that watch the people that don't need watched and get onto them all the time but don't watch the bad people at all
448676304099893248,2014-03-26 04:22:21,@JacobChilders1 @EricJustinH me
448668756596629504,2014-03-26 03:52:22,Saunas are no joke.
448664296428273664,2014-03-26 03:34:38,I would hate to be a police officer for the PCB department.
448336318331092992,2014-03-25 05:51:22,S/O to @Gbuszka_12 turn up.
448291483016101888,2014-03-25 02:53:13,RT @CheeksForWeekz: #Bootyhadmelike http://t.co/hLv7D4BRgM
448155170921525248,2014-03-24 17:51:33,Shotgun for 200 bucks. #whynot  #gunsgobangbang #pewpewpew #iwantnow
448119300079878144,2014-03-24 15:29:01,RT @_Billy__Madison: Booty had me like http://t.co/2vtiX2B5Tm
447831504610394113,2014-03-23 20:25:25,RT @GuyCodes: How men wash pots and pans http://t.co/qTV9Z5vWfC
