id,created_at,text
456829866043006976,2014-04-17 16:21:42,Puppy in the window🎶 http://t.co/r8SyNol2BA
456813435762659328,2014-04-17 15:16:24,RT @AustinCoupe: oh word i wasn't aware that the music industry is now the movie industry cause all of these new kids are ACTING
456588418827296769,2014-04-17 00:22:16,Hell yeah. http://t.co/ABjPKb37lZ
456543722100895744,2014-04-16 21:24:40,RT @Tyler_Levenson: We have joined Imperial Artist Management &amp; this is only the beginning! @EPDofficial http://t.co/nrrY9U4HmQ
456513263333687296,2014-04-16 19:23:38,RT @EPDofficial: Proud to announce that we're now managed by Imperial Management along side @SwornInBand @FTFDband @oceanometal @VillainsIL…
456508392282935296,2014-04-16 19:04:16,Proud to announce that EPD is now managed by jasonxmalhoyt of imperialartistmanagement along side… http://t.co/hja449oMXf
456451824288280576,2014-04-16 15:19:30,This is my long time friend Kalua also known as Bear by many of you. She passed away today at 19 years… http://t.co/97wC9adPZL
456198871345926145,2014-04-15 22:34:21,"Doing this in may, more dates coming soon. See you guys next month! #everypassingdream http://t.co/Al3zVzVNpC"
455745111251779584,2014-04-14 16:31:16,"RT @Andrewepd: I gotta say, Florida is killin it in the music game. Metalcore, hardcore, pop punk, and whatever else is killin it!"
455744148902248448,2014-04-14 16:27:27,They call him Taz. http://t.co/uEUWdYz7rx
455514086265352193,2014-04-14 01:13:15,RT @SwornInBand: ANYONE IN MICHIGAN?? Please respond if you know ANYBODY with a tire. We are stranded http://t.co/Kwpklp2oUd
455482918727847936,2014-04-13 23:09:24,Had a dream last night that @EPDofficial  @BarrierMetal &amp; @Adaliahfl were touring together. So. Much. THC.
455482208774795264,2014-04-13 23:06:35,@Landontours fuck
455438937671335936,2014-04-13 20:14:39,ACAB
455421430516441088,2014-04-13 19:05:05,Look what I found. @rainnwilson http://t.co/pyOTJRGEBr
455081221195063296,2014-04-12 20:33:12,"RT @AustinCoupe: ""ive been wearing these clothes for 3 days"" ""why?"" ""cause i dont give a shit"""" thats what tour life does to you"
454812879825670144,2014-04-12 02:46:55,RT @Tyler_Levenson: Check yourself
454771477150441472,2014-04-12 00:02:24,@kris_leonardi :(
454615526300319744,2014-04-11 13:42:42,@Andrewepd @JaydenPanesso 💪💪
454609824106700800,2014-04-11 13:20:02,"@JaydenPanesso yo, who do I have to rough up?"
454607147096363008,2014-04-11 13:09:24,@Tyler_Levenson Yeah I need to stay awake.
454605143947083776,2014-04-11 13:01:27,@Tyler_Levenson want to just split a bottle of jager and get a case of redbull?
454600590749102081,2014-04-11 12:43:21,"@Tyler_Levenson LOCOOOOOOOOOOOO IN A BIG GULP, lets do it."
454596005766660096,2014-04-11 12:25:08,Waking up early for work &amp; making money makes me happy.
454595648399347713,2014-04-11 12:23:43,RT @Tyler_Levenson: That one person you wish someone would just knock the fuck out.
454429328563261440,2014-04-11 01:22:49,"Filled in for Thick As Blood this past month, was a good time &amp; met a lot of rad people. Thanks for… http://t.co/zS9Hn7Q5ue"
454345143416799232,2014-04-10 19:48:18,"RT @EPDofficial: Check out our boys in @SYLARNY and their new music video for ""Prescription Meditation"" RT

http://t.co/3zA0TKE4YS"
453701586548973568,2014-04-09 01:11:02,RT @Tyler_Levenson: I fucking hate Terminus Tees
453602428647395328,2014-04-08 18:37:01,I'm home. 🌴 http://t.co/YD3KPJ9E20
453397135997009920,2014-04-08 05:01:15,@morespaghetti someone's stealin your jokes http://t.co/RkfEWuelx7
453390824307294209,2014-04-08 04:36:10,I believe middle names sole purpose are for relatives to use when yelling at you.
453311449582936064,2014-04-07 23:20:46,"The select few humans that make my life enjoyable, thank you. The remainder of you can get hit by a bus for all I care."
453255113491365888,2014-04-07 19:36:54,Drank it all before I could take a picture. Oops. http://t.co/Rxib0sLAFM
453253456925839360,2014-04-07 19:30:19,"If you take life too seriously all the time you're doing something wrong, relax."
453252801377095680,2014-04-07 19:27:43,@ImQual that's what she said
452588829405642752,2014-04-05 23:29:20,@Jblightsout you didn't know? Lateeeeeeeee
452383772013375488,2014-04-05 09:54:30,"RT @GinoVento: Lots of good vibes lately, it's tight"
452383269339025408,2014-04-05 09:52:30,"@Landontours completely agree, specially in high school."
452303447291736064,2014-04-05 04:35:19,@kris_leonardi miss you too much man.
452221654115295232,2014-04-04 23:10:18,"EPD now has an IG, follow us so you can keep up to date with tours, news, merch &amp; anything else having… http://t.co/ayJN7Z8v1G"
452162246660349952,2014-04-04 19:14:15,@Trevorjamess this is awesome.
452162165261484032,2014-04-04 19:13:55,"Fuck what you heard, only believe what you see."
452129669484388354,2014-04-04 17:04:48,@morespaghetti 💯
451964623177383936,2014-04-04 06:08:57,@morespaghetti god that looks fucking awful
451946125109776384,2014-04-04 04:55:27,@megantayla 💰💰💰💰💰💰
451826632723296256,2014-04-03 21:00:38,"""Raise hell, not kids."""
451813784349192192,2014-04-03 20:09:35,@kris_leonardi yes!
451550646429171713,2014-04-03 02:43:58,@JaydenPanesso 😂 love you boo
451549635610284033,2014-04-03 02:39:57,@JaydenPanesso I'm so tempted to photoshop this...
451549271767404544,2014-04-03 02:38:30,"RT @SwornInChris: I'm just an actor on stage,
Worth less than minimum wage,
With no soul to sell, just a story to tell."
451528745812115457,2014-04-03 01:16:56,RT @Andrewepd: Very important phone call went awesome. 🍻🍻 cheers boys @lukewalkinshaw @BrandonSellitti @Tyler_Levenson @IanBeau
451523874086088704,2014-04-03 00:57:35,I wish I was home to celebrate with my band.
451523337768808448,2014-04-03 00:55:27,@goth_slam tru
451523134475497472,2014-04-03 00:54:38,Here's to the future boys. @lukewalkinshaw @Andrewepd @Tyler_Levenson @IanBeau
451489731868516352,2014-04-02 22:41:55,@yunglungs @dustin610 @MiguelCvrdona @LYNNGVNN lmao
451489454268506112,2014-04-02 22:40:48,Future is looking sooooo good right now. Crazy how much can change in a month.
451442959725375489,2014-04-02 19:36:03,Safety first. ⚠️ http://t.co/SS1Sc3J4TP
451419223806734336,2014-04-02 18:01:44,Shitty people suck.
451418919480594434,2014-04-02 18:00:32,RT @disneywords: Don’t stress over anything that you can’t change. –Mickey Mouse
451369100141670400,2014-04-02 14:42:34,RT @lukewalkinshaw: Hang their fucking bodies in the halls.
451111127104389120,2014-04-01 21:37:28,Getting high with ryan_hiebendahl. 🔺 http://t.co/bYnvfwhTcg
451032523926405121,2014-04-01 16:25:08,@JaydenPanesso I'm just not gona go on the Internet today.
451032136582459392,2014-04-01 16:23:35,"RT @TylerCarter4L: Why can't people just say what they need to say, what they feel. Can't stand getting the run around."
451031136005677056,2014-04-01 16:19:37,RT @Andrewepd: The burrito is by far the best technological advancement we as a species have developed.
450825567177551873,2014-04-01 02:42:45,lol http://t.co/7xsvaCD400
450783553157357568,2014-03-31 23:55:48,"EPD just got added to DAY 2 of ""Southeast Beast""! We play early at 12:40pm on The Vratim Stage! C u… http://t.co/oROfsaLoQA"
450655857442058240,2014-03-31 15:28:23,Ummmm??? http://t.co/7BOgkGHpNp
450459996250443776,2014-03-31 02:30:07,Getting married is no excuse to get ugly.
450440671338704897,2014-03-31 01:13:19,Counterparts. http://t.co/8vjz9vcnUN
450389191445471232,2014-03-30 21:48:45,I am soooooooooooo drunk
450353970696179713,2014-03-30 19:28:48,And watch people get beat up during terror.
450353428561395712,2014-03-30 19:26:39,I get to see counterparts tonight
450353264073400321,2014-03-30 19:25:59,Hi
450323190443950080,2014-03-30 17:26:29,Beer at 1:30. http://t.co/8nWEk6CaS4
450300168307761152,2014-03-30 15:55:00,"Playing this today, any friends comin'? http://t.co/eTBW5Z9IqJ"
450296271103066112,2014-03-30 15:39:31,RT @ASAPRockyTRILL: Don't have time for part time people in my life
450271842339921920,2014-03-30 14:02:27,@goth_slam you make me laugh dog❤️
450084990416855040,2014-03-30 01:39:58,"The favor is never returned, I'll learn one day."
