id,created_at,text
451897082148691969,2014-04-04 01:40:34,RT @jbordinhao: RT @DMahoneyphoto: Tonight @David_Clutch will be playing @TrystNightclub #CLUTCHMOB http://t.co/jHCPHyhPIM
444407608846204928,2014-03-14 09:40:05,@davefogg cue marks wow! #hitters
444405108927758336,2014-03-14 09:30:09,@davefogg a real wizard
442135678948605952,2014-03-08 03:12:15,RT @TrystNightclub: Our very own @david_clutch on the #Tryst decks last night! http://t.co/ErxlaMA8VV
441883330284240896,2014-03-07 10:29:30,RT @DMahoneyphoto: #clutchmob was on point tonight. @David_Clutch @TrystNightclub
441011924436660224,2014-03-05 00:46:51,Wtf.
440694003596414977,2014-03-04 03:43:32,"Everything good, everything good gravy"
440357258199695360,2014-03-03 05:25:26,This that shit they want.
440116955190546432,2014-03-02 13:30:33,Party pig
439607857252532225,2014-03-01 03:47:35,Remembering when @RosssBosss was foodforless ha
439603837649690625,2014-03-01 03:31:37,@Ktortillaz nah
439486170288750592,2014-02-28 19:44:02,Fuckin Mr. Me 2 over here
438897065289318401,2014-02-27 04:43:09,You can call me Mr. Pink http://t.co/M7oNRDLwbx
436257629845729280,2014-02-19 21:54:58,RT @RosssBosss: Dead Pirate Kings
431333273592033280,2014-02-06 07:47:20,Listening to @DJNilsson Wolfgang opening set right now with @jbordinhao and wow this is amazing
428156875478032384,2014-01-28 13:25:28,RT @RosssBosss: “@Jordanfosmo: So mad that I'm awake at 5:03” pussy
428064909453033472,2014-01-28 07:20:02,"RT @Jordanfosmo: ""Quit playin' that's my cousin in law."" -@Pookie_Tunes lololol"
427730239486050304,2014-01-27 09:10:10,@AuroraNathan beach tomorrow? Me @RosssBosss and @Jordanfosmo will be in town
427358611266740226,2014-01-26 08:33:27,RT @fucktyler: Dookie
427224204497272832,2014-01-25 23:39:22,"RT @jbordinhao: Yea I know it’s $5 footlong and you want me to save, but I want to try something new… Portion control"
421607466766311424,2014-01-10 11:40:27,Dr. Love
415415548738945024,2013-12-24 09:35:59,@DMahoneyphoto who's?
413933315331088384,2013-12-20 07:26:07,"RT @jbordinhao: Great food day… Forte, Khoury’s and now Hokaido… cc: @Arod23 @Pookie_Tunes @Zokie7"
410672199188488192,2013-12-11 07:27:36,RT @DylonLopez: Still hate you
408348803859636224,2013-12-04 21:35:16,Can @FLOSSTRADAMUS play @coachella this year please
406710368631652352,2013-11-30 09:04:42,#Sharkeisha
406333954896044032,2013-11-29 08:08:58,Bops
405753600959213569,2013-11-27 17:42:51,East coast time has me all fucked up. Cc: @DMahoneyphoto
402968465901772800,2013-11-20 01:15:43,RT @jbordinhao: Amazing view of Philly from the 4th floor… cc: @DMahoneyphoto @Pookie_Tunes
402728633107615744,2013-11-19 09:22:43,VHS or beta?
401709965485670400,2013-11-16 13:54:53,Fuck.. Shut up! Guy @jbordinhao
401299413395464192,2013-11-15 10:43:30,"RT @jbordinhao: Nothing better then meeting @Pookie_Tunes at Wahoos at 2:30 am, winning $40 bucks, eating and drinking for free. Nice come …"
400880819373215745,2013-11-14 07:00:10,@DrummerbwoyDale hahaha yes so good
400411097959657472,2013-11-12 23:53:39,@samanthadottcom http://t.co/VO8bTIbIwJ
400027408188727297,2013-11-11 22:29:00,I mean what happened last night... Murder from the start @jbordinhao @davefogg @samanthadottcom @DMahoneyphoto
398685803447980032,2013-11-08 05:37:57,Not really into kisses leading into nothing
398409693090951168,2013-11-07 11:20:47,Live outside your box
397897913163984896,2013-11-06 01:27:09,Where are all the hot bitches at
397340247962288128,2013-11-04 12:31:12,RT @DMahoneyphoto: Fucking jamming out to some @Coheed right now.. #classic
395761437508784128,2013-10-31 03:57:34,I graduated in St. Louis
394828611997286400,2013-10-28 14:10:51,"She's got me love stoned                  Man I swear she's bad and she knows
I think that she knows"
393659628048773121,2013-10-25 08:45:43,Losers
392629605753835520,2013-10-22 12:32:47,Today is history
392629371560681473,2013-10-22 12:31:51,Tomorrow is a mystery..
392038027435851777,2013-10-20 21:22:04,"I can't stop thinking of the ""they spent $2000 dance"" @YvetteD85"
391752793112858625,2013-10-20 02:28:38,iOS 7 sounds have so much reverb to them.
391752530809466880,2013-10-20 02:27:36,RT @davefogg: Top 100 candy is similar to Djs cuz top 10 would all be haribo
391728898641113088,2013-10-20 00:53:42,@TEENWOLFREMIX the whole list is a big mess
391726411322363904,2013-10-20 00:43:49,64. Diplo - big disagreement.                           40. Martin Garrix - One hit song
390421007061635072,2013-10-16 10:16:36,RT @Jordanfosmo: Playing out conversations in my head that I'm too afraid to have. Don't mind me.
389967314134630400,2013-10-15 04:13:47,I keep on running
387795948392689665,2013-10-09 04:25:33,@Arie11eBe11e hahaha that's great! I wonder how many we have passed just at work lol
387506689173225473,2013-10-08 09:16:08,RT @KrystalFamous: Subway sounds amazing
387464330649686016,2013-10-08 06:27:49,"RT @Jordanfosmo: ""Be there in 2 tears"" @RosssBosss"
386290513613058048,2013-10-05 00:43:30,@dwpoker @jbordinhao @DMahoneyphoto Slash um and Stache um
386064140634050560,2013-10-04 09:43:58,@djpizzoHHS Great to see you too! I missed the best hip hop DJ of all time.
386050396151496705,2013-10-04 08:49:21,@jbordinhao @davefogg I'm there I got a good one
386015751494049792,2013-10-04 06:31:41,@missashlynnc @jbordinhao wolves tonight
386004919058059265,2013-10-04 05:48:38,RT @jbordinhao: @Pookie_Tunes shirt game crushes the game… this guys winter wardrobe is the best in town…
383318433384767488,2013-09-26 19:53:30,@j1cam wild
383036193979396097,2013-09-26 01:11:59,@jbordinhao I have to agree
378063122063314944,2013-09-12 07:50:47,When I listen to music all I see is that damn scroll cursor from ableton moving over it.
375593211483279361,2013-09-05 12:16:14,People on a grind. #respect
374847972015493120,2013-09-03 10:54:55,@j1cam nice! Well lets kick it than
374847613398302720,2013-09-03 10:53:30,@j1cam haven't seen you in like a year
372331774220578816,2013-08-27 12:16:27,There are just some things you don't notice till there brought to your attention #stayopenminded
370740185069125632,2013-08-23 02:52:02,"RT @OhWonka: When I was kid, my social network was called ""outside""."
370464578334756864,2013-08-22 08:36:53,Wow @andrewintrepid we did work!
370447196648255488,2013-08-22 07:27:48,All done!!!
370123460808163328,2013-08-21 10:01:24,Time is everything RT @MissieLee: I have no idea where time will take me. This is insane. ⏳😳
370122903372566528,2013-08-21 09:59:11,I'm speechless
370122638204481536,2013-08-21 09:58:08,How do you not have any N.E.R.D.  song on your computer?
365808186227310592,2013-08-09 12:14:02,@Scudyyyy hell yea haha
359943100258455553,2013-07-24 07:48:17,Congrats @YvetteD85 and @dwpoker !! Very happy for you guys!!!
358896416657125376,2013-07-21 10:29:08,RT @hotmouth: legends @Warren702 &amp; @davefogg
358895563275632640,2013-07-21 10:25:44,@nstraussxs same to you bud! Thanks for everything see you again soon!
358533074201493505,2013-07-20 10:25:20,Lesson learned @djfabianlv if you don't give her the Michael someone else will..
358521251205087232,2013-07-20 09:38:21,@djfabianlv is murder at insert coins... That's it
355942212305043456,2013-07-13 06:50:11,RT @DMahoneyphoto: Damn @xslasvegas giving @pookie_tunes some love even though he's not here. #bdaylove http://t.co/lRk1SyLRsp
355888063643258881,2013-07-13 03:15:01,Ladies feel free to send nudes for my birthday.. Thanks mgnt
355852493160316930,2013-07-13 00:53:40,@Bobbikoss21 Thanks Bob!!
355825431972286464,2013-07-12 23:06:08,I'm glad to say I share my birthday with one of the best Dj's in Vegas @Warren702 Happy Birtday brotha!
351360744945754114,2013-06-30 15:25:04,My new sounds: Knife Party - Power Glove (Pookie Tunes Marble Floors Mashup) http://t.co/3gHxMKwaN4 on #SoundCloud
350073050705838080,2013-06-27 02:08:13,@DMahoneyphoto @jbordinhao he walked across the wire right into his sons graduation with that outfit.
350072018277896193,2013-06-27 02:04:07,@DMahoneyphoto @jbordinhao Hahahahahaha it had to be.
347028714510491648,2013-06-18 16:31:07,@j1cam damn that's cool! I'm going to read the whole thing
342319160954593280,2013-06-05 16:37:02,@Bobbikoss21 @imdaddyfields I got something good for you guys! .... THUNDER IN PARADISE!!
341643941151662080,2013-06-03 19:53:57,Standing next to a crack head that can't calm down at the bank. Fml
340308786378067968,2013-05-31 03:28:31,Fuck the cops! #fuckhendopolice #metroyousucktoo
339499879036497920,2013-05-28 21:54:13,Being bad feels pretty good
337145738914066432,2013-05-22 09:59:42,@RosssBosss drizzy world lol
327901397922238465,2013-04-26 21:46:00,@Ktortillaz I want everyone too
327901158914015232,2013-04-26 21:45:03,@Ktortillaz fuck you!
327898543719317505,2013-04-26 21:34:39,@delta you fucking suck. You've fucked my whole day you assholes. #fuckdelta #deltasucks #deltaairlinessucks #neverflydelta
323705437474131968,2013-04-15 07:52:45,@Bobbikoss21 it's all gone. #coachellagods got us. Till next year
323548319030865921,2013-04-14 21:28:25,@OC_Jenni wish you were here too and not on this screen #coachella http://t.co/7sk3FZV14n
321445560139804673,2013-04-09 02:12:48,My new sounds: Trap Music for your ears http://t.co/o4j2IfpJmh on #SoundCloud
302175303931944960,2013-02-14 21:59:41,@MissieLee well yea! The emt buss is open for anything when your only 1/2 emt haha
301508968025579520,2013-02-13 01:51:54,@j1cam @MissieLee 🌚🌝
301464807058595840,2013-02-12 22:56:25,@MissieLee @j1cam trust me I'm 1/2 paramedic 1/2 emt buss driver
301100882634891264,2013-02-11 22:50:19,@Bobbikoss21 trying to give me viruses and shit. http://t.co/SX2tU5y1
300052463451521024,2013-02-09 01:24:16,RT @CollectiveZoo: #FF DJ love #2! @DJStellar @Pookie_Tunes @doodle_do @DJFuriousStylez @SPLITBREED @ImDJHollywood @DJMIKEYSWIFT @DJLISA ...
299437859050512384,2013-02-07 08:42:03,@MissieLee Good night! Sweet dreams haha
299437393222721536,2013-02-07 08:40:12,@MissieLee no you'll be good to go! 😁
299436823845957632,2013-02-07 08:37:56,@MissieLee nice! I'm taking it too! You'll sleep great!
296935080419545089,2013-01-31 10:56:54,@Dpangyy @ajw_design it's awesome haha you got all sleepy on the couch lol
294704079509278720,2013-01-25 07:11:42,"Everyone take a min 2 click the link and vote for @MissieLee 2 win #PinUpOfTheMonth ...12 hrs left!
http://t.co/Lrv0jQIw"
294637355372007425,2013-01-25 02:46:34,@Bobbikoss21 I just don't know if I can do that when I'm around you tho!
294628097427386369,2013-01-25 02:09:47,@Bobbikoss21 hahaha and no thanks ill go without the back rub also
294003927094001664,2013-01-23 08:49:33,"Vote for @MissieLee once a day everyday for Pin Up of the Month!
http://t.co/oJhebAY8

No singing up required."
293993202699079681,2013-01-23 08:06:56,"RT @ginoseffed: Hahahaha.!!.
Keep @MissieLee in 1st.!!.
VOTE TWICE.!!. NO SIGN UP REQUIRED.!!.
2 clicks &amp; done
http://t.co/061s0RCQ  ..."
293552522507993088,2013-01-22 02:55:50,@justinbieber can I get a RT for this awesome duck tape? http://t.co/KLVgi0Rq
292454610856202240,2013-01-19 02:13:07,RT @LoganSorensen: #FF @AllFineThings @pookie_tunes @dionemarie @alinareal24 @MiddleEastQueen @dredaymarques
291488239703961600,2013-01-16 10:13:06,"RT @AllFineThings: DJ @pookie_tunes livening up #Bondbar @Cosmopolitan_LV by getting the girls to the dancefloor. Great dude, sick beats ..."
291406138975596546,2013-01-16 04:46:52,Who's coming out to @Cosmopolitan_LV tonight? Ill be playing at Bond tonight from 10-2 come hangout!
291358572326027264,2013-01-16 01:37:51,RT @Cosmopolitan_LV: Catch @Pookie_Tunes tonight at Bond 10p-2a #music #vegas
291168980922679299,2013-01-15 13:04:29,Turning the phone off cause I want to sleep for once.. Goodnight
291158989650132992,2013-01-15 12:24:47,So much bread I got carpal tunnel -E40
286541032051601409,2013-01-02 18:34:40,@DylonLopez shut up
286413102327689219,2013-01-02 10:06:19,If you weren't @Cosmopolitan_LV Bond Bar tonight I'm sorry you missed out!
286289776116654080,2013-01-02 01:56:16,Tonight ill be playing @Cosmopolitan_LV Bond bar come hangout and drink off that New Years hangover!
286288272806797312,2013-01-02 01:50:17,RT @Cosmopolitan_LV: TONIGHT AT – Book &amp; Stage: @aloeblacc | The Chandelier: @JennifereKeith | Bond: @Pookie_Tunes #music #vegas
283780575385513984,2012-12-26 03:45:36,Gotta say this Christmas was pretty good @DMahoneyphoto killed it with my gifts! And @marmoe56 always cooks me the best meals #itwasagoodday
283685127685541888,2012-12-25 21:26:19,It's Christmas morning man! @TommyExtraStout @DMahoneyphoto
283368585781448704,2012-12-25 00:28:30,"RT @JansenXS: @Pookie_Tunes!!  RT @XSlasvegas: ""If I could see any DJ Live for Christmas it would be ____!""
We want to know your answers ..."
282238926582865920,2012-12-21 21:39:38,RT @LoDefBrand: Dont forget! http://t.co/H4J8uVSM type promotion code ITSTHEEND and receive 25% off your entire order! Why? Cause it's t ...
281989209475121155,2012-12-21 05:07:21,@Ktortillaz what you doing?
281883148550291457,2012-12-20 22:05:54,RT @LoDefBrand: http://t.co/H4J8uVSM type promotion code ITSTHEEND and receive 25% off your entire order!! Why? Cause it's the end of th ...
281720057824935936,2012-12-20 11:17:50,@Jordanfosmo #obviously
281719711027318784,2012-12-20 11:16:27,@Jordanfosmo yea for some people. Not us though!
281718687835254784,2012-12-20 11:12:23,@Jordanfosmo hahaha it's just the truth for Some people #nooneyouknow lol
281714088978042880,2012-12-20 10:54:07,@j1cam yea lol
281712964678074368,2012-12-20 10:49:39,You will always think your so cool. But really no one cares #sorry #truthhurts
281195091182379009,2012-12-19 00:31:48,@Jordanfosmo @ktortillaz @benenitus @dylonlopez I'm getting new skis and than I'm down!
281135315379425280,2012-12-18 20:34:17,Lets just be honest you have some really good standing shoes..
281131037973692417,2012-12-18 20:17:17,@DylonLopez @jordanfosmo @benenitus @ktortillaz sounds good!
281129085873299456,2012-12-18 20:09:31,@Ktortillaz @benenitus ok sounds cool
281128700257386496,2012-12-18 20:07:59,@Ktortillaz I just dm you
281128208018075648,2012-12-18 20:06:02,@Ktortillaz you at the moon tower?
281127275699765248,2012-12-18 20:02:20,@Ktortillaz what you doing hit me up
280842697105891328,2012-12-18 01:11:31,@Ktortillaz @benenitus were here
280838677725327360,2012-12-18 00:55:33,@Ktortillaz wanna kick it?
280838014534561793,2012-12-18 00:52:55,@Ktortillaz where you at ? Call me
280807496296325120,2012-12-17 22:51:38,@Ktortillaz hit me up
280661957755932672,2012-12-17 13:13:19,RT @M_TRIFE: @Pookie_Tunes ^^^ Truer words were never spoken. I should have never updated.
280522316788678656,2012-12-17 03:58:26,New #itunes sucks so bad
279513671187714050,2012-12-14 09:10:26,RT @RosssBosss: @Brookieboss @Dpangyy @Jordanfosmo @Ktortillaz @sicknundey @benenitus @Pookie_Tunes
278678968964640771,2012-12-12 01:53:38,RT @EdgarGallardo: #RippinItBro RT @DMahoneyphoto: Tonight @Pookie_Tunes is playing at #bondbar inside @Cosmopolitan_LV come by for a dr ...
278676697950334977,2012-12-12 01:44:37,RT @DMahoneyphoto: Tonight @Pookie_Tunes is playing at #bondbar inside @Cosmopolitan_LV come by for a drink or 10.
278675240094138368,2012-12-12 01:38:49,RT @Cosmopolitan_LV: Catch @Pookie_Tunes tonight at Bond 10p-2a #music #vegas
278495815637553152,2012-12-11 13:45:51,I look like a fuckin creep haha RT @jbordinhao: @Pookie_Tunes with the mean stache in the back RT @Tallywood: WOW!!! http://t.co/qoZ3ZsKj
277617001197887489,2012-12-09 03:33:45,RT @LoDefBrand: http://t.co/jYKs1PsQ
277616757013876738,2012-12-09 03:32:47,RT @LoDefBrand: Lo-Def Presents: Dylan Lopez - Check out @DylonLopez Do his thing #LoDef #monster  http://t.co/VkjEJIG1
277615929041510400,2012-12-09 03:29:29,RT @LoDefBrand: So the Dylan Lopez edit was taken down to do some fixing and editing and is now back up and better than ever http://t.co ...
277615902315380737,2012-12-09 03:29:23,RT @LoDefBrand: Re-edited edit: http://t.co/VkjEJIG1
277607023888187392,2012-12-09 02:54:06,@Tallywood thanks for all the #neffgear your the best!
276801875083407360,2012-12-06 21:34:44,@_khohl great seeing you too!
276643531735576576,2012-12-06 11:05:32,@TonyZanello holds it down! Thank for the set up tonight and all the help. Couldn't do it without you!
276581178318942208,2012-12-06 06:57:46,RT @TonyZanello: @Pookie_Tunes and a orphan child and one arranged marriage!!!
276545434565087232,2012-12-06 04:35:44,@TonyZanello I need 8 bottles of champagne and a cake and a boat lol
276453010949951489,2012-12-05 22:28:28,@Jordanfosmo yea back of @katelynhohl I'm showing him the ropes
275941002693443584,2012-12-04 12:33:56,@YvetteD85 always keeping it real! Thanks girl! 🍻🍼
275929142384529408,2012-12-04 11:46:48,I really hate you but you look so good sometimes http://t.co/y4zqrIOd
275823449950273536,2012-12-04 04:46:49,@DylonLopez nope your not!
274643215813058560,2012-11-30 22:36:59,Anxiety like a mother fucker
274623518124154880,2012-11-30 21:18:43,Save for what
274623465980563456,2012-11-30 21:18:31,Fuck it all already
274399938035724288,2012-11-30 06:30:17,@Bobbikoss21 damn like that girl! You must be really good now. You pick!
274398094282600448,2012-11-30 06:22:58,@Bobbikoss21 we might have to do that again! Haha I was getting pretty good till I started slakin again.
274346143574552576,2012-11-30 02:56:32,@Jordanfosmo work :(
274320736926191617,2012-11-30 01:15:34,RT @Jordanfosmo: Tired of this shit.
274304015452483585,2012-11-30 00:09:08,Anyone have an old skateboard they don't want?
274085103167229952,2012-11-29 09:39:15,"RT @sicknundey: Chubway, eat shit."
274083742727958528,2012-11-29 09:33:51,Turkey
274061012041363457,2012-11-29 08:03:31,@TVisko yup
274058350294085632,2012-11-29 07:52:57,#dpk #allday
273734694296760320,2012-11-28 10:26:51,I hate myself
273734618543443969,2012-11-28 10:26:33,Fml
273734541087223809,2012-11-28 10:26:14,I fuckin suck at remembering shit
273734422900113409,2012-11-28 10:25:46,Fuck me fuck me fuck me
273734278318260224,2012-11-28 10:25:12,Fuck I hate myself so much I forget everything all the time
273686887498121217,2012-11-28 07:16:53,I can totally sub tweet this situation
273661171851198464,2012-11-28 05:34:42,No one understands
273601797447360513,2012-11-28 01:38:46,RT @Cosmopolitan_LV: Catch @Pookie_Tunes tonight at Bond 10p-2a #music #vegas
273600070560145408,2012-11-28 01:31:54,Team mayo #dpk #LoDef
273345228159717376,2012-11-27 08:39:15,@DylonLopez @jordanfosmo hahaha dude that shit was hilarious lol
273344543787741184,2012-11-27 08:36:32,@DylonLopez that's that shit your mom likes! Haha cc: @Jordanfosmo
273343587444465665,2012-11-27 08:32:44,@Jordanfosmo @dylonlopez man I thank big J up top every day!
273176291891613696,2012-11-26 21:27:58,RT @LoDefBrand: Don't forget $5.00 off all shirts when you type in promotion code CYBURR on http://t.co/H4J8uVSM get your shirts now!
273176172882440192,2012-11-26 21:27:29,@katelynhohl hahaha I was too
272926262937391104,2012-11-26 04:54:26,RT @LoDefBrand: Cyburr Monday starts now! Log onto http://t.co/H4J8uVSM and get $5.00 off all shirts when you enter in promotion code CYBURR
271926677116944385,2012-11-23 10:42:26,Nights like this! #whatlifesreallyabout
271879697330225152,2012-11-23 07:35:45,I've always wanted to be a rapper
271878584317124609,2012-11-23 07:31:20,24 land shark and me and @DylonLopez have filming tomorrow! Wake up and smell the turkey!
271454775801958401,2012-11-22 03:27:16,"RT @LoDefBrand: Help our Instagram get to up to 100 followers tonight and follow @Lo_Def 
Thanks peeps!"
271452045612040193,2012-11-22 03:16:25,Spring mountain you still smell like shit
271433318703194112,2012-11-22 02:02:00,@katelynhohl the real life Ms.Frizzle. The turtle is the lizard Aurora is the dog and your job is with kids all we need is a bus for you.
271123504701767680,2012-11-21 05:30:55,RT @LoDefBrand: #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #LoDef #eat #sleep #br ...
270751456548757504,2012-11-20 04:52:32,"Help support @LoDefBrand , follow us!"
269341129047175168,2012-11-16 07:28:23,My friends are cooler than yours! #LoDef
269109606846984192,2012-11-15 16:08:24,Do me a favor and follow my and @richirobot 's company lo_def Thanks guys! http://t.co/QE0yYUWi
268981286125854720,2012-11-15 07:38:30,This looks like something @deadmau5 would own http://t.co/ZeqXWRzL
268969510390878209,2012-11-15 06:51:43,I want to dominate the world like the white pdiddy
268969322922262528,2012-11-15 06:50:58,RT @Ktortillaz: I love the smell of new tattoo
268954320685395968,2012-11-15 05:51:21,RT @Huntermoore: Girls in clothes. That's that shit I don't like
268934588074708993,2012-11-15 04:32:57,RT @RosssBosss: Keep the bullshit off twitter #2013 🇺🇸🇺🇸
268934541144625152,2012-11-15 04:32:45,RT @Ktortillaz: Why you crying?
268589676225519616,2012-11-14 05:42:23,"RT @Cosmopolitan_LV: @MCaxxel_foley Not tonight, but you can check out @Pookie_Tunes at Bond"
268397731918258176,2012-11-13 16:59:40,@RichiRobot why what?
267411569418321920,2012-11-10 23:41:01,RT @RichiRobot: Sitting at the mall watching a hot chick eat a corn dog with @Pookie_Tunes
267410917485068289,2012-11-10 23:38:25,@RosssBosss yes!
267400579972751360,2012-11-10 22:57:20,"Good song! Rt @RosssBosss: Could have been a pimp, could have been a mobster,"
266062188291162112,2012-11-07 06:19:03,Obama is the president incase you missed that during the movie RT @JessePrestonX: Omg wreck it Ralph was soo good!!!! Cutest movie ever!
266058940708712449,2012-11-07 06:06:09,@michalmontana Hi hi! Miss you!
266058608528207872,2012-11-07 06:04:50,There's not even enough beds in the white house to fit your whole family
265798774377553920,2012-11-06 12:52:20,"RT @JansenXS: @JesseCWaits book @Pookie_Tunes as   @NedShepard, me as @SteveAngello,  @GabeWaits as @Avicii, @RyanPerrings  with a Mau5  ..."
265587655532748803,2012-11-05 22:53:26,Who ever decided to put Coldplay lyrics on top of Porter Robinson Language really knows how ruin good things haha
