id,created_at,text
456822648191066113,2014-04-17 15:53:01,RT @zoelindyyy: Honestly dying at the basketball segment on the announcements right now
456530383731838976,2014-04-16 20:31:40,Literally so happy for my sissy!!! She's going to look gorgeous at prom!!!!
456436958084861952,2014-04-16 14:20:25,RT @Partyprobs: Some of the best moments in life are the ones you can't tell anyone about
456436255572492288,2014-04-16 14:17:38,RT @j_mill_10: All these projects got me going crazy.
456433677166075905,2014-04-16 14:07:23,"RT @AmbitiousRaz: If you let fear control your life, 
                      You'll never be happy."
456267848541671425,2014-04-16 03:08:26,He is my one 🙈
456251247176065024,2014-04-16 02:02:28,"RT @beccalyonzzx: #IfWeDate no matter how big of a fight we might get in, I always want to work things out. It's not worth losing anybody o…"
456251208869507072,2014-04-16 02:02:19,RT @averyotoole32: Damn 10 came fast
456203294788952064,2014-04-15 22:51:55,Wish Austin would just give us a table.. #selfish
456189381561573376,2014-04-15 21:56:38,"And we know that in all things God works for the good of those who love him, and who have been called… http://t.co/QkOL1mhOyU"
456169972738191360,2014-04-15 20:39:31,Gotta stop stressing about things I can't control and just let God put things into place..
456150814235426816,2014-04-15 19:23:23,RT @elenabroooke: The iPhone maps app saves my life
456150762343514112,2014-04-15 19:23:11,RT @LifeCheating: A letter from a 16 year-old to the Times: http://t.co/o1jW43aVGp
456089255924617216,2014-04-15 15:18:47,Please 🙏
456019823013552128,2014-04-15 10:42:52,Had a dream that @shelbibellbi came home to visit last night 😔
455913110285467648,2014-04-15 03:38:50,😔😭
455909133858795520,2014-04-15 03:23:02,Yay groupless for prom... Again.
455831401888092161,2014-04-14 22:14:09,RT @hannahlodin: This is about to be the most stressful month of my life
455831287631069184,2014-04-14 22:13:42,Awwww so preshh 😘 http://t.co/BM0H9tSZAd
455803462702202880,2014-04-14 20:23:08,RT @ComedyPics: #finals http://t.co/9Ffnn35b3i
455762293460971520,2014-04-14 17:39:33,Only 410 more days... 😫
455719567285682176,2014-04-14 14:49:46,Prom raises my stress level like x12
455691939606573056,2014-04-14 12:59:59,Just love the constant pounding of the construction during every class. Thanks NHS 👌
455690384396394496,2014-04-14 12:53:48,My hair is so messy 😬😬
455560246623100928,2014-04-14 04:16:41,I set Blood on the Leaves as my alarm for the morning because it makes me laugh 🙈
455536076107427840,2014-04-14 02:40:38,Just trying to help😔
