id,created_at,text
456462919925239808,2014-04-16 16:03:35,RT @trutherbot: http://t.co/4fw2AsKpoU
456462761896067072,2014-04-16 16:02:57,RT @abbeyandcats: Just cuddlin https://t.co/u5DeGm2fpD
456459386714464256,2014-04-16 15:49:33,@madeline_grav ah I luv you!!😚
456455460766244864,2014-04-16 15:33:57,😛 http://t.co/bfyJXtM6CX
456203283515047936,2014-04-15 22:51:53,Day two of all of us passing tf out by 4  o' clock 😭😂😂
455942111360475136,2014-04-15 05:34:05,🙅😂 http://t.co/eizoNjXNO4
455881384062889984,2014-04-15 01:32:46,@oppsaysthis @julia_yount liv come see us tonight!!!!!
455741042587754498,2014-04-14 16:15:06,@oppsaysthis we ate coming 😍😍😍
455740153185570816,2014-04-14 16:11:34,@oppsaysthis YES WHAT STREET💖💖💖💖
455024749518016512,2014-04-12 16:48:48,RT @dann_ielle: 24/7 happy hour 😜
454997404605882368,2014-04-12 15:00:09,Are we there yet
454821691211145216,2014-04-12 03:21:56,"@oppsaysthis yessss, I miss you OPP💖"
454821400210325504,2014-04-12 03:20:46,@oppsaysthis either 34th or 37th street I forgot 😛 ah plz can I see you! What street are u on?
454817666000486400,2014-04-12 03:05:56,T-minus 10 hrs till we leave for dirty myrtle #sprangbrakeeeee 👙😛🍹
454816609576976384,2014-04-12 03:01:44,RT @Austin_Sisbarro: I'm not gonna make it through Spring Break
454257943681048576,2014-04-10 14:01:48,2 MF DAYS😛🌞🍹
453871210648973312,2014-04-09 12:25:03,Smith street diner 😋
453736365696770049,2014-04-09 03:29:14,RT @Cea_toker: @Hannah_Joycee ahh me either! I love working with you tho!! We are definitely hanging out after spring break♥
453733571602432000,2014-04-09 03:18:08,Can't ever concentrate whatsoever if I'm working with @Cea_toker 😂👯💞
453631560588070912,2014-04-08 20:32:46,@Cea_toker yay!😋
453624231256145920,2014-04-08 20:03:39,@Cea_toker 6!
453619954168766464,2014-04-08 19:46:39,But I don't wanna work tonight :-(((
453532917138878464,2014-04-08 14:00:48,Last night I had a dream I was @hawaiinshirts girlfriend 😍😛💖
453354112126820352,2014-04-08 02:10:17,Sunburned and itchy because maybe the tanning bed wasn't my most thought out choice:-))))
453353525113004032,2014-04-08 02:07:57,RT @_smarghetto: Really upsets me when people say I can't have a relationship with God because of choices I make socially
453339936708890624,2014-04-08 01:13:58,"RT @colecane: #SB2K14 Official Themes:
Monday: America 🇺🇸🎉
Tuesday: Hawaiian 🍹🌴
Wednesday: Classy 🎩🍷
Thursday: Rave 🌌🌋🔊
Don't half ass it. …"
453171477240496129,2014-04-07 14:04:34,Countdown 2 dirty myrtle: 5 days 😛😛😛
453015092809203712,2014-04-07 03:43:09,RT @TheWorldOfFunny: When you can't find your phone https://t.co/CRTPzZ48gw
453013752926187520,2014-04-07 03:37:49,All I want is my bed right now and B
453005156783636480,2014-04-07 03:03:40,I'm 17 years old why the hell am I still at work at 11pm.....
452111367185526784,2014-04-04 15:52:04,Ah just bought my tickets for @TheFrontBottoms at @CatsCradleNC this summer😍😍😍 #round3
451585436981293056,2014-04-03 05:02:12,What a night-
451359026526580736,2014-04-02 14:02:32,"Oh looky there, I'm losing my best friend and can't do anything about it"
451339013853442048,2014-04-02 12:43:01,@sarahhnewell FML MY CAR IS TOO MF BIG
451338881523134464,2014-04-02 12:42:29,RT @sarahhnewell: Dang @Hannah_Joycee really knows how to park that car!!!!
450815177823649792,2014-04-01 02:01:28,*goes to tanning bed once* why don't I look like a Brazilian yet ugh
450374081859563522,2014-03-30 20:48:43,Everyone is getting asked to prom in cute ways and I'm just sitting here like ayyyyyeeeee lmaooooooo :'-)))))
450334392452648960,2014-03-30 18:11:00,Social media makes me depressed
450313194704486400,2014-03-30 16:46:46,RT @jazhasfreckles: wow f all of y'all that are getting asked to prom in cute ways :(
450299895153704960,2014-03-30 15:53:55,I still can't process this news in my head
450137995711369216,2014-03-30 05:10:36,My mom passed out on Natalie's kitchen floor tonight..... What a night
450122097160110080,2014-03-30 04:07:25,Mucho man Michael http://t.co/gAm8SDVXYs
449925794211835906,2014-03-29 15:07:23,I can't talk because then I'll cry and crying is not on the agenda today
449906725697888256,2014-03-29 13:51:36,RT @morgan_helmss: Boys are stupid &amp; girls are psycho
449765149919162368,2014-03-29 04:29:02,Hannel mcflannel ft. Friends http://t.co/H7I1PvPXS9
