id,created_at,text
406356288126214144,2013-11-29 09:37:43,Twitter be poppin huh aayyeeee
362191874120888321,2013-07-30 12:44:06,I already dont be rememberin the password to this shit as is &amp; naw i gotta make a new one 😒 childish ass ppl
362185811803897857,2013-07-30 12:20:01,Niggas know damnwell iont get on no fuckin twitter
362185412762025984,2013-07-30 12:18:26,"Man either somebody know my password and shit or i let the wrong person see my phone, but ignore out anything after the date 6/4/13 !"
362080080270344192,2013-07-30 05:19:52,Who tryna fuck tonight
362078675455320064,2013-07-30 05:14:17,I'm tryna use a rubber tonight!
342012153580093440,2013-06-04 20:17:06,Lmao .. So thats what my password was ! Guess im on twitter again haha
320425553981235200,2013-04-06 06:39:39,#GutBuster !
312503493518831617,2013-03-15 10:00:13,@ShaylonCastillo #Following
299678395766296576,2013-02-08 00:37:51,@GEEKEDUP_GILL @marco_capri lol twitter wanna knock a real nigga hustle
299676968448839680,2013-02-08 00:32:11,@GEEKEDUP_GILL @marco_capri
296958746800828417,2013-01-31 12:30:57,Devil want my soul .
295582463302967296,2013-01-27 17:22:05,Yay . 😐
295582390284349441,2013-01-27 17:21:48,Back to the way today ...
293907428943216641,2013-01-23 02:26:06,Now !
293907398840709120,2013-01-23 02:25:59,And am continuing ......
293907349498900481,2013-01-23 02:25:47,I been Jammin the same song all day
293907219500658688,2013-01-23 02:25:16,Who wanna Wake and Bake witta Boss nigga ?
293842381546065920,2013-01-22 22:07:38,Since Ms. Campbell wanna give a nigga a Lit. Test in the mornin ... http://t.co/MFklrrXj
293510514431102976,2013-01-22 00:08:54,Nobody to txt me and shit
293448539533627392,2013-01-21 20:02:38,Upper Echelon .
293447736496369664,2013-01-21 19:59:27,Top .
293447702472183808,2013-01-21 19:59:18,Future .
293447671899885568,2013-01-21 19:59:11,And blow
293447578429837312,2013-01-21 19:58:49,Boutta jam and shit
293447524780474368,2013-01-21 19:58:36,Makes me sad :(
293446411054379008,2013-01-21 19:54:11,She dont smoke lol
293446337997967360,2013-01-21 19:53:53,@I_stealwifi http://t.co/NWbv8oDJ
293444939776393217,2013-01-21 19:48:20,@I_stealwifi http://t.co/9361N7tJ
293443756412243969,2013-01-21 19:43:38,@I_stealwifi http://t.co/U5yyYngM
293441855553675264,2013-01-21 19:36:05,@I_stealwifi http://t.co/JdTLb1dD
293441143088226306,2013-01-21 19:33:15,@I_stealwifi No . http://t.co/xfZ520g3
293436504741666817,2013-01-21 19:14:49,The Munchies &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
293436387015929857,2013-01-21 19:14:21,I want sommoe pie and shit ...
293436303310192641,2013-01-21 19:14:01,Been waitin for ....
293436113580863488,2013-01-21 19:13:15,Prolly boutta skate ... Dont want to but ...
293435879995887620,2013-01-21 19:12:20,Lmao
293435641516154880,2013-01-21 19:11:23,😮🐓
293435488327577600,2013-01-21 19:10:46,Suave
293433117811806209,2013-01-21 19:01:21,Guess im takin this one to the head
