id,created_at,text
456557215835369473,2014-04-16 22:18:17,RT @emoniiiee: Tbh I just wanna chill with my baby n cuddle up n have a movie night &amp; eat junk food @imjustsayingbro
455196592564224000,2014-04-13 04:11:39,all i wanna do is sleeep
455196448678637568,2014-04-13 04:11:05,just got off work. #exhausted
454772436219613184,2014-04-12 00:06:12,with my babe.
454731704180023296,2014-04-11 21:24:21,porn star x august alsina
454725525265588224,2014-04-11 20:59:48,listening to the testimony album
454724860997300225,2014-04-11 20:57:09,heading to Columbus
454671168432517120,2014-04-11 17:23:48,swagg
454350156893540352,2014-04-10 20:08:13,Sa
454334455180980224,2014-04-10 19:05:49,RT @mochahon: acting hard on twitter but texin me on that drake shit 😩😂
454329607953473536,2014-04-10 18:46:34,that was random.
454278507661500417,2014-04-10 15:23:30,on my way x drake
454266936818683904,2014-04-10 14:37:32,RT @CuteEmergency: Me right now. http://t.co/pLfEOe7d7U
454266255118462978,2014-04-10 14:34:49,tired of drawing bruh !
453986543695560704,2014-04-09 20:03:21,chillin... #humpday #like #justaphoto http://t.co/VjvKtisS1t
453949251404722177,2014-04-09 17:35:10,my #WCW is my beautiful lady of course.  &lt;3 &lt;3 &lt;3 :* #love #like #follow @emoniiiee http://t.co/PZiNnAmVYr
453772486061330432,2014-04-09 05:52:46,finna skype and do this work #procrastination
453719130546262017,2014-04-09 02:20:45,we got tht bish moving. #yeet
453574690100219904,2014-04-08 16:46:47,this class takes forever to end
453564617684709376,2014-04-08 16:06:46,in class sleepy
453557952398766080,2014-04-08 15:40:17," talked about love and what life could really be for me but when that shit is real, you just know."
453557412898041857,2014-04-08 15:38:08,"RT @OfficiallyRSM: Before you said you're mine, I was yours already."
453555437787701248,2014-04-08 15:30:17,days in the east by drake is decent. not his best to me tho
453054019087650816,2014-04-07 06:17:50,karaoke x drake
452946532673658880,2014-04-06 23:10:43,heading to school
452934733526077441,2014-04-06 22:23:50,just got off
452715917055909888,2014-04-06 07:54:20,night.
452661626584313856,2014-04-06 04:18:36,took me forever to tweet. just been looking at my phone dumbfounded . #tired
452659656934957056,2014-04-06 04:10:46,who still be doing signatures in there msg tho ?
452658455652737024,2014-04-06 04:06:00,i swear ppl hmu at the wrong times.
452658344927719424,2014-04-06 04:05:34,just got off work.
452644123087216640,2014-04-06 03:09:03,still at work.
452495792989687808,2014-04-05 17:19:38,phone was temporarily off. hmu tho
452301447741194240,2014-04-05 04:27:23,"RT @emoniiiee: Well I enjoy my day with my baby,.  I had a amazing time with my baby.   @imjustsayingbro"
451918678150610944,2014-04-04 03:06:23,im so bored
451750890274189313,2014-04-03 15:59:40,overslept damn
451223973334761473,2014-04-02 05:05:53,"RT @ThatKidFlame: School Year Almost Over 😎🙌🙌

😁___👊
   \___👊
    \
   \   \
   /   /
 👟👟     #YEET !!!"""
451180520760967168,2014-04-02 02:13:13,Today came out to be str8
450887817552744448,2014-04-01 06:50:07,If all men no good to some woman then the question is are u even a good woman ?
449605708452220928,2014-03-28 17:55:28,Chilling... http://t.co/IHgjRUtX1t
448934666314452992,2014-03-26 21:28:59,Go follow the vibe tribe on vine and  instagram. @the_vibe_tribe  #like #follow #dance #dubstep #rap… http://t.co/Yle0xORMqf
448841508972953600,2014-03-26 15:18:49,My #WCW she so adorable. #love #like @emoniiiee http://t.co/SW7uE7etG1
448164184589864962,2014-03-24 18:27:22,Age is nothing but a reminder and it doesn't tell you how old or young minded someone is -big sean… http://t.co/pgC3UFeroo
447889443530100736,2014-03-24 00:15:39,Brand new x drake
447453077302288384,2014-03-22 19:21:41,@emoniiiee yep
447451932307640320,2014-03-22 19:17:08,@emoniiiee idk babe
447448879185670146,2014-03-22 19:05:00,I think o need to b wit my gf now. Gma didnt mention others coming hmm
447223295826350080,2014-03-22 04:08:37,"RT @emoniiiee: What my whole day Consist of me &amp; my baby @imjustsayingbro ,. I really had amazing time with my love..… http://t.co/ClFr1r6n…"
447164922405728256,2014-03-22 00:16:40,Miss being at my house
447065238760718338,2014-03-21 17:40:33,Time for a haircut
447063640353431552,2014-03-21 17:34:12,Follow us @THE_VIBE_TRIBE  support us ! #follow
446677372683948032,2014-03-20 15:59:19,Found my shirt that my babe got me. Today gonna b a good day #like #follow http://t.co/ir6msCbBCq
446492081876246528,2014-03-20 03:43:02,To all my followers. Go look at ou  videos and  follow us the #vibe #tribe #like #follow… http://t.co/PTNPZKNFiW
445361194476789760,2014-03-17 00:49:17,Had time with my babe. Omw to scooba http://t.co/przTOjqaab
445334886556389376,2014-03-16 23:04:45,Why Mackenzie so attach tho mmm #like #babycousin @emoniiiee http://t.co/ZhtOSe0atj
445309016961339392,2014-03-16 21:21:57,RT @CountOnRodney: https://t.co/gOS6hycE6V“@IX_X_XI: So who got that Vine?”
445001759963242496,2014-03-16 01:01:01,RT @emoniiiee: Missing my baby @imjustsayingbro
444656166048907264,2014-03-15 02:07:45,Out chilling with my babe @emoniiiee
444338124156456960,2014-03-14 05:03:58,@emoniiiee I love u too babe
444337989783527424,2014-03-14 05:03:26,"RT @emoniiiee: I'm in love with my soul mate,  @ImJustSayingBro n tonight makes 7months we been together happy anniversary love 😘😘😍😍😝💑💏 I l…"
443799142482313217,2014-03-12 17:22:15,My #wcw she one of a kind. Go follow @emoniiiee #like http://t.co/ahqIIPGMr2
443739472534843392,2014-03-12 13:25:09,RT @emoniiiee: Wanna be cuddle up with my baby right now @ImJustSayingBro
443541513486610432,2014-03-12 00:18:32,Hacking my baby page mwuahh I love you hehe /.\  @emoniiiee
443528296194916352,2014-03-11 23:26:00,Chilling with my baby #like #priceless #follow @emoniiiee http://t.co/XVoVSMsnZy
443499232423854080,2014-03-11 21:30:31,Out with my babe
443199096695046144,2014-03-11 01:37:53,Im by some ratchet ppl bruh
442885796228386817,2014-03-10 04:52:56,@AdoreMyEssence_ Yupp
442884885229756416,2014-03-10 04:49:19,@AdoreMyEssence_ already did she might too
