id,created_at,text
402665332231249920,2013-11-19 05:11:11,RT @_MixedMami: When I randomly fall asleep &lt; I wake up and be lost as hell lol
402650320943448064,2013-11-19 04:11:32,"11:11, wishing for better days!"
402649776317284352,2013-11-19 04:09:22,"RT @xBlueEyedShawty: Outta town visits , all the time we spent together makes it hard to get you outta my system! You don't know what you t…"
402649690019495936,2013-11-19 04:09:01,RT @OBEYQuaa_: Awwww! 😍💍💎 http://t.co/Na43a1wxp0
402649148698419200,2013-11-19 04:06:52,RT @SincerelyMaree: No matter how carefully you choose your words... they'll always end up being twisted by others.
402621886422872064,2013-11-19 02:18:32,"RT @DiscoveryImages: Telluride, Colorado http://t.co/9waH0unUDV"
402613964246614016,2013-11-19 01:47:03,"RT @TooDamnFuny: I don't trust nobody.😔👌

These bitches fake. 👉💃

These niggas faker. 👉🚶

So it's not ""fuck y'all"" , I'd rather just not fu…"
402613742267277312,2013-11-19 01:46:11,RT @OG_Keem_: I only trust a handful of people.
402612810234216448,2013-11-19 01:42:28,"Lol, I knew that #st was for me, but I wasn't stun you! Knew it wouldn't be long, salty ah lol."
402612452170670080,2013-11-19 01:41:03,RT @Mikedopee: Never stress over anyone who isn't stressin' over you 👌 ..fuck em
402612431589232640,2013-11-19 01:40:58,"RT @_kaysaprocky: no matter how hard I try , I can't walk away 😒😔✋🚶"
402611680372604928,2013-11-19 01:37:59,"RT @OG_Keem_: I don't fuck with fake, fufu ass people ✋🙅"
402611180537401344,2013-11-19 01:36:00,"RT @carter_kenisha: When A Girl Is Silent She's Either Over-Thinking, Tired Of Waiting , Falling Apart,Crying Inside Or All Above."
402561602966523904,2013-11-18 22:19:00,RT @Kay__Cocaine: The best naps be the ones right after you get home from school 😍😴💤
402561362905554944,2013-11-18 22:18:02,RT @TyreCross: I learned females will except the truth way better.than a lie.. wtbs ya boi don't lie no more I just keep it 100
402559463900868608,2013-11-18 22:10:30,RT @RelatableQuote: every girl has felt like this at least once http://t.co/noKPlXxymU
