id,created_at,text
456652040395972609,2014-04-17 04:35:05,RT @WashWizards: Full first round schedule for #WizBulls: http://t.co/W9k1T7hfVV #dcRising
456651186976731136,2014-04-17 04:31:41,RT @John_Wall: Playoff time !! I've waited my whole life for this ! Real season starts now...#wizkids #believe !!
456651110971744256,2014-04-17 04:31:23,"RT @WashWizards: #WizBulls Sched: Game 1: 4/20 7pm, Game 2: 4/22 9:30pm, Game 3: 4/25. 8pm, Game 4, 4/27, 1pm, GM 5*: 4/29, GM 6*: 5/1, GM …"
453230717510881281,2014-04-07 17:59:58,RT @CSNwashington: Nene returns from knee injury to practice. Could play against Charlotte. http://t.co/jZBsL4YWFq #Wizardstalk http://t.co…
453230496794034177,2014-04-07 17:59:05,RT @RGIII: Great First Day with the guys. We are working for each other. And working for you fans!!!!
453193520812408832,2014-04-07 15:32:09,@lunastar3 @thatguybigE @that_kidfrankie road trip to Dulles it is then lol
453018955079487489,2014-04-07 03:58:30,Which one is the real @RGIII IG account?? http://t.co/ivInoiWyCU
452971397967781888,2014-04-07 00:49:31,GAME OF THRONES
452956741224120320,2014-04-06 23:51:17,You haven't seen great acting till you watch some Game Of Thrones
452931291164704768,2014-04-06 22:10:09,RT @TheFunnyVines: No chill https://t.co/lSyiuo2lTm
452497771158044672,2014-04-05 17:27:30,Ronaldo and Messi unite to take over MSI ⚽️ http://t.co/awGFXN2sFT
452265330413674497,2014-04-05 02:03:52,WIZARDSS!!!!!!!!
451932883994046464,2014-04-04 04:02:50,@DeAngeloHall23 bottom left fresh and simple
451863830914949121,2014-04-03 23:28:27,"RT @Redskins: UNIFORM UPDATE: @DeseanJackson10, @AndreRoberts assigned numbers; @KirkCousins8 changes number: http://t.co/WvsJbFfZWz #HTTR"
451862908772036608,2014-04-03 23:24:47,"RT @SportsCenter: DeSean Jackson will wear No. 11 with the Redskins. His old No. 10, of course, is taken by @RGIII. http://t.co/fOQPs2pgSj"
451504709032214528,2014-04-02 23:41:25,RT @RGIII: Ok....Y'all play too much 😂😂😂 http://t.co/jeYhTD99c7
451495003706380289,2014-04-02 23:02:51,@MontyDavid301 wtf lol😂
451358999196479488,2014-04-02 14:02:25,RT @doitlikeTONYY: Eagles fans how y’all feeling today?
451340279195635712,2014-04-02 12:48:02,@JasonRomano @LFletcher59 @AdamSchefter http://t.co/Sz2moxhlMM
451334462769750016,2014-04-02 12:24:55,RT @phillipgraham79: RT AND FOLLOW @phillipgraham79 if u think @DeseanJackson10 looks good in this BNG #httr http://t.co/30JSLhUhtA
451215573557735424,2014-04-02 04:32:30,NFC East Champs once again
451214443037597696,2014-04-02 04:28:01,RT @RGIII: @DeAngeloHall23 As long as it says Redskins we all gonna eat bro
451212583367106560,2014-04-02 04:20:37,RT @DeAngeloHall23: Man I love my team. Unsung hero of the day GM #BruceAllen
451211599412736002,2014-04-02 04:16:43,AHHHHHHHHHHHHHHHHH😆😆😆 #HTTR
451211358525464576,2014-04-02 04:15:45,RT @DeseanJackson10: ITS GOIN DOWN !! BURGUNDY &amp; GOLD http://t.co/tPN4g6AbeS
451211324497080320,2014-04-02 04:15:37,RT @DeAngeloHall23: @RGIII Now the world wants to know what # will he wear in DC lil bro lol. But really who cares as long as he has our je…
451211111292211202,2014-04-02 04:14:46,RT @AdamSchefter: Now looks like a three-year agreement between the Washington Redskins and WR DeSean Jackson.
451211082301198336,2014-04-02 04:14:39,RT @thatguybigE: DESEAN JACKSON SIGNED!!!!
451211064282460160,2014-04-02 04:14:35,RT @SportsCenter: BREAKING: Redskins and WR DeSean Jackson expected to reach multi-year agreement Tuesday night. (via @AdamSchefter) http:/…
451200656683307008,2014-04-02 03:33:14,RT @NBCdianna: DeSean Jackson had a flight this evening he didn't get on. He has stayed in DC tonight per sources. #Redskins
451189014553706496,2014-04-02 02:46:58,"RT @KDTrey5: @DeseanJackson10 come on home bro! You belong here! #HTTR!!!
#redskins #RGIII to #Jaccpot! #Shwagggggg"
451132002566430720,2014-04-01 23:00:25,@1000rrEd beer is like water to me so yeah get ready 🍻
451123743432404992,2014-04-01 22:27:36,@1000rrEd I was just about to text you
451029768625225728,2014-04-01 16:14:11,A Queen pranking her King 😑 marwahahahaha http://t.co/Fpx5xLzYWC
451011646459498496,2014-04-01 15:02:10,RT @RapSheet: DeAngelo Hall invited DeSean Jackson out with #Skins teammates (&amp; @Wale) last night. Lot of positivity. But sides haven’t tal…
450856118508855296,2014-04-01 04:44:09,"RT @DMVFollowers: Is it official? Picture with Desean Jackson, Wale, Pierre Garçon and Deangelo Hall. http://t.co/PZAQN9SOiW"
450836559835955200,2014-04-01 03:26:26,Better not be a sick April fools joke
450835671847284736,2014-04-01 03:22:54,"RT @BlkSportsOnline: BSO: DeSean Jackson to Redskins Allegedly a ""Done Deal"" http://t.co/zKWapb27vd"
450834713507532800,2014-04-01 03:19:06,RT @Realrclark25: Pulling the jersey out for one more spin in search of the Lombardi!!! Not time to frame it yet! HTTR! http://t.co/Tlmp3hI…
450775977585831936,2014-03-31 23:25:42,"RT @RealSkipBayless: Congratulations to Ryan Clark, going back to the Redskins. His presence will be as valuable as his performance."
450775395139612673,2014-03-31 23:23:23,RT @RGIII: Congrats and welcome @Realrclark25 #HTTR
450775197814390784,2014-03-31 23:22:36,"RT @Realrclark25: Judging by my text messages, mentions &amp; look on my brother's face when he turned his phone on some breaking news happen d…"
450774959779233792,2014-03-31 23:21:40,RT @CSNwashington: DeSean Jackson arrived at airport Monday before meeting with Redskins. @CHICKatCSN caught up with him there: http://t.co…
450755077486432256,2014-03-31 22:02:39,RT @CHICKatCSN: DeSean Jackson has arrived at Dulles airport. Next stop dinner with the Redskins brass.
450754667040223233,2014-03-31 22:01:01,RT @NBCdianna: He said he expected all these cameras to be here. #Redskins http://t.co/mE6NyHnf5s
450701670910291968,2014-03-31 18:30:26,RT @Jeffgotjuice: If Desean Jack really signs this contract ima pass the fuck out
450691149259612161,2014-03-31 17:48:38,RT @DeAngeloHall23: Game changing decision about to be made. I love my City!!!!! #757 #DMV #HTTR4Life
450690619451904000,2014-03-31 17:46:31,RT @NBCdianna: DeSean Jackson is on a direct flight right now to DC. #Redskins
450690514070011904,2014-03-31 17:46:06,RT @RapSheet: To DC RT @DeseanJackson10: Life Brought me This Far !! Now Create the New Path !! Desire !! Faith !! Motivation !!  http://t.…
450451407255379968,2014-03-31 01:55:59,Knew they were a fucking cult
450442953618907136,2014-03-31 01:22:23,RT @TheJakeSherman: I am a firm believer in having a good heart.
450054694652895232,2014-03-29 23:39:35,RT @doitlikeTONYY: Have a feeling Snyder isn’t letting Jackson walk
450048071423246336,2014-03-29 23:13:16,RT @doitlikeTONYY: Imagine desean catching the deep ball from RG
450047686918799360,2014-03-29 23:11:44,RT @RapSheet: DeSean Jackson will begin taking visits on Monday. And source says the #Redskins get that first visit.
450047395012026368,2014-03-29 23:10:35,PLEASE @Redskins (Dan Snyder) sign that man Desean Jackson
450045528639037441,2014-03-29 23:03:10,"RT @CSNwashington: #Redskins will bring in DeSean Jackson for a visit, @Rich_TandlerCSN has more: http://t.co/nxO2BWWHWc #RedskinsTalk http…"
450040568773881856,2014-03-29 22:43:27,RT @NBCdianna: Redskins sources: DeSean Jackson is expected to visit with Washington this Monday
450005337081655296,2014-03-29 20:23:27,RT @NBCdianna: Per Redskins sources Washington wants to fly in DeSean Jackson for a meeting. Nothing has been scheduled as of yet. #Redskins
449717898194714624,2014-03-29 01:21:16,WIZ KIDS
449035386858524672,2014-03-27 04:09:13,"RT @TheMindBlowing: Boy, 8, wrote a letter asking Santa to stop the bullying of his overweight sister at school: http://t.co/BnRuNq5qXc"
448125418940674048,2014-03-24 15:53:20,RT @FoodgasmPics: Pizza fries. http://t.co/xRmBeF15jL
447856145752133632,2014-03-23 22:03:20,RT @FootballVines: Real Madrid fans right now https://t.co/dn5FI1Bkcn
447854841348780032,2014-03-23 21:58:09,"@GmoDaHBK y'all lost el clasico at home, la liga ain't over"
447854558572986369,2014-03-23 21:57:02,@GmoDaHBK but y'all lost though
447854213222387712,2014-03-23 21:55:39,@GmoDaHBK y'all lost though
