id,created_at,text
456765113765097472,2014-04-17 12:04:24,"The meaning of earthly existence lies, not as we have grown used 2 thinking, in prospering, but in the develpmnt of the soul. A Solzhenitsyn"
456206086127620097,2014-04-15 23:03:01,"“Everyone talks about the weather, but no one does anything about it.” – Mark Twain"
456091569091661824,2014-04-15 15:27:58,@ROMtoronto @CanadianMint @canadapostcorp gorgeous!!
455544994611220480,2014-04-14 03:16:04,"@Ryan_Mans @MisterJohnDoyle Corporations will only be able to ""define and dictate""  in the abscence of stronger forces of influence."
454475660128309248,2014-04-11 04:26:55,@breynolds yarp
454475520064122880,2014-04-11 04:26:22,@PEVENDEN Thanks Phil
454448343385513984,2014-04-11 02:38:22,2B or not 2B? http://t.co/ANGXwh0M6C
453898062490918912,2014-04-09 14:11:45,"These photos of earth are awe-inspiring, the comments... much less so. http://t.co/7mXzR1yFQJ"
453235861291692032,2014-04-07 18:20:24,"""The people who talk the most don't always have the most to say"" - unknown"
450947231638900737,2014-04-01 10:46:12,"“Never argue with a fool, onlookers may not be able to tell the difference.” ― Mark Twain. #AprilFoolsDay"
449996897210474496,2014-03-29 19:49:55,"I've been on hold for 40 mins listening to a recording about the ""great customer service"" I'll be able to expect. #doh"
449730310591107072,2014-03-29 02:10:36,Not sure I should be drinking this http://t.co/OKiF9yf8Sm
449660238959243264,2014-03-28 21:32:09,"RT @CompassCre8tive: We had such a great time today, thank you to everyone at @LOassocMag for the wonderful tour! cc. @green_for_life http:…"
448922864796725248,2014-03-26 20:42:06,@DaveRamsey but…. answer him lest he be wise in his own eyes (26:5) #ask4wisdom
447192284744806400,2014-03-22 02:05:23,“@PostFarm: Most important engraving on your tombstone is the hyphen btwn dates of birth &amp; death. What is the story of your hyphen?”
447042306344902656,2014-03-21 16:09:26,RT @jnfrarnott: Going to #canadablooms2014  A few things you don't want to miss! http://t.co/MOqkdkc614
446463616146214913,2014-03-20 01:49:55,"""We’re not machines, but we’ve chosen to operate like them. Adapt instead to the natural rhythms of your life"" http://t.co/A8h6DZu5lM"
446288251595137024,2014-03-19 14:13:05,"""You can't microwave maturity""  - Peter Kuehni"
443384112192036866,2014-03-11 13:53:04,"self-sufficiency, highly prized in our culture, has a dark side: it leaves little empathy to spare for those who can't survive on their own."
443375665291620352,2014-03-11 13:19:30,Dr. @DanSiedell: 5 Things #Art is Not. Read more at @TheKingsCollege: http://t.co/4wDAd5vc79. #modernart #tkcnyc
443183664143142913,2014-03-11 00:36:34,RT @Cmdr_Hadfield: 3 men are falling to Earth tonight - watching their undock/deorbit http://t.co/oeSwA227jC. They'll land into the cold Ka…
443182475825532928,2014-03-11 00:31:50,Some precious cargo aboard Iceland Air flight 1602 tonight. Bon Voyage OMF students!!
443132747943378944,2014-03-10 21:14:14,RT @ComeAliveOutsid: #ComeAliveOutside kite over LANDSCAPE ONTARIO’S garden built at #CanadaBlooms. Thanks @design4_life &amp; @green_for_life …
443042553663729664,2014-03-10 15:15:50,@StanTenhage it certainly will. Thanks again!
443006825277829121,2014-03-10 12:53:52,Shout out to @StanTenhage ! Thanks for lending your phone to us for the next few weeks. Very generous of you!
442855003976245248,2014-03-10 02:50:35,"Just finished Richard Schmid's extensive book on painting ""Alla Prima II"". Easy to read. Unpretentious &amp; warm. Jam packed w/ technical info."
442142718563610624,2014-03-08 03:40:13,"""Never dismiss details as not having anything to do with success, because they do, just make sure the big picture is always in view."" RS"
441074619886235650,2014-03-05 04:55:58,@MisterJohnDoyle @Ryan_Mans Corps are a huge part of culture. They can't  help but shape it in some way. Patronize wisely.
439823459367923713,2014-03-01 18:04:18,“@Cmdr_Hadfield: http://t.co/9QHWo0sO4Z” // I need a pair of these!!
439530040250728448,2014-02-28 22:38:22,@Ryan_Mans  one of the past owners gave it to my daughter to use in her history fair project.
439529181546680320,2014-02-28 22:34:57,@GDBartels haha. Not bad eh?
439493537357639680,2014-02-28 20:13:19,@reinink We weren't sure. But now all has been revealed.
439410702227214338,2014-02-28 14:44:09,@Make_It_Right @CompassCre8tive @MikeWardTO @theglencoyle I need one of these!!!
439133091202748416,2014-02-27 20:21:02,Love this quote by Einstein and this comic by @zenpencils #onebodymanyparts http://t.co/l1w3SVZJpN
438795052492390400,2014-02-26 21:57:47,RT @CompassCre8tive: No guarantees but we may have just solved all the worlds problems today. #strategy #creative #ideas http://t.co/TxjxNd…
438701625440342016,2014-02-26 15:46:32,"""I knew a man who grabbed a cat by the tail and learned forty percent more about cats than the man who didn't."" ~ Mark Twain"
438555795693654017,2014-02-26 06:07:04,"Farmers;
Feed. Your bottom line http://t.co/oQ1gkmvDWp #ag"
438554285781966849,2014-02-26 06:01:04,Anyone still handwrite the odd card these days? Here are some my daughter is selling to raise funds for school trip - http://t.co/thmxzEmoK7
438469086247260160,2014-02-26 00:22:31,RT @CompassCre8tive: @CedarSpringsCSL Our pleasure!! Thanks for the opportunity and for your trust in us.  @JayBouwman @green_for_life @LOe…
438469049886859264,2014-02-26 00:22:22,RT @CedarSpringsCSL: Thanks @CompassCre8tive @JayBouwman for your partnership over the last 25 years! @green_for_life @LOassocMag @LOevents
437399674564005888,2014-02-23 01:33:03,Beauty day of skiing at Kissing Bridge today. Great deal for Canadian families #comealiveoutside
437326616340221954,2014-02-22 20:42:45,RT @chriswignall: Impressive effort from players as @ReachForth hockey playoffs are underway
436691409845100544,2014-02-21 02:38:40,RT @CanadianMint: Way to go #TeamCanada! Two GOLD medals on Day 13 of the Games.
434809264582844417,2014-02-15 21:59:41,@Cmdr_Hadfield Glen Eden?  :)
434688285667885056,2014-02-15 13:58:58,Don't ever think you're not qualified to teach. You're the expert on what God has done in ur life. He wants you to share that with others.
433678077558677504,2014-02-12 19:04:45,"@JayBouwman: Don't forget that it's the first follower who turns a lone ""nut"" into a leader. Choose who you will follow wisely."
431578057682341888,2014-02-07 00:00:01,Checking out Rino's Place in East Boston tonight #guyatehere
431197996022525952,2014-02-05 22:49:48,"Amazing flavors, textures and presentation at Lee Restaurant. Singapore Slaw was outstanding. #InteracFoodCritic #winterlicious"
429811085584392192,2014-02-02 02:58:42,Congrats to Chris Neil on second star in the battle for Ontario! @uptownhockey
429808428081750017,2014-02-02 02:48:09,Had a great afternoon and evening in TO thanks to everyone at @CompassCre8tive  Thanks again guys!!
429733726525067264,2014-02-01 21:51:19,Feelin miserable today. http://t.co/3AnFQRy9qu
429337508254474244,2014-01-31 19:36:53,@Cmdr_Hadfield My daughter chose you as topic for her speech (at public speaking contest today). She did great! Thanks for inspiring her.
428352292174065664,2014-01-29 02:21:59,"These guys are treating my wife and I to dinner &amp; show. Miserable? I THINK NOT!
http://t.co/4rracHpka3"
426192457747808256,2014-01-23 03:19:34,@reinink you're killing me here.
426182206151602176,2014-01-23 02:38:50,Fantastic interview with @Cmdr_Hadfield here: https://t.co/m5EfMR6g9G
425442706957950976,2014-01-21 01:40:20,"If you're ""believing it"" you should also ""be living it"". @AnnVoskamp"
425397197601918977,2014-01-20 22:39:30,"""The worst time to have a heart attack is during a game of charades"" #dunnowhosaidit"
424698255666991105,2014-01-19 00:22:09,@Cmdr_Hadfield Nice job on the anthem!
424697516391546880,2014-01-19 00:19:13,"RT @Cmdr_Hadfield: Good morning! After 26 years in Russia, the US &amp; off the planet, we awoke today in our own house back in Canada. Snowy, …"
424024976518156288,2014-01-17 03:46:47,"RT @ahc: Splendid three days in Hamilton, Ontario. Conversations were full of intelligence, heart, compassion. Googling ""dual citizenship."""
423654796760207360,2014-01-16 03:15:49,Another great talk by @ahc tonight! But I can't stop wondering what he was going to say about Steve Jobs.
423302947922247680,2014-01-15 03:57:42,"Huge appreciation for @ahc 's talk tonight on ""Culture Making. Recovering our creative calling"" Beautiful thoughts. Artfully presented."
422757905482272769,2014-01-13 15:51:53,"In leadership, as in driving, alignment will keep you from veering toward the ditches:
http://t.co/psRPKcPWmy"
421479172234805248,2014-01-10 03:10:40,"RT @BruceAshford: “Our love grows soft if it is not strengthened by truth, and our truth grows hard if it is not softened by love.” - John …"
421303907017433088,2014-01-09 15:34:13,"“The trouble with being in the rat race is that even if you win, you’re still a rat.”  Lily Tomlin"
420551684637483008,2014-01-07 13:45:09,Cold weather #TIP: Back into your parking space. (Makes boosting easier)
420355312915607552,2014-01-07 00:44:51,What happened to letting kids eat dirt and sand? http://t.co/KTri7D1dXZ
420305756466860032,2014-01-06 21:27:55,"Remembering my dad…
http://t.co/W5FUe7Hbia"
420174494078992385,2014-01-06 12:46:20,"""The extent of your influence depends on the depth of your concern for others"" #Maxwell"
418430537389588481,2014-01-01 17:16:28,Happy New Year!!
418161261948706816,2013-12-31 23:26:28,@reinink Happy New Years!
418149277949771777,2013-12-31 22:38:51,"“If we're not supposed to eat animals, how come they're made out of meat?” #smoker"
416703056441782272,2013-12-27 22:52:05,Party on the patio! #holidays #hosers http://t.co/u6VyszN7Tq
416425896221110272,2013-12-27 04:30:45,"Just finished reading ""How People Change"" by Timothy S. Lane and @PaulTripp I'm humbled. I'm hopeful. I highly recommend this book!"
