id,created_at,text
456812657052356609,2014-04-17 15:13:19,"You can break down a woman temporarily, but a real woman will always pick up the pieces, rebuild… http://t.co/llt0a7x5Gg"
456802845094707200,2014-04-17 14:34:19,@DJ_Dsprowl I love you!
456802704568754177,2014-04-17 14:33:46,RT @CanadianJeepin: brap http://t.co/RF87yjEM6i
456659013254410240,2014-04-17 05:02:47,"RT @LambieLambruski: @Jglackkk mascara is to expensive to be crying all the time, cheer up pretty! Miss youuuu👯💕"
456655663783882753,2014-04-17 04:49:29,I'm SO sick of crying.
456641714644451328,2014-04-17 03:54:03,"""You deserve someone that would jump fences to be with you. Not someone who is on the fence about being with you."""
456638541628338177,2014-04-17 03:41:26,I'm constantly feeling inadequate.
456633079776284673,2014-04-17 03:19:44,RT @haylnicoleee: Phone calls before bed are the best☺️
456595967014236162,2014-04-17 00:52:16,I'm legitimately being stalked.
456584615373713408,2014-04-17 00:07:09,K.
456575052511604736,2014-04-16 23:29:10,RT @BlackPplTweet: How niggas charge their phone when their girls around http://t.co/LlrF7I1N1V
456569061548118016,2014-04-16 23:05:21,@Jsach22 ugh mines 4. I need it touched up bad.
456561112977137666,2014-04-16 22:33:46,@Jsach22 yours looks new!
456526982092570624,2014-04-16 20:18:09,God grant me the serenity to accept the things I cannot change. 💕 http://t.co/CGOk3ZwE7B
456493513203400704,2014-04-16 18:05:09,I just creeped on you so mf hard. Lol
456486232625659904,2014-04-16 17:36:13,RT @mmichellegoth: date me and you have to be okay with me always craving your attention and wanting to be with you all the time.
456482324285108224,2014-04-16 17:20:41,Everything my wanelo suggests to me is teal or camo.
456453657848864768,2014-04-16 15:26:47,In desperate need of a boyfriend pillow.
456430846128300032,2014-04-16 13:56:08,“@WhoaaaItsKayla: 😍👅💦 https://t.co/wJCZCGgLK0” my boy is hotter 😏
456291891592433664,2014-04-16 04:43:59,RT @taylorheil1: Somewhere between wanting more and caring less
456291120914243584,2014-04-16 04:40:55,I deserved better than that shit.
456277082587148288,2014-04-16 03:45:08,Girl who loves doing her own version of 6 second covers but they're always tragic.  https://t.co/ru4idOWWuW
456271345311965185,2014-04-16 03:22:20,RT @TweetLikeAGirI: AWKWARD'S BACK AND THIS IS STILL MY FAV http://t.co/4EAx41A5uj
456271130392035328,2014-04-16 03:21:29,“@countryboy22991: Where can I find a girl like this http://t.co/OsJ1Ix2JmM” 🙌🙌
456242967599386624,2014-04-16 01:29:34,RT @ashlynndavis_: y is this so funny http://t.co/hyqvb00BGQ
456181950131085312,2014-04-15 21:27:07,"RT @LifeAsParty: Magic 8 ball, should I get drunk tonight? http://t.co/lkYtvskwfQ"
456181849488773120,2014-04-15 21:26:43,RT @savsterz: Saying no to your girl cause your boys say you're whipped only proves you're whipped by your boys.
456181816919982080,2014-04-15 21:26:35,"RT @B_Leming: R.I.P. Spring in Ohio

4/12/2014-4/14/2014

#NeverForget"
456088927233798144,2014-04-15 15:17:28,RT @comedyandtruth: This is me http://t.co/dikzE53FDS
456073057711296512,2014-04-15 14:14:25,RT @ChiIIVlbes: No time for temporary people.
456071537326833665,2014-04-15 14:08:22,When you lose someone you cling to every little memory you have of them.
455914900087640066,2014-04-15 03:45:57,A little tan legged Georgia dream.
455914552224260096,2014-04-15 03:44:34,RT @lucassss_93: @Jglackkk yes pleaseee😘
455914417993953280,2014-04-15 03:44:02,RT @lucassss_93: “@itstattoos: Let that sink in... http://t.co/yIzoufHzR5”
455914349257691137,2014-04-15 03:43:46,RT @audreygat: @Jglackkk 😎☀️👙💗 can't wait for summer wiff you again this year!
455911036785147904,2014-04-15 03:30:36,@lucassss_93 see your face soon please?
455910776016867328,2014-04-15 03:29:34,@lucassss_93 same places. You're the one that went MIA on me.
455910620861173760,2014-04-15 03:28:57,RT @DJ_Dsprowl: If you don't give her chills down her body when you kiss her it's not real
455910568361070593,2014-04-15 03:28:44,@lucassss_93 you better take me next time.
455909845762580481,2014-04-15 03:25:52,@audreygat 👏🙌👯
455899695668146176,2014-04-15 02:45:32,@lucassss_93 bring me canes I'm pissed.
455898299535327232,2014-04-15 02:39:59,RT @edeborddd: not everyone you lose is a loss ✌️
455859462134181888,2014-04-15 00:05:39,RT @chaunteeel5: arms over abs
455799270151843840,2014-04-14 20:06:29,@__mads nope
455780166589878272,2014-04-14 18:50:34,Everyone bring candles over to my house.
455770598745333760,2014-04-14 18:12:33,Baxter is passed out on my booty.
455727969156087808,2014-04-14 15:23:09,RT @Taylorr_Nicole_: @Jglackkk diamonds is always hiring..
455713476359356417,2014-04-14 14:25:34,My power just got shut off so my week could literally not get any worse.
455551883391029248,2014-04-14 03:43:27,RT @camicallup: Swear everyone is scared to get into a relationship.
455549008664993792,2014-04-14 03:32:02,RT @Pajamakld: True 😂 http://t.co/Eo79Og3DBD
455532582038290432,2014-04-14 02:26:45,RT @TheWorldStories: This is hilarious... mostly because it's so true. Can anyone else relate? http://t.co/b144hq6vgG
455529770575347713,2014-04-14 02:15:35,"I'm bipolar. Sometimes I need space, and sometimes I want you to be clingy and smother me. Good luck figuring out which mood I'm in."
455524072475344896,2014-04-14 01:52:56,#Squad http://t.co/6uIUOzyjld
455520155440001024,2014-04-14 01:37:22,RT @FunnyPicsDepot: Me in a relationship http://t.co/po5aEImzK9
455503036836622336,2014-04-14 00:29:21,Everyone has a past.
455487653262012416,2014-04-13 23:28:13,I pray that y'all ain't serious. Cause seriously she's on my dick.
455482589969526784,2014-04-13 23:08:06,@bwendan_wrettin hahah fuck you my friend works there and I've been day drinking and needed food in my tummy 😔
455448995213885441,2014-04-13 20:54:36,RT @myon1ysunshine: you always wanted to see a natural disaster so i simply told you to let me love you
455393584372400128,2014-04-13 17:14:26,"RT @soreIatablepost: If I delete your number, you're basically deleted from my life."
455382427796381696,2014-04-13 16:30:06,Liquid cocaine shots had me like http://t.co/edzV1ZRcPJ
455374819437969410,2014-04-13 15:59:52,I just want to have Sunday Funday and everyone is being hungover little pussies.
455355555104571392,2014-04-13 14:43:19,RT @acano339: All males have asshole dick moments an all girls have bitchy selfish moments so really its about finding someone who can hand…
