id,created_at,text
456633836961406977,2014-04-17 03:22:45,RT @ScanBC: #Burnaby #RCMP are responding to Metrotown after a male was threatening security guards with nunchucks.
456616054270078979,2014-04-17 02:12:05,@SamelaAnderson I can't think of a better place to die. Save for maybe down the street at Rogue.
456615335144083456,2014-04-17 02:09:14,This is the whole internet. http://t.co/CVNac6fF4T
456602269790654466,2014-04-17 01:17:19,@offersheet @bookofloob Lars and the Reel Goal.
456582606004297728,2014-04-16 23:59:10,RT @hamsandcastle: Someone get that dude from Wrestlemania to make the face again when the Pens lose this series
456493056980549632,2014-04-16 18:03:20,@DHTLogan @ericasia Tickets for Alice In Chains with Monster Truck and The Pack A.D. go on sale tomorrow. That show will be so awesome.
456227312577433601,2014-04-16 00:27:22,@stuhunter Dreger spent two full years sewering his trade value. To see him act chummy now makes me sick.
456223291091337217,2014-04-16 00:11:23,"@stuhunter Just, everything about it... Last day of college, the killer being a senior police officer's son... It's like a bad movie. Unreal"
456221112980869120,2014-04-16 00:02:44,This Calgary mass murder feels like slasher movie material... It's hard to believe this is real life. Just harrowing. http://t.co/lujYLhPPkV
456216929099730944,2014-04-15 23:46:06,"RT @kfury: This is literally the most misleading chart I have ever seen, and I've seen a lot of charts. http://t.co/TyHIdHylfy http://t.co/…"
456212066534039552,2014-04-15 23:26:47,Bottom-right is my spirit animal. RT @BonziBUDDY_2k: http://t.co/Y18JanVLrm  http://t.co/q6CQ5G9uP7
456210261162991616,2014-04-15 23:19:36,RT @teganandsara: The children of Vancouver could be losing their Elementary band programs. Heartbreaking. Help out: http://t.co/jIIw0pP0Du…
456199105904001024,2014-04-15 22:35:17,Worth a read for anyone who enjoys the creative process / having a spine.
456198904162181121,2014-04-15 22:34:29,"This is making the rounds today, and it's pretty cool beans. Inside the Green Lantern: TAS ""kid-testing"" process. http://t.co/V24991djOL"
456182802027786240,2014-04-15 21:30:30,"@mitchellblack @warondrugsjams Yesterday I was jealous, now I just hate you."
456147814599249920,2014-04-15 19:11:28,RT @dankmccoy: Tim Burton's Tweetlejuice. Say his twitter handle three times and he'll appear to tell you his feelings about True Detective.
455888388902510593,2014-04-15 02:00:36,"Sports Poll: Are there any #Canucks fans right now who would still rather have Cody Hodgson over Zack Kassian? Anyone at all? Like, really."
455884355198406656,2014-04-15 01:44:34,"@ambdan3000 I read this tweet at the same exact moment that the movie theatre part of You Oughta Know played on my radio station, lol"
455883982291214336,2014-04-15 01:43:05,"@eddielack You were put in an impossible situation and handled it beyond admirably. We love you forever, Eddie."
455866838040076288,2014-04-15 00:34:58,"@mitchellblack Green with envy, I am."
455860716377878528,2014-04-15 00:10:38,@loxyisme Sounds like some prime podcast-listening time.
455859116569657344,2014-04-15 00:04:17,@loxyisme OVERHEARDS!
455790015499341824,2014-04-14 19:29:42,@GraceSull @Pemberton_Fest See ya there buddy
455788721439121409,2014-04-14 19:24:33,"@risingaction @zac_goodman Wait that's not true. Jensen got to do pretty much whatever he wanted, which makes Kassian's treatment even worse"
455788461996253184,2014-04-14 19:23:32,"@risingaction @zac_goodman Nobody got thrown a bone after the Canucks were obviously out of it save for Markstrom, and I guess Zalewski."
455765664628633601,2014-04-14 17:52:56,@risingaction That Kassian never really got a look in the top six all year is absolutely insane.
455560490907750400,2014-04-14 04:17:39,@hurrrdurrr Even that seemed a bit much to me. One bad joke or comment in poor taste should not mark a person's entire body of work as dumb.
455560223235665920,2014-04-14 04:16:35,@hurrrdurrr Saw a tweet earlier pleading with people not to slander all female sports reporters just because this one is ignorant... (1/2)
455544999950553088,2014-04-14 03:16:06,"@TheStanchion If you're still handing out random nicknames for Canucks throughout this game, I just called Kassian ""Big Zack Studd""."
455541259101151232,2014-04-14 03:01:14,"I used to defend some of the needlessly violent awful crap in hockey, but then I turned 17."
455540273846562817,2014-04-14 02:57:19,I love working in hockey but that Byron hit on D Sedin is the kind of thing that makes me hate the game. I hope Daniel's OK. Fear he is not.
455517011867492354,2014-04-14 01:24:53,"RT @bruce_arthur: Jim Robson is the kindly, trustworthy voice of my hockey childhood. Always gave a radio nod to shut-ins, the pensioners, …"
455455075041701888,2014-04-13 21:18:46,@mattwpo Put em all on a wall.
455182723837988864,2014-04-13 03:16:32,"No one says ""There's got to be more there..."" and proceeds to get even less quite like John Tortorella."
455181393224798208,2014-04-13 03:11:15,@zac_goodman @DimFilipovic @TheStanchion Hasn't indicted the entire scouting staff and then proceeded to fire none of them yet either.
455176806220328961,2014-04-13 02:53:02,Watching sports has become a form of self-flagellation.
455166241435447297,2014-04-13 02:11:03,"@StretfordBik ""Maybe"" Iggy? MAYBE?!?!? I hate the Flames and this is offensive."
455135720307314688,2014-04-13 00:09:46,"@DoubleEmMartin You are great. The best, even."
455035807791738881,2014-04-12 17:32:45,"@MikeRoe ""Hey, don't game my Salt!"" - Liev Schreiber, reading this right now."
454505191966912512,2014-04-11 06:24:16,"Apparently it's Sibling Day (???), so here's me and mine kickin' back with some SNES http://t.co/JRLVPi7P3v"
454488923809402881,2014-04-11 05:19:38,@JillianPStead Tuned in for the final cast fireworks. Superb! Really took me back to my SE10 days. The people change but the spirit remains.
454458195323281408,2014-04-11 03:17:31,"@ryandittrick Game that good, huh?"
454454979122577408,2014-04-11 03:04:45,@DuncanIdunno #washmyfacewithchocolatebars
454454808112418816,2014-04-11 03:04:04,RT @DuncanIdunno: People say... I eat too many chocolate bars or that I don't... wash my face or that I... manually RT
454429296723914752,2014-04-11 01:22:41,Keep on raccoon in the free worlds. RT @JamesGunn: New #GotG shot in full resolution. #GuardiansoftheGalaxy http://t.co/whnp5vJ6db
454415641286410240,2014-04-11 00:28:26,"I'm losing a brilliant coworker today to the calming shores of Penticton. Gonna miss ya, @trevormcmanus. We had fun. https://t.co/OhOmCeJyDJ"
454411548572651522,2014-04-11 00:12:10,@juliadfoy We grow up and blow away so fast. I miss that place.
454411181713682433,2014-04-11 00:10:42,@thordiakow If it's a total dud (looks like it might be) be sure to mention that Pfister passed on shooting Interstellar so he could make it
454410619341393921,2014-04-11 00:08:28,"@thordiakow Did a bunch of Corman horror movies in the 90s, too. Transcendence seems to be merging his high brow status w/ low-brow origins."
454410190968733696,2014-04-11 00:06:46,"@thordiakow It's amazing that the DP behind some of the most visually dynamic action films of the 2000s started in such a flat, boring job."
454401143754342400,2014-04-10 23:30:49,From the Everybody Has To Start Somewhere files: Chris Nolan's go-to cinematographer Wally Pfister began his career as a C-SPAN cameraman.
454398842813681664,2014-04-10 23:21:41,"@raffertybaker @mitchellblack YA NAILED IT, BROTHER!"
454397417966690304,2014-04-10 23:16:01,"@mitchellblack Basically, just keep showing her matches until she says she likes it."
454397264438374400,2014-04-10 23:15:24,"@mitchellblack Might as well show her the Loser Leaves Town match against Randy Savage at 'Mania 7, for a wider context."
454388552051081216,2014-04-10 22:40:47,@danielralston Also among the greatest achievements of folks named Tal.
454387854299254784,2014-04-10 22:38:01,John Cena was Macklemore before Macklemore was Macklemore.
454330729032212480,2014-04-10 18:51:01,"On the same day that the CBC announces crippling government-imposed budget cuts and layoffs, I'm going to assume Jim Flaherty died of shame."
454077668250488832,2014-04-10 02:05:27,"@bookofloob @risingaction NHL98, I believe. There were no lines to play when all the suckers were actually watching the game."
454076023886188545,2014-04-10 01:58:55,@risingaction @bookofloob As a kid in the dark years of the late 90s I would wander out of my seat &amp; play EA Sports demos for whole periods.
453967027074387968,2014-04-09 18:45:48,Hopefully Linden reads this essential hockey decision-making training manual. Gillis never agreed w/ its conclusion. http://t.co/Lfu0qWMU48
453964360310734848,2014-04-09 18:35:12,"@rollingpucks ""How big of a hole am I digging here?"" ""Make it, uhh... Mike Gillis sized."""
453963034289917953,2014-04-09 18:29:56,Linden starts things off with S-PAC crew making jokes about being a pitchman for Club 16. Laughs. MG would have made some smug digs by now.
453961714245967873,2014-04-09 18:24:41,Mike Gillis wasn't fired yesterday so much as he was driven to the edge of town and told to start digging a grave.
453683542610825217,2014-04-08 23:59:20,RT @JoeMande: .@NancyGraceHLN Was it scissors?
453683525619695616,2014-04-08 23:59:16,RT @NancyGraceHLN: I'm talking exclusively tonight to the cop who was attacked from behind —and you’ll never guess what the weapon was! #Sc…
453387738704670720,2014-04-08 04:23:55,@JasonPHT And now we have Interstellar to look forward to. And like maybe a draft pick or whatever.
453337397392973825,2014-04-08 01:03:52,Sometimes new music falls out of the sky &amp; makes my Fresh Track Friday segment super easy. This week: @Arkellsmusic! https://t.co/GTFBJaHqZw
453241487291981824,2014-04-07 18:42:46,"Doug Ford says voters ""don't give two hoots"" about Rob Ford's drug use. It's true. No need to give them when Rob just takes, takes, takes."
453022821841530880,2014-04-07 04:13:52,"@stuhunter Daniel Bryan is the new hotness. Bray Wyatt's pretty great too, and the old guys are always coming back, especially for Mania."
453022090971455488,2014-04-07 04:10:57,"@stuhunter I work with a couple big fans who got me back into it, only watch the PPVs. It's kinda fun as a ""Boys Night"" thing once a month."
453020577138089984,2014-04-07 04:04:56,@stuhunter It's the one night a year where people who were fans as a kid come back and watch along with the people who never left.
452266504805818368,2014-04-05 02:08:32,I took Chris Neil with my final pick in the draft and joked it was the ultimate coup &amp; he'd win me the pool. I'm in the Finals. He kinda is.
452191226133872641,2014-04-04 21:09:24,@twolinepass Holland
451964070153830400,2014-04-04 06:06:46,I audibly gasped when @DCpierson appeared in The Winter Soldier. No one else did. It's like the whole audience expected him to be there.
451877186396368896,2014-04-04 00:21:31,@Gewses yaaaaaaaay *flails arms in a kermit-the-frog-like manner*
451874611882233856,2014-04-04 00:11:17,"Driving four and a half hours (round trip) to see Captain America: The Winter Soldier, because what the hell else am I gonna do tonight."
451870308807368704,2014-04-03 23:54:11,"@ambdan3000 Huge racks aren't born, they're made."
451858190414532608,2014-04-03 23:06:02,Newbridge must live on. All nem listeners miss it. #BringBackTheBestShow
451841342801317888,2014-04-03 21:59:05,"A local station would replay the show from the night before every afternoon at 4 o'clock. As a young comedy nerd, I'd race home to watch it."
451841119886663680,2014-04-03 21:58:12,"The Late Show was such a huge part of my life growing up, and even though I barely watch anymore, Dave's retirement will be a palpable loss."
451105242327687168,2014-04-01 21:14:05,"The NHL enlists @nickkroll, @Charlie_Sanders and @sethismorris to promote the playoffs, and it's great. MT @wyshynski http://t.co/id1b4jOXmK"
450824173493837824,2014-04-01 02:37:13,"@drosennhl Obviously the level of play is significantly lower, but there's just too much free space to clog it up with D schemes. It's wild."
450822874526253056,2014-04-01 02:32:03,@jocelynaspa Good hat.
450822732993667072,2014-04-01 02:31:30,"@drosennhl NWJHL, Alberta Junior B. And that's just 5mins of 3-on-3, no 4-on-4 preceding it. Shootouts are very rare."
450820248870989825,2014-04-01 02:21:37,"@drosennhl As someone who works in a league that employs a 3-on-3 OT, I can count the number of shootouts I've seen on two fingers."
450813021296680960,2014-04-01 01:52:54,@jocelynaspa Might I recommend simply picking whichever team you think has the best hat?
450807047294971904,2014-04-01 01:29:10,@satellitehigh I got mad excited like Bryant Reeves had emerged from seclusion as someone's memory of a basketball player.
450805561492123649,2014-04-01 01:23:16,"RT @jwPencilAndPad: I understand that it's ""topical,"" but I still think it's inappropriate that the missing plane was the mother. #HIMYMFin…"
450799033678712832,2014-04-01 00:57:19,@JLewisGlobal @BCNursesUnion You will live forever in Google Cache.
450798304746422272,2014-04-01 00:54:25,"@sippincriss If you want to have a good laugh about life up north, I suggest listening to this interview I did: https://t.co/HJW5XDBGSn"
450788006035615744,2014-04-01 00:13:30,"OH at the pub: ""God damnit why couldn't I have just knocked up a white girl,"" as he orders his seventh scotch at 5 in the evening."
450747452866310144,2014-03-31 21:32:21,"@thedgreene Eh, just buy The Both album when it comes out and I'm sure she'll call it even."
450710921162145792,2014-03-31 19:07:12,"@ryanclassic Ahh, in that case, party on."
450710666546925568,2014-03-31 19:06:11,"@ryanclassic Let it go, dude."
450706239257726976,2014-03-31 18:48:35,"@thedgreene Probably not, sadly. The life of an indie darling is not filled with cash. But she is beloved and that's something."
450675443964735488,2014-03-31 16:46:13,@hurrrdurrr It's kind of annoying if you ask me.
450674654865141760,2014-03-31 16:43:05,@hurrrdurrr Facebook and Instagram hosted. YouTube doesn't auto play.
450451691809161216,2014-03-31 01:57:06,"I don't want to jinx anything, but that Rick Nash shortie may have just won me $400. Good day, if so."
450426457328603136,2014-03-31 00:16:50,"Context: Rachel signed off Saturday's coverage by thanking ""Peace FN"", and I reciprocated the 'verbal typos' in kind. Work is fun sometimes."
450426082986950656,2014-03-31 00:15:21,How to make a Trade Show fun: purposefully mispronounce as many names as possible while asking the dumbest questions https://t.co/OhOmCeJyDJ
450167051932295168,2014-03-30 07:06:03,"@thedgreene I also enjoy her song on the Benjamin Gibbard solo record, ""Bigger Than Love"". #justlistingthingsiplayontheradio"
450166240053448704,2014-03-30 07:02:49,"@thedgreene Her new band with Ted Leo, The Both, put out their first single this week. It is really very good."
450086450717937664,2014-03-30 01:45:46,@JasonPHT As his former teams lurk in the background...
450085546195292160,2014-03-30 01:42:11,"Fantasy playoffs have ruined me. I can't even bear to watch the games, I'm just stat-checking non-stop."
450085298852999168,2014-03-30 01:41:12,"I don't need them to win tonight (though it might be nice), but my wallet would appreciate it if the Canucks don't get shutout this evening."
449748612944117760,2014-03-29 03:23:19,"I only asking the hard-hitting interview questions people need to know, like ""I've got a chip in my windshield, do you have the goop?"""
449706647741415426,2014-03-29 00:36:34,@MattVanDeventer @KamilKaramali Word is producers are angling to get Brad Pitt to star in season 2.
449524215490674688,2014-03-28 12:31:39,@ThatSusanBurke I wanted to link you my favourite one but it's been deleted out of shame. Instead I found this: https://t.co/O4kuL4TPnC
449353018253639680,2014-03-28 01:11:22,"@offersheet Darren Aronofsky doesn't do bad movies though. They might not always succeed, but they are always plenty interesting."
449352560424390656,2014-03-28 01:09:33,@offersheet But that movie was horrible.
449269870224351233,2014-03-27 19:40:58,"@wyshynski And specifically, an ending that says being the Batman is a stupid and childish thing that no one should want for themselves."
449269767111593984,2014-03-27 19:40:34,@wyshynski I will always give it up for a movie that gives Bruce Wayne something serialized storytelling never can: an ending.
449269618645823488,2014-03-27 19:39:58,"@wyshynski Talia's story makes sense though. She dealt with her grief the same way Bruce did, just for different / the wrong reasons."
449268357724770304,2014-03-27 19:34:58,"@wyshynski May be opening up a can of worms here, but what about DKR's plot doesn't make sense? It's wrapping up a trilogy's worth of themes"
449263022934994945,2014-03-27 19:13:46,@bookofloob anyone willing to speak ill of K-Lowe is a second-class fan at best.
448904708178989056,2014-03-26 19:29:57,@mmaxinelucille I still respect you as an adult woman.
448648987273211905,2014-03-26 02:33:48,"@aimeemann @tedleo Love ""Milwaukee"", can't wait for the album. Any plans to release the Best Show tribute song as a single? I would buy it."
448611242941218816,2014-03-26 00:03:49,@risingaction He could live in Buffalo and drive up for the games.
448590669548769281,2014-03-25 22:42:04,"Coworker crying over Martin/Paltrow break-up. ""They weren't really even a public couple? You don't know them."" ""THAT'S WHY I LIKED THEM!"""
448588696346820608,2014-03-25 22:34:14,"@twolinepass I dunno, I think I'd rather it rain guns."
448587525854998528,2014-03-25 22:29:35,"RT @jrlind: MY GOD, SEATTLE, BE CAREFUL AROUND SAFECO FIELD RT @TNT_Mariners: Wolf released by Mariners"
448290311714783233,2014-03-25 02:48:33,"@thedgreene ie. ""I must teach you respect by becoming the least respectable person imaginable."""
448290216483098624,2014-03-25 02:48:11,"@thedgreene like ""oh you think it's funny to keep skipping detention, NOW DETENTION IS EVERY DAY FOR THE REST OF THE YEAR."""
448288889766031360,2014-03-25 02:42:54,@thedgreene Was suspended for three days. I regret nothing.
448288811823288320,2014-03-25 02:42:36,"@thedgreene I skipped detention to go see The Two Towers, and told the teacher to fuck off when he threatened eternal detention afterwards."
448287593373769728,2014-03-25 02:37:45,@thedgreene That seems... extreme.
448253536225095680,2014-03-25 00:22:25,"Well this contest has closed, congratulations Stefan on your untoppable entry. RT @boring_as_heck: @me we watched Loose Change in geography"
448251849796112384,2014-03-25 00:15:43,What's the weirdest movie you had to watch as part of a class in high school? I can't pick between Top Gun (Geo) and Collateral (Journalism)
448197857288273921,2014-03-24 20:41:10,"@raffertybaker But how am I supposed to know which one is the best if you don't tell me? Look, this is really asking a lot of your readers."
448196873761734657,2014-03-24 20:37:16,"@raffertybaker @CBCVancouver Sorry, are those just any old 12 dangerous mudslides, or the Top 12?"
448196477618114560,2014-03-24 20:35:42,RT @annetdonahue: It's like Chekhov always said: give your audience tickets to the gun show.
448185046784937984,2014-03-24 19:50:16,"@DoubleEmMartin Not much solace, I know, but you must be doing something right if someone could hate you this much."
448177687282978816,2014-03-24 19:21:02,@DoubleEmMartin Wow.
448174752406839296,2014-03-24 19:09:22,RT @TheAVClub: The Breakfast Club had detention 30 years ago today http://t.co/krslFUqCXq http://t.co/aCaBI7PFKZ
447993302692818945,2014-03-24 07:08:21,RT @ucbtla: We missed you at #spacejamread with @blakegriffin32 @deandrejordan @SethGreen @paulscheer @nickkroll @daniellefishel http://t.c…
447992377584521216,2014-03-24 07:04:40,Blake Griffin doing comedy stuff is always my favourite.
447992197720178688,2014-03-24 07:03:57,RT @MelissaStetten: Doing a Space Jam live read with @deandrejordan &amp; @blakegriffin32 was kiiiiiiiinda amazing. http://t.co/pRU7zN9ES3
