id,created_at,text
455892563149324288,2014-04-15 02:17:11,Boom. Bring in Portland then the spurs! #rockets
455887542551064576,2014-04-15 01:57:14,Come on rockets
455402450178936832,2014-04-13 17:49:39,@tarheelbrady @bubman5 @Baumbot damn! I so would have played. I'm going to shoot the shot gun at that ATL skeet range
455194456275554304,2014-04-13 04:03:10,"@bubman5 @misskatastic @Baumbot @tarheelbrady diversify diversify diversify. Set short and long term goals. buy ludes, cocaine and hookers."
455182433760313345,2014-04-13 03:15:23,@tarheelbrady @Baumbot @misskatastic @bubman5 dewalt all day.
454973091714961408,2014-04-12 13:23:32,@bubman5 @Baumbot @tarheelbrady it's a big day. Take time to stop and remember it.
454970193593524224,2014-04-12 13:12:01,@bubman5 @Baumbot @tarheelbrady yeah man! So pumped for you!
454645158387417088,2014-04-11 15:40:27,@NikiNoto @TTUKingsbury YEEEAAAAHHH!!!! Guns Up! I told you @AschoffESPN Watch out for us!
454348985516322816,2014-04-10 20:03:34,@kristathesista @eastlakegc @petermillar I would love to buy one of those! #butimnotamember
454281002777870336,2014-04-10 15:33:25,Hey @golfnow I noticed a problem... I can't book a round at Augusta National on your site?
453589178656505856,2014-04-08 17:44:22,Hi @eastlakegc can I set up a tee time for Saturday?
453279828221755392,2014-04-07 21:15:07,Walked all 18 at Augusta before the rain hit. It's majestic. Can't wait to go back next year! #picturesdontdojustice
453278256629035008,2014-04-07 21:08:52,@WeAlmostFlo I knew you looked familiar! Nice meeting you at Augusta today. Too bad the rain ended things early. Good luck back up at Baylor
452238131950276608,2014-04-05 00:15:47,Just got cussed out at a @DairyQueen drive thru... Because they screwed up the order. Unbelievable!!! Now I remember why I don't go here.
452108478740709377,2014-04-04 15:40:35,@SaraBareilles The All American Badass's Tour.
451438432250630144,2014-04-02 19:18:04,@jonwasleske duuuudeeee!!! Do it!!!
450817589238038528,2014-04-01 02:11:03,@JasonReedTTU @suchagoodfella gotta love the ATL #foxbros #highlandbakery #flipburger
450690049571434496,2014-03-31 17:44:15,"RT @WojYahooNBA: After suffering a torn meniscus in right knee, Houston's Patrick Beverley won't need surgery and will return this season, …"
450322255667818496,2014-03-30 17:22:46,"Hey @ChipotleTweets I love what your doing, but why no queso?"
448608131740745728,2014-03-25 23:51:28,@ElvisMoyaTTU can I buy one? Or donate for one? Would look great in my office.
448260669280747520,2014-03-25 00:50:46,@tarheelbrady @bubman5 @Baumbot @JimboKirkland I can't even imagine.
448260338082148353,2014-03-25 00:49:27,@tarheelbrady @bubman5 @Baumbot @JimboKirkland I still feel bad bro #youearnedthecard
448259620306702336,2014-03-25 00:46:36,@bubman5 @tarheelbrady @Baumbot @JimboKirkland anyone else feel like complete dog shit all day? I'm wrecked.
448200685566582784,2014-03-24 20:52:25,@baron_batch who designed your label/packaging?Where did you get the rubber stamp for the boxes made?I'm starting a brewery.Love your look
