id,created_at,text
456869596604022784,2014-04-17 18:59:34,"“@SomePillowTalk: A ""wifey type"" has nothing to do with rolling blunts/cooking.. It's more like a woman that takes care of you, loves you” 🙌"
456862561942532097,2014-04-17 18:31:37,Just literally inhaled fudge cake and my oh my it was amazing
456767867405340672,2014-04-17 12:15:20,RT @reIatable: I can't wait till this moment... http://t.co/2xFPqmNj3T
456624348103581697,2014-04-17 02:45:02,Ok bdubs staff is great right now we don't need newbies coming and fucking up the status quo thx
456618676783824897,2014-04-17 02:22:30,"RT @khaliesha__: To be honest, you're the only one i've ever spent this much time and effort on."
456616182250876928,2014-04-17 02:12:36,Bc television is more important http://t.co/Ou35fhK31A
456614171031764993,2014-04-17 02:04:36,"RT @Dre_3much: REAL FUCKIN SHIT, NO CHANCES BEIN TAKEN ON THIS ONE! http://t.co/ZDHpUwmGJZ"
456608227380060160,2014-04-17 01:40:59,"""Did you fart?"" ""No?"" ""Oh I think I did then"" i SERIOUSLY don't get guys"
456597799136530432,2014-04-17 00:59:33,el oh el I'm 18 years old and the school is trying to set up a meeting w my mom to talk about my attendance.. bye
456564499101675520,2014-04-16 22:47:13,RT @SucksToSucks: I'm tryin' to pass this semester.. http://t.co/neRzQGNi6c
456555862308298752,2014-04-16 22:12:54,"lol I was driving behind Tyler and he texted me ""close your mouth lol"" 😂🙈"
456538585504546817,2014-04-16 21:04:15,forever dreaming up my future wedding
456495423859867648,2014-04-16 18:12:45,RT @_Kellsxo: Very fucking true. http://t.co/eFjGgzdZDV
456464092597743616,2014-04-16 16:08:15,I'm too excited for @kaybaymariee 😍
456458085846892544,2014-04-16 15:44:22,RT @DaRealLiLT: #Retweet if You Love Your Mom 💯❤️💃🏃🔫 http://t.co/iY0MqQ4WPL
456441973344190466,2014-04-16 14:40:21,RT @lnsaneTweets: Basically http://t.co/3DYlrjOc1R
456296885225922561,2014-04-16 05:03:49,TYLER GOT OFF EARLY OMG IM SO HAPPY I GET CUDDLES
456284582623449089,2014-04-16 04:14:56,Being this happy really scares me because nothing in life ever goes this good for me.
456240974113419265,2014-04-16 01:21:39,Online shopping for my summer wardrobe and so far it's all dresses and rompers
456235574672650241,2014-04-16 01:00:12,“@asapkoff: Buy her Taco Bell and ... http://t.co/z209mfKS9O” @BBRIONESS this is why I don't eat that shit ☺️
456233749428965376,2014-04-16 00:52:56,"RT @theperfectscene: ""I'm not a stop along the way, I'm a destination"" http://t.co/ztLB5OviCj"
456124446672039936,2014-04-15 17:38:37,"RT @comedyandtruth: do ur squats, eat ur vegetables, wear red lipstick &amp; don't let boys be mean to u"
456124355693400064,2014-04-15 17:38:15,RT @CuteEmergency: I love this. http://t.co/Os4WMZccJk
456067167838949376,2014-04-15 13:51:00,RT @JoJoe2295: Ayee fat girls need love too... That's why we have dark skinned niggas in the world...😂😂 #ImNotRacistTho http://t.co/mEoGd15…
455906000466231296,2014-04-15 03:10:35,"People don't actually like you, they're nice to you cause you're such a fucking bitch that they're scared of you."
455905804160208896,2014-04-15 03:09:48,"RT @Prfct_Woman: Black eyebrows + blonde hair = no bueno, bitch."
455898721549426688,2014-04-15 02:41:40,"RT @Country_Words: She's a little complicated, she'll make her mind up just to change it. -David Nail"
455898666151059456,2014-04-15 02:41:26,RT @FactsAboutBoys: i would take this over a party any day 👏🙋💞 http://t.co/6V6yTHA6Rz
455898577374441473,2014-04-15 02:41:05,@MaureenLawler NO
455896959937556480,2014-04-15 02:34:40,@MaureenLawler ✋ it's not for you brat you had your chance
455896493962952705,2014-04-15 02:32:48,I'm giving you all my love
455896174361190400,2014-04-15 02:31:32,RT @taylorndean: i'm such an affectionate person i can easily cuddle with you or simply hold your hand entire time we hangout and be so con…
455894885619359744,2014-04-15 02:26:25,I try to gain weight I really do but it all goes to my fucking stomach so I can't even do this anymore lmfao
455875467841511425,2014-04-15 01:09:15,What a beautiful mess I'm in
455847934802665472,2014-04-14 23:19:51,RT @ScarIettJ: When you're around people you hate http://t.co/2oyjF5sw2A
455831080289853440,2014-04-14 22:12:53,RT @Prfct_Woman: I've had multiple people tell me how nice I am lately. I think karma is finally done being a giant asshole to me 👍
455831053358231552,2014-04-14 22:12:46,"RT @Prfct_Woman: If you find a guy that will treat you like a princess, jokes around with you, and makes sure you feel beautiful, he's a ke…"
455829932472819713,2014-04-14 22:08:19,"Cause I can't get enough, can't stop the hunger for your love. http://t.co/Py2AdGmFK0"
455783686542491648,2014-04-14 19:04:33,Tyler's working overnights for my grandmas boyfriend for the next couple nights so I have to learn to sleep alone again 😔
455705842533146624,2014-04-14 13:55:14,Never would I ever be in a relationship that had to be hidden from everyone. That's not even a relationship wtf I swear girls are stupid.
455632169746964480,2014-04-14 09:02:29,“@JoshFuckinJones: Power to the brunettes! ! ❤🚶🙉🙈👅👏👌👍😘🙌👍👏 http://t.co/1y9cOKLuIJ” 🙌🙌
455539860179148800,2014-04-14 02:55:40,RT @ithinkthatway: So true.. 🙈💏 http://t.co/HfKjHfRf0R
455534060182323200,2014-04-14 02:32:38,My hair looks so good right now
455507119131750400,2014-04-14 00:45:34,GUYS I OPEN COCKTAIL TOMORROW OMG 😍👏
455491997055201280,2014-04-13 23:45:29,Me and Rashel finally made it off the cashier schedule completely!!!! Holla 🎉
455345292347338752,2014-04-13 14:02:32,RT @GirIyDiaries: please let this happen to me at least once http://t.co/8QknjgBFeJ
455333625513275392,2014-04-13 13:16:10,"RT @disneywords: Life is a journey to be experienced, not a problem to be solved. –Pooh"
455144007937429504,2014-04-13 00:42:42,"Some lady just came up to us in Walmart and said ""I hate y'all, y'all look good together"" 😂 wtf"
455138222083825664,2014-04-13 00:19:42,"RT @SexTaIk: If your girlfriend is loyal, don't treat her like shit. Because when you see her happy with someone else, you'll regret it.💯💏😔"
455092956630769664,2014-04-12 21:19:50,Next weekend me and Tyler are taking a carriage ride and the weekend after we're going on a helicopter tour 😍
455091844104212480,2014-04-12 21:15:25,@JaclynZilch and you of course my love 💞
455088399158751232,2014-04-12 21:01:44,"The only people I like are Maureen, Tyler, and my bdubs crew. Everyone else sucks."
455053475345604610,2014-04-12 18:42:57,Still can't get over how perfect yesterday was http://t.co/whbWY8k7Rx
455042572994748416,2014-04-12 17:59:38,RT @BC_Nelson: Ballpark Village is no joke!
455039434665496579,2014-04-12 17:47:10,⚾️ http://t.co/UzaUIhTtnZ
455038947924918272,2014-04-12 17:45:14,I just need bb to be done working so he can give me cuddles and tell me I'm pretty and feed me cause I feel like crap
454994008834457600,2014-04-12 14:46:39,"My mom said ""Of course you got Molina on the back of your jersey... Mexican"" lmfao 🙈"
454990283399520256,2014-04-12 14:31:51,"RT @Country_Words: Money was gas, dreams were dust, love was fast and we were us. -Keith Urban w. Miranda"
454835640358555648,2014-04-12 04:17:21,"“@jeriannecomella: If you are a cubs fan, we can't be friends.” @lise_arger"
454830678530469889,2014-04-12 03:57:38,So annoying when you actually look good and every picture turns out horrible ok bye
454829808623845376,2014-04-12 03:54:11,Just posted a photo http://t.co/V1zUH1L7r8
454818728447066112,2014-04-12 03:10:09,😊❤️⚾️ http://t.co/vzm3cciA7O
454817447678205952,2014-04-12 03:05:04,Me and Tyler were on tv waving balloons around lol wuuuudup
454811887205888000,2014-04-12 02:42:58,I love us ❤️ http://t.co/PU2WjDvVTg
454737249179930624,2014-04-11 21:46:23,"RT @_arobrien: I'm not sure why people frown upon crocs, they really are quite comfortable.. . . 😎"
454737107492147200,2014-04-11 21:45:49,Downtown we go 😘 http://t.co/dMmrVHS8yL
