id,created_at,text
264550969788989440,2012-11-03 02:14:00,This week is probably worse the hell
264550875610116096,2012-11-03 02:13:38,How did my avi change
264550757683060736,2012-11-03 02:13:10,My parents can suck a dick
264549985918533634,2012-11-03 02:10:06,I haven't talked to #oomf all day #SucksOnMyPart
264549736541995009,2012-11-03 02:09:06,"Damn, I stress to much lol"
264549665612115968,2012-11-03 02:08:50,RT @SydneyyBrewster: Stress. #ThatsThatShitIDontLike
264549579360440320,2012-11-03 02:08:29,I look past what others make a big deal about
264549160240431104,2012-11-03 02:06:49,Pretty good night so far. #Lies
264546580793790464,2012-11-03 01:56:34,"Where's my "" bros ""????"
264546306725384192,2012-11-03 01:55:29,"""@OhDearOOMF: Dear #oomf, You moved on, I didn't."""
261620255808434176,2012-10-26 00:08:24,EVERYONE UNFOLLOW ME!!!!! FOLLOW @kevinhagerman21.
261299960727883776,2012-10-25 02:55:40,@MorganNicole_  costume party this satutday @ 7:30 #BeThere
261299678941962240,2012-10-25 02:54:32,"RT @MorganNicole_: Even if you didn't get a invitation for my birthday and want to go, then come on in! 7:30, City Limits! There's your  ..."
260225932734902274,2012-10-22 03:47:51,RT @ambrunty: NO MORE LOCKED DOORS @Kevinhagerman94
260174840198209540,2012-10-22 00:24:50,They were practice
260152188611993602,2012-10-21 22:54:49,@Dean2434 can you bring me that other charger at your house tomorrow at jctc?
260043890424434688,2012-10-21 15:44:29,RT @MorganNicole_: I've never seen a kid so happy like this one in my life over a giant gumball machine... @Kevinhagerman94 http://t.co/ ...
259914223994404864,2012-10-21 07:09:14,I want a lava lamp
259902579868332032,2012-10-21 06:22:58,"""@SydneyyBrewster: Sitting in my bed dancing to throwbacks by myself.."" like always hahaha"
259901223233261568,2012-10-21 06:17:35,"RT @SydneyyBrewster: I'm a  player, yeah it's true. But I'd change the game for you."
259901034548318208,2012-10-21 06:16:50,"""@SydneyyBrewster: She's like staring at the sun."" Who? Your girlfriend hahaha"
259895093576753152,2012-10-21 05:53:13,Don't be sorry for something I chose
259893319570706433,2012-10-21 05:46:10,There's always that one person
259868593775316992,2012-10-21 04:07:55,@Cartmell0924 @l_harris718 hows it spelt then?
259866993975492608,2012-10-21 04:01:34,My crew deeper then WooTang
259805510776262656,2012-10-20 23:57:15,"@ambrunty "" do ""?"
259797622380961792,2012-10-20 23:25:54,I'm having withdraws
259796561695997954,2012-10-20 23:21:41,"@ambrunty "" bestie ""???? Hell no. We n***** haha"
259796378107146241,2012-10-20 23:20:57,RT @ambrunty: @Kevinhagerman94 Wud upppp new bestie
259795842192506880,2012-10-20 23:18:50,"""@J_Norman_: I'll always support UK football... But I'm just fed up. Our coaches are RETARDS. @jokerphillips"" ahhhhh shit"
259795733811716096,2012-10-20 23:18:24,@ambrunty whatttup doe!!!!!!
259795223692079104,2012-10-20 23:16:22,Does anyone els think Donald can be voted as most changed since freshmen year!?!?!?
259794581506363392,2012-10-20 23:13:49,Today&lt;&lt;&lt;
259794173362855936,2012-10-20 23:12:12,This knot in my stomach &lt;&lt;&lt;&lt;&lt;
259793466731687936,2012-10-20 23:09:23,Gonna be bored all night
259793293578223616,2012-10-20 23:08:42,This weekend has gone to shit
259786238834384896,2012-10-20 22:40:40,@J_Norman_ text me
259785484383952896,2012-10-20 22:37:40,MY PHONES BACK!!!!!! I over fried out my battery
258753676607365120,2012-10-18 02:17:38,@LaekenBaconn I never fight with you!!!
258731203480412160,2012-10-18 00:48:20,@LaekenBaconn will it automatically log me off twitter? Idk my ppassword to get back on.
258730861367803904,2012-10-18 00:46:58,@J_Norman_  its a joke hahaha
258728091956936704,2012-10-18 00:35:58,9:30 can't come fast enough.
258727426195083264,2012-10-18 00:33:19,@Karly_Joe Donald said it wont -_- #ImScared!!!!!
258726049033093120,2012-10-18 00:27:51,I'm about to turn the dark side.... #TeamIphone fuck this android shit
258725409070403584,2012-10-18 00:25:19,I wanna be #1
258725290606460928,2012-10-18 00:24:50,@Karly_Joe THANK YOU!!!! Ill do it when I go to sleep
258724978084679681,2012-10-18 00:23:36,@Karly_Joe so I can still text?????
258724840989663232,2012-10-18 00:23:03,If i don't text back its BC my phone -___- #ImWorkingOnIt
258724637549146113,2012-10-18 00:22:15,@Karly_Joe what does that do!?
258724415087468545,2012-10-18 00:21:22,The way i have to hold my charger for my battery &lt;&lt;&lt;&lt;
258724151693549568,2012-10-18 00:20:19,How do I conserve my battery life?! #SomeoneHelpMe #Anyone
258723672754360320,2012-10-18 00:18:25,This knot in my stomach &lt;&lt;&lt;&lt;
258721609823711232,2012-10-18 00:10:13,Everything is complicated
258721536477888512,2012-10-18 00:09:55,My back hurts &lt;&lt;&lt;
258720919713886208,2012-10-18 00:07:28,My phone battery &gt;&gt;&gt;&gt;&gt;&gt;
258720764902117377,2012-10-18 00:06:51,I really want to text #oomf
258720660354908163,2012-10-18 00:06:26,"""@OhDearOOMF: Dear #oomf, I don’t think you know how easily you can make me smile."""
258715125186453504,2012-10-17 23:44:27,My phone can't leave its charger. It keeps dieing
258712716779323394,2012-10-17 23:34:52,I need to hit something.
258694513680326656,2012-10-17 22:22:33,Never mind then
258675521418842113,2012-10-17 21:07:04,Its some bbullshit how in all seven years. Professor snape doesn't get the dark arts teaching position
258674957347860480,2012-10-17 21:04:50,RT @SydneyyBrewster: Hey guyz. @hagerman3145 @Kevinhagerman94 @DHAGERMAN1234 @M3gatRON3 @HaiCoop http://t.co/p6kOweQI
258374628232269824,2012-10-17 01:11:26,Its weired how things work out.
258346468056907776,2012-10-16 23:19:32,RT @alysonarcher14: I think @Kevinhagerman94 got a little salty with me..
258346332463452160,2012-10-16 23:19:00,RT @alysonarcher14: Insanity&gt;&gt;&gt;&gt;&gt; #workout  #bestever
258346295993982976,2012-10-16 23:18:51,Does @SydneyyBrewster hate me?
258320905384624128,2012-10-16 21:37:57,"I see all these tweets about "" cabin fever 2 "". Am i the only one who thought it was that one movie?"
258308688023007232,2012-10-16 20:49:25,RT @Ashhh_Dray00: I refuse to have drama my senior year. So get that shit outta here!!!
258308664417468418,2012-10-16 20:49:19,"""@Ashhh_Dray00: I refuse to have drama my senior year. So get that shit outta here!!!"" RFT"
258036372684808192,2012-10-16 02:47:19,RT @alysonarcher14: I will never let you live that down @Kevinhagerman94
258036076898304000,2012-10-16 02:46:09,Dubstep sounds like music transformers would jam too haha
258035453586972675,2012-10-16 02:43:40,You mean everything to me.
258029737094569984,2012-10-16 02:20:57,"No matter how old you are, if someone puts a ball pin in front of you. You will play in that shit."
258015552814075904,2012-10-16 01:24:36,@J_Norman_ what?
258013548205195265,2012-10-16 01:16:38,I need #oomf to text me
258011279703302144,2012-10-16 01:07:37,You home yet?
258002964604649472,2012-10-16 00:34:34,RT @J_Norman_: I can't believe I'm making my dream come true. Too many people give up! Stay with it and pull achieve!!!
257998909840957440,2012-10-16 00:18:28,"RT @J_Norman_: S/O to @Kevinhagerman94 
Dude is my bro! Lotta memories and for sure a lot of laughs! He's been a big help and is a huge  ..."
257998114504454144,2012-10-16 00:15:18,RT @J_Norman_: RT for S/O.
257997998221578240,2012-10-16 00:14:50,@alysonarcher14 see I even beat you at that fake twitter fight hahaha
257996216401526785,2012-10-16 00:07:45,@alysonarcher14 #unfollowed!!
257994844826374144,2012-10-16 00:02:18,@alysonarcher14 mhmmm
257994167236583424,2012-10-15 23:59:37,RT @FlyGuy_McKanee: #KLesForPresident
257993974382489600,2012-10-15 23:58:51,"""@AutumnMarie_: Tonight your memory burns like a fire."" Does it..does it really? Haha"
257993658471690240,2012-10-15 23:57:36,@alysonarcher14 *beat haha
257993026977271808,2012-10-15 23:55:05,I beat @alysonarcher14 at everything.
257695560478363648,2012-10-15 04:13:04,RT @alysonarcher14: @Kevinhagerman94 you've got 18 minutes left
257695104293273601,2012-10-15 04:11:15,Me and @alysonarcher14 are screwed for tomorrow haha
257693332547981313,2012-10-15 04:04:12,Grown Ups &gt;&gt;&gt;&gt;
257692488683384833,2012-10-15 04:00:51,Late night conversations &gt;&gt;&gt;&gt;
257691552019795968,2012-10-15 03:57:08,@alysonarcher14 don't bring this on twitter
