id,created_at,text
456767620700577792,2014-04-17 12:14:21,"Rewards for your creativity are closer than you realize, but y... More for Virgo http://t.co/V7wNs0W6v4"
456698126095888384,2014-04-17 07:38:12,Time needs to go fast lol
456697988660752384,2014-04-17 07:37:40,http://t.co/ORqzplP3Zh
456697825695653888,2014-04-17 07:37:01,I ain't gonna lie but that shit was amazing lmfao
456697339738984448,2014-04-17 07:35:05,Was with my nigga Adian earlier today lol http://t.co/fgZjX8Tsoe
456696961660235776,2014-04-17 07:33:35,If kaileys mom is up she probably think like how tf this nigga taking a shit at 3 in the morning lol
456695823834034176,2014-04-17 07:29:04,Icy as fuck http://t.co/DXZV84nOXh
456695718141784065,2014-04-17 07:28:38,Praying 🙏🙏🙏
456695221355442177,2014-04-17 07:26:40,Hope kailey or her mom don't wake up from me taking a shit lmfao
456694748963565568,2014-04-17 07:24:47,Currently taking a shit at 3:24
456694279021137920,2014-04-17 07:22:55,Can't fall asleep
456664831295107072,2014-04-17 05:25:54,RT @BestOfWorldStar: Don't take the chance Bruh http://t.co/V8WpTbib9W
456664090023170049,2014-04-17 05:22:58,RT @HandUpManDown: Lets Fuckingg Goo The True Cash Out😂😂😂😂😂 https://t.co/hLGQmmB8Ow
456653937878118400,2014-04-17 04:42:37,True 👌
456649530830635008,2014-04-17 04:25:06,RT @MUSlCDONTMATCH: Leo gettin' it. 💃#MusicThatDontMatch  https://t.co/rcHx63dvha
456647142250016770,2014-04-17 04:15:37,RT @HermesParis_: Can't lose her http://t.co/QKuX48sT6j
456637766202167296,2014-04-17 03:38:22,RT @Traveezy_: 4/20 on Easter http://t.co/3QhvTomz2C
456512630102835200,2014-04-16 19:21:07,3 tweeps followed me in the past day. Feels great! Do you also want to feel awesome? Check out http://t.co/BzJ7bcIoAf
456471746304958464,2014-04-16 16:38:39,RT @IntThings: http://t.co/8opCOPV4Jw
456455680770461696,2014-04-16 15:34:49,RT @GeniusFootball: RETWEET If you are supporting Real Madrid tonight! http://t.co/RVsyp3Ep7T
456455635673288704,2014-04-16 15:34:38,RT @GrooveyAssRell: that's bae 😍💯💍 http://t.co/rjuayRKY1E
456455269178826752,2014-04-16 15:33:11,RT @wealthy_Mi: I'm inlove with this picture http://t.co/UGKr4vCIhf
