id,created_at,text
456836305989935104,2014-04-17 16:47:17,I can't feel my chin like wtf
456832819893792768,2014-04-17 16:33:26,This blows
456791568914341888,2014-04-17 13:49:31,Time to go get knocked the fuck out and get my wisdom teeth yanked out
456623245752410114,2014-04-17 02:40:40,"RT @gina_corrado: You know when you just look at yourself and you're like ""ew wtf"""
456603642930282496,2014-04-17 01:22:46,I'm gonna look like a fuckin chipmunk tomorrow 👿
456573788532912128,2014-04-16 23:24:08,Super upset I'm not at the Palladium tonight
456436859959517184,2014-04-16 14:20:02,Give me Starbucks or give me death 😩
456389546985271297,2014-04-16 11:12:01,My pants are an accurate representation of today
456388148121989120,2014-04-16 11:06:28,Like what http://t.co/AN4TM1nqCX
456378710216953856,2014-04-16 10:28:58,There's fucking snow on the ground. I'm done. Goodbye.
456262294482460672,2014-04-16 02:46:22,"RT @dariatbh: weather be like:

mon - 75° ☀
tues - 22° ❄
wed - 57° ⛅
thurs - 30° ☔
fri - 80°☀ (with a chance of snow)"
456256058974285824,2014-04-16 02:21:35,“@baddiewinkle: Life alert: Caught the feels http://t.co/VFVeHUmD41”
456252653417156608,2014-04-16 02:08:04,While I'm dying on my couch Thursday-Sunday I'm gonna start Game Of Thrones
456189799888850944,2014-04-15 21:58:18,Could not give a fuck less about what I look like at work rn
456189044259438592,2014-04-15 21:55:18,Lol this shift is such a fucking joke
456158547743494144,2014-04-15 19:54:07,All I can taste is weed in my mouth...wtf
456140980450631680,2014-04-15 18:44:19,#basic http://t.co/zB0pGhUam1
456137270459105280,2014-04-15 18:29:34,“@tdizzzzzzz: Microwave nachos have to be one of the most classic afternoon snacks ever invented” amen
456120525774147584,2014-04-15 17:23:02,I'm slowly losing my mind in math
456071939308933120,2014-04-15 14:09:58,I woke up in a bad fucking mood and I'm taking it out on everyone.
456038964940771328,2014-04-15 11:58:56,“@Smac_thatt: Have fun in school” suck my dick
456038940617998336,2014-04-15 11:58:50,“@byebyecaroline: Have fun in school” suck my dick
456029381904048129,2014-04-15 11:20:51,You don't need to fucking watch your kid walk into the school. They're in highschool.
455904358438563840,2014-04-15 03:04:04,RT @FunRossGeller: Current mood: http://t.co/PXRHyWQz0t
