id,created_at,text
456827021700513793,2014-04-17 16:10:24,Although you might not be able to break free from previous obl... More for Scorpio http://t.co/weqqTEKbnG
456464568940642304,2014-04-16 16:10:08,You are drawn into the mesmerizing mysteries of your own imagi... More for Scorpio http://t.co/weqqTEKbnG
456102097327382529,2014-04-15 16:09:48,Sometimes it's impossible for you to keep cool when your emoti... More for Scorpio http://t.co/weqqTEKbnG
455739768496603136,2014-04-14 16:10:02,Every task -- no matter how minor -- is more complicated when ... More for Scorpio http://t.co/weqqTEKbnG
455377396724547584,2014-04-13 16:10:06,Your idealistic intentions are commendable but you must balanc... More for Scorpio http://t.co/weqqTEKbnG
455208253425987584,2014-04-13 04:57:59,I wonder what I'll name my children when that day comes ..
455014986998231041,2014-04-12 16:10:01,You don't ask for a lot today; all you want is the connection ... More for Scorpio http://t.co/weqqTEKbnG
454717866592313344,2014-04-11 20:29:22,I love how my iTunes Radio is playing all @OfficialSoMo ! 😍💏 #letsgetnaughty
454652584452579329,2014-04-11 16:09:57,"Even if you feel resistance emanating from others, you must ta... More for Scorpio http://t.co/weqqTEKbnG"
454290196230463488,2014-04-10 16:09:57,You are being pulled in two directions today. You feel the nee... More for Scorpio http://t.co/weqqTEKbnG
453927715897221120,2014-04-09 16:09:35,You may startle yourself today with the speed of your reaction... More for Scorpio http://t.co/weqqTEKbnG
453861077563244544,2014-04-09 11:44:47,Good Morninggggg
453565346746621953,2014-04-08 16:09:40,Unexpressed feelings can be complicated to manage if your ange... More for Scorpio http://t.co/weqqTEKbnG
453203330978676736,2014-04-07 16:11:08,"There may be rules at work that seem very rigid, perhaps with ... More for Scorpio http://t.co/weqqTEKbnG"
453082268316483584,2014-04-07 08:10:05,well I'll just do more hw then
453079097066156032,2014-04-07 07:57:29,too bad I'm up all alone lol
453078958314389504,2014-04-07 07:56:56,I feel so good that i just did this huge assignment!
453078745885462528,2014-04-07 07:56:05,so i think I'm gonna do this more often. drink coffee at 11 at night &amp; get a whole lot of hw done!
452841244125691904,2014-04-06 16:12:20,You are willing to freely express your feelings today because ... More for Scorpio http://t.co/weqqTEKbnG
452478779009429504,2014-04-05 16:12:02,"Delivering on your promises usually feels gratifying, but toda... More for Scorpio http://t.co/weqqTEKbnG"
