id,created_at,text
456610582351708160,2014-04-17 01:50:21,RT @CommonWhiteGrls: Kinda wanna look good in a bikini kinda wanna eat three burritos from chipotle kinda pissed I have to pick one
456609865616470017,2014-04-17 01:47:30,Once the giggles start they DO NOT stop.😂  #itsadisorder
456427302683807744,2014-04-16 13:42:03,"RT @kyleighisaac: when I'm annoyed with someone, literally everyyyyyything they do/say makes me mad"
456223249022464000,2014-04-16 00:11:13,RT @tayraymo: That guy looks like a peanut @LittleNatal
456173996606623745,2014-04-15 20:55:30,RT @tayraymo: @McLovn27 is back in our lives!!!! @LittleNatal
456172832498941952,2014-04-15 20:50:53,RT @tayraymo: The new eHarmony commercial makes me feel dirty @LittleNatal @McLovn27
456152691693993984,2014-04-15 19:30:51,Omg😂😭 http://t.co/Xg2kKRcoLA
455912789228261376,2014-04-15 03:37:34,Literally have 1 paragraph left to write about water bottles and I have no motivation to do it 😞
455804607709446144,2014-04-14 20:27:41,RT @MegganHoffman: Lololololol http://t.co/nRtsXJUMiu
455788613637124097,2014-04-14 19:24:08,"Put a facial mask on that's supposed to ""peel off""...LIES...it is STUCK to my face!😭"
455761433020473345,2014-04-14 17:36:07,RT @tayraymo: “@TheFunnyTeens: Woke up today with my hair like http://t.co/BCGJA1uK8b” @LittleNatal
455596437997228032,2014-04-14 06:40:30,RT @_StephenBrooks: @LittleNatal something for the weak haha
455595815323443201,2014-04-14 06:38:01,What is sleep?😩
455480848687431680,2014-04-13 23:01:11,RT @kyleighisaac: someone ask me to marry them so I can get this dress lol http://t.co/SkY5YOq5Q3
455464344210251776,2014-04-13 21:55:36,"RT @WhennBoys: imagine coming home from a really long day, then seeing your crush &amp; all this in your room 😳😍🌹 http://t.co/RmIjTY9Jeh"
455418800913936384,2014-04-13 18:54:38,@morganzeleny Lol yesssssss😁
455417713339297793,2014-04-13 18:50:18,“@KardashReaction: When someone subtweets you http://t.co/sepj2fYkSO” @tayraymo
455360970882158596,2014-04-13 15:04:50,RT @KardashReaction: When someone interrupts me while I'm busy talking http://t.co/iXOHKpJ6wn
455356643186728960,2014-04-13 14:47:38,“@McLovn27: “@TBVines: Who wants a relationship like this? https://t.co/EkrvSSVVZr” @LittleNatal” I think that's our relationship 😂
455342951787270146,2014-04-13 13:53:14,Taking selfies like a champ😂 http://t.co/aVz8TrJg2r
455182613544583170,2014-04-13 03:16:06,RT @FreddyAmazin: this is actually really deep 😳 http://t.co/Qc4dfaTMtR
455177875935600640,2014-04-13 02:57:17,RT @Saaaaaabbbbb: Jeez I love my boyfriend 💖
455177367837609985,2014-04-13 02:55:15,How I feel when I have to ask my dad for money... http://t.co/adlSPHE9CG
455176909992001536,2014-04-13 02:53:26,Somebody came to Cstat for the night 😊 http://t.co/WtNozfSarE
455176517136314368,2014-04-13 02:51:53,"RT @PopeSloth: Friend: Ill be there in 5 minutes are you ready?
Me: http://t.co/i3HAinCYm6"
455115896386641920,2014-04-12 22:51:00,“@McLovn27: “@Teenage: When you can't find your phone https://t.co/SPoMOV86Oo” @LittleNatal” 😂😂😂
454457773296599040,2014-04-11 03:15:51,"""You can only be a stripper if you can grab a dollar bill with your butt cheeks""-my dad #WordsOfWisdom"
453747893225025537,2014-04-09 04:15:02,You couldn't wait 4 minutes.... #everynight @McLovn27 http://t.co/Gr4GMsKVqw
453747033145225217,2014-04-09 04:11:37,"@mtsiever17 @HayleyTeal34 Dude no...
Back off skank😒"
453746921824202752,2014-04-09 04:11:11,RT @mtsiever17: Divergent Round2 with the best!!! #marrymetheojames @LittleNatal @HayleyTeal34
453694474992906242,2014-04-09 00:42:46,@McLovn27 my life
453694427504979968,2014-04-09 00:42:35,RT @McLovn27: “@TweetLikeAGirI: #DescribeYourLifeWithAVine https://t.co/vB15MkAjse” @LittleNatal
453668227277938688,2014-04-08 22:58:28,My lady jam http://t.co/vwQCBUILRm
453522194320994305,2014-04-08 13:18:11,I wanted to decorate Easter eggs until I realized I had to boil eggs to do that and that usually takes a dozen for me to get it right. 😒😔
453400335675965440,2014-04-08 05:13:58,RT @KalynJohnson_: I don’t care about losing people who don’t wanna be in my life.. I’ve lost people who meant the world to me and I’m stil…
453393692603076609,2014-04-08 04:47:34,"RT @ComedyOrTruth: Boyfriend from hell, what an absolute nightmare that would be http://t.co/Vu5IySdn7T"
453383012105732096,2014-04-08 04:05:08,"And this tweet is for you, boo. 😘😉 @McLovn27"
453382917301874688,2014-04-08 04:04:45,Hoping that a miracle comes on this math test tomorrow😓
453312041084674048,2014-04-07 23:23:07,Thankful for my bff @mtsiever17 who brings me chocolate chip cookie dough bc I can't move.😋
453015862346133504,2014-04-07 03:46:12,RT @tayraymo: Having delusional convos with @LittleNatal  😂😁someone bring us gumbys please
452983281408282625,2014-04-07 01:36:44,Totally just thought the Buccees sign was a full moon 😂
452885289661657088,2014-04-06 19:07:21,Just curious why I have the worlds shittiest windshield wipers.
452617719029170176,2014-04-06 01:24:08,RT @McLovn27: “@WorkoutCIothes: Please http://t.co/D3JhkQB4SL” @LittleNatal
452579490972332032,2014-04-05 22:52:13,@McLovn27 hehehehe😁
452569960951611392,2014-04-05 22:14:21,"RT @McLovn27: @LittleNatal what about when you retweet ""lady boners"" and you have a boyfriend 😒"
452569926478622720,2014-04-05 22:14:13,@McLovn27 I didn't retweet mc. dreamy bc he was hottttttt....I retweeted him bc it's my fav show. 😁 #theresadifference
452515702528684032,2014-04-05 18:38:45,RT @_LadyBoners: McDreamy gets me everytime 😍 http://t.co/4HntplRIBx
452452300523466755,2014-04-05 14:26:49,RT @FIirtationship: 😍😍😍😍😍😍 http://t.co/zZWyPtBm0y
452259365123526656,2014-04-05 01:40:09,"RT @iQuoteComedy: me: ""wow I need to do homework but first:""
*eats dinner*
*goes on twitter*
*checks facebook*
*knits a scarf*
*does oragim…"
452058478807617537,2014-04-04 12:21:54,Soo everything is blurry and I can't find my glasses so that's cool.
451941697090748416,2014-04-04 04:37:51,"RT @WizKhalllifa: Be happy with who you are, never let someone else make you feel you're worthless."
451941440562921472,2014-04-04 04:36:50,RT @WhennBoys: this kid dresses better than 75% of grown men http://t.co/Au3PPFpkUr
451875641924018176,2014-04-04 00:15:23,@McLovn27 zip it.😑
451869503174230016,2014-04-03 23:50:59,Let it begin😄☀️🏊 #summerhurryup http://t.co/k3lwgT6ZPR
451846223528747008,2014-04-03 22:18:29,An 8:40am ortho appointment tomorrow sounds exciting
451835424831307776,2014-04-03 21:35:34,"RT @_craziestbxtch: if you can't @ him in pictures or be seen in public together then survey says extra mozzarella, heavy on the cheese tha…"
451835401020264448,2014-04-03 21:35:28,“@_craziestbxtch: I should be making these on the daily for my boyfriend 😁🙈 http://t.co/dQ0Plcp3KP”@McLovn27
451834841667883008,2014-04-03 21:33:15,“@JustReIatabIe: Asking a girl on her period for anything.  https://t.co/yHF0luooTT” @tayraymo
451596015607369728,2014-04-03 05:44:15,RT @savannalongoria: Almost done with my first year of college and I'm still debating my entire life and what to do with it and which freak…
451588530955767810,2014-04-03 05:14:30,"So ummm, is there a tornado in college station or whut?😳🌀"
451587666224484352,2014-04-03 05:11:04,RT @AshliRoley: I have never understood how people could hurt someone they loved intentionally
451574208800108544,2014-04-03 04:17:35,I'm pretty sure the worst feeling ever is when you forget about a test and remember at 10:30 at night 😭
451541702839250944,2014-04-03 02:08:25,“@jacobgarzaa: @McLovn27 like” like omg like please like say like again😄
451529635293962240,2014-04-03 01:20:28,"Say ""like"" one...more...time...😒🔫"
451482574515609600,2014-04-02 22:13:28,My 2nd mother is too good with words❤️ http://t.co/pxchHOhHYW
451330951268675584,2014-04-02 12:10:58,RT @FreddyAmazin: when ur whole outfit on point http://t.co/dEmj8yYjMn
451141079325499393,2014-04-01 23:36:29,"RT @tayraymo: ""It burns burns burns""@LittleNatal well alright, natty."
451076475098107905,2014-04-01 19:19:46,RT @GrantRebhun: Honestly I would love to go back to second semester senior year.. That shit was fun haha
451076216477716480,2014-04-01 19:18:45,Missing my jeep in this weather😩☀️ http://t.co/21gkS4ruvh
451068744371306496,2014-04-01 18:49:03,I'm about 99.9% sure my whole class is not paying attention to my professor.
451067850825166849,2014-04-01 18:45:30,RT @Case_68: My life is one giant awkward moment.
451067469126696960,2014-04-01 18:43:59,RT @TheElIIenShow: my face when I see someone tweeting but hasn't replied to my texts http://t.co/G6W8YiQKxz
450840055175593984,2014-04-01 03:40:20,I think I see more guys posting mirror selfies now (at the gym) than I did on MySpace.
450838780820619264,2014-04-01 03:35:16,"RT @CuteTxts: ""bikini season is coming, are you ready?"" me: http://t.co/LB0Z5KYd3v"
450834847779782656,2014-04-01 03:19:38,"RT @tayraymo: *wrong lyrics* ""oh...."" @LittleNatal"
