id,created_at,text
456841772308889600,2014-04-17 17:09:00,RT @Michael_Klacik: 145lbs for six reps at the end of the workout to be exact :) @MeganSay
456834200130174977,2014-04-17 16:38:55,Squatted a few pounds more than plates yesterday. Pretty good for an 118 pound girl. #proudofmyself #gettingstronger #liftingheavier #work 💪
456797142435508224,2014-04-17 14:11:40,Excited to eat at the buffet and casino tomorrow w/ the fam and boo :)
456594310058627073,2014-04-17 00:45:41,I love my boo so much. #bestfriend
456521152605585408,2014-04-16 19:54:59,You gotta be able to trust that everything in life will be alright.
456507942909382657,2014-04-16 19:02:29,@bye_feliciaxo you train it to be a good dog obviously. Lol
456507137745637376,2014-04-16 18:59:17,I want this puppy 😍 http://t.co/yMJI0gageV
456506723356770304,2014-04-16 18:57:38,Now after that I just went to go see everything I favorited.... Lol
456506458859765761,2014-04-16 18:56:35,What is the point of something being favorited on twitter? Hmm.. I mean you can see what everybody favorites on their page.
456470247059357696,2014-04-16 16:32:42,"@thydamom miss you too! Jump on that bouncy ball though, baby needs to come out that ka pom peet 👶"
456469886961586177,2014-04-16 16:31:16,Can't wait for a fun-filled weekend with family ❤️
456263800748904448,2014-04-16 02:52:21,My boyfriend loves his Asian movies. So cute :)
456237822899286017,2014-04-16 01:09:08,RT @bye_feliciaxo: This is what I do with my niece... 😂 http://t.co/TPSzNEmEpv
456106130909847552,2014-04-15 16:25:50,"The beautiful thing about life is, if you make it beautiful, it will always be beautiful."
456091426875392000,2014-04-15 15:27:24,"RT @RobHillSr: Beautiful thing seeing two people trusting, confiding, and uplifting one another… Unfazed by all the unnecessary BS"
456091296827203584,2014-04-15 15:26:53,RT @RobHillSr: It’s a blessing having somebody whose presence you don’t have to question…
456091249003753472,2014-04-15 15:26:42,"RT @RobHillSr: Rather than focus on how rare it all is, I’d rather focus on how deserving I am…"
455750683749138433,2014-04-14 16:53:25,Who you allow to stay in your life is a reflection of how you view yourself.
455748272888360961,2014-04-14 16:43:50,Ready to lift 💪 Just tryna get right 😏
455694959979802624,2014-04-14 13:11:59,Random but I really want a mini me... #oneday #babyfever 👶
455563934800416768,2014-04-14 04:31:20,I'm so in love. The greatest feeling. 😍
455544936700473345,2014-04-14 03:15:51,RT @mikeyisbrown: Beyond stoked for all the movies coming out this summer
455544824956203008,2014-04-14 03:15:24,RT @ithinkthatway: 🙌🙌🙌 http://t.co/Uf0KLlzTG7
455402296289918976,2014-04-13 17:49:03,Excited for Pho w/ the fam today :) 🍲
455398296509366272,2014-04-13 17:33:09,RT @Monica_Mom: In order to be old and wise you first had to be young and stupid
455175259511992320,2014-04-13 02:46:53,I'm excited to cuddle in this thunderstorm tonight 😌
455122313801764865,2014-04-12 23:16:30,I'd rather get dolled up to go on dates and dinner more than anything :)
455120225763983360,2014-04-12 23:08:12,I don't understand how going out every weekend is so fun. I love doing other fun things and activities.
454972029695844352,2014-04-12 13:19:19,Happy Birthday @dena_mao &amp; @Monica_Mom ❤️ Love you guys!!!
454786139569020928,2014-04-12 01:00:39,Friday night dinner! Chef Klacik &amp; Say threw down in the kitchen today 🍴 michaelklacik http://t.co/TcOYsAMQVJ
454692752354058240,2014-04-11 18:49:34,Can't wait to workout and enjoy this beautiful day! :)
454624337275142144,2014-04-11 14:17:43,It's a Nike day everyday for me.... #teamNike #JustDoIt 💪 http://t.co/MM3f8gais4
454456823567769600,2014-04-11 03:12:04,RT @ExplicitWS: Honestly....just get ready nigga https://t.co/rhRciIpiV9
454389561611661312,2014-04-10 22:44:48,I need a massage 😒😔😞
454259625034932225,2014-04-10 14:08:29,"@dena_mao Happy Birthday Cobey. ""I not Chris Cutler, I Cobey Cutler..."" 😂 so cute!"
454110901382041600,2014-04-10 04:17:30,Loved my gym shirt today. Need more... 😁💪 http://t.co/WJ2Og2SXGs
454046324602970112,2014-04-10 00:00:54,Ooooo kill em! Leg day 💪🍑 http://t.co/v248EgH420
453905836403064832,2014-04-09 14:42:39,Can't wait to workout today. Just so I can wear my new workout clothes 😂
453890890784714752,2014-04-09 13:43:15,He makes me feel beautiful and loved everyday ☺️ http://t.co/KoAxtye6HY
453746903121797120,2014-04-09 04:11:06,Thinking about my life. Glad I'm not where I used to be and only becoming a better person everyday. Life is truly a blessing.
453736419295387648,2014-04-09 03:29:27,Ordered the dress I wanted for a wedding coming up and excited for me and boo to match :)
453731862116958208,2014-04-09 03:11:20,Medicine than bed :( #thiscoughtho #sorethroat
453661657458167808,2014-04-08 22:32:22,I want some papusas 😩
453537268804751360,2014-04-08 14:18:05,"So excited for summer, especially summer clothes... #summertimefine 😍"
453371509625466880,2014-04-08 03:19:25,Workout clothes and nike shoes makes me happy :)
453269329782398976,2014-04-07 20:33:24,My glutes are on fire..... #sore
453206827656683521,2014-04-07 16:25:02,"It feels awesome outside, I can't imagine how Wednesday will feel!"
452985442686603264,2014-04-07 01:45:20,TGT - Our House reminds me a lot of the first time me and Michael started dating because I always listened to that song... #reminiscing 😊
452904509472120832,2014-04-06 20:23:44,Found a dress I want for a wedding coming up but not my size... 😔
452595876817801216,2014-04-05 23:57:20,Movie night ❤️ #CaptainAmerica http://t.co/OPZAzGSlTK
452470719113228289,2014-04-05 15:40:00,RT @WomenOfHistory: A good heart is more valuable then a pretty face. http://t.co/1isr2BeBH1
452273253638090753,2014-04-05 02:35:21,I just want some abs and a bigger booty... #work 💪
452253743900147713,2014-04-05 01:17:49,Keep trying on my new shoes... So in love 😍 But I want more :)
452196977099288576,2014-04-04 21:32:15,Need to get rid of some shoes on my shoe rack... @keelysaywut @Averiana_Momm come take the ones I don't want! Lol
451898231916871680,2014-04-04 01:45:09,My new babies 😍 Nike shoes makes me a #happywoman! http://t.co/t9gntAjZ6a
451528073897590785,2014-04-03 01:14:16,Hotel chillin... 😌 http://t.co/Djsl3n9QRU
451426925547118592,2014-04-02 18:32:20,My parents taking selfies ❤️ #socute #lovethem #mylife #repost http://t.co/oWlLXnc2H2
451360905867964416,2014-04-02 14:10:00,RT @melissa_say: Never fixate on the way things used to be... The past is not coming back.
451359735355154433,2014-04-02 14:05:21,Ready to get on the road to MN w/ my love :) @Michael_Klacik #roadtrippin
451231799180406784,2014-04-02 05:36:59,RT @RobHillSr: Sometimes you just have to stop and thank God for nothing else other than the fact that you aren’t where you used to be
451231661535940608,2014-04-02 05:36:26,"RT @RobHillSr: Love, without detail, is not love at all."
451227237069512704,2014-04-02 05:18:51,@Kashmoneyyyyy no but my boo works there so it's nice!!! Lol
451226677960388608,2014-04-02 05:16:38,@Kashmoneyyyyy I'll be there too!!! Going up there tomorrow to use that and Thursday :)
451156291470098432,2014-04-02 00:36:56,Packing for our mini road trip tomorrow :)
450825667009970177,2014-04-01 02:43:09,"RT @RobHillSr: ""Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man."""
450786349008703488,2014-04-01 00:06:55,"@RosieBo0 I know, that's the jam!!! I miss you too. We need to definitely catch up soon on life. It's been years and we live 3 houses down."
450589379770073088,2014-03-31 11:04:14,@thydamom you always wake up early!!! Get it girl. Miss you :)
450431483367268353,2014-03-31 00:36:48,RT @YoDaddyAsia: #YAGA https://t.co/CTaJoQwMhL
450417280719929344,2014-03-30 23:40:22,RT @RobHillSr: Don’t have more attitude than accomplishments… humble yourself
450417272775917568,2014-03-30 23:40:20,RT @RobHillSr: We ALL need to be humbled from time to time… it’s necessary for growth
450369491990355968,2014-03-30 20:30:29,Grillin w/ the fam today :)
450340754192605184,2014-03-30 18:36:17,Got it in on the track today! Miss these days! http://t.co/c8Pk5XhLoG
450311011547893760,2014-03-30 16:38:06,Hitting that East track today! Let's see if I still have my skills 😏
450300226478546944,2014-03-30 15:55:14,Selfie queen :) #nofilterflow #lastnightsselfie #ifeltpretty http://t.co/9eayUC8L2E
450043473199394817,2014-03-29 22:55:00,RT @Michael_Klacik: Best girlfriend award goes to...@MeganSay  :)) thank you babe!!
450041258787237888,2014-03-29 22:46:12,Left this Just Because gift in my love's car w/ a dinner date note tonight while he's at work. He has… http://t.co/u3ZgW4fspJ
450020601961644033,2014-03-29 21:24:07,Beautiful day to smile 💗 http://t.co/MHhCrGXuKt
449931947536416768,2014-03-29 15:31:50,You never know how crazy of a person you are until you fall in love...
449901454870847490,2014-03-29 13:30:40,Getting my hair done today. Super excited 😁
449730967293673473,2014-03-29 02:13:12,"✋
   \😩  HUUUAAHHH!!
     ((&gt;
     /\ @Michael_Klacik 😂😂😂"
449729444026916864,2014-03-29 02:07:09,That PARTYNEXTDOOR though 🎶
449682758902624256,2014-03-28 23:01:39,Can't wait for tomorrow 😍
449302005559738368,2014-03-27 21:48:40,Can it be Saturday? Ready to get my hair did :)
449297035036872704,2014-03-27 21:28:55,@Lafffuuurrraaa you know me and Michael gonna be there! I've been craving it!!! Lol
449186101677146115,2014-03-27 14:08:06,"The things you make me do, just let's me know how much I'm crazy bout you ☺️"
448977143536418816,2014-03-27 00:17:47,"Can't wait til MOA next weekend w/ the bae! Summer clothes, Nike clothes and shoes!!!! #excited :)"
448932977377292288,2014-03-26 21:22:17,@melissa_say I get mine done Saturday! Lol
448930572455264256,2014-03-26 21:12:43,@melissa_say when you getting it done?
448859311394287616,2014-03-26 16:29:33,Happy Hump Day 😎 http://t.co/Pc39TtChuy
448824220404187137,2014-03-26 14:10:07,"Sometimes we don't know how blessed we are to have small things, big feelings &amp; special people to make it worth it. Take nothing for granted"
448662116774326272,2014-03-26 03:25:59,Falling asleep to this amazing cover! John Legend - All Of Me (Cover by Derran Day) http://t.co/yQUBrei21R
448648466344837120,2014-03-26 02:31:44,My room smells amazing. These candles are awesome 😌
448462489748258817,2014-03-25 14:12:44,Transformation Tuesday! Lol http://t.co/jYgoYjrLlT
448252056684736513,2014-03-25 00:16:33,It's always a good feeling when you leave the gym! #gymrat 💪
448170142220820480,2014-03-24 18:51:03,"Leg day, booty work today 🍑💪"
447878177302380544,2014-03-23 23:30:53,"RT @dena_mao: Never stop dating, never stop showing her your love. Protect her. Always see the good in her. Fight for her."
447877972322562048,2014-03-23 23:30:04,Gym and laundry accomplished = Successful Sunday 👌
447599845985886208,2014-03-23 05:04:53,Need some new MAC make up!!!!
447593918046035968,2014-03-23 04:41:20,@melissa_say I would but I'm in bed cozy and lazy! Lol
447576600834764800,2014-03-23 03:32:31,@melissa_say home by myself for the night.
447576130514452480,2014-03-23 03:30:39,Pissed. 😒
447462800315539456,2014-03-22 20:00:19,"Even though I just got some new shoes, I just need more.... 😩 I love Nike shoes too much!"
447459803703812096,2014-03-22 19:48:25,Boo bought me new shoes 😬😁💪 http://t.co/jWftAyJNnz
447189532257959937,2014-03-22 01:54:27,@ItsMelinduhhh I am next weekend! So excited for a new look :)
447178879481163776,2014-03-22 01:12:07,Can't wait til summer! I look so much prettier dark :) Lol
447026385975263232,2014-03-21 15:06:10,I'm gonna have the hottest body this summer. Just wait.... 💪😏🍑 #gymflowerrrrday #determined #motivated #abs #bootywork
446779897684312065,2014-03-20 22:46:43,Wedding season is coming up! Love dressing up for weddings with my boo :)
446482631505346561,2014-03-20 03:05:29,The last 6 months have been the best months of my life. So happy. ❤️
446323728096309250,2014-03-19 16:34:03,"My niece said to me and Michael last night....""did somebody want to take a nap with me?"" So cute 💗"
446288018429603842,2014-03-19 14:12:09,Happy Hump Day 😛 http://t.co/boKNEjQWoR
446082199855828993,2014-03-19 00:34:18,Picture perfect ❤️ #BFFs http://t.co/xDFxOLVbCt
445982672855498754,2014-03-18 17:58:49,You got me or nah? Thanks baby love you for all you do :) “@Michael_Klacik: @MeganSay got you boo :)”
445978450013089792,2014-03-18 17:42:03,Feeling really sore today! #yikes #needamassage
445959096068366336,2014-03-18 16:25:08,"Can't wait to get some QT time with my love after work. Just me &amp; you, nobody else ❤️"
445746916316295168,2014-03-18 02:22:01,So cute the way my dad takes care of my mommy when she's sick. I knew I always wanted someone like my daddy.
445722816705359872,2014-03-18 00:46:15,Nothing ever goes my way but that's life. I'll be alright.
445643815844859904,2014-03-17 19:32:20,"Happy St. Patty's Day, I'll be at the gym tho 💚💪 http://t.co/N3T6tIZoop"
445510580632170496,2014-03-17 10:42:54,@thydamom miss you too! Can't wait to see you soon!
445508760237527040,2014-03-17 10:35:40,Been up since 4 am. I'm so tired!
445047602636390400,2014-03-16 04:03:11,FML I will never drive on I-80 in this weather! #almostcried #couldntsee #toodark
445026558802030592,2014-03-16 02:39:34,"RT @RobHillSr: ""When it's that real... it just doesn't fade..."""
445021740612067329,2014-03-16 02:20:25,RT @Michael_Klacik: At machine shed eating breakfast with my bae. Too hungry! @MeganSay
444883167242354688,2014-03-15 17:09:47,"I farted so loud at this restaurant, but I thought it was gonna be silent but echoed off the seat. I'm embarrassed. Oh well... :)"
444265852708216833,2014-03-14 00:16:48,Every woman just wants someone that's a little obsessed with them... ❤️
444112580450058241,2014-03-13 14:07:45,It's so cute when my daddy likes my stuff on Facebook. Love my daddy. ❤️
443963159712247808,2014-03-13 04:14:00,JLo killin it! My type of swag... 😍😍 http://t.co/zQ4Eatx9Je
443903256662511616,2014-03-13 00:15:58,Got first dibs on my aunties clothes :) got some super cute clothes I can't wait to wear! Sorry y'all @melissa_say @YoDaddyAsia @keelysaywut
443791728600809473,2014-03-12 16:52:48,I really can't wait to spoil myself because I think I deserve it. Need some new clothes &amp; shoes for Spring and Summer. I already got a list.
443387472471273473,2014-03-11 14:06:25,Looking at wedding dresses! I can't wait to get married one day 😍
443222163638984704,2014-03-11 03:09:33,Falling asleep &amp; waking up next to the one you love is the best feeling :) #allsmiles
443187174247526400,2014-03-11 00:50:31,New lightning leggings boo got me 😍😍 worked my booty off in these today. #legday http://t.co/4KfTYgXjcb
443098935544905728,2014-03-10 18:59:53,This is some track weather for you! Man how I miss those days.
443025166315307010,2014-03-10 14:06:45,Can't wait to clean my car and workout after work :) #beautifulday
442819122624086016,2014-03-10 00:28:00,"Grillin with the fam!!!! I love when the weathers warm, we always grilling."
442809829417955328,2014-03-09 23:51:05,RT @TonyGaskins: Cheating is never worth it. We have to realize that we have is all we need!! http://t.co/vycnMilCb7
442738482083926016,2014-03-09 19:07:34,Beautiful weather! Loving it!
442707369978384385,2014-03-09 17:03:56,I love my family! Family life is the best life :)
442684547323269120,2014-03-09 15:33:15,Michael must've elbowed me while we we're sleep. My eye is swollen &amp; hurts. #pissed
442403266312142848,2014-03-08 20:55:32,"Pho 888 was a good lunch! Food coma now, ready to nap before dot seen &amp; games with the fam!"
442170991163097088,2014-03-08 05:32:34,RT @melissa_say: Fun night with my family! Love em ❤️
442143916729843713,2014-03-08 03:44:59,RT @YoDaddyAsia: I love my family. ❤ #Blessed
441991349475102720,2014-03-07 17:38:44,"Excited to see progress in my body in the next few weeks cause I'm seeing results already. Abs, arms, glutes, everything 😁💪 #work"
441990366645223425,2014-03-07 17:34:49,"Very blessed to have someone that motivates me, supports me and makes me a better woman everyday. So in love. @Michael_Klacik"
441988895409197056,2014-03-07 17:28:59,Timing. 👌 http://t.co/GUDIaITCJb
441954587550158848,2014-03-07 15:12:39,RT @melissa_say: Family night tonight!!! Games &amp; lots of food! @MeganSay @Monica_Mom @Jonathan_Mom @jennmyers93 @YoDaddyAsia @keelysaywut @…
441590671527649280,2014-03-06 15:06:35,#TBT can it be summer? Ready to be tan &amp; have lighter hair :) http://t.co/UIHFKS4jnY
441436247643287552,2014-03-06 04:52:57,"All my life, I pray for someone like you and hope that you love me too.... 🎶"
441388113189801984,2014-03-06 01:41:41,RT @WHOtv: BEAUTY BAR: New Type Of Salon In Metro http://t.co/nwsf5CYLMu
441388022542516224,2014-03-06 01:41:19,So happy for my aunt &amp; her business! “@WHOtv: BEAUTY BAR: New Type Of Salon In Metro http://t.co/YB27Sv6O35”
441262505805897728,2014-03-05 17:22:34,Had sushi last night and having sushi again tonight :)
440693009923862528,2014-03-04 03:39:35,"Thinking a date night soon. I just wanna get dolled up, I'm always in workout attire."
