id,created_at,text
419693882373185536,2014-01-05 04:56:33,@JaeMermaid send me a picture of it or just give me the year and model and I'll let you know
403350743098195968,2013-11-21 02:34:45,What is this?
402223030257987584,2013-11-17 23:53:38,@Jack3DeionTe @BasicallyRicky determination.
402221985066807296,2013-11-17 23:49:28,@BasicallyRicky ready for round 2?
402220166638862337,2013-11-17 23:42:15,RT @BasicallyRicky: Me and @Mr_GooodWood 3 hour workout today &gt;&gt; 👏
374004258099580928,2013-09-01 03:02:18,@actuallymel_ thank you😊😚
374004212679462912,2013-09-01 03:02:07,RT @actuallymel_: @Mr_GooodWood happy birthday dom 😊😙🎈
374001788694712321,2013-09-01 02:52:29,RT @Too_Raw_BigB59: Happy Birthday to my boy Dookie!!!! @mr_gooodwood http://t.co/8AifkXy6mT
374000976048312321,2013-09-01 02:49:15,@KaylaN_12 thanks Kayla!😊
374000939507523584,2013-09-01 02:49:07,RT @KaylaN_12: @Mr_GooodWood happy birthday dom! :)
374000917076406272,2013-09-01 02:49:01,@Master_Mariah thank you!😊
374000869160648704,2013-09-01 02:48:50,RT @Master_Mariah: Happy birthday @Mr_GooodWood 😊🎊🎉🎈
374000837845999617,2013-09-01 02:48:43,@AubreyJimenez_ thanks! :)
374000802773213184,2013-09-01 02:48:34,RT @AubreyJimenez_: Happy birthday @Mr_GooodWood!
373997348302495745,2013-09-01 02:34:51,@DEAGO__ thanks bro
373997329503629312,2013-09-01 02:34:46,RT @DEAGO__: Happy Birthday dawg  @Mr_GooodWood 🎉
373996713662373888,2013-09-01 02:32:19,@OH_Leaah thanks! :)
373996651611824129,2013-09-01 02:32:04,RT @OH_Leaah: @Mr_GooodWood happy birthday :)))!
373993553468215296,2013-09-01 02:19:46,RT @BasicallyRicky: Happy birthday 😘🎉🎊 @mr_gooodwood http://t.co/p7mpbA1nJM
373430014244446208,2013-08-30 13:00:28,RT @laurvalday: HAPPY BIRTHDAY TO MY BIRTHDAY BUDDY!!! @Mr_GooodWood have a great one Dom! 😁😊🎉🎈
373296412890382336,2013-08-30 04:09:35,"“@CrucialDee_: If it looks as good as he says lol” no cleats, sperrys"
373296336705048576,2013-08-30 04:09:16,RT @CrucialDee_: Me &amp; @Mr_GooodWood starting that new trend mañana 😏👏
373295750005805056,2013-08-30 04:06:56,Don't make fun of my on field swag😏
373295162383806464,2013-08-30 04:04:36,Happy birthday to you! Happy birthday to you! Happy birthday dear Laura! Happy birthday to you! Happy birthday Laura! 🎈🎉😊 @laurvalday
372915911843278848,2013-08-29 02:57:36,@Jeremangel yuh!😘
372523825658724352,2013-08-28 00:59:35,RT @Jeremangel: Have to watch Mr.Crawford's videos on YouTube 😒
372523550621458432,2013-08-28 00:58:30,@Jeremangel I got you💁
372522936055250944,2013-08-28 00:56:03,@Jeremangel this head ah ni didn't give them to me😒 I'll get them tomorrow😘
372518273570447360,2013-08-28 00:37:32,@Jeremangel walking out with my sperrys..😔😒
371812068686446593,2013-08-26 01:51:19,"Fuck Taylor. Calling hairy out and shit, bros before hoes"
371810180045889536,2013-08-26 01:43:49,@nattheekatt poop
371809704902524929,2013-08-26 01:41:56,"Calm down kanye, gonna try jumping to another stage and shit"
371809010359357440,2013-08-26 01:39:10,North west?! No? Okay..
371806799692701696,2013-08-26 01:30:23,Speaker commercial on point or?😂
371806164545073153,2013-08-26 01:27:52,I don't think kendrick mentioned you in his line.. You suck.
371805889730052097,2013-08-26 01:26:46,Selena Gomez😏
371805326263070721,2013-08-26 01:24:32,Just let kendrick go off on everyone..
371804699197853697,2013-08-26 01:22:02,These niggas be dressing up stupid af
371804118366437376,2013-08-26 01:19:44,"Miley, kill yourself.."
371791002782035968,2013-08-26 00:27:37,RT @CrucialDee_: @Mr_GooodWood @BasicallyRicky ewww poop tweet !
371790264332873728,2013-08-26 00:24:41,@CrucialDee_ @BasicallyRicky damn it! I wiped my ass with my phone!
371789125898076160,2013-08-26 00:20:09,@CrucialDee_ @BasicallyRicky is it weird if I'm pooping and having this conversation with y'all?
371788682501423104,2013-08-26 00:18:24,"@CrucialDee_ @BasicallyRicky oh shit, who tagged him?!"
371788540394217473,2013-08-26 00:17:50,@CrucialDee_ @BasicallyRicky @Credus_Anthony we'll get back to you around prom time
371788276761251841,2013-08-26 00:16:47,@BasicallyRicky @CrucialDee_ I think a spot just opened up😏😈
371787839328907264,2013-08-26 00:15:03,@BasicallyRicky well me and you eat after practice but @CrucialDee_ on the other hand..😒😔
371787431818694656,2013-08-26 00:13:25,“@BasicallyRicky: I get to eat lunch with my lunch crew finally 😭💕 @CrucialDee_ @Mr_GooodWood” it's the only thing I'm looking forward to❤
368934815837343744,2013-08-18 03:18:09,@CarrotTopp_ yuh!!
368914612910964736,2013-08-18 01:57:52,Saw the legendary @CarrotTopp_ at HEB! He's on a mission 👷
367599730848579586,2013-08-14 10:53:00,"Twitter is annoying as hell at all times of the day, damn."
367245028336222208,2013-08-13 11:23:32,Can we just strap up already and kill the sophomores?
367244638970589184,2013-08-13 11:21:59,Grinding after I rise
367040680939356160,2013-08-12 21:51:32,RT @BasicallyRicky: #currently with @Mr_GooodWood &amp; Richardddd http://t.co/epJnGv2swp
