id,created_at,text
456652523676262401,2014-04-17 04:37:00,RT @brinamoniquee: Niggas talk more than bitches these days
456651836292747264,2014-04-17 04:34:16,RT @LUXURYPlCTURES: Dat ass. http://t.co/G7YOmT0185
456651056252862464,2014-04-17 04:31:10,RT @BeIieveOrNot: Ceiling art in smoking room http://t.co/jNsRDtUlXb
456648191228665856,2014-04-17 04:19:47,RT @WisdomyQuotes: http://t.co/vTk1ouHEit
456646066150993920,2014-04-17 04:11:21,RT @Rene: don’t abuse trust.
456641038489104384,2014-04-17 03:51:22,Jarel Jarel Jarel Jarel Jarel Jarel Jarel 😍 he's so amazing 😭
456637116806475776,2014-04-17 03:35:47,My knee is starting to hurt again.😣
456239588210520064,2014-04-16 01:16:09,I need more sleep
455937260018356224,2014-04-15 05:14:48,RT @VeeNaay_: I love Choff and Nat💘😂
455902443734175744,2014-04-15 02:56:27,RT @DearDaniela_: Corona and Lime- Shwayze👌👌👌
455900329494585344,2014-04-15 02:48:03,@kaatherinerojas I feel your struggle girlfriend... I feel it 😭
455899521008951296,2014-04-15 02:44:50,@kaatherinerojas oooooo that sounds soooooo good 😭
455899012587982848,2014-04-15 02:42:49,I need tea😔
455898823395512321,2014-04-15 02:42:04,Ride or die for Jarel.
455897845195743233,2014-04-15 02:38:11,That didn't make any sense lmao
455897663926329345,2014-04-15 02:37:27,"I have the best view of the moon from my window rn, so beautiful."
455896668211142656,2014-04-15 02:33:30,RT @RelatabIeThings: When someone tells you to calm down http://t.co/LecrNqafVA
455895871981236224,2014-04-15 02:30:20,First day of preschool today 😄💗 http://t.co/3fpI6VfdBc
455890641084354560,2014-04-15 02:09:33,RT @TheAshleySky: If you don't sing in the shower we won't get along 😋
455889914391846914,2014-04-15 02:06:40,"RT @bxlvo: Worrying only makes life complicated. 
Focus on the things that matter. 
Stop stressing over pointless shit."
455888097142509568,2014-04-15 01:59:27,RT @SoDamnTrue: OH MY GAWD 😱😨 http://t.co/GUpBR469mL
455886128889868288,2014-04-15 01:51:37,RT @MeltdownJim: I need to go to Barnes and Nobles and get a new book. 😩😭
455862225702367232,2014-04-15 00:16:38,RT @common_donut: 🍩 even look at me hoe
455861204808785921,2014-04-15 00:12:35,"RT @Rene: the quieter you become,
 the more you can hear"
455861187331096576,2014-04-15 00:12:31,RT @FreddyAmazin: Miley Cyrus and Vanessa Hudgens 😻❤😈 http://t.co/4GRWexsn0y
455854213856120832,2014-04-14 23:44:48,✨✨✨ http://t.co/4LJlP3SCPV
455559976652517376,2014-04-14 04:15:36,West coast // coconut records
454998908804923392,2014-04-12 15:06:08,RT @miilkkk: Emojis be TURNT up when ain't looking 😩 http://t.co/BfCHR52WV7
454997301111447552,2014-04-12 14:59:44,RT @sashaababyy_: Before I left to work me: cheek me Nat *cheeks me*  haha we cuteee
454997239182553089,2014-04-12 14:59:29,@sashaababyy_ that's right 😎
454997077492133888,2014-04-12 14:58:51,RT @miilkkk: THIS IS THE CUTEST THING EVER 👶 https://t.co/vuqAWASMlv
454996920813903873,2014-04-12 14:58:14,@sashaababyy_ are you tweeting and driving ?
454996146423742465,2014-04-12 14:55:09,RT @TheAshleySky: Make today an amazing one!
