id,created_at,text
451034215090376704,2014-04-01 16:31:51,- Wassup crazies I'm back
444589480805433344,2014-03-14 21:42:46,- only person i wish was here wit me rite now that could make me feel better is @yamomhouse ...why he gotta be so far away? 😔😢😢😢
442286239857664000,2014-03-08 13:10:31,- lost trust in a lotta muh fuckas
441420289126445056,2014-03-06 03:49:32,- was chillin at the apartment waitin for JonJon to come back....and...HE CAME BACK!! woot woot! lol… http://t.co/QdYrgUj2x8
441024232349122561,2014-03-05 01:35:45,RT @Th3ReasonBitch: Make it home- august alsina. . Kinda sick tho. https://t.co/5VBd17hzBA
440462509053870080,2014-03-03 12:23:40,- my lovely #facebook post to start off the day 😏😁😝😜😄😂 so damn #true speaking that #realshit #realtalk… http://t.co/rh2w3G1vu8
440460299997839360,2014-03-03 12:14:53,"- tubesteak, cigarette, triangle...breakfast of champions 😀😜😏 its gonna be a good day"
440291921265586176,2014-03-03 01:05:48,- chillin wit my ppl tonight ayeee
440113310256484353,2014-03-02 13:16:04,"- been awake all night chillin in the living room writing, drawing and choppin it up with JonJon"
439090529888792576,2014-02-27 17:31:54,- lost maad respect
437195360033710081,2014-02-22 12:01:11,- good morning
436420888473251841,2014-02-20 08:43:42,- putting ur all into somebody when they dont really even give a fuck is the worst feeling ever
436351404999843840,2014-02-20 04:07:36,- been neglecting the hell outta twitter lol
434935857976311808,2014-02-16 06:22:43,RT @SammyTellem: I wish I was doing this right now with #Oomf 😩💞 http://t.co/lB5qFM6LV4
434921952747065345,2014-02-16 05:27:28,- never talk to the cops i dont speak pig latin
434630791557955584,2014-02-15 10:10:30,- chillin wit my roommate
434622939623743489,2014-02-15 09:39:18,@yamomhouse and u wonder why i think the things i do bout u lol
434333842929754112,2014-02-14 14:30:32,- thats just my own personal feeling bout it. i hope everybody else has a good valentines day tho
434333632459599874,2014-02-14 14:29:42,- fuck a relationSHIT
434333562670563329,2014-02-14 14:29:25,- Valentines day sucks lol
432738474866003968,2014-02-10 04:51:06,"- When ur third grade teacher told ur that there's no such thing as a ""stupid question""... that bitch lied to u"
431720236660711424,2014-02-07 09:25:00,"- have no idea what im gonna do today, i kno ima pick up my check then figure out somethin til i go to work at 5"
431719378275409920,2014-02-07 09:21:35,"- aint shit on TV, only thing worth lookin at is the music on MTV and VH1"
431719211786711041,2014-02-07 09:20:55,- ughh fuck
431713065508143104,2014-02-07 08:56:30,- this song tho...
