id,created_at,text
456845596637143040,2014-04-17 17:24:12,Time to hit the links. ⛳ #FORE
456843016074825728,2014-04-17 17:13:57,@morgankotars Dying of laughter. The night I found you sleeping on the hallway floor and you complained your back was hurting. I hate you.
456837470101843968,2014-04-17 16:51:55,RT @morgankotars: Phone is at 39% and it's not even noon. That kinda day @SamanthaLebbos
456837461843251200,2014-04-17 16:51:53,RT @bobbijokes: @SamanthaLebbos there's gotta be one person who has it the absolute worst though.
456833585652060160,2014-04-17 16:36:29,@morgankotars Jesus. This life hasn't been easy since 1991.
456830799988658176,2014-04-17 16:25:24,The only thing worse than guys wearing Crocs is when they wear the shirts with the fake sleeve tattoo attached to them. #stop
456568440308768768,2014-04-16 23:02:53,@bobbijokes Jerry Sandusky??
456567038392033281,2014-04-16 22:57:19,If you think you are having a bad day just remember that there's always someone out there who has it worse.
456532669291962368,2014-04-16 20:40:44,Chicago Bulls dream team 🙌 #BowDown http://t.co/GhtqjECAj3
456530651349401602,2014-04-16 20:32:43,@JayBaklava I KNEW IT! Proud of you for trying new things. You're an all-star now!!
456528621658595330,2014-04-16 20:24:39,@JayBaklava OMG DAYUM! Where are you? Try Coast Sushi in the South Loop. How do you like it? Put one in your pocket and save it for me.
456501808106455040,2014-04-16 18:38:07,@morgankotars touché my little sunflower. 🌻🌻
456501667735670784,2014-04-16 18:37:33,RT @morgankotars: @SamanthaLebbos Or a steak sandwich...
456482423451049984,2014-04-16 17:21:05,Nothing else matters when you know you have clean sheets waiting for you at home.
456397384310726657,2014-04-16 11:43:10,RT @LunchBoxFR: I love working w/ my @SamanthaLebbos. She is the sun in my sky. If I was thirsty she would be the water. If I was blind she…
456381621835665408,2014-04-16 10:40:32,Good morning world 🙌 I'm happy it's 29 degrees out in April...
456269633822011392,2014-04-16 03:15:32,"Absolutely Amazing: ""The World's Toughest Job Will Make You Appreciate Someone Special In Your Life"": http://t.co/R5BMYrUQCi via @elitedaily"
456169783575068672,2014-04-15 20:38:46,The winter struggle is real. http://t.co/nJjOCJP57Z http://t.co/RaGquucHbf
456060947212165120,2014-04-15 13:26:17,"""What does I-D-K mean?"" - dad
""I don't know."" - me
""Well can you find out?"" - dad
😑"
456058545444630528,2014-04-15 13:16:45,"@JoakimNoah finds out it's snowing in Chicago and he has the best reaction.
https://t.co/ExIYQlxIup"
456047040229695488,2014-04-15 12:31:01,"Right up our alley @morgankotars: ""The top 10 Italian beef sandwiches in Chicago"" @Thrillist http://t.co/1V53U4KK3V"
455913871698456578,2014-04-15 03:41:52,@klin1989 I did.
455913038776791042,2014-04-15 03:38:33,Wake me up when Pharrell retires that hat.
455886919499399168,2014-04-15 01:54:46,"""Name 6 things that are annoying you right now."" - me 
""Everything."" - @morgankotars 
#RightOn"
455860687382667264,2014-04-15 00:10:32,I love snow. I also love when puddles splash all over my face from cars driving by. I just love my life.
455816152988397568,2014-04-14 21:13:34,@LunchBoxFR She doesn't have a Twitter so the only way she can follow you is if she stalks you.
455814792263905280,2014-04-14 21:08:09,@LunchBoxFR Nikki and I are Loling because that's not Nikki's Twitter. We love you!!!
455813189481938944,2014-04-14 21:01:47,@LunchBoxFR I appreciate you!! Always making my days easier. We will reunite on Wednesday. Lord help us.
455808270469713920,2014-04-14 20:42:14,@LunchBoxFR Did you leave these gifts for me at work? #TeamWisconsinTraffic http://t.co/KOKrWs2Etc
455733992008855552,2014-04-14 15:47:05,LeBron James is the new McDonalds sponsor? I regret every chicken nugget I have ever eaten. #GetOut
455730526679080960,2014-04-14 15:33:19,Good job and nice suits beats snapbacks and tattoos.
455522274326880256,2014-04-14 01:45:48,The real Masters champion is right here... http://t.co/rrlVzKKLy6
455494269273255936,2014-04-13 23:54:31,@bobbijokes Now all you have to do is find a lost dog and you'll be good until December.
455493995955621888,2014-04-13 23:53:25,@MauriceHalsted Crying of laughter. Hmmmm Is it the name of a SHOT? Kudos for getting a good pic.
455484729651781634,2014-04-13 23:16:36,@Skripmusic For breakfast???
455478260596367361,2014-04-13 22:50:54,"The name ""Bubba Watson"" just sounds like a winner. #Masters2014"
455444301866999808,2014-04-13 20:35:57,Does anyone have the time by any chance? http://t.co/uyaGymBLd3
455422143312850945,2014-04-13 19:07:54,I approve of this PSA. “@rossesterdahl: @SamanthaLebbos I've grown up. It's fireball now”
455421302656884736,2014-04-13 19:04:34,RT @EliteDaily: Outkast is finally back. Thank you music gods. May Dre and Big Boi never part again: http://t.co/jsY5UWt8VW
455419964824883202,2014-04-13 18:59:15,Happy ✋(Palm) Sunday!
455418629861818368,2014-04-13 18:53:57,@rossesterdahl HII IMISSYOUTOO! Thinking about coming in a couple weeks. No rumple tho...
455418382758592512,2014-04-13 18:52:58,RT @rossesterdahl: @SamanthaLebbos Hi. I kinda miss you. That is all.
455377739134926848,2014-04-13 16:11:28,ILY  @CalvinLebbos http://t.co/t6kCkAeA32
455034150144053251,2014-04-12 17:26:10,30 Photos Of Earth That Remind You Just How Ridiculously Beautiful It Can Be -  http://t.co/bs1QGXeARp
454810889007677440,2014-04-12 02:39:00,"@garylfjr I appreciate it, Gar! Happy weekend! #ff"
454746565479911425,2014-04-11 22:23:24,@fredonair omg hi!!!!!!!!!!!! Aloha hola hello!!!
454745113315377152,2014-04-11 22:17:38,😘 Ya I'm da best. “@CalvinLebbos: So this just happened http://t.co/ENQSoOy6tr”
454714001306681344,2014-04-11 20:14:00,If I could marry a snack it would be an apple and peanut butter.
454704111452422144,2014-04-11 19:34:42,"Came home from work to my nephew and a ""just because"" gift. This is the life. http://t.co/oJqUprjNdx"
454632163107815424,2014-04-11 14:48:49,Nickelwack “@LunchBoxFR: @SamanthaLebbos This is how you remind me of what I really am.”
454631751907024896,2014-04-11 14:47:10,Dear God please look upon me while I step outside hungover with no sunglasses on this sunny day.
454611850366181376,2014-04-11 13:28:06,@phantogram and @morgankotars. Thursday night grooves. http://t.co/5WW19xsVFH http://t.co/peYjcRkm5c
454592102173655041,2014-04-11 12:09:37,Nickleback bumping at work. WHY????????? @LunchBoxFR @trent_erikson
454571063846772736,2014-04-11 10:46:01,Woof “@morgankotars: Most girls fast before going out. Nah... @samanthalebbos http://t.co/FcfY4XeNll”
454554074344472576,2014-04-11 09:38:31,"@TyLett33 OMG KIT KAT. u know I miss you. Jesus please don't send CAT to me. I'm on level 1,098. Trying to beat it all. Xoxo wanna c u soon"
454553782748053504,2014-04-11 09:37:21,RT @TyLett33: @SamanthaLebbos kitty cat be good! Or else I'm sending cat reed on you!! I think your on level 850.. Let me type into my wris…
454417929304420352,2014-04-11 00:37:31,Dumb &amp; dumber unite on a Thursday night for @Phantogram. Gunna shake it like it's our first 8th grade dance @morgankotars. No chaperons tho
454329494115848193,2014-04-10 18:46:07,RT @morgankotars: Bribing my only friend @SamanthaLebbos to hang out with me tonight.
454318333303586816,2014-04-10 18:01:46,I said I'll hang out if you let me borrow a jean skirt “@morgankotars: Bribing my only friend @SamanthaLebbos to hang out with me tonight.”
454280140466311168,2014-04-10 15:30:00,I can usually tell by the way someone parks if I like them or not.
454274999939919872,2014-04-10 15:09:34,"RT @morgankotars: ""I told my dad I need a new phone &amp; he said ""for your bday"" I'm not 12 anymore I don't need shit for my bday I need it no…"
454274976846077952,2014-04-10 15:09:29,"RT @morgankotars: @zanemager @SamanthaLebbos In that case, all we can afford is walkie talkies... Motorola me."
454274976732815361,2014-04-10 15:09:29,"@morgankotars @zanemager um no not even a walkie talkie. If that's the case, all we can afford are two cups and a string."
454267979102822400,2014-04-10 14:41:40,Breakfast before work. My main man. http://t.co/JWYLL73Ke6
454089119782535168,2014-04-10 02:50:57,"Bulls, Cubs and Blackhawks win. #Chicago!!"
454087684848640001,2014-04-10 02:45:15,Dang Cubs! Ooo kill em.
454060138979024896,2014-04-10 00:55:47,When you post pictures of all your money on social media and then get robbed...are you actually surprised?
454039489770315776,2014-04-09 23:33:44,"RT @CTABUS22: What the goddamn hell is this, Lebbos? @ScottyKOnAir @SamanthaLebbos #CTA"
454028996096040960,2014-04-09 22:52:02,@CTABUS22 sorraaay honnay. @ScottyKOnAir and I love you very much I promise.
454000304195764224,2014-04-09 20:58:02,"RT @ScottyKOnAir: True love! @SamanthaLebbos Happy birthday to the groovy &amp; hip, @ScottyKOnAir! To the moon &amp; back I will love u 4evaa http…"
453991071987417089,2014-04-09 20:21:20,"Today, McDonald's on Clark/Lake ran out of straws. Apocalypse 2014."
453946247100264448,2014-04-09 17:23:13,Sunshine. http://t.co/QrVU6kR2OZ
453945960343683072,2014-04-09 17:22:05,I win. “@jarodyak: @SamanthaLebbos pics or it didn't happen #SunnySelfie” http://t.co/BftxpquF0J
453937356195004416,2014-04-09 16:47:54,Nothing beats Chicago when the weather is on point and the sun is shining.
453884519997652992,2014-04-09 13:17:56,"Happy birthday to the groovy and hip, @ScottyKOnAir! To the moon and back I will love you 4evaaaa. http://t.co/crLVRYFY5X"
453884339604836352,2014-04-09 13:17:13,#AnywaysDontCare “@DrunkAtChurch: @SamanthaLebbos #sothatscoolbye”
453884106300870657,2014-04-09 13:16:18,Yes!!! “@amir_motahari: @SamanthaLebbos every person's dream”
453740706838749185,2014-04-09 03:46:29,@jarodyak plz don't!
453740618422816768,2014-04-09 03:46:08,👍👍👍👍 “@androstorres: @SamanthaLebbos lol. Idk it looked like he got fouled one way or another. Oh well happy Brooklyn won”
453739872411332608,2014-04-09 03:43:10,"Dear God, I hope to wake up to bacon tomorrow morning. And thank you for everything you've given me. Amen 🙏"
453723529771364352,2014-04-09 02:38:13,LeBron is crying. What else is new?
453722804316155905,2014-04-09 02:35:20,Guacamole grosses me out. I like my avocados plain. #SueMe
453684603132198912,2014-04-09 00:03:33,@MauriceHalsted Yes! May 1st is my move in day. Party time or what?
453683458431123456,2014-04-08 23:59:00,@MauriceHalsted I've been here for a year! You're in the dog house.
453670532186001408,2014-04-08 23:07:38,@morgankotars Looking for a friend... http://t.co/d7tgPHeqvJ
453651643876143105,2014-04-08 21:52:35,I was more productive than I figured I would be today (not including that 2 hour nap I took after my DayQuil😑)
453650882115014656,2014-04-08 21:49:33,@MauriceHalsted OH YEAH? Always with the good comebacks. Watcha been up too? Tequila soon? Holla
453650542904897536,2014-04-08 21:48:12,Nice “@DayonMusiq: @SamanthaLebbos ............http://t.co/FFVOA8R5uy”
453636279150706688,2014-04-08 20:51:31,"New Music by @1future feat. @kanyewest - ""I Won"": https://t.co/VPWX5fHbtf"
453570064290050048,2014-04-08 16:28:24,Late morning yoga 🙌
453511763720282113,2014-04-08 12:36:44,RT @BartShore: CTA Red line using  elevtd trks btwn Fullerton &amp; Cermak-Chinatown due to debris on the trcks @WBBMNewsradio  http://t.co/ClL…
453341494183616513,2014-04-08 01:20:09,RT @sassytbh: when you're about to go out with ur girls &amp; all ur outfits are on point http://t.co/zxnLWNZ9rW
453310539725160448,2014-04-07 23:17:09,Kentucky vs. Connecticut? So I have to pick between BBQ/fried chicken and hamburgers? This is difficult. #MarchMadness2014
453307600902160384,2014-04-07 23:05:28,Shout out to @NEPHEWFROMTHEGO for the good laughs! See you next month! #goodpeople
453291143691010048,2014-04-07 22:00:05,"My dad bet me that I couldn't find better car insurance but I did. Luckily, I know how to use the Internet and a phone. What's my prize?"
453264521985941505,2014-04-07 20:14:17,Nothing like your mom giving you that extra motivation on a gloomy Monday. #blessed
453256594248060928,2014-04-07 19:42:47,RT @RussIsAlive: @SamanthaLebbos #BenchMob
453253257519824896,2014-04-07 19:29:32,Chicago Bulls re-sign Ronnie Brewer for the rest of the season! Awesome.
453244877984124928,2014-04-07 18:56:14,Hiiii 👋✋👋✋
453170359303274496,2014-04-07 14:00:07,@LunchBoxFR We're all bullies! The Greasers.
452969276811382784,2014-04-07 00:41:06,"RT @EliteDaily: An open letter to the Hollywood industry execs, challenges them to increase representation of women: http://t.co/i6AzbXAMyI"
452969130551820288,2014-04-07 00:40:31,@LizHosch @ahoscheid3121 You already have a child...me.
452886703141699584,2014-04-06 19:12:58,Sean Paul tho.
452626519253188608,2014-04-06 01:59:06,RT @morgankotars: @SamanthaLebbos When you gonna ask me out?? Asking for a friend....
452626513741885440,2014-04-06 01:59:04,@morgankotars Do you want to go steady? I'll give you my leather jacket and we can share a large milkshake then drink 99 apples...yes/no?
452621588140392449,2014-04-06 01:39:30,Wisconsin Badgers #ftw
452586771948122112,2014-04-05 23:21:09,"@MhardyESPN @Quiet_Mercenary Montel, you better watch it! 😎"
452585500545544192,2014-04-05 23:16:06,RT @Quiet_Mercenary: I love @SamanthaLebbos... I told her I'd admit it. *Drizzy Voice*
452585494992257024,2014-04-05 23:16:05,@Quiet_Mercenary my number one! I heart you!
452573040748941312,2014-04-05 22:26:35,All white and silver everythang for the new room. A test of maturity...here we go.
452540138967412737,2014-04-05 20:15:51,Good luck tonight @BenBrust! #ooKillEm
