id,created_at,text
456780264635510786,2014-04-17 13:04:36,"Today stats: No new followers, 3 unfollowers and followed 2 people via http://t.co/kJCl6JAYCt"
456749218514751488,2014-04-17 11:01:14,Although you might not be able to break free from previous obl... More for Scorpio http://t.co/iEwxUc9f0u
456611682324738048,2014-04-17 01:54:43,Finally mine. ❤️👌 http://t.co/qFfEuYzc0Q
456607296643035136,2014-04-17 01:37:17,"RT @edsheeran: Within a week of radio plays and sales, SING is now my highest charting single ever in the states. Mental. Thanks to everyon…"
456386560053616640,2014-04-16 11:00:09,You are drawn into the mesmerizing mysteries of your own imagi... More for Scorpio http://t.co/iEwxUc9f0u
456057197533749248,2014-04-15 13:11:23,"Today stats: 3 followers, No unfollowers and followed one person via http://t.co/kJCl6JAYCt"
456025270319710208,2014-04-15 11:04:31,Sometimes it's impossible for you to keep cool when your emoti... More for Scorpio http://t.co/iEwxUc9f0u
455879838461861888,2014-04-15 01:26:37,"Vidéo : faultinourstarsmovie: It’s a metaphor, you see. Check out this new clip from #TFIOS. http://t.co/qMRGaA8ZOQ"
455876761239433216,2014-04-15 01:14:24,RT @edsheeran: Mazel tov
455876736878915585,2014-04-15 01:14:18,"RT @edsheeran: Session with @zanelowe done, photo shoot done, all of the stars video done, now off to a Passover dinner coz that's how I be…"
455694422143799296,2014-04-14 13:09:51,"Today stats: 2 followers, One unfollower and followed 2 people via http://t.co/kJCl6JAYCt"
455661794434904064,2014-04-14 11:00:12,Every task -- no matter how minor -- is more complicated when ... More for Scorpio http://t.co/iEwxUc9f0u
455661547096797187,2014-04-14 10:59:13,I don't know how I will get through this day.
455530964635373569,2014-04-14 02:20:19,❤️ http://t.co/Re6GYlIpTc
455515375539875840,2014-04-14 01:18:23,"@edsheeran I feel pain almost every day cause of my knees problems but when I listen to your music, it relaxes me a lot. Thank you. xx"
455515125823598592,2014-04-14 01:17:23,RT @GreaterThn: sad but true http://t.co/BP8ZpK8mLI
455513977335087104,2014-04-14 01:12:49,😞
455513124427558912,2014-04-14 01:09:26,I'm tired of feeling this pain almost every day.
455512912581648384,2014-04-14 01:08:36,I seriously wish that my knee could break so I would go faster to the hospital and not waiting for months/years to get my surgery.
455494796220833792,2014-04-13 23:56:36,"RT @edsheeran: big up the dude who makes the piano cover versions for the aeroplane backing music, always up to date"
455493279644418048,2014-04-13 23:50:35,✌️ http://t.co/E6JSZCzF3u
455487918032048128,2014-04-13 23:29:16,I don't want to deal with this pain.
455467355750281217,2014-04-13 22:07:34,I hope. 👌 http://t.co/77jHM17YYA
455464144402391040,2014-04-13 21:54:48,Photo:  http://t.co/bBaw7yG14k
455460881686888448,2014-04-13 21:41:50,RT @DDL_Inspiresme: http://t.co/HUdTs37QnD
455403210715697152,2014-04-13 17:52:41,@sheeran_imagine yeah :)
