id,created_at,text
455475976018071552,2014-04-13 22:41:49,@QueenDemetriax_ If you didn't want this then you shouldn't have even made that joke
453979203474833408,2014-04-09 19:34:11,@shaycarl  I know you said you'd only help one person BUT would you help me get my dream of being on @TheEllenShow ?
452916116122501120,2014-04-06 21:09:51,laying on the couch binge watching @AmazingPhil and @danisnotonfire
452858174396440577,2014-04-06 17:19:37,"@alittlejelee are Rapunzel, Elsa and Anna related?"
452183716807188480,2014-04-04 20:39:33,I #votekhan to win Favorite Character at the 2014 #movieawards! See who's in the lead: http://t.co/aCIoVE0esC Presented by @Revlon
452183667431841793,2014-04-04 20:39:22,I #voteloki to win Favorite Character at the 2014 #movieawards! See who's in the lead: http://t.co/aCIoVE0esC Presented by @Revlon a
452183590411833344,2014-04-04 20:39:03,I #voteloki to win Favorite Character at the 2014 #movieawards! See who's in the lead: http://t.co/aCIoVE0esC Presented by @Revlon
448218197435883521,2014-03-24 22:02:00,@CoffeeSnob101 So freakin' cute!
448217271966916608,2014-03-24 21:58:19,@FreemaOfficial What was your favorite episode of Doctor Who to film?
448105187568521216,2014-03-24 14:32:56,Rest In Peace Flight #MH370
447105518700855297,2014-03-21 20:20:37,"@EmWatson  What would you call your ""style""?"
447105129465274368,2014-03-21 20:19:04,"@EmWatson Would you ever do a Harry Potter remake, I love you Emma! I cut my hair like yours"
446111738665369600,2014-03-19 02:31:41,"Sorry everyone, this is still the best 16th birthday present I got @JenArnoldMD 's birthday wish on June 6th http://t.co/IbHNa5oSJk"
446110367648088065,2014-03-19 02:26:14,#getwelljen God bless you and your little family &lt;3 Your Twin (Who is only 16)
446109814482292736,2014-03-19 02:24:02,"@JenArnoldMD Didn't do it with a garment but I did this, used to be blonde http://t.co/G0l8Jcs8Y8"
444488166175952896,2014-03-14 15:00:11,Happy Belated Birthday @JenArnoldMD God Bless you!
444268784799723520,2014-03-14 00:28:27,@Markgatiss What happens if you are holding hands with someone when they are touched by a Weeping Angel? #realquestions #DoctorWho
444194704184582145,2014-03-13 19:34:04,Hi Daniel Radcliffe! @DanieIRadcIiffe
443203535187230720,2014-03-11 01:55:31,RT @JoeyKingActress: #Sherlocking at the airport today #sweg http://t.co/Pwvz36kXd2
