id,created_at,text
456854736415637504,2014-04-17 18:00:31,Yup I refuse to believe I looked like that😖😧
456853495883128833,2014-04-17 17:55:36,Looking back at pictures of me with braces is scarring my mind😷😳
456640292666347520,2014-04-17 03:48:24,One thing I hate about the first week of using tanning beds...heat rash😟
456595726839996416,2014-04-17 00:51:19,I NEED TO SEE RIO 2 SOON
456582205163065345,2014-04-16 23:57:35,Bowl of jambalaya and gossip girl😍
456518409459478529,2014-04-16 19:44:05,1 more class until Spring Breakkkkkk☀️
456513639814397952,2014-04-16 19:25:08,Yup logarithms might be the death of my A in math class
456420740913311745,2014-04-16 13:15:59,RT @textspost: so true.. http://t.co/v4vbe4Kzsz
456415684608540672,2014-04-16 12:55:53,RT @TLockwood_14: Thank God it's the last day before spring break
456299556674600960,2014-04-16 05:14:26,RT @c_fenley2: My bath time is a constant struggle between wanting hot water and not wanting to break a sweat😅
456289505201254400,2014-04-16 04:34:30,Why oh why do I wait until last minute to get things done
456267166946312193,2014-04-16 03:05:44,"RT @hahahawhatt: i need a job that pays at least 10,000 dollars an hour"
455858815817109504,2014-04-15 00:03:05,My baby cousin is supposed to be born this week. Pretty excited💙👶
455778907585654784,2014-04-14 18:45:34,Seriously damn English 102 to hell.
455743743644024832,2014-04-14 16:25:50,"Failing history, acing math. Who switched my brain with someone else's while I was sleeping?😳"
455742687027527680,2014-04-14 16:21:38,"RT @ComedyPosts: dont judge a book by its cover     

my math textbook has a picture of someone enjoying themselves on it     

i did not e…"
455728716446834688,2014-04-14 15:26:07,I just can't pay attention today😒
455711215818244096,2014-04-14 14:16:35,Just gotta get through today and Wednesday... then you're out for a week. You can do this Morgan👏
455710640867254272,2014-04-14 14:14:18,"RT @Lauren_Alaina: I can't take this long distance relationship anymore.

Fridge, you're coming to my room!"
455709472506134528,2014-04-14 14:09:39,The humidity today needs to go back where it came from.
455678738382876672,2014-04-14 12:07:32,RT @Autumnn_Brionaa: yeh not feeling the whole school thing today
455556299783036928,2014-04-14 04:01:00,RT @vnw_: This world doesn't hold enough money to pay for everything I want to do in my lifetime.
455556130064711680,2014-04-14 04:00:19,It's always a good day when I find a belly button ring ball on the floor that I lost forever ago😂😌
455528172105129984,2014-04-14 02:09:14,"RT @SoDamnTrue: me: ""wow i need to do homework but first:
*eats dinner*
*goes on twitter*
*checks facebook*
*knits a scarf*
*does oragimi*
…"
455385728688467968,2014-04-13 16:43:13,RT @spoiledbratprbz: I'm not ready for the weekend to be over.
455381325629775872,2014-04-13 16:25:43,I love lush cause it gives me pink bath water💕🎀 http://t.co/2swtA0lVIZ
455154861252677632,2014-04-13 01:25:49,Dang it. I always leave my car keys and wallet in Ethan's car😩
455135097339932672,2014-04-13 00:07:17,RT @CommonWhiteGirI: I really need to learn the difference between being hungry and being bored...
455082059061411840,2014-04-12 20:36:32,"Dorota's my favorite...""Meeestur Chuck"""
455021600002170880,2014-04-12 16:36:17,I have a 3 page paper due tomorrow that I haven't started so I'll just procrastinate and clean my bathroom instead... #Mylogic
454985847784230912,2014-04-12 14:14:14,RT @kaitlyn_sibley: Sometimes it saddens me when I realize how fast time has passed &amp; the fact that I can't rewind time or ever go back
454643640061526016,2014-04-11 15:34:25,Cheat day goin hard http://t.co/NBj0Xjt8Wz
454448539603447809,2014-04-11 02:39:09,Can I please just magically drop 20 pounds?
454342760116408320,2014-04-10 19:38:49,THIS GIRL MADE A 100% A ON HER MATH TEST AND NOW HAS AN A IN THE CLASS. SO HAPPY I COULD SCREAM. KICKING MATH'S BUTT THIS SEMESTER😄😝
454327431210356736,2014-04-10 18:37:55,There are so many cops out on the prowl today. Watch out guys.
454270878369325056,2014-04-10 14:53:12,"Going to start tanning today, and going to get a haircut tomorrow. Woohoo."
454270477817483264,2014-04-10 14:51:36,Math test 3...please don't kick my butt. I've made B's on the last two. Praying for another one.
454092150255259648,2014-04-10 03:02:59,"RT @SoDamnTrue: The struggle between maintaining my bank account, GPA, and sanity is becoming too real right now."
454048670086746112,2014-04-10 00:10:13,I want something really tasty like jambalaya or seafood gumbo
453943112516124673,2014-04-09 17:10:46,Somebody remind me not to do legs at the gym the days before I go to school and have to climb staircases all day😵
453895397040082946,2014-04-09 14:01:10,RT @GlitterVeins1: Can I have Kim Kardashian's credit card for like a day orrrrr
453736811248889857,2014-04-09 03:31:00,"RT @Miss_SidneyKent: God please help me accept the fact that I have to go to school, the courage to leave my warm bed, and the wisdom to do…"
453703608819666944,2014-04-09 01:19:04,The amount of bruises I have on my legs from running into the corners of the hope chest at the foot of my bed...😒😑
453636329704656896,2014-04-08 20:51:43,"@LegitBostonFan I really liked them, they are good enough to read twice! I never actually got around to reading the last book though!"
453634179150798848,2014-04-08 20:43:11,@LegitBostonFan yes I actually have! But it was so long ago...like middle school! Before I even knew of the show!
453610769477681152,2014-04-08 19:10:09,I just need a nice 5 hour nap and I'll be happy.
453579910787788800,2014-04-08 17:07:32,RT @SoDamnTrue: i always change my mind about everything except the password i have been using since i was 10
453331544468238336,2014-04-08 00:40:37,My sisters and their friends are literally the perfect birth control👊😑 #childrenareobnoxious
453324124719300608,2014-04-08 00:11:08,RT @FemaleStruggIes: realist shit I've seen all day 😂 http://t.co/IfE8UidjxS
453224337756397568,2014-04-07 17:34:37,RT @_LadyBonerrs: Theo James &gt;&gt;&gt; http://t.co/KgkNvrWFxZ
453200070158974976,2014-04-07 15:58:11,So excited that Carlie is coming down for Spring Break😀
453199584768954368,2014-04-07 15:56:15,RT @itsGirICode: mom you can't zoom in on Instagram
453173915536203776,2014-04-07 14:14:15,RT @YouGoGlenCoco: I wanna be skinny but fries
453155427765608448,2014-04-07 13:00:47,RT @_craziestbxtch: this whole getting out of bed everyday thing is just nonsense
453155303903617024,2014-04-07 13:00:18,RT @SoDamnTrue: if you’re gonna make me the third wheel on the sidewalk at least let me stand in front so i can pretend i’m leading my army…
453047658345549824,2014-04-07 05:52:33,"""Haven't ya heard? I'm the crazy bitch around here."" -Blair Waldorf. 
Seriously one of my favorite scenes😏"
452980878084296704,2014-04-07 01:27:12,RT @BabyAnimalPics: please keep retweeting this so we can get these horrible collars banned http://t.co/BxwSaKWrSE
452976740223029248,2014-04-07 01:10:45,RT @KickKass: I just love anything with lace or sparkles✨
452970776778375168,2014-04-07 00:47:03,I should be doing math homework but Gossip Girl is telling me otherwise.
452969653954834432,2014-04-07 00:42:35,RT @chilltweetss: Jackson &amp; Rico had a baby 😂😂 http://t.co/TMMd9WFUOk
452877892922273793,2014-04-06 18:37:58,Why is chuck bass so hot
452875708365172736,2014-04-06 18:29:17,Ordering new shoes on http://t.co/4hyvWEGxJ0 is my faveeee and I have member credits so they're free😍
452875498507354112,2014-04-06 18:28:27,RT @SoDamnTrue: i wish that there were more hours in a day and boys were nice and bread didnt make you fat
452875458778910720,2014-04-06 18:28:18,"RT @hunterrene__: ""A life without GG is no life at all"" -@TheMorganWelch"
452688830768758784,2014-04-06 06:06:42,My eyeballs have literally been watering ALL DAY. Whyyyyyy😒
452614176611913729,2014-04-06 01:10:03,My family is quoting Billy Madison at the dinner table at Longhorn. Yes😂
452606961977028608,2014-04-06 00:41:23,RT @UberFacts: It was revealed in Season 4 of Spongebob Squarepants that Gary is actually the rightful king of Bikini Bottom and Patrick's …
452528833216794624,2014-04-05 19:30:56,RT @FemaleStruggIes: wish my wallet was as fat as my thighs
452489730085486592,2014-04-05 16:55:33,Re-watching Gossip Girl. Good bye to my social life.
452450814859022336,2014-04-05 14:20:55,Ugh. I have to get out of bed and go get my inspection sticker updated.
452325951553040384,2014-04-05 06:04:45,I also have an irrational fear of sharks in pools...yeah idk. I'm weird.
452324525762285568,2014-04-05 05:59:05,"I am so paranoid about a snake being in the toilet, it's pathetic."
452238815805992961,2014-04-05 00:18:30,RT @chilltweetss: Nailed it 😂 http://t.co/mK2tFrYbbp
452231001972826112,2014-04-04 23:47:27,RT @UberFacts: Gerascophobia is the fear of growing old.
452230917054947329,2014-04-04 23:47:07,RT @CommonWhiteGirI: Bye http://t.co/iZAx3BUVaT
452230831143022592,2014-04-04 23:46:46,RT @bipolarbitchez: After that winter I don't think I've ever been so excited for summer
452214299381886976,2014-04-04 22:41:05,@LegitBostonFan ahhh thanks so much☺️😄
452203755614633984,2014-04-04 21:59:11,8 pounds down in 3 weeks. Now 18 more to go before the cruise😅😅😅
452151736514260992,2014-04-04 18:32:29,My boyfriend knows every single word to drunk in love. Wut
452151201975386113,2014-04-04 18:30:21,RT @itsGirICode: mean girls came out on april 30th 2004. April 30th is a wednesday this year and if the whole world does not wear pink i’m …
452114102874144769,2014-04-04 16:02:56,Heyyy @KKwatsonn you're hotterrrrr
452102732111814656,2014-04-04 15:17:45,My whole house is shaking from this storm😖
452070890675503105,2014-04-04 13:11:14,RT @SciencePorn: http://t.co/fYpfuSr02p
452069316221865984,2014-04-04 13:04:58,RT @PrincessProbz: I didn't have to train my boyfriend because his mom did a great job the first time around ❤️#princessprobz
