id,created_at,text
456833950082543616,2014-04-17 16:37:55,"RT @hcw1411: I hope James gets the GHA RA job and my other ""friend"" doesn't."
456832082896240640,2014-04-17 16:30:30,@kyliebrookee_ you're so sweet to me
456831890515689473,2014-04-17 16:29:44,@kyliebrookee_ yes any idiot can get into a doctorate program
456831526278156290,2014-04-17 16:28:18,@kyliebrookee_ says my acceptance to pharmacy school
456831295013007360,2014-04-17 16:27:22,RT @ComplexMag: The first person to get arrested for hacking Heartbleed is only 19. http://t.co/dmK662ETnm
456831260326109184,2014-04-17 16:27:14,@kyliebrookee_ that wouldn't be good for the baby
456831128448811008,2014-04-17 16:26:43,"RT @SportsCenter: Rajon Rondo wore special #BostonStrong shoes last night, honoring Boston Marathon victims. » http://t.co/ZsHMVB8KEx"
456829124133552129,2014-04-17 16:18:45,RT @kaitlyn_clay: If James gets the RA job at GHA and I don't he will see wrath.
456827873425227777,2014-04-17 16:13:47,RT @_Teflon_John_: Whoever controls the damn thermostat in the science building deserves death I'm about to die
456827685525024768,2014-04-17 16:13:02,@SerialBowles17 just a little bit
456827590050062336,2014-04-17 16:12:39,RT @SerialBowles17: @TheRayRay75 it's because you may be 👍
456822550794739712,2014-04-17 15:52:38,People who walk around aimlessly make me nervous
456820908024287233,2014-04-17 15:46:06,Legs may be my favorite part of a female.
456820184498835456,2014-04-17 15:43:13,@_McKenzieMae k den
456819718628716544,2014-04-17 15:41:22,@_McKenzieMae can't. I'm sad
456819548680118272,2014-04-17 15:40:42,@_McKenzieMae 😢
456819471605567488,2014-04-17 15:40:23,@zack_wingerd I wish
456819456766119936,2014-04-17 15:40:20,@_McKenzieMae thanks for reminding me
456819409945100288,2014-04-17 15:40:09,RT @_McKenzieMae: @TheRayRay75 no one likes you.
456818932611948547,2014-04-17 15:38:15,Someone eat lunch with me 😢
456816516957106176,2014-04-17 15:28:39,I feel extra fat hanging out side of Harless waiting for it to open
456809417325834240,2014-04-17 15:00:26,RT @Gator_26: Currently Reading: http://t.co/zAasWagnA7 #patriots
456805315355238400,2014-04-17 14:44:08,@kaitlyn_clay ohhh that's a predicament
456786343025475584,2014-04-17 13:28:45,Science building is too toasty again today...
456780025606316032,2014-04-17 13:03:39,Sam's alarm may be my least favorite sound on the world
456779674257850368,2014-04-17 13:02:15,@kaitlyn_clay take it duh
456685007281479680,2014-04-17 06:46:05,Guess I'll go back to sleep
456674174946123776,2014-04-17 06:03:02,Someone stop her
456671454054977536,2014-04-17 05:52:13,I feel like the smell of organic lab just haunts me
456665677563035648,2014-04-17 05:29:16,Eating my roommates chickfila nuggets has become one of my favorite things to do...
456665583811981313,2014-04-17 05:28:54,"Took a nap earlier, the dream I had me so shook that when someone knocked on the door I literally couldn't move."
456665291657728000,2014-04-17 05:27:44,@sodosky13 don't lie
456665057129025536,2014-04-17 05:26:48,RT @ComplexMag: Important news on this release: http://t.co/06lWWc528b http://t.co/XeW3U75qyx
456664896235524097,2014-04-17 05:26:10,u prego?
456660146630819840,2014-04-17 05:07:17,Yeezy taught you well.
456658291959943168,2014-04-17 04:59:55,"That's why Kanye is my inspiration. He says he's going to do something, then he does it. #rolemodel"
456658031422345217,2014-04-17 04:58:53,I think it's cool that Kanye said one day he would marry a porn star then ended up with Kim.
456656278136176640,2014-04-17 04:51:55,I'm so gifted at finding what I don't like the most
456654196377264128,2014-04-17 04:43:39,"Put your hands to the constellations. The way you look should be a sin, you my sensation."
456650862668959745,2014-04-17 04:30:24,Miami would be tied for the 4th seed in the West.
456650347373535232,2014-04-17 04:28:21,RT @DragonflyJonez: The thought of KD at 28 scares me.
456650207858393088,2014-04-17 04:27:48,@inclulbus #HireDantoni
456648713423712256,2014-04-17 04:21:52,No one can tell me that My Beautiful Dark Twisted Fantasy isn't a piece of art. This album is beautiful.
456647118606696448,2014-04-17 04:15:31,That may have been the easiest scheduling of my life.
456644228106309633,2014-04-17 04:04:02,Hope everyone is having fun scheduling classes huehueheu
456632855716573184,2014-04-17 03:18:51,RT @Sixchr: The #Celtics could have done a better job at getting a spot or two higher in the lottery but not a bad result. #Tankapalooza wa…
456632695510941697,2014-04-17 03:18:13,RT @justinbieber: Got some big news coming........
456632399036551168,2014-04-17 03:17:02,RT @ESPN_Numbers: It's official: Kevin Durant joins Chamberlain &amp; Jordan as only players to lead NBA in points in 5 straight seasons http:/…
456632167775207424,2014-04-17 03:16:07,RT @SportsNation: Apparently everyone got a memo to rest the last day of the season except Kevin Durant. Putting up 40.... NO DAYS OFF for …
456594214332035073,2014-04-17 00:45:18,"RT @HerdEquipment: This is AWESOME!  @JohnBeilein on his managers: ""The team is not allowed to party, so they have to party for the whole t…"
456587143918276608,2014-04-17 00:17:12,RT @SportsCenter: James Harden says he wouldn't shave his beard for $5 MILLION. He's open for discussion at $10M. » http://t.co/WsngKIDXJ5
456573043280596994,2014-04-16 23:21:10,RT @OG_Robb24: So Webster is killing Meadow bridge lol.
456572992697274368,2014-04-16 23:20:58,@OG_Robb24 and that's why I'm in Huntington now lol
456568298058960897,2014-04-16 23:02:19,RT @OG_Robb24: I feel for @TheRayRay75 now lol. #lt
456568270410108930,2014-04-16 23:02:12,RT @OG_Robb24: Yo meadow bridge is in the sticks. Dang
456552609810096129,2014-04-16 21:59:59,@realsydshady you'd love it
456552373712740352,2014-04-16 21:59:02,RT @GregoryNapier: 5 out of 4 people believe made up statistics on social media.
456513014552743936,2014-04-16 19:22:38,RT @_DebbieDebs: @TheRayRay75 🙌 http://t.co/8CaY3EweOV
456510721707085824,2014-04-16 19:13:32,@_DebbieDebs turn up
456508585988485121,2014-04-16 19:05:03,@_DebbieDebs nitric acid?
456490870863187969,2014-04-16 17:54:39,RT @ESPN_Numbers: Larry Bird and @carmeloanthony are the only qualified players in NBA history to average 27 Pts &amp; 8 Reb while shooting 40%…
456477053844729856,2014-04-16 16:59:45,My book bag smells like organic lab...ugh
456476847933374464,2014-04-16 16:58:56,"RT @RealSkipBayless: The NCAA made $60 mil in profit last year and now, in 2014, decides to take food restrictions off student-athletes? WH…"
456469011212288000,2014-04-16 16:27:47,@_Teflon_John_ it's getting too hot
456468129447960577,2014-04-16 16:24:17,"I've shaved more in the past week (2), than I did from October till last Thursday (1)."
456434146265796608,2014-04-16 14:09:15,Freshman in high school? What is this tomfoolery?
456431946416263168,2014-04-16 14:00:30,RT @FoxNews: Bales of cocaine with street value of $350M unloaded in Florida http://t.co/eSVZCkqpmd
