id,created_at,text
456606338378776576,2014-04-17 01:33:29,RT @mowskii: “@TweetLikeGirIs: realist shit I've seen all day 😂 http://t.co/xsAITENCPr” hell fucking right
456605895892291585,2014-04-17 01:31:43,RT @OlafAdvice: I have 5 personalities 😀 http://t.co/oYjgp23FTG
456605785087160320,2014-04-17 01:31:17,@M_an_M_18 no 😭
456604368481955840,2014-04-17 01:25:39,So did I miss awkward or is it not on tonight
456595884000571392,2014-04-17 00:51:56,You're a lover of the wild and a joker of the heart  ☀️ http://t.co/y8vDvz3LAe
456594193708625920,2014-04-17 00:45:13,Repost every time http://t.co/P5Uf3roJLm
456592948591747073,2014-04-17 00:40:16,RT @Hannahcanrelate: when bae looks good http://t.co/3RJncNLALG
456592930724016130,2014-04-17 00:40:12,RT @lba_x0x: I truly do not give one single fuqqq
456591207414497280,2014-04-17 00:33:21,"RT @FactsOfSchool: Yesterday: tired
Today: tired
Tomorrow: tired
Next week: tired
Next month: tired
Next year: tired
Next life: tired"
456586942616829952,2014-04-17 00:16:24,I really want to marry a man with tattoos and a lumberjack beard.
456586729609129984,2014-04-17 00:15:34,RT @TinaaTurnUp_: Waaaaant 😍 “@Amazing_Kicks: Cherry 11 Low http://t.co/gY8XAxIu4G”
456580316946112512,2014-04-16 23:50:05,RT @CHlLDHOODRUINER: relationship goals http://t.co/HQiD1LDyGR
456572961961439232,2014-04-16 23:20:51,RT @cocoralys_: You're so thotful
456572918000939008,2014-04-16 23:20:41,RT @femaIe: but sadly I was born in the era where a good morning text is considered the most romantic gesture ever
456572877433626624,2014-04-16 23:20:31,RT @cocoralys_: Happy birthday Jon!!! 😁🎊🎉🎈😊 http://t.co/XAkQVeOdjc
456571642513072128,2014-04-16 23:15:36,RT @WakeUp__America: http://t.co/0VpoHD0i3m
456559975586742272,2014-04-16 22:29:15,Omg can't type to save my life
456388904816349184,2014-04-16 11:09:28,"RT @CommonWhiteGirI: weather be like:

mon - 75° ☀
tues - 22° ❄
wed - 57° ⛅
thurs - 30° ☔
fri - 80°☀ (with a chance of snow)"
456388845492133889,2014-04-16 11:09:14,When you try so hard to make someone feel better and it goes so unnoticed every single time.
456266282967384064,2014-04-16 03:02:13,RT @lJustCantEven: Thank you so much http://t.co/SRwJNjkGll
456266164998770688,2014-04-16 03:01:45,RT @TrippyChronic: Relationship goals: http://t.co/L48ru9m9ur
456263322166259712,2014-04-16 02:50:27,"RT @ASAPQUON_: So do guys RT""@TropicanaBriana: Girls have needs man"""
456262057407819776,2014-04-16 02:45:26,Girls have needs man
456257480662585344,2014-04-16 02:27:14,RT @FLIRTATIOUS: Let's hangout and watch movies😏  http://t.co/TG9UrBPBv1
456257429181702144,2014-04-16 02:27:02,@KaylaMayyy_ 😂😂😂 oooooop
456255481246679040,2014-04-16 02:19:18,@KaylaMayyy_ for ya 😂 http://t.co/6pMqYRqSkI
456251793937158144,2014-04-16 02:04:39,RT @jayjaymarin: “@_CollegeHumor_: #realtionshipgoals http://t.co/dTnnOFlo68”
456251764497346561,2014-04-16 02:04:32,I need to be with someone that alwas wants adventure
456251668863385600,2014-04-16 02:04:09,RT @Why_So_SARious_: I wanna do something fun and adventurous
456251549745156096,2014-04-16 02:03:40,RT @Taatty_00: You can't base your idea of happiness and success on other peoples opinions and expectations.
456251488277262337,2014-04-16 02:03:26,"RT @arynneburgess: I need a drink, a punching bag, and some sleep."
456251411475337216,2014-04-16 02:03:07,RT @Aubrey_Ra: I always say how I'm gonna go on a diet but end up eating a full bag of chips. I can't win.
456238329076670464,2014-04-16 01:11:08,RT @tbhdaphne: the way to a girls heart http://t.co/LduEMdpK4Y
456237032809836544,2014-04-16 01:05:59,"RT @The_Dodd_God: I honestly wish I could've been a hippie and smoked dope and chilled all day, everyday."
456233248272957440,2014-04-16 00:50:57,RT @rachelharrell_: people annoy me when they act like they need to constantly be texting or talking to someone
456230715987075073,2014-04-16 00:40:53,"RT @rachelharrell_: never really had luck, couldn't ever figure out how to love"
456230192743469056,2014-04-16 00:38:48,My header 😍
456230149663756288,2014-04-16 00:38:38,He doesn't want you
456217566705639424,2014-04-15 23:48:38,RT @HeartTaka101: I tell people this all the time 😒👏  http://t.co/YWOCmxZHsD
456217159249969152,2014-04-15 23:47:01,"RT @The_Dodd_God: That was so cliche but so many people need to just focus on what's good for them, they'll be so much happier"
456217129046786048,2014-04-15 23:46:54,"RT @The_Dodd_God: Even though it's been rough at times, my happiness level is at an all time high this past year. It's amazing what finding…"
456203170348531712,2014-04-15 22:51:26,RT @trutherbot: http://t.co/eE2XBcxhtK
456202965012185088,2014-04-15 22:50:37,RT @Hannahcanrelate: How I look when I want a kiss😘🙈😉 http://t.co/cDJOYuFBZb
456202907533451264,2014-04-15 22:50:23,RT @KiirkoBangzz_: Miley Cyrus and Vanessa Hudgens 😻❤😈 http://t.co/KFw9hQLmzv
456157367692849152,2014-04-15 19:49:26,"RT @_JustJamie: ""A girls night"" lmao. 

The DJ. 
The alcoholic. 
The gossipers. 
&amp;The boring chick that stays on her phone. http://t.co/Uxd…"
456038325376536576,2014-04-15 11:56:24,"RT @FreakingTrue: I'm all yours, if you're all mine."
456037897398157312,2014-04-15 11:54:42,RT @_LadyBoners: Muscular backs &gt;&gt;&gt;&gt; http://t.co/6aZoLcpBLl
455910609822171136,2014-04-15 03:28:54,RT @halessbug: Can I win the lottery already ?
455908220016795648,2014-04-15 03:19:24,RT @RellosLife: When bae looks good http://t.co/yaZv553SSV
455908191923359744,2014-04-15 03:19:17,RT @WORIDSTARHlPHOP: It's Gucci https://t.co/SA5f8Uohc6
455907986830295040,2014-04-15 03:18:29,RT @WORIDSTARHlPHOP: why I hate white girls  https://t.co/nHpBjmjmiB
455907383949406208,2014-04-15 03:16:05,RT @arynneburgess: it's the little things
455907320703508480,2014-04-15 03:15:50,RT @DanG_iTs_StaNg: Keep the fights clean and the sex dirty 🔥💋
455906649715511296,2014-04-15 03:13:10,RT @lba_x0x: Gotta let it go
455901680631300096,2014-04-15 02:53:25,I never hesitate with decisions so why am I with this
455901475462709248,2014-04-15 02:52:36,RT @DanG_iTs_StaNg: “@ohgirIquotes: Parenting done right http://t.co/dMcwrhKFJ1”@LockUinaCHAMBER
455900630125928448,2014-04-15 02:49:15,RT @_TheGovernor_: Girls with a good sense of humor &gt;
455897863651074049,2014-04-15 02:38:15,RT @HBoots7: I'm a lover and I'm a sinner. Playin my music in the sun ☀️
455897064820711424,2014-04-15 02:35:05,RT @DanG_iTs_StaNg: Who trying to buy me the 9 new bras in 12 different colors from Victoria secrets?
455896679548735488,2014-04-15 02:33:33,RT @YepillPosts: when bae starts using my slang http://t.co/RBogZOtGf7
455896281974861825,2014-04-15 02:31:58,RT @LearnSomethlng: A baby giraffe with his mouth full. http://t.co/eSaKQZFamO
455890695333888001,2014-04-15 02:09:46,"Some of us are wanders, born free, untamed, and wild at heart 🌼☀️🍃 http://t.co/zJrutwwxJ2"
455887874471108608,2014-04-15 01:58:33,Yo I'm dead after that
455745255632302080,2014-04-14 16:31:50,RT @ComedyOrTruth: so true 😣 http://t.co/4EFTOlVCOp
455733325278482432,2014-04-14 15:44:26,RT @tatyananaa_: I like to think I'm a pretty likable person lol
455713022385094656,2014-04-14 14:23:45,Why do we care about people who don't give a shit about us.
455711232918814721,2014-04-14 14:16:39,@RaVONFullerTON thanks ☺️
455711212157042689,2014-04-14 14:16:34,RT @RaVONFullerTON: @TropicanaBriana is cute.
455705402551050240,2014-04-14 13:53:29,Ok
455558496382377985,2014-04-14 04:09:44,RT @WakeUp__America: Anxiety. http://t.co/UDSCGFn2qR
455557995670552576,2014-04-14 04:07:44,Miss my 2 weeks in business with @RaVONFullerTON
455557573799051265,2014-04-14 04:06:04,RT @passthatversace: #ThisCouldBeUsButYouPlayin http://t.co/uO0KVcySLy
455547619679678464,2014-04-14 03:26:30,RT @Bitch_L0ve: if you cuddle with me and play with my hair until i fall asleep i will probably fall in love with you 😍
455547437630115840,2014-04-14 03:25:47,You know when you care about someone alt but you accept that it will never work. But you can't stand any bitch giving them attention.
455545877130928128,2014-04-14 03:19:35,RT @illuminappy_: Mood: http://t.co/k1OmfE4uS1
455500798395695104,2014-04-14 00:20:27,Time to accept it
455471271401115648,2014-04-13 22:23:08,RT @HighSchoolSuckz: Truth 😂 http://t.co/vjnngE8Gvp
455352463001128960,2014-04-13 14:31:01,"RT @Kojolf12: Be a girl with a mind💁
A bitty with an attitude😈
A lady with class☺️"
455351112586256385,2014-04-13 14:25:39,Sometimes I can't stand my mind
455351029987807232,2014-04-13 14:25:20,RT @a_weezzzzy: Hearing something that makes your heart drop has got to be the worst feeling.
455350305765736449,2014-04-13 14:22:27,RT @SincerelyTumblr: can't stop laughing ✋😂 http://t.co/942lhYpTiN
455349461070659584,2014-04-13 14:19:06,RT @TanGurlz: so fucking perfect http://t.co/9GsKbQFV1S
455348755588734976,2014-04-13 14:16:17,RT @NikeCIothing: Yes http://t.co/JuMzMk5fR9
455209328409321472,2014-04-13 05:02:15,RT @TinaaTurnUp_: Pls. http://t.co/I1XAHVMfYM
455200202975367168,2014-04-13 04:26:00,Fucking stupid
455191812408238080,2014-04-13 03:52:39,"RT @GUESS: She's being called the ""Queen of the #MusicFestival"" what are your thoughts on #VanessaHudgens past festival looks? http://t.co/…"
455110450720817153,2014-04-12 22:29:21,RT @WakeUp__America: The only way politicians will understand the gravity of climate change. http://t.co/FmuOkWRPoU
454998627715657728,2014-04-12 15:05:00,RT @brianajtucker: Need a gym membership &amp; a second job
454998607427796992,2014-04-12 15:04:56,RT @brianajtucker: Love love looove the Weeknd
454998191944245249,2014-04-12 15:03:17,RT @rosaSPARKS____: When I'm mad it's best for me to just remove myself from the situation. I've learned that over these past months.
454992847448842240,2014-04-12 14:42:02,RT @Royall_J: this is why i dont &amp; wont depend on none of ya
454992839647461377,2014-04-12 14:42:01,RT @Royall_J: i hate when people fucking say one thing and do another
454978706667483136,2014-04-12 13:45:51,"RT @jonjoebailey: just wanna make lots of 💰, wake up &amp; look out of a big window in a high rise apartment in NY &amp; a hot girl in nothing but …"
454972569838698496,2014-04-12 13:21:28,Wow I dropped my favorite nose ring down the sink
454972242490064896,2014-04-12 13:20:10,RT @trutherbot: http://t.co/8wwgaxkwcv
454962717737361408,2014-04-12 12:42:19,That's how you get on my shit list
454961766444048384,2014-04-12 12:38:32,Wtf are you doing
454728663586840576,2014-04-11 21:12:16,RT @Bundschuhhh_: @TropicanaBriana skirts are the best 😍😍
454728650315689984,2014-04-11 21:12:13,RT @Alanna_Nichole: @TropicanaBriana 😍😍😍
454728644347174912,2014-04-11 21:12:11,@Alanna_Nichole ☺️
454719292043714560,2014-04-11 20:35:02,http://t.co/odg9FJxn4L
454589876349186048,2014-04-11 12:00:47,RT @nuteIla: I be starting my essays like http://t.co/dI3Z2eChMx
454467129518333952,2014-04-11 03:53:01,RT @arynneburgess: you make your own luck.🍀
454440262010683392,2014-04-11 02:06:16,That moment you can't stand a bitches face on ig but you keep following bc you care about your following to followers ratio
454435902237192194,2014-04-11 01:48:56,Bitch probably thinks she's something. She thought....
454432949942104064,2014-04-11 01:37:12,RT @Emonnechantel_: Boys are dumb like 😴😴✌️
454430361410605056,2014-04-11 01:26:55,RT @jpsimpson_2: @TropicanaBriana your hair is luscious 😍
454430168065773569,2014-04-11 01:26:09,@jpsimpson_2 true 💁☺️
