id,created_at,text
456874015043231744,2014-04-17 19:17:08,Mich: wanna go to the mall? Both of us: let me check my bank account😂 me: fuckkkk it let's go!
456649394234740738,2014-04-17 04:24:34,RT @FreakinSergio: Lets throw putasos.
456536903894839297,2014-04-16 20:57:34,RT @BestHeeIs: My future closet 💁 http://t.co/QBDf10ha8o
456481442487214082,2014-04-16 17:17:11,Being self made is all I know
456330246266966016,2014-04-16 07:16:23,RT @FreakinSergio: Time goes by so fuckin fast.
456324884847554561,2014-04-16 06:55:05,@xo_Andoe I started second guessing haha but you're welcome!😄
456324715884212224,2014-04-16 06:54:25,@xo_Andoe is it Garfield?😅
456253699925372929,2014-04-16 02:12:13,I'm in it to win it
456232140653350913,2014-04-16 00:46:33,“@besthairstyies: Kim Kardashian 😌💆 http://t.co/3YExk1yPCg”👅😍
456231015099289601,2014-04-16 00:42:05,RT @HeelPornx: ~~ http://t.co/X7i5UZ5YdG
456230934602186752,2014-04-16 00:41:45,Shine✨
456131895453945856,2014-04-15 18:08:13,Can't you tell? Nigga can't you tell
456131712498401280,2014-04-15 18:07:29,I woke up in the morning high as hell
455743228453478401,2014-04-14 16:23:47,Over it. It's my time now.
455578680056496129,2014-04-14 05:29:56,It only motivates me to make you smile even more.
455515543668158464,2014-04-14 01:19:03,RT @TheFunnyTeens: current mood http://t.co/UHRsIJjr1T
455511354569285633,2014-04-14 01:02:24,RT @SarahWasHere420: butt and thigh massage please
455505533659660288,2014-04-14 00:39:16,"RT @KaiDanae: Baby girl I make my own money if I want it I'll buy it, if I want to go on a trip I'll go with who I want and it's none of yo…"
455411520734638080,2014-04-13 18:25:42,"I thought my dad threw something at me so I snapped and he told my ma ""pinche marijuana!"" Lmao😂 trip out"
455103558489096192,2014-04-12 22:01:58,Too chill😝🍻 http://t.co/eyHoJnXqvm
455084093563076608,2014-04-12 20:44:37,Omggg😂
455022591778881536,2014-04-12 16:40:14,"Carlos: um, isn't a 5K like 5,000 miles? Uh no! Me: no bitch😂"
455012121957240834,2014-04-12 15:58:38,My wild mama 🌞 http://t.co/vwmHtOkIkQ
454846126282141696,2014-04-12 04:59:01,In a perfect world we would all be rich
454845696084963329,2014-04-12 04:57:19,Maaan I ain't even gonna stunt
454829892132036608,2014-04-12 03:54:31,Khalifa's a beast
454776674207297536,2014-04-12 00:23:03,Rude http://t.co/4eI2Hb0Btv
454768413366185984,2014-04-11 23:50:13,"RT @TrapDrugs: Be independent, don't ever fucking rely on anyone"
454464235620139009,2014-04-11 03:41:31,Omg I love jay so much😄
454447428859478016,2014-04-11 02:34:44,And pop her like a Molly
454441073553571841,2014-04-11 02:09:29,@kennie_vee you're very welcome😊
454440223129100288,2014-04-11 02:06:06,@kennie_vee she's adorable!☺️
454390280389922816,2014-04-10 22:47:39,We stay paper chasin'
454388129584017408,2014-04-10 22:39:06,RT @AnthonytheG559: Know your worth
454348136996020224,2014-04-10 20:00:11,Done with finals!
454338551505616896,2014-04-10 19:22:06,RT @Itzelani_: i LOVE when my legs are tan 😍😍
454337414920552448,2014-04-10 19:17:35,Money motivated
454133283631017985,2014-04-10 05:46:26,RT @xo_Andoe: Amber Rose and Wiz Khalifa are just perfect together. 👌
454103616345755648,2014-04-10 03:48:33,Like what that shit do
454096605197529088,2014-04-10 03:20:42,"RT @a_sooobawmb: I be giving them that ""bitch look"" especially in rush hour 😂😂 http://t.co/ryiBWXnMpD"
454090514447335424,2014-04-10 02:56:29,So glad to be home
454009355818389504,2014-04-09 21:34:00,RT @iLikeGirlsDaily: Kim K #wcw #WomanCrushWednesday http://t.co/qWqvH0mNN4
453982391707512832,2014-04-09 19:46:51,Chapo
453964773583892480,2014-04-09 18:36:50,"“@Iamboatright: Bae: Come Over 

Me: I gotta watch the house

Bae: I'm Horny..

Me: http://t.co/uVcyXzATwP”LOL😂"
453946440281108480,2014-04-09 17:23:59,RT @UnapologeticB_: It's such a beautiful day out 😍☀️😎💗
453943550837673984,2014-04-09 17:12:31,RT @Badlucc354: + Too Blessed to be Stressed !!
453943061819584512,2014-04-09 17:10:34,I swear this security guard will forever creep me out
453774689404325888,2014-04-09 06:01:31,RT @lamKirkoBangz: Keep it real or keep it moving.
453712500911902721,2014-04-09 01:54:24,RT @WorldStarBests: When the squad come over http://t.co/ECOOkV2T6b
453711762647310336,2014-04-09 01:51:28,Yea I must be bored to be tweeting this much
453711629666877440,2014-04-09 01:50:56,That's why whenever I'm on here I gotta make sure there isn't anyone around or else they gonna see some ass too!
453710661147578368,2014-04-09 01:47:05,Whatever tho😏
453710491194376193,2014-04-09 01:46:25,"If people looked at my twitter they'd think I'm some sex freak lol. There's always ass, boobs, and sex facts😅"
453710208817061888,2014-04-09 01:45:17,My acrylics are growing out too long
453637444038979584,2014-04-08 20:56:09,5 star bitches
453636566494101506,2014-04-08 20:52:40,🎶🔊🔊🔊
453634421304745985,2014-04-08 20:44:08,RT @DankyMandy_: @VeeLo_ 😂😂😎
453634402157752320,2014-04-08 20:44:04,@PatriciaJM_ @DankyMandy_ you putas knew this day was coming huh😏
453633843900067840,2014-04-08 20:41:51,@DankyMandy_ niggaaa lol😅
453633499610632194,2014-04-08 20:40:29,RT @BestHeeIs: Retweet if you agree! http://t.co/NEjBzhRfvm
453633388860018688,2014-04-08 20:40:02,@PatriciaJM_ @DankyMandy_ 😚💭👈 when she /he blows out the powder from white chicks😂
453629670785703936,2014-04-08 20:25:16,If it ain't bout business don't shake my hand✋
453620469510336512,2014-04-08 19:48:42,Stoopid
453618564121915392,2014-04-08 19:41:08,RT @shellysodope: I've realized so much.
453616353992138752,2014-04-08 19:32:21,RT @PatriciaJM_: @DankyMandy_ they get lost or pick pocketed lol
453611340716724224,2014-04-08 19:12:25,RT @BlancoVee: When I wake up in the morning I think dough
453609874006355968,2014-04-08 19:06:36,Beyonce is too 💣
