id,created_at,text
456866274031976448,2014-04-17 18:46:22,RT @tbhplzstop: im a nice person i just hate everyone
456180236779274240,2014-04-15 21:20:18,RT @tbhplzdont: If brunettes didn't do it better than the wife emoji would be blonde 👰 #sorrynotsorry
456170399047622657,2014-04-15 20:41:13,RT @sorrynotsorryy: hot brothers appreciation tweet 😍 http://t.co/bkOtdNjoIy
455057090084880384,2014-04-12 18:57:19,They can't hang if they don't smoke
455045887149211648,2014-04-12 18:12:48,RT @gooodvibeees: Truth http://t.co/1YvXI8K4HQ
454876592507203585,2014-04-12 07:00:05,RT @Kimmm_Davis: “@iamRetroKid: how i wipe my tears http://t.co/gxHpvnErVu” 😩😩😂😂😂😭😭😭😭
454874325087424512,2014-04-12 06:51:04,"RT @Kimmm_Davis: ""I think people mistake me for a Mexican bc of my luscious hair and big earrings"" @VeeZeyFBaby"
454840692788166656,2014-04-12 04:37:26,"RT @Kimmm_Davis: ""You should never ever come at a girl who's taller than you bc she's gonna make you self conscious of your wiener size"" @V…"
454826664347058177,2014-04-12 03:41:41,"""Fuck that baby!"" @Kimmm_Davis"
454795473564729345,2014-04-12 01:37:45,Not to mention my f*cking balloon hat popped...
454777988866113536,2014-04-12 00:28:16,RT @Kimmm_Davis: I have the hottest +1 here @VeeZeyFBaby
454765485750775808,2014-04-11 23:38:35,What it do fufu?
454430256150380544,2014-04-11 01:26:30,Love facetiming @Kimmm_Davis 💕💋😍
454075003425009664,2014-04-10 01:54:51,"RT @WomensHumor: You haven't lived until you've been forced, in a moment of desperation, to squat and pee in a stranger's yard. #RealTalk"
454074992163323904,2014-04-10 01:54:49,RT @Kimmm_Davis: @WomensHumor @VeeZeyFBaby @hann_cass This retweet... #summer2013 😂😭😂😭😂😭😂
454074377253187584,2014-04-10 01:52:22,@Kimmm_Davis really knows how to support her girl http://t.co/VmiomuIvCh
453367040100016128,2014-04-08 03:01:40,RT @NolanVz: My mom says I can't get anything for my birthday unless I get a prom date...well than
453366492005154816,2014-04-08 02:59:29,RT @sorrynotsorryy: snapchatting attractive people is difficult bc you have to try to look attractive but pretend you tried looking ugly
453129023947014144,2014-04-07 11:15:52,Is snapping and driving still illegal if you are snapping a cop?
