id,created_at,text
456278289963683840,2014-04-16 03:49:56,I don't understand why I'm always the one hurting in the end. Everytime.
456203791876911104,2014-04-15 22:53:54,You can suck a fuck my friend.
456203709437841408,2014-04-15 22:53:34,RT @_CollegeHumor_: Rt if u need a 🍺 or 🍻
456203665657716736,2014-04-15 22:53:24,RT @DrakeTakeCare12: I said I Loved you. You said it too. The only difference is I didn't lie to you.
455847189256753152,2014-04-14 23:16:53,Today im just a big ole bitch..
455552968356425728,2014-04-14 03:47:46,Depression hits me really hard right before bed... night
455535442494898176,2014-04-14 02:38:07,Everyday ought to be a bad day for you.
455470160241905666,2014-04-13 22:18:43,RT @nuteIla: Vanessa Hudgens is literally the queen of Coachella 😍👑👒 http://t.co/A95DD3rH0N
455470155405856768,2014-04-13 22:18:41,RT @Scorpio_ht: Some people just smell like drama to #Scorpio.
455456512677130240,2014-04-13 21:24:29,I smell sex and candy
455412592526106624,2014-04-13 18:29:57,Gotta not give a fuck.
455059004801032192,2014-04-12 19:04:55,Need a project 18 wristband
454439037676171264,2014-04-11 02:01:24,You're the worst
454223045335318528,2014-04-10 11:43:07,His car and his new girl make him happy. OK I give up.
454087606205030400,2014-04-10 02:44:56,Yeah fuck it. Night.
454084569734463488,2014-04-10 02:32:52,All I ever do is cry.
454081364514463744,2014-04-10 02:20:08,RT @UnforgetfuI: I think the only reason people hold onto memories so tight is because memories are the only things that dont change when e…
454081327285825536,2014-04-10 02:19:59,RT @FunnySayings: i want to be rebellious but i don't wanna get in trouble
454081315495608320,2014-04-10 02:19:56,"RT @ChillHumor: School may be 
hard, 
annoying, and 
irritating. 

But admit it, you’re going to miss it when it ends."
454081268607508480,2014-04-10 02:19:45,RT @Drrrake_YMCMB: IM CRYING 😂 http://t.co/V5G6f2GLnT
454076432885366784,2014-04-10 02:00:32,My moms the coolest thing since sliced bread.
453895931381821440,2014-04-09 14:03:17,I cant even function.
453862223874498561,2014-04-09 11:49:21,He said to throw all of this shit away.. why not make it a theatrical event. (:
453702639939616768,2014-04-09 01:15:13,Too infinity and beyond I guess..
453702572407136256,2014-04-09 01:14:57,They knew better... but still you said forever and ever... who knew.
453702430614503424,2014-04-09 01:14:23,I wish I could still call you a friend.. never thought two years would end in silence.
453702275844685824,2014-04-09 01:13:46,I was the only one who meant it when I said I loved you.. who knew.
453645269297426432,2014-04-08 21:27:15,How could anyone like much less love you... yooure fucking ugly.
453644986869743618,2014-04-08 21:26:07,"RT @DrakeTakeCare12: A smile can mean a thousand words, but it can also hide a thousand problems."
453644939243429888,2014-04-08 21:25:56,I am so depressed. -.-
