id,created_at,text
456813666390654976,2014-04-17 15:17:19,"All kinds of positive events are happening in your life now, y... More for Aquarius http://t.co/4feep3fTxe"
456451116448759810,2014-04-16 15:16:41,You may feel as if your energy is all backed up like a sewage ... More for Aquarius http://t.co/4feep3fTxe
456285325296295936,2014-04-16 04:17:53,My Babe is lucky I'm letting him sleep and snoring up a storm.
456088443479527424,2014-04-15 15:15:33,You could be treading on unstable ground today as you attempt ... More for Aquarius http://t.co/4feep3fTxe
455792881392185346,2014-04-14 19:41:05,@KayoBlow ok
455791489386557440,2014-04-14 19:35:33,@KayoBlow 8 in men
455791312651165696,2014-04-14 19:34:51,@KayoBlow how much are they
455790331578294272,2014-04-14 19:30:57,@KayoBlow does your store sell kd?
455726168553967616,2014-04-14 15:16:00,"You have things to do that you've never done before, but fortu... More for Aquarius http://t.co/4feep3fTxe"
455468740327788544,2014-04-13 22:13:04,I'm Chilling with mu big daddy :)
455363873613168640,2014-04-13 15:16:22,Your need for greater independence encourages you to try thing... More for Aquarius http://t.co/4feep3fTxe
455313477792714753,2014-04-13 11:56:07,I am getting the kids today... help me
455313355230961664,2014-04-13 11:55:37,I'm wide awake :)
455217195828932608,2014-04-13 05:33:31,I'm happy we can work things out 😊
455217099187965952,2014-04-13 05:33:08,I make sure my nigga goes to sleep peacefully. Back rubs every night :)
455024528289452032,2014-04-12 16:47:56,I love my siblings
455001435277520897,2014-04-12 15:16:10,Sustaining your connection with your imagination isn't your to... More for Aquarius http://t.co/4feep3fTxe
454853489928450048,2014-04-12 05:28:17,Can you call me @DanieLynn7
454853231995547649,2014-04-12 05:27:15,Im.so damn pissed
454664655827644417,2014-04-11 16:57:55,But I'm surprising big daddy with the gear 2 :)
454664581517180928,2014-04-11 16:57:38,I'm ready to go home
454639030508851201,2014-04-11 15:16:06,"Your imagination plays a significant role in your life today, ... More for Aquarius http://t.co/4feep3fTxe"
454300785544003584,2014-04-10 16:52:02,I don't know no one grind
454285096611495936,2014-04-10 15:49:41,Time to do another job search
454276632153305088,2014-04-10 15:16:03,"If someone comes to you with a larger-than-life idea today, re... More for Aquarius http://t.co/4feep3fTxe"
453999459425611776,2014-04-09 20:54:40,It's time for me to go !!!
453914048971550720,2014-04-09 15:15:17,"Although you might appear to be open to change, your mind is p... More for Aquarius http://t.co/4feep3fTxe"
453746499701440512,2014-04-09 04:09:30,Good night
453743322797203456,2014-04-09 03:56:52,I should haven known.
453576531261272066,2014-04-08 16:54:06,@DanieLynn7 fuck you lol 😙
