id,created_at,text
456855418816724992,2014-04-17 18:03:14,@SimplementAnna hahah
456849600964329472,2014-04-17 17:40:07,Was that Super Bowl ?RT @SimplementAnna: #tbt the turn up was to real http://t.co/Fa92FAYXUl
456845063281065984,2014-04-17 17:22:05,Best throwback video ever after cheesecake dinner bankmanvick @henry65_p @pablo_tgod endlesskicks_ !… http://t.co/qeQPnrpEAN
456808078134886401,2014-04-17 14:55:07,"RT @MindBlowing: President Obama was known to be heavy marijuana smoker in his teen &amp; college days. His nickname was ""Barack Oganja"" http:/…"
456808008727535616,2014-04-17 14:54:51,RT @LibraTerms: #Libra's don't like hearing negative comments about themselves.
456806526288527360,2014-04-17 14:48:57,"RT @LibraTerms: #Libra females are calm, cool, and collected with a good strategy always being planned in their head."
456806504599781377,2014-04-17 14:48:52,"RT @HighhOFFMolly: #WelcomeToTheDMV where everybody claim they keep their circle small then take pictures with their ""SQUAAAAD 👫👬👭👫👬👭👫👬👭👫👬👫…"
456679158781734912,2014-04-17 06:22:50,"RT @Capo94_: WE STILL CANT FIND THIS STUPID BITCH NAMED ""LINDA"""
456678404012507136,2014-04-17 06:19:50,Who's Linda lmao
456494736439017473,2014-04-16 18:10:01,RT @TerrellSIX13: “@12malik123: I got too much quap falling out my pants ✋😩😂 http://t.co/W3q7aZQRBc” broke ass nigga used napkins and said …
456482980936945665,2014-04-16 17:23:18,RT @DMVFollowers: Maryland cops are in search of a man for stealing a gun in Largo. He shouldn't be hard to find though.... http://t.co/jPz…
456473662645075968,2014-04-16 16:46:16,"RT @LibraTerms: #Libras are affectionate and loving. Life with them is peaceful and low-intensity, something that many of us envy."
456260411986542592,2014-04-16 02:38:53,RT @Wholetimeshawty: I saw @_FATJESUS and his ass asked why I was in his hood. Like he was about to beat my ass Lmfao. 😂
456260295326199808,2014-04-16 02:38:25,@Wholetimeshawty welcome back shawty
456066826519453696,2014-04-15 13:49:39,I'm employed 24/7
456066756499767296,2014-04-15 13:49:22,👏👏👏 RT @Endless_Kicks_: Chewys my soccer manager
456065098550112256,2014-04-15 13:42:47,Son putos
456065036126265344,2014-04-15 13:42:32,"RT @rompeToTo18: @Endless_Kicks_ that's why I don't go Sundays lol plus I work Sunday , employed 24/7 bruh"
455922352355049472,2014-04-15 04:15:34,Goodnight
455922245438025728,2014-04-15 04:15:08,I'll match an 0 RT @Xavi_Vercetti: @__lemonbars we going to ocean city for 4/20 everybody matching a tre5 doe
455916341489594368,2014-04-15 03:51:40,Me lol RT @Pirlambucano: Hey guys who wants to see my car that I totaled lol
455915449281425408,2014-04-15 03:48:08,All nighter
455915146091958272,2014-04-15 03:46:55,People be so concern lmao
455915076881743872,2014-04-15 03:46:39,Lmaoo 😂
455915046984749057,2014-04-15 03:46:32,RT @__Inmyzonee: This nigga dawg
455914954399678464,2014-04-15 03:46:10,@SimplementAnna HAHHA
455914702200401920,2014-04-15 03:45:10,@SimplementAnna ohhh the lies
455914457437589504,2014-04-15 03:44:11,@@ broken RT @SimplementAnna: Somebody hand shawdy a tank of water god damn 😒
455908396265664512,2014-04-15 03:20:06,Too much too keep up
455907900004003840,2014-04-15 03:18:08,RT @Endless_Kicks_: @_thinksexually @_FATJESUS you a THOT .. Jaime called .. He said those Db 4's fake ... Arrows pointing to the south
