id,created_at,text
456560885809438720,2014-04-16 22:32:52,"RT @madparkkk: ""What was your first job as a kid?""
Sam: ""I would kill cats with my 22 rifle and make $5 per cat from a restaurant owner"""
456560445940195332,2014-04-16 22:31:07,RT @PeopIe: http://t.co/jkDmmW5Xpx
456506277955268609,2014-04-16 18:55:52,What I would do for a CUPCAKEEEEEEEEEEE
456491420103487488,2014-04-16 17:56:50,"RT @757teamz: Boys tennis: Norfolk Collegiate 5, Maury 4. Norain Rijhwani &amp; Nick Baker beat Nash Bilisoly &amp; Bennett White 6-4, 6-4 to clinc…"
456490739950960640,2014-04-16 17:54:08,RT @Emily_Bondi: Why tf is there no way out of group chats
456489260976066560,2014-04-16 17:48:15,@kgbarrera looks SO good!
456416970095611905,2014-04-16 13:01:00,RT @lauren_mcgonz: neVer forgeT #SED http://t.co/i7ndoWMTXx
456393759509323778,2014-04-16 11:28:46,"Winter is not coming,
Winter is here"
456266573796622336,2014-04-16 03:03:22,"DQ guy: ""Here's your chocolate cone with HELLA sprinkles"""
456224901104685057,2014-04-16 00:17:47,I mean whatever happened to Frosted Flakes
456211586911178752,2014-04-15 23:24:52,@tweetyBURD_ett almost killed you today for letting my eyes see Josh Pecks face
456209647737638912,2014-04-15 23:17:10,Just forget about life and it will all go awayyyyy
456148713237254144,2014-04-15 19:15:02,"""Is the Leaning tower of Pisa really leaning?!?!"" @VAiz4lovers"
456146587786297348,2014-04-15 19:06:35,Atleast @jessaabelle picked up on my Game of Thrones reference on my Instagram location.... Losers
456040750523113472,2014-04-15 12:06:02,@tweetyBURD_ett god.
455534254416748546,2014-04-14 02:33:24,RT @OhHeWantsTheP: School tomorrow http://t.co/eN61wKFXMu
455534041010544640,2014-04-14 02:32:33,@JayneGuthorn not Bran!!
455135250243665920,2014-04-13 00:07:54,Prom yo with my main squeeeeezeeee davidkotarides @ my 🌞 &amp; ✨ http://t.co/uNU43qF41O
455018382589698048,2014-04-12 16:23:30,@AvenOliver hahahaha 👲
455017480973737985,2014-04-12 16:19:55,Just through a banana peal out of my car window and felt like I was playing real life Mario Kart
455011128897437696,2014-04-12 15:54:41,"RT @AmericanScenery: Chesapeake Bay, Virginia http://t.co/W3Jxn1Telh"
454987528513548288,2014-04-12 14:20:54,My moms the queen of leavin voicemails
454987286837743616,2014-04-12 14:19:57,"RT @GTirado14: ""People who bite cheese sticks are monsters"" -Hannah sacks"
454714407478517760,2014-04-11 20:15:37,Happppy birthday to this goon love ya @jMark1z http://t.co/owG0VuC6qD
454713865050148864,2014-04-11 20:13:28,RT @13NewsNow: Officials: Precautionary lockdown at Maury HS Friday morning #norfolk http://t.co/yYTd8cj9Ow http://t.co/mUqR3RnoOb
454275964898643968,2014-04-10 15:13:24,Going to college with my BEST FRIEND!!!!! Lololol love ya Carol @ roomies http://t.co/nkXbnsUcPV
454255798714396672,2014-04-10 13:53:16,RT @lmilner14: I wonder if future generations will wish they lived in our generation like we do to past generations
454240393983721472,2014-04-10 12:52:03,RT @CarolineKGreen: Blackboard is Edline on steroids.
454022812332990464,2014-04-09 22:27:28,"""And tonight we are all Italian!"" -dad as he orders me a margarita at a Mexican restaurant"
453560032740007937,2014-04-08 15:48:33,RT @tmarkh757: #TeddysFree
453500718415364096,2014-04-08 11:52:51,RT @TURNing_me_on: Immigration&gt;everyone else
453344666579374080,2014-04-08 01:32:45,RT @tbhsquidward: when the whole squad lookin fresh http://t.co/eRJAqC70XB
453317940675629056,2014-04-07 23:46:33,"RT @TBird_3416: NBC just said on the news ""Smart Car tipping has become a problem across the country"" http://t.co/45aBYDtRgM"
453294063488606208,2014-04-07 22:11:41,RT @Broooookie_B: I feel bad for people who don't go home to a beach.
453293980592377858,2014-04-07 22:11:21,RT @TheReal_Besha: Sup 757 http://t.co/Xdil0ZB6WG
453293641558425600,2014-04-07 22:10:00,RT @ChildHoodWTF: WHO REMEMBERS THIS THOT? http://t.co/iz4F5dotqb
453293086903644160,2014-04-07 22:07:48,@aGILLityy I love you
453287404963917825,2014-04-07 21:45:13,"""This song makes me want to go out and find a MAN"" *while listening to Say Something* @PeytonFancher"
453140527303909377,2014-04-07 12:01:35,The struggle to look semi-presentable
453006533102936064,2014-04-07 03:09:08,"""So what are we gonna do after Prom"" ""Kill each other."""
452991816053575680,2014-04-07 02:10:39,RT @TheReal_Besha: The new light at wards corner was literally the stupidest decision the city of Norfolk has made in a while
452990541605912576,2014-04-07 02:05:35,🌙 of my life
452990337905332224,2014-04-07 02:04:47,RT @rosegoodwoman: Khaleesi my queen
452990303759519744,2014-04-07 02:04:39,RT @KBunts: Game of thrones premiere on the big screen. Couldn't get any better
452471164875866113,2014-04-05 15:41:46,RT @theWREN_hatched: Turf burn on muh knees
452455257327812612,2014-04-05 14:38:34,"RT @allieisincali: Like your ""big muscles"" don't distract from your small dick or shitty personality sorry bout it"
452453025710612480,2014-04-05 14:29:42,Hahaha @emmnewbold ily rings http://t.co/RIFM0U7fb8
451870253786869761,2014-04-03 23:53:58,#THOTthursday @allabout__me we aren't friends @ bitchez http://t.co/f5NVAAUNRO
451500662929776640,2014-04-02 23:25:21,"RT @757teamz: Girls lacrosse: Norfolk Collegiate 9, Bishop Sullivan 8. Virginia Marshall’s goal in overtime proved to be the difference."
451198002506772480,2014-04-02 03:22:41,"RT @HistoryInPix: Teenagers at a party in Tulsa, Oklahoma, 1947 http://t.co/DQcNtHbOn4"
451197359532539904,2014-04-02 03:20:08,RT @madparkkk: Homemade crunch wrap supreme #gamechanger http://t.co/X8dSmnpGgE
451197205433827328,2014-04-02 03:19:31,"RT @757teamz: Girls soccer: Norfolk Collegiate 4, Atlantic Shores 1."
451196764818006016,2014-04-02 03:17:46,I have the goofiest relationship of all time haha lol rofl
451196433405054976,2014-04-02 03:16:27,RT @sburrnz: Time to get on this Game of Thrones grind
451130830052925440,2014-04-01 22:55:46,He strikes again haha love you Davie #somethingsneverchange #promwithdaBAE @ happppiiiiii 7 months 😘 http://t.co/9IA8998Beu
451076237486608384,2014-04-01 19:18:50,@fgtyhcdfrthgbvc haha it is! Her nickname is Nancy
451018284842774529,2014-04-01 15:28:33,"Just told my mom what I'm doing for Prom and she replies, ""So who are you asking to Prom?"" #nancy"
450771773160570880,2014-03-31 23:09:00,RT @crabbypatty_: Guys that wear white sunglasses should probably do some reevaluating
450254421814161409,2014-03-30 12:53:14,"RT @SamTarly_: Next Sunday's plans:

1) Game
2) of
3) Thrones"
450254315815718912,2014-03-30 12:52:48,RT @hellakyra: Slight change of plans http://t.co/HvF5FsAjj0
449507649777057792,2014-03-28 11:25:49,RT @CarolineKGreen: I want a love like this 💕 http://t.co/uTs9850c5g
448982311829536768,2014-03-27 00:38:19,@Howlettothemoon @jMark1z &amp; Dave Lizzie !
448975534719238144,2014-03-27 00:11:23,RT @OLIVeCARden: S/o to @jMark1z for getting into JMU!! Yayyy 😁
