id,created_at,text
455163470577954816,2014-04-13 02:00:02,Southern hospitaliy means the trolley driver honks at the drunk girl who hasn't turned her headlights on. #SaturdayNightInKnoxville
455146586969243648,2014-04-13 00:52:57,I forgot how dog-friendly Knoxville really is. Love seeing all the pooches walking around downtown! #lifewithdogs
455131515232747520,2014-04-12 23:53:03,Dinner in Market Square! (@ Cocoa Moon) http://t.co/MUwvm87gE6
455107750151081985,2014-04-12 22:18:37,How the Vols do bathrooms. #orangeandwhite @ Neyland Stadium http://t.co/UgDONdWeZt
455039267493142528,2014-04-12 17:46:30,It's GREAT to be a TENNESSEE VOL! tennalum #youngalumni #orangeandwhite #VFL http://t.co/sAisTphqgj
454601152353820672,2014-04-11 12:45:35,It's apparent you're in East Tennessee when you can make a 'shinin PB&amp;J. #LoveThisPlace #EastTN… http://t.co/momrYsoyQC
453898003406159872,2014-04-09 14:11:31,Why is it always middle-aged men in really tight shirts that get out of Miatas? It makes me laugh every time. #Observations #Memphis
453013365955108864,2014-04-07 03:36:17,Mickey Rooney Dead -- Legendary Actor Dies at 93 http://t.co/iMtTgPnkVz via @TMZ #RIPMickeyRooney
452982118373933056,2014-04-07 01:32:07,"@KAROLINEakaKARI hahaha i have one black, one brown and one white dog! i'm screwed no matter what. god bless lint rollers!"
452964078500446208,2014-04-07 00:20:26,Pile of adorable black puppies napping in my lap. Best part is their hair won't show on my pants!… http://t.co/0psXumnkoO
449977590850531328,2014-03-29 18:33:12,God bless the polka dot rain boots I bought in Knoxville ~10 years ago. Perfect accessory when you… http://t.co/flUZJ0K1SZ
448839703257575424,2014-03-26 15:11:38,Check this out! Pick the Best Dressed Coaches #SuitSixteen https://t.co/OThQqIHdDT #typeform
447907266205732864,2014-03-24 01:26:28,"Cheers to you Coach!! RT @CuonzoMartin: It's GREAT to be a Tennessee Vol!!! Next stop, Indy! #Sweet16Selfie http://t.co/MJ09Q43qdl"
447906863162458112,2014-03-24 01:24:52,Guess we didn't need Bruce to get us back to the tournament after all... #GBO #VFL #SweetSixteen #BasketVOLS
445725568727011328,2014-03-18 00:57:11,Celebrating St. Patrick's Day with a sippy cup of wine. #cheers http://t.co/ldXtViF2H5
442532553921425411,2014-03-09 05:29:17,"@CubsTigersGrizz it was very thin, thats all I know."
442531828839489536,2014-03-09 05:26:24,@CubsTigersGrizz lol its a koozie.
442530485982744577,2014-03-09 05:21:04,When you give men &amp; women the same supplies and ask them to dress the bride and groom... You get a… http://t.co/h0rVRAVOnf
442170568969027584,2014-03-08 05:30:53,#FashionablyLate : Tom Fords interview w/ Jimmy Kimmel. 'Dressing actresses for the Oscars is like a 50's bubble of Barbie clothes' #Perfect
440354226511044609,2014-03-03 05:13:23,RT @TheFakeESPN: Gravity got snubbed for best supporting actor for its role in Eli Manning’s passing game. #Oscars
440354077835550720,2014-03-03 05:12:48,"I'm quite over this 'ice storm', which has really just been a monsoon thunderstorm that turned my backyard into a lake. #Memphis"
440353046997245952,2014-03-03 05:08:42,"RT @kerrileewalsh: The best one yet! She set a great tone! “@hughhewitt: Make @TheEllenShow the permanent Oscar host.  On time, funny and v…"
440350370767069184,2014-03-03 04:58:04,RT @hellogiggles: Congrats to the cast and crew of 12 Years a Slave for winning Best Picture!! #HGparty #Oscars
440349869187039232,2014-03-03 04:56:04,RT @LindseySteff: Go ahead &amp; give him another Oscar for that speech. @McConaughey
440349592157425665,2014-03-03 04:54:58,"RT @AnnCurry: Cate Blanchett, saying films w/women leads are not ""niche"" films: ""They make money.  The world is round people!"" #Oscars"
440349540051591168,2014-03-03 04:54:46,RT @loudersoft: McConaughey was so good at everything he did in 2013. This is a deserved award. #Oscars2014
440349486435815424,2014-03-03 04:54:33,RT @KaiseratCB: Matthew McConaughey got a kiss from Leonardo DiCaprio. #alrightalrightalright #Oscars
440349439304413184,2014-03-03 04:54:22,Matthew. McConaughey. That is all. #Oscars
440344156515606529,2014-03-03 04:33:22,RT @TODAYshow: Lupita puts her Oscar down to applaud Sidney Poitier. #Oscars
440340722441781248,2014-03-03 04:19:44,"RT @Matt_Silverman: ""And here to sing a song about my hair, Idina Menzel with Let It Go!"" - John Travolta's original copy"
440340557211377664,2014-03-03 04:19:04,"RT @WmagJane: Speaking of Frozen, John."
