id,created_at,text
450840841209540608,2014-04-01 03:43:27,♥ http://t.co/rINyfjDUYJ
450666512148619264,2014-03-31 16:10:44,My babies♥♥♥ http://t.co/qeyjFoCHys
449548737820753920,2014-03-28 14:09:05,I get to see them on Sunday :) http://t.co/WVTypfBCDh
447553780247060482,2014-03-23 02:01:51,Some friend
447093156077527040,2014-03-21 19:31:29,:(
447092566257700864,2014-03-21 19:29:09,I have the day off and I just wanna wake up once she's back.
447092236547682304,2014-03-21 19:27:50,Lydia hurrrrry and come back
446331733906976768,2014-03-19 17:05:52,"RT @utepnews: March 19, 1966: Texas Western (now #UTEP) defeats Kentucky 72-65 to win @NCAA Men's Basketball title. #GloryRoad http://t.co/…"
445976733884243969,2014-03-18 17:35:13,RT @d_raaay: I never thought I'd be in love like this
445652121120034817,2014-03-17 20:05:20,You deserve better... sooo much better :(
444841761404239872,2014-03-15 14:25:15,"Wah wah wah, I'm lonely"
444841054835970049,2014-03-15 14:22:26,Just watch
444841030961991680,2014-03-15 14:22:21,"Lol, she's gonna call me a drama queen as soon as she gets up."
444840858328629248,2014-03-15 14:21:40,Pwease:(
444840800195604480,2014-03-15 14:21:26,Its like she hates me
444840670482542592,2014-03-15 14:20:55,Idk what to do with my life when lydias sleeping.. waaaake uuuuup :(
444600231502811136,2014-03-14 22:25:30,"When times are hard,  smile http://t.co/oXSkqvnAwX"
443812984209412096,2014-03-12 18:17:15,Duuuuuude are you kidding me
443141836794654720,2014-03-10 21:50:21,Shitty day
442818460024705024,2014-03-10 00:25:22,"Thats my faaaaavorite ♥ ""@LeexxieBabeey: 2 orders of flautas from tepalcas just for myself 😱😊 I DONT GIVE TWO FUCKS 💁"""
442523231866458112,2014-03-09 04:52:14,RT @loveelynessa: Swear I'm about to have a snickers moment 😤 #hungry
442518169329340416,2014-03-09 04:32:07,#TRUE ♥ http://t.co/ng62k5Ffgn
442070839190491136,2014-03-07 22:54:36,OH MY GOD. SWING THE BAT
442069702521548800,2014-03-07 22:50:05,Fucking cunt
442069484656803840,2014-03-07 22:49:13,How are you gonna bring your four children to a cold softball game without any jackets?
441269253933498368,2014-03-05 17:49:23,"Lmao ""@pris_killa3: Easter lands on 4/20 this year. Fuck."""
441130203264593920,2014-03-05 08:36:50,She taught me how to solve this thingie :) http://t.co/0vws5JTXuU
439766118157127681,2014-03-01 14:16:27,RT @JohnSteinbach: My 14 year old brother just wrote this😱 http://t.co/iyklkf1bmV
439030123288084480,2014-02-27 13:31:52,Best Good Friend ♥ http://t.co/R50ZtHLkv8
439028495164121088,2014-02-27 13:25:24,When I went home for my best friends bridal shower ♥ @leexxiebabeey @graciebkillin_2 http://t.co/Bos7D5RX2W
439027148981293056,2014-02-27 13:20:03,Ivan Gabriel♡ http://t.co/68gfkFvko5
438518746496258049,2014-02-26 03:39:51,#whosedramaticnow #Dontgetmad #whoseaprettyladyyyyy #nicehair http://t.co/OMnm1Bgfoy
438516351389270016,2014-02-26 03:30:20,WHOOP THERE IT IS
438516132106887168,2014-02-26 03:29:27,Give her a second....
438515970001223680,2014-02-26 03:28:49,Wait for it....
438515943522578432,2014-02-26 03:28:42,Hold onnnnn
438515910278524928,2014-02-26 03:28:34,Lydias about to be dramatic
438515860202741760,2014-02-26 03:28:22,Watch out guys....
438515768376823808,2014-02-26 03:28:01,@ohhclari I miss youuuuuu♡
438515403535294464,2014-02-26 03:26:34,Why is she so funny? #StopItBunny #iCant
438515084390711296,2014-02-26 03:25:18,I looove my girlfriend. I can't handle it sometimes.
438514835110633472,2014-02-26 03:24:18,Nooooo
438107108534648832,2014-02-25 00:24:08,#SecretBeach #AustinAdventures http://t.co/ij65Bg3uLD
437984794744348672,2014-02-24 16:18:07,STUPID SLUT
436210313478684672,2014-02-19 18:46:57,RT @Britttttaaanyyy: I love blush ☺️
435578221912809472,2014-02-18 00:55:15,@BriWasLikeWhaaa @Lyd_13 @jesss_gowithit ahhhh please come!! :)
435578165541367808,2014-02-18 00:55:01,@BriWasLikeWhaaa @Lyd_13 @jesss_gowithit COME TO US!
435114825367449600,2014-02-16 18:13:53,When he laughs&gt;&gt;&gt; ♡ http://t.co/r2gFTFIu4Y
434627046900523008,2014-02-15 09:55:37,El paso looks so different D:
434626468102946816,2014-02-15 09:53:19,"I can't wait for the bridal shower tomorrow, my best friend is gonna have THE BEST TIME"
434626222006366208,2014-02-15 09:52:20,I miss my girlfriend. It hasn't been a day and I'm dying. I CANT DO THIS
434625768451096576,2014-02-15 09:50:32,Got to see my best friend♡ that made my Night a thousand times better!
434625519317835776,2014-02-15 09:49:33,Being back in el paso feels good.... only because it's cuddle time with my faaavorite fellas ♡
433724298633965568,2014-02-12 22:08:25,@ashleeysmiles hahahaha holy shit that was awesome to read
428369006199066624,2014-01-29 03:28:24,♡ http://t.co/pQGcg1TrW7
428368493365714944,2014-01-29 03:26:22,:D @itsashleyfoo http://t.co/fhOKu6ZxsC
428362407371886592,2014-01-29 03:02:11,She took a good picture with me for my happy birthday :D @stefanihearts http://t.co/bv2QyytWTV
428361491814023168,2014-01-29 02:58:32,I couldn't ask for better friends. Thank you for making my birthday amazing! I loooove you my asians ♥… http://t.co/RMyj5ONwLi
428360457511264256,2014-01-29 02:54:26,Ping ♥ @jullz_isniice http://t.co/VHBmnn7xFI
428350005779628032,2014-01-29 02:12:54,deesnyder22 :) http://t.co/PvxzbdKFzG
428349510902099968,2014-01-29 02:10:56,At my birthday party! #theJessicas :) http://t.co/FOgXAGpvNC
427661000469250049,2014-01-27 04:35:02,RT @ohhclari: @babybitchel  happy birthday beautiful!!!!! ❤️❤️😚😚 love you and miss you
427659987544850432,2014-01-27 04:31:01,RT @AlexBehBeastinq: Happy birthday @babybitchel!(:
427659707394686976,2014-01-27 04:29:54,@kimdudee thank you kimmy!!:)
427659375235198976,2014-01-27 04:28:35,RT @kimdudee: happy birthday @babybitchel I love you ❤️❤️❤️ and I miss you;'(
427659045504548864,2014-01-27 04:27:16,RT @ms_ruubyredd: Happy birthday @babybitchel &lt;3 love you hubby have a great day! (:
427659029457149952,2014-01-27 04:27:12,RT @SammieWammie12: Happy Birthday @babybitchel ! Have a good one pretty girl! Miss you!😘❤️
427658992081731584,2014-01-27 04:27:03,RT @madiee_sonnnn: Happy birthday @babybitchel i hope you enjoy your night beautiful 😘
427110728495951872,2014-01-25 16:08:27,"RT @LeexxieBabeey: I've seen the Irvin team now grow into such an amazing team, but now everyone who turned their back wants a piece of the…"
426078323404320768,2014-01-22 19:46:03,"I'm not ready to be 20. Don't come Sunday, just don't."
426074812113780736,2014-01-22 19:32:05,Grandma and Nico Michael ♥ http://t.co/QJqdAVpZkA
426073910539718656,2014-01-22 19:28:31,I miss youuuuuu! http://t.co/4o1CgI9RN5
425792447960997888,2014-01-22 00:50:05,"@DavidPinson_SR how are you doing fella! Don't be sad, ill visit soon :))"
425791399095582721,2014-01-22 00:45:55,@DavidPinson_SR I miss you!!!
425721399500898304,2014-01-21 20:07:45,♥ http://t.co/U0kb9UfFCt
425720938140020736,2014-01-21 20:05:55,Roommates ♥ http://t.co/WjTAYuTo8t
417510111859736576,2013-12-30 04:19:02,Greetings from Austin! http://t.co/GS0SgeO7Ed
415218925261959168,2013-12-23 20:34:40,@jesss_gowithit I miss you boo!!:*
414632080383815681,2013-12-22 05:42:46,Officially survived this week! #70HourWorkWeek
414266564817747968,2013-12-21 05:30:20,RT @RelatableTruuth: #StopWhiteGirls2013 http://t.co/SZJ66Mv87L
414266554315210752,2013-12-21 05:30:17,RT @ohhclari: You know it's cold outside when you walk outside and it's cold outside. ⛄️☔️
412415566478319616,2013-12-16 02:55:08,#PBJ #SparklyBoots #TheJessicas http://t.co/kZr0EscIwd
412412087479324672,2013-12-16 02:41:18,Nico♡ http://t.co/yItD6ZPAc4
410586136759640064,2013-12-11 01:45:38,RT @LeexxieBabeey: Phew.....weight lifted off my shoulder!
410539894901972994,2013-12-10 22:41:53,This is gonna be my first Christmas away from erik &amp;ivan since they were born... I just let that sink in a minute ago
409879723431321600,2013-12-09 02:58:35,"RT @kelsroaach: So my mom will stop smoking &amp; so will my stepdad if I get a million retweets, lol ok. Ha help me guys. http://t.co/ee5E4FWO…"
409035583642550272,2013-12-06 19:04:17,"Yesterday,  was an amazing day ♥"
409035532753072128,2013-12-06 19:04:05,Vampire diaries ♥
409034965402521600,2013-12-06 19:01:49,@Fernando3595 your in Austin?!
408671401873113088,2013-12-05 18:57:09,Billy Currington ♥♥♥♥♥
408655736256733184,2013-12-05 17:54:54,"RT @Dee22_UTAustin: I appreciate your lack of laziness, it allows me to maintain mine!"
408455222407622658,2013-12-05 04:38:08,So hungraaay
408454993675427840,2013-12-05 04:37:13,Hurrrrry home. Hurrrrry
408454938520338432,2013-12-05 04:37:00,I just do NOT wanna clean my room
408454622882185216,2013-12-05 04:35:45,Baby fever ♥.♥
408454510793986048,2013-12-05 04:35:18,I just loooove babies!
408454380174999552,2013-12-05 04:34:47,"I know its been literally foreva since we talked, but I wish I could go to see Devons new baby♥ I member being there the day leah came!"
