id,created_at,text
456863566591954944,2014-04-17 18:35:37,Now that I think back I do remember that I did get catfished. Way before catfished was a show 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
456834471623266305,2014-04-17 16:40:00,RT @5150key: Brandon will for ever be my dawg mayne 👌✊
456834457232609280,2014-04-17 16:39:56,💯💯👌 RT @5150key: Brandon will for ever be my dawg mayne 👌✊
456833675024289793,2014-04-17 16:36:50,Niggas don't know how to clean the bathroom. Don't know how to clean the kitchen. Just a bunch of worthless niggas man
456833526185205760,2014-04-17 16:36:14,@5150key that shit is hella irritating
456833472850440192,2014-04-17 16:36:02,RT @5150key: “@bigpapibrad_: Why do niggas leave food in the fridge for weeks if they know they not finna eat the shit” omg!!!!!!!!!!!! Yas…
456833198740504576,2014-04-17 16:34:56,I shoulda claimed all these niggas on my taxes cause they kids
456833104477294592,2014-04-17 16:34:34,Why do niggas leave food in the fridge for weeks if they know they not finna eat the shit
456767971000459264,2014-04-17 12:15:45,NY got the sickest homeless people.
456618228756668416,2014-04-17 02:20:43,@kmichelle your helping me get through my boring night 🙏. Thanks
456581917274411008,2014-04-16 23:56:26,Lovehate album by the dream is a classic
456553166608162816,2014-04-16 22:02:11,@PrettyMeanDream too bad I'm talking about my roommates lol
456537685083975680,2014-04-16 21:00:40,Because if niggas is stealing shirts then they getting fucked up
456537523846529025,2014-04-16 21:00:02,That ones of these bitch ass niggas respond no to my text
456537455940739072,2014-04-16 20:59:46,I pray to The Lord above
456257568584007680,2014-04-16 02:27:35,@StJohnsU spent 55k for those new signs. That's what our tuition goes to.
456193278535536641,2014-04-15 22:12:07,Young thug hacked you huh? RT @DwightHoward: Shoutout to my babe @ChandlerParsons!! My crush &lt;3
456118153454821377,2014-04-15 17:13:36,This is why I hate doing group projects.
456108290293129218,2014-04-15 16:34:25,I got the worst English professor ever thanks @StJohnsU
456101212136689664,2014-04-15 16:06:17,You a real one. RT @karrueche: Something about McDonalds breakfast that makes me happy
456099806998700033,2014-04-15 16:00:42,"People out here swear up and down that I have a ""accent"" lmfao"
456099246388051968,2014-04-15 15:58:28,Do Indians know that the sidewalk is meant for multiple people?
455741261543391232,2014-04-14 16:15:58,@BOOSIEOFFICIAL you gotta come to Cali and perform boosie. It's only right
455717249354326017,2014-04-14 14:40:33,I wish I lived on campus. Just so I can take a shit whenever. Rather then hold it 😭😭😭😭
455504302686359552,2014-04-14 00:34:23,@OneKaylaLexus man I fasho need to try that
455479461379846145,2014-04-13 22:55:40,Got damn where is this at? RT @OneKaylaLexus: Perfection🙏 http://t.co/nwnQbZfy2x
455478441165742082,2014-04-13 22:51:37,@AldonSmith you are a true jack ass. I just wanted you to know that buddy
455462873658302464,2014-04-13 21:49:45,When a teacher gives vague ass questions for homework -___-
455372987794206722,2014-04-13 15:52:35,RT @_Kryptonic: Back in Cali in a lil less than 3 weeks.
455366767658164224,2014-04-13 15:27:52,About to go hit this barbershop up. I can't be looking like I'm from the color purple anymore
455213487846072320,2014-04-13 05:18:47,Pacquaio not the same fighter. Good fight though
455146612055363584,2014-04-13 00:53:03,Man spring semester flew by so quick. Few weeks left &amp; we done
455025186665164802,2014-04-12 16:50:33,#MusicThatDontMatch https://t.co/FtP4zF8QiO
455004212221730817,2014-04-12 15:27:12,"RT @taimani650: ESPN ranked #1 recruit in college basketball

&amp; he frm tha Bay 👊💥💢✊

Look him up.. bruh ain't no joke either! http://t.co/3…"
454992556271878144,2014-04-12 14:40:53,"If your ""nigga""don't have no pics of you on his IG but yet you got hella pics of the nigga on yours... You a side piece"
454988485062328320,2014-04-12 14:24:42,Nice ass day
454849065449455616,2014-04-12 05:10:42,@LongLiveAnferny LMFAO gave that nigga the gay warrior kiss of death
454848995484266496,2014-04-12 05:10:25,@PrettyMeanDream nigga huh? lmao
454819651365912576,2014-04-12 03:13:49,Y'all got quit talkin like y'all bloods lmaoo
454804155719512064,2014-04-12 02:12:15,RT @CHlLDHOODRUINER: Damnnnn 😂😂 http://t.co/I9vjM9SzXF
454799669093474305,2014-04-12 01:54:25,@cuuji lol smh
454798891280785408,2014-04-12 01:51:20,Niners got a rapist QB
454739305043595264,2014-04-11 21:54:33,RT @600BoyDre: I swear San Pablo mini Mexico
454610686044569601,2014-04-11 13:23:28,@PrettyMeanDream 😂😂😂😂😂😂😂😂😂
454610685759344640,2014-04-11 13:23:28,RT @PrettyMeanDream: @bigpapibrad_ if you thought niggas was gettin out the bed you sadly mistaken me and my roommate hid in our room til t…
454600540996263936,2014-04-11 12:43:09,RT @LegendaryLamar7: So many cornballs exist in this world
454599706963099648,2014-04-11 12:39:50,Had all them black girls out there petrified showing they morning hair
454599075103793153,2014-04-11 12:37:20,Whoever pulled that fire alarm in Henley gotta catch fade. I don't give a fuck if it was Obama. Niggas catching fade.
454510582616825856,2014-04-11 06:45:41,I have to tell this dude to turn off his music every night. Like he doesn't have beats on his dresser
454475808372195328,2014-04-11 04:27:31,"RT @PrettyMeanDream: Chiraqqqqqqq RT @bigpapibrad_: Pussy Nigga you don't want war 
Got old clips, bitch I'm Baron Davis"
454455598370021376,2014-04-11 03:07:12,Herb go crazy
454455385337126912,2014-04-11 03:06:21,"Pussy Nigga you don't want war 
Got old clips, bitch I'm Baron Davis"
454446405600681984,2014-04-11 02:30:40,Do you really think your chick would be cool if you dropped a track about your ex? Lmao
454446253473271808,2014-04-11 02:30:04,I knew big sean &amp; his bitch relationship was doomed when he put out that song about his ex
454439530960281600,2014-04-11 02:03:21,Niggas in fairfield need to chill my moms still in that area
