id,created_at,text
456609121853128704,2014-04-17 01:44:32,“@HunterGillaspie: CNA test tomorrow!” I'm so scared!
456288277906329600,2014-04-16 04:29:37,RT @FemaIesPosts: who else has ever done this 😣😞 http://t.co/XItNWQCfzP
456276791074623488,2014-04-16 03:43:58,I guess I'll sleep with my light on. I'm to lazy to get up and turn it off.
456253387483267072,2014-04-16 02:10:59,@KyleVanMeter Sam and i**
455927089971986432,2014-04-15 04:34:23,"“@racergurll: Likeee, I want to text you.... but i feel like its not a good timeee. #thestruggle”"
455922156367380480,2014-04-15 04:14:47,Cripple life ✌️ http://t.co/gr5duLTWls
455921170781437952,2014-04-15 04:10:52,Pissed off to the max.
455911554722983936,2014-04-15 03:32:39,“@chase_bennett__: I miss so many people its ridiculous.”
455906829592064000,2014-04-15 03:13:53,"Everytime something actually goes right, it turns wrong."
455888047377108993,2014-04-15 01:59:15,@AngelaBeik okay that's fine! We will have her sandwich for her :)
455885906764107777,2014-04-15 01:50:44,"Maybe I should let you go, then you might realize what you're missing."
455819506594508800,2014-04-14 21:26:53,"RT @EarlDibblesJr: If zombies attack, go to Sams Club. There's cement walls &amp; years worth of food &amp; supplies. Plus, zombies can't get in wi…"
455543413233172480,2014-04-14 03:09:47,I wish you actually wanted to talk to me like you did before. #wishfulthinking 😔
455541084995584000,2014-04-14 03:00:32,I just wanna be happy 😢
455539156547293184,2014-04-14 02:52:53,You tell me you have to go yet you keep talking to other girls. Whatever 😡
455528860235624448,2014-04-14 02:11:58,Accidentally favoriting someone's tweet &lt;&lt;&lt;
455357378922569728,2014-04-13 14:50:33,I can't seem to let you go.
455213579247960064,2014-04-13 05:19:09,I never in a million years thought I would feel this way about you. To bad you're just a douche. ✌️ bye
455206538609565697,2014-04-13 04:51:10,"Everything that could possibly go wrong, went wrong."
455198924450459648,2014-04-13 04:20:55,I really don't like storms..
455192046303969280,2014-04-13 03:53:35,I always try to make people happy before myself.. 😕
455131729787756544,2014-04-12 23:53:54,@Mohwinkle you ;)
