id,created_at,text
456769611875090433,2014-04-17 12:22:16,You feel like you're rolling in a field of four-leaf clovers t... More for Libra http://t.co/filki9M0ye
456646219305996288,2014-04-17 04:11:57,“@_rawmoans: “@GenuineGent_x: IM LEAVING THIS PLANET http://t.co/hxt1t6LNqq” @brndnhp” ..oh no 😥 LOL #fml
456407052789637120,2014-04-16 12:21:35,Although your friends and associates may be extremely nice to ... More for Libra http://t.co/filki9M0ye
456131210679681024,2014-04-15 18:05:29,RT @nbacanada: Canada get ready! RT @rtzfans: Sneak peek for playoffs! RT @taresch: Let's go @Raptors  #northernuprising #RTZ http://t.co/6…
456119490460536833,2014-04-15 17:18:55,RT @Hoopmixtape: NEW VIDEO: 14 Year Old Seventh Woods Throwback Summer #Hoopmixtape http://t.co/FdDRnF0bv3 http://t.co/fHf7qTdVZR
456097579395477504,2014-04-15 15:51:51,😓
456044567473565696,2014-04-15 12:21:12,Finding the harmony that you wish to have in your personal rel... More for Libra http://t.co/filki9M0ye
455944901294051328,2014-04-15 05:45:10,"gonna post more, it'll be fun."
455856395288870912,2014-04-14 23:53:28,"It's supposed to snow tomorrow... wtf. Thought we were past this sort of stuff, but then again this is Canada so what's new."
455770919185948672,2014-04-14 18:13:49,"RT @TheSportPics: Vince Carter, Tracy McGrady, Charles Oakley, Marcus Camby and Muggsy Bogues huddle up. http://t.co/CzmMClgoCz"
455740409265008640,2014-04-14 16:12:35,"RT @_AthleteFession: ""Our Basketball league doesn't have a shot clock.  We held the ball against our rival for 4 quarters and won 6-3.  The…"
455732778265743360,2014-04-14 15:42:16,@BRICKSQUADBENTO 🙇I hate you LOL
455682147513163777,2014-04-14 12:21:04,You don't have a lot of patience with others who act selfishly... More for Libra http://t.co/filki9M0ye
455594356993703936,2014-04-14 06:32:13,SEAV03 🎼
455592805982015488,2014-04-14 06:26:04,@giogxbriel lmfao I guess so
455591253238116352,2014-04-14 06:19:53,"..Literally down to my last pair of boxers and they're the ones I'm wearing, that ain't cool man aha"
455582497687236609,2014-04-14 05:45:06,Shitload of laundry to do tomorrow.. 😞
455574367922315264,2014-04-14 05:12:48,RT @HussainRazvi: #musicthatdontmatch LMFAO
455564544962985984,2014-04-14 04:33:46,'from the same'
455557411064250368,2014-04-14 04:05:25,RT @cal_mitchell: reverse catfish LOL  https://t.co/Wz8CkgBroj
455557193178157059,2014-04-14 04:04:33,"..or maybe this summer lol, oh well. http://t.co/BfzMOOiw47"
455555022508789761,2014-04-14 03:55:55,"@noahfaigal I know yo lol, but the site I watch them on was saying there's one next week so I just assumed there might be"
455552894872600576,2014-04-14 03:47:28,"When Mike, Harvey and Lewis got back to the office after what went down.. tufffff-ist moment👌// #Suits s3 e16 http://t.co/daaqqBOkJg"
455551062855151616,2014-04-14 03:40:11,Stoked for next weeks episode.
455550834177478656,2014-04-14 03:39:17,"Caught up on that last episode of Suits, so cot damn good! Actually got so amped towards the end haha"
