id,created_at,text
456883783304609792,2014-04-17 19:55:57,Bitch who do ya love
456883713700151296,2014-04-17 19:55:40,RT @Katie__Gross: Convinced me and @btwimmeg are never coming home after Memorial Day weekend #seeyanever
456857958257672193,2014-04-17 18:13:19,@geearmento I ❤️U
456786292970627072,2014-04-17 13:28:33,Asians are constantly showing their ankles around here
456784882929508352,2014-04-17 13:22:57,No fucks given today at #UB I'm taking elevators
456775742634737664,2014-04-17 12:46:38,@wbyrd515 lmaooo nooo we cool we cool 😎😎😎
456775607519805440,2014-04-17 12:46:05,RT @wbyrd515: Megan hating to early its not even 10 yet lol
456775545947033600,2014-04-17 12:45:51,"@wbyrd515 no, tell her to stop planting this idea in your head that you light skins are gods gift to earth! 🙅🙅💁😂😂"
456774706629058561,2014-04-17 12:42:31,@wbyrd515 barf. 😷
456770828190101504,2014-04-17 12:27:06,"People make promises all the time, then they go right around and break them #TheseAreActuallyJustinTimberlakeLyrics #frfr"
456676982281871360,2014-04-17 06:14:11,RT @Katie__Gross: “@btwimmeg: I just need a friend :(” yoooo best drunk tweet of the year 😂😂😂😂😂
456676292717314048,2014-04-17 06:11:27,@Katie__Gross I needed someone to pick my drunk ass up at Toro 😂😂 I texted Corey and was like you're my friend right
456673773870006273,2014-04-17 06:01:26,"Boo hoo, lost a follower 😢💔"
456670664309473280,2014-04-17 05:49:05,One day these girls will come to me looking for a job
456669527690854402,2014-04-17 05:44:34,Aka Kenmore
456669474687418369,2014-04-17 05:44:21,Ugly insecure girls 😫😫😷😷😷
456669375336968193,2014-04-17 05:43:58,Then slap his mother
456669328394301440,2014-04-17 05:43:47,"GIRLS ARE SO EASY &amp; SLEAZY. If any guy ever so much as said 'send me pictures' Thats the LAST thing id do,the first would be torch his house"
456611233798443009,2014-04-17 01:52:56,I get by with a little help from my friends 😌
456605498159026177,2014-04-17 01:30:08,"I never really believe in that shit, but I kinda think everything just may possible happen for a reason."
456592844417810432,2014-04-17 00:39:51,Cake and martinis sound like the perfect way to wrap up this Wednesday night. 😋🍸🍰
456472080125796352,2014-04-16 16:39:59,I mean he didn't speak English but I got the gist of it!..  “@_stayballin__: I respect the nigga who made this 💯✊ http://t.co/ErA7XkBJeF”
456395584870420480,2014-04-16 11:36:01,@Bpalmer10 oops happy birthday!!
456395528352198656,2014-04-16 11:35:48,Idk if I have it in me today 😩😩😴
456171648467890177,2014-04-15 20:46:10,@geearmento @Partyprobs your life lmao
456072673635102720,2014-04-15 14:12:53,Seriously who else is comin with @Katie__Gross and I ? #EDCNY http://t.co/xZ2TH7NaX6
456054615860330496,2014-04-15 13:01:08,Kant go 2 class cuz Millionaire Matchmaker just st4rted
