id,created_at,text
456405303379374080,2014-04-16 12:14:38,no reason to even be up this early
456180394317324288,2014-04-15 21:20:56,RT @KickRaux: still messing with my sidechain doe...
455949254557581312,2014-04-15 06:02:28,RT @diplo: moon eclipse is a rip off i want my money back
455921574219362304,2014-04-15 04:12:28,"“@GrayZingmark: No :-) one :-) cares :-) abt :-) your :-) stupid :-) vape :-) blowing :-) snapchats :-)” 

⚠️@clemson111⚠️"
455870202178449408,2014-04-15 00:48:20,"RT @FuntCaseUK: Who the fuck invents these non sensical words...who ever invented ""Thot"" deserves shin splints"
454697211830751232,2014-04-11 19:07:17,@boulweezy let boulweezy jump on tho
454697045333659648,2014-04-11 19:06:38,RT @boulweezy: oshi pulled up and @carsonham12 is goin in
454064096388710400,2014-04-10 01:11:31,RT @edm: #HDYGRLZ &gt;
454036542051586048,2014-04-09 23:22:01,when u hit ur first kickflip and realize none of ur friends were lookin http://t.co/3bMd6R1tM6
454002651118981120,2014-04-09 21:07:21,"RT @maddecent: OUT TOMORROW ON @TheJeffrees -- We're back w/ a new EP from @BallTrapMusic, Trap Shit 17/20!! http://t.co/OXlJDaH9n2 http://…"
453989545256976384,2014-04-09 20:15:16,RT @TyroneJacksin: JUS GOT MY CAR BAK FRUM PIMP MI RIDE FRESH AF http://t.co/6mQEa627ip
453972580782071808,2014-04-09 19:07:52,"RT @edm: ︻╦╤─ ƱZ ─╤╦︻ x @diploandfriends:
https://t.co/7yDTuMsHsZ @BallTrapMusic 

🔥 from:
@MiloAndOtis
@YELLOWCLAW
@RLGRIME
@WhatSoNot &amp; l…"
453913332131848192,2014-04-09 15:12:26,2 weeks old http://t.co/uJbp5T8pW1
453376616220332032,2014-04-08 03:39:43,RT @EmmanuelOgbonna: 1 RT and I'll fart on Chichi's lips http://t.co/NTyFysW7as
453296482871803904,2014-04-07 22:21:18,me on the way back from your mums house http://t.co/jSGMUFryaR
453211072829587456,2014-04-07 16:41:54,I forgot that thunder even existed
453210976633241600,2014-04-07 16:41:31,@maxbanford24 HAHAHAHA
452970757505949697,2014-04-07 00:46:59,people that go 30 down Irmo drive are dead to me
452683845494919168,2014-04-06 05:46:53,@haleyreed16 you know it was cool don't lie 😎
452683769347317760,2014-04-06 05:46:35,@ShelbyLanza_07 love you too!
