id,created_at,text
456793181288693760,2014-04-17 13:55:55,RT @jehchiapp: I luh you Papi **twerk it @chrisdelreyyy
456792606492471296,2014-04-17 13:53:38,@vtorvecchio_ since today and last week !!!!!
456778652739706880,2014-04-17 12:58:12,80 year old nonnos are my motivation at alpal 👊
456747429409222656,2014-04-17 10:54:07,am I actually going to the gym before school idk what possessed me
456644179116830720,2014-04-17 04:03:51,don't eat after 7pm...uh huh http://t.co/u1ZffSBfLt
456642560388132864,2014-04-17 03:57:25,RT @dylancserrano: #ThisCoudBeUsButYouPlayin http://t.co/RWYIzKVieg
456627974754672641,2014-04-17 02:59:27,RT @cterminesi: I don't understand how some people have so much time to party. Like do you go to school? Do you have a job? Do you have a f…
456263344878387200,2014-04-16 02:50:33,@ml_lionti what's that 😭
456262844372103168,2014-04-16 02:48:33,Wow my assignment got erased have to start from 0 and it's due tomorrow god loves me
456210359901114368,2014-04-15 23:20:00,Wow I hate my job wow I need money though wow time to marry a sugar daddy
455837820356395008,2014-04-14 22:39:40,"RT @CommonGayTweets: ""gays will push their sexuality onto their children"" funny because that's exactly what every straight person does"
455801990325764097,2014-04-14 20:17:17,Already know im gonna bomb a test why study ?????????????
455576782323077120,2014-04-14 05:22:23,RT @CamilaRomerof: Para mi no hay nada peor que los hombres guapos que saben que son guapos y son unos zorros. Son un desperdicio de genes.
455546389381251072,2014-04-14 03:21:37,@sabrina_dourado I'm counting the days !!!!!!!!
455546096786628609,2014-04-14 03:20:27,Can we all take in how we all graduate high school in like 2 months....
455379767039377408,2014-04-13 16:19:31,"Hope I don't burst into flames when I step into church, it's been a while....."
455172695916023808,2014-04-13 02:36:42,"I AM NOT YOUR GAY BFF
My lifeeeeeeee http://t.co/udtE6jEfys"
455121756219777024,2014-04-12 23:14:17,Working on a Saturday night is brutal
455084813482221568,2014-04-12 20:47:29,RT @lindsaymillss: Every stereotype of Italians is so true in woodbridge.   😂😂
455004362906292224,2014-04-12 15:27:48,@AntoinetteeeM happy birthday love !!! have an awesome day 💗💗💗💗💗🎁🎁
455002893884870656,2014-04-12 15:21:58,RT @funnyortruth: This 👏 http://t.co/3PfkU3NQ8P
454996980918648832,2014-04-12 14:58:28,Me at the beach http://t.co/MjaO0h3eTm
454782872717508608,2014-04-12 00:47:40,Same
454661960793985024,2014-04-11 16:47:13,RT @steveaoki: BRAZIL! ECUADOR! ARGENTINA! BOLIVIA! COLOMBIA! you are all in the latest EP of on the road.. watch it here http://t.co/IJkoH…
454625349251657728,2014-04-11 14:21:44,RT @jehchiapp: “@alx0__: Going super super hard tonight 👊💪” @chrisdelreyyy and I will meet u there
