id,created_at,text
456618165519147008,2014-04-17 02:20:28,Ya mi alarma puesta a las 3:00 am... Por Dios que turbio se lee eso!!
456106004972060672,2014-04-15 16:25:20,"No es necesario decir todo lo que se piensa, lo que sí es necesario, es pensar todo lo que se dice."
456105615946182656,2014-04-15 16:23:47,"@949Radio @AnaSofia_7 coco, coconut. Tiene que serlo!!"
456103563606106114,2014-04-15 16:15:38,RT @GodPosts: My life may not be going the way I planned it.. but it's going exactly the way God planned it..and I'm okay with that.
456101453007159298,2014-04-15 16:07:15,"RT @frasesparalider: Dios da más importancia a lo que somos, que a lo que hacemos."
455890169422692352,2014-04-15 02:07:41,El Pol siempre tan guapetón! http://t.co/xIRRO5qIPR
455876118663680000,2014-04-15 01:11:51,RT @SciencePorn: http://t.co/AjVWRBPVBI
455785702186557440,2014-04-14 19:12:34,RT @DanielMonroy30: Tocando con mi hermano @dave8822 . http://t.co/rZX8Qryf16
455474616195358720,2014-04-13 22:36:25,Caramel macchiato... Italian g8 version! @ Starbucks Guatemala http://t.co/G7JjoOqChU
454104351888637952,2014-04-10 03:51:29,Productivo ensasho el de hoy!! onofre_m dennisgump #josue son una bendición!! http://t.co/6yPXKjY9Ok
453968663079845888,2014-04-09 18:52:18,RT @TedOfficialPage: I love her. http://t.co/DgQRChUpk4
453754613100187648,2014-04-09 04:41:44,Ya en casa después de un día súper productivo y lleno de bendiciones!
453624251757514752,2014-04-08 20:03:44,My view of the day! Recording time! :D @ Music Company http://t.co/NW03Bz1fN7
453364079034646529,2014-04-08 02:49:54,"RT @RelatableQuote: In this generation, you can't tell if someone is 13 or 18."
452979513597906944,2014-04-07 01:21:46,"Proud of you Chejo.... Y si, eramos nosotros los que gritábamos hahaha! @vastymadrid @pablo_fernando… http://t.co/y9e5FIvSp8"
452604266826727424,2014-04-06 00:30:40,@Pocasangre22 @silum28 ya la estoy escuchandollamando paraactivar algo que no sabe para que sirve Get a life people... Or at least underwear
452229361811611648,2014-04-04 23:40:56,"""Lo que viene siendo..."""
452161724645658624,2014-04-04 19:12:10,"@OfficialNarnia #nw ""Las crónicas de Narnia. El príncipe Caspian"" el libro es mejor pero la película es muy buena!!"
451932675218374657,2014-04-04 04:02:00,"""Mírame fijo a los ojos..."" http://t.co/nogS13RXoa"
451866062246916097,2014-04-03 23:37:19,Quiero chocolates Reese's soooooo badly!!!
451184131838574592,2014-04-02 02:27:34,@gabrielacorado sabes que aquí estoy para ti!! Te súper amo!!
451175822016385024,2014-04-02 01:54:33,@gabrielacorado amor estas bn!?
451158264030715904,2014-04-02 00:44:46,RT @MisterioDescono: TERREMOTO EN CHILE 01/04/14: http://t.co/bENPh2Np9Z primer video del sismo
451010919045152768,2014-04-01 14:59:17,"Dios mismo será tu guía, y te ayudará en todo; él jamás te abandonará. ¡Echa fuera el miedo y la cobardía!» http://t.co/2m5wC91Z0R"
451010766276030464,2014-04-01 14:58:40,"»Por eso ustedes deben reconocer a nuestro Dios, que es el Dios verdadero. Nuestro Dios cumple su pacto con todos lo… http://t.co/gxWBhSbIf6"
450701248988479488,2014-03-31 18:28:46,After fusión!! @vastymadrid http://t.co/EgL4YUwVzC
450477440226570240,2014-03-31 03:39:25,"Ya en casa, otro día sirviendo con TODO en mi otra casa... @VidaRealTV el Señor es bueno!!"
450375793332748289,2014-03-30 20:55:31,Rockband moment! Wuahahaha! @luispereyes @vastymadrid sebasmonquez http://t.co/B3ujBeyzgH
450136651160125440,2014-03-30 05:05:15,@JorgeGrotewold amén!! Gracias Jorge!!
450134237698863104,2014-03-30 04:55:40,No me puedo enfermar ahorita!! Nooo!! Enfermedad deja mi cuerpo en paz AHORA!! Waaaa!!
450129267704467456,2014-03-30 04:35:55,@Pocasangre22 que cerdo se mira esa onda... Fijo hay que hacerlo!! Jajaja
450118001736818688,2014-03-30 03:51:09,En el final de serie de @cnxn #sinfiltros @susaarazalas #Roy http://t.co/ZWNNk8XEhJ
450114370568458240,2014-03-30 03:36:43,@Diegoziil :(
450030169450090496,2014-03-29 22:02:08,Baaaabies xoxo att. @vastymadrid http://t.co/45ZLU52GUs
449674403383902209,2014-03-28 22:28:26,Getting ready for tonight's concert!! #i58 #nexus @vastymadrid @ Centro de Convenciones Ilumina http://t.co/pyFDwcHIuS
