id,created_at,text
456578669545132032,2014-04-16 23:43:32,Possibly the best beer I've ever had. - Drinking a Trappistes Rochefort 8 - http://t.co/7Gwc1Tah2F #photo
456517891483901955,2014-04-16 19:42:01,"I've added a ""Travel"" section to my portfolio. Check it out, share it, etc. I think you'll really enjoy the photos.

http://t.co/k6bOyjlQRB"
455773498418663424,2014-04-14 18:24:04,I'm going to be raising the prices of my 1 on 1 private workshops next week. Last chance to do it at this price... http://t.co/wxw1KxiYT8
455731525460701184,2014-04-14 15:37:17,Spring is here and that means time to buy a fresh pair of Vans. These are Van Doren re-issues. http://t.co/YNIRdCjUY9
455044204994265090,2014-04-12 18:06:07,"Agreed! RT @jeremycowart: Instagram is down.
It's the perfect time to check out @OKDOTHIS!
https://t.co/bY79m5GWsB"
453740164364644352,2014-04-09 03:44:19,Awesome show by John Mark McMillan tonight. http://t.co/smq1Ff1U1P
453319831719514112,2014-04-07 23:54:04,Just judged a photography contest with 2 other photogs. It was 4- 12th graders &amp; we awarded this photo best in show. http://t.co/lYHQBBpnYj
453217672453705728,2014-04-07 17:08:08,I don't think many people realize what a great guitar/rock band Missing Persons was.
452564168219303936,2014-04-05 21:51:20,Best thing I've seen all day... http://t.co/RYSpyVVuhP
452129633220456448,2014-04-04 17:04:39,RT @coryBasil: Tomorrow night - Exhibit Opening. [RT] http://t.co/ytzKElusAM
451816251577610240,2014-04-03 20:19:23,Doing anothr lifestyle advertising shoot again for Mapco today. They sell beer craft beer growlers now: one of the things we're shooting for
451775277388288001,2014-04-03 17:36:34,"@jeremycowart @jeffvenable that's great, but it was more like this... http://t.co/1YFAVQHNpz"
451759670550863872,2014-04-03 16:34:33,Good times... RT @jeremycowart: Me and @davidbean are doing 2 separate photoshoots at the same park within 20 feet of each other. Too funny.
451575096008638464,2014-04-03 04:21:07,@jdt7 Email me http://t.co/bw3qwrtoyc and I'll hit you back asap.
451574588996984832,2014-04-03 04:19:06,@dancrotts I DM'd you.
451574326395805696,2014-04-03 04:18:03,"@emiliapare Hey Emilia, we already got the female and 1 guy. Just need one more guy. Thanks though!"
451564926545715200,2014-04-03 03:40:42,"I've got a very last minute need. I'm needing 1 female and 2 males to model for a shoot I'm doing TOMORROW. Pay is small, but easy work."
451075920032710656,2014-04-01 19:17:34,Sunny day http://t.co/6oCS4pL4Yc
449035536540643328,2014-03-27 04:09:49,@JimGaffigan If even 10 people buy this I'm giving up on humanity.
448982798297489409,2014-03-27 00:40:15,Going on 9 hours straight listening to the greatest American band ever; The Replacements.
448598207032197121,2014-03-25 23:12:01,My friend @sarahfuchsia just launched her new site. She's a killer graphic designer &amp; illustrator. http://t.co/tPj8jOwXC4 Hire her!
448527730389565441,2014-03-25 18:31:58,It snowed like a blizzard a couple hours ago. Then the sun came out and it was like Spring. And now it's hailing.
448165917521096704,2014-03-24 18:34:15,The Smiths collection on vinyl....want. http://t.co/D46isKRRUb
447444105053106176,2014-03-22 18:46:02,Just scored these sweet treats at McKay Books. This Live Aid concert is going to take me a few… http://t.co/L0xI0DhAWl
447122921480519680,2014-03-21 21:29:46,@annieleibovitz Welcome to Twitter Annie.
447122729700179968,2014-03-21 21:29:00,RT @annieleibovitz: My first official tweet. This is the official Annie Leibovitz.
446741900113244161,2014-03-20 20:15:43,"RT @GrangerSmith: The truth will set you free. But first, it will piss you off."
446740242507108352,2014-03-20 20:09:08,Is it just me or was We Are Hunted a lot better before Twitter bought them. Their alternative genre is very hit or miss.
446694403638587392,2014-03-20 17:06:59,"@davidbean: She just said ""do to see that play button in the middle of the piggy bank?"""
446693631332978688,2014-03-20 17:03:55,I swear this lady is running a tech support help desk while she sits in this coffee shop. And not very quietly.
446386102610718720,2014-03-19 20:41:54,"On my personal blog. A post about my Christianity. ""I'd rather be a fool than be cool."" http://t.co/UdV3Eq2upk"
446348517632516096,2014-03-19 18:12:34,I don't look at porn.....that is until this site full of hamburger porn launched. http://t.co/tUiKpIjmO2
446122271200260096,2014-03-19 03:13:32,"Wow, Neil Young and @pono just changed the game for buying and listening to music. http://t.co/g455Kt9THx"
445943063790510081,2014-03-18 15:21:26,insane animated GIF's... http://t.co/0Qd1IcyX3M
445737490469892096,2014-03-18 01:44:33,And @sumatrabear take us home for the win. http://t.co/VVu7uwo9nV
445667871042310145,2014-03-17 21:07:55,Honored to have shot this.. RT @CapitolCMGradio Check out the official cover for @ShawnMcDonald's new album Brave! http://t.co/fT1MuA83Rp
441649110962405376,2014-03-06 18:58:48,"I've been waiting for ""ugly"" to cease being the fashion trend. Well, now it seems ""bland"" is the new ugly. Ugh!  http://t.co/0lAWr4SMBB"
440507883739164673,2014-03-03 15:23:58,@GeneralLee Makes sense.
440351315534036992,2014-03-03 05:01:49,I wish people could just say what was on their hearts instead of having to thank every person they can think of to be polite. #2014Oscars
440346835316924416,2014-03-03 04:44:01,"@TomTypesTweets Indeed, I want it for him so bad every time. He's one my favorites."
440345420641103872,2014-03-03 04:38:24,"@tabathacoffey It's ok, I didn't like either the song or the speech."
440344905416990720,2014-03-03 04:36:21,I get bummed every time Marty doesn't win best director.
439507234427772928,2014-02-28 21:07:45,If you know anyone with Autism you should REALLY watch this video. http://t.co/C2CDex4HYp
436584848736915456,2014-02-20 19:35:13,I checked my site's analytics and see that more people visit it on iOS (iPhones) than Windows. Interesting.
436225641642745856,2014-02-19 19:47:52,"""Money is a sick muse"" - Metric"
436169715711754240,2014-02-19 16:05:38,@millerslab Please do. I'd be honored.
435875477845454848,2014-02-18 20:36:26,"Just got business cards printed by @millerslab. Excellent, amazing quality. So happy. http://t.co/65DDYC8m3T"
435815859030724608,2014-02-18 16:39:32,"I'm doing an ""Intro to Lighting"" workshop next month in Nashville. Only $149 http://t.co/Ri7rcwZaMa"
435485062029537280,2014-02-17 18:45:04,"I seriously don't think another rock band will ever come along to knock The Beatles off the ""Best band ever"" throne."
434533075750768640,2014-02-15 03:42:13,Watching my sister Kristin Larkin play her songs at Kimbro's. http://t.co/rao8Mnf79D
434102157697351681,2014-02-13 23:09:54,"The sport of curling seems like it should be played with a beer in one hand; like billiards, darts, pong pong and shuffleboard."
434042541831630848,2014-02-13 19:13:00,@bradleyspitzer You've fought a good fight and took the high road. Oscar will be proud of you.
433739653511131136,2014-02-12 23:09:26,#NowPlaying The Age of Fracture by Cymbals on #Spotify What a great new find! http://t.co/93nARgiu3b
432954133273145344,2014-02-10 19:08:03,"RT @OKDOTHIS: Feeling blue? Do the DO!: OK BLUE THIS... Shoot something blue - by @davidbean

http://t.co/Gj2pJGkjYH

#OKDOTHIS"
432328371423686656,2014-02-09 01:41:30,"Please, go ahead and throw your cigarette butts out the window of your car. The world is your ashtray apparently."
432259956784787456,2014-02-08 21:09:39,The Olympics cause me to watch certain sports that I would never otherwise be interested in.
432027223525437440,2014-02-08 05:44:51,It's down to @davidmolnar and I. He's gonna need a miracle. http://t.co/wqn7OdGgiC
431991140972507136,2014-02-08 03:21:28,I just went all in and now I've got to spend the next few minutes stacking all of this :) http://t.co/Gf9jsPLxwB
431939585648893954,2014-02-07 23:56:36,I didn't have my tripod with me today so I had to be the tripod and let @sumatrabear take the photo. http://t.co/74N1ENGORg
431277442053844992,2014-02-06 04:05:29,"Thanx everyone for the kind words today about my guest blogpost on Scott Kelby's blog. If you missed it, here it is.. http://t.co/bugDfp63v9"
431193953954963456,2014-02-05 22:33:44,There's not much that smells worse than a men's locker room at the gym.
431182294767136768,2014-02-05 21:47:24,RT @bmoorevisuals: Today's @ScottKelby guest blog from @davidbean has beautiful images and powerful words of wisdom. http://t.co/fBVGlLUm0F
431179576333844481,2014-02-05 21:36:36,"RT @JAllanPhoto: VERY profound guest blog from @davidbean  today over on @ScottKelby  blog. #mustsee #photography   http://t.co/CAVV78GrUR"""
431126140254949376,2014-02-05 18:04:16,You really find out a lot about a person once they achieve and handle even a little bit of fame.
431122060736090112,2014-02-05 17:48:03,RT @josharp15  I don't need a thinner phone. I need a tortilla chip than can support the weight of guacamole.
431121740387721216,2014-02-05 17:46:47,RT @roginkim  I hope this Zimmerman vs DMX boxing match turns out to be an intervention for the both of them.
431110430841266176,2014-02-05 17:01:51,"After years of hearing all the hoopla I just listened to Nickel Creek for the first time. Sorry, it's just not my thing."
431108850544959488,2014-02-05 16:55:34,I'm trying to be more active on Google+. If you're on there I'm at... https://t.co/tJL9fqhBcZ
431098564119650305,2014-02-05 16:14:41,RT @KelbyOneOnline: Get to know Advertising &amp; Music Photographer David Bean (@davidbean) http://t.co/x4iCYHd5N5 http://t.co/w5Q9P607sJ
431076348430655488,2014-02-05 14:46:25,Excited to get back into the studio with Rival Sons today while they finish making their new record.
430895138496204800,2014-02-05 02:46:21,Not terribly impressed w/Ken Ham. I really wish Chuck Missler @KoinoniaHouse were debating Bill instead. His data/facts would be a slam dunk
430840890098081793,2014-02-04 23:10:47,Check out @ScottKelby's blog tomorrow for me as a guest blogger. It'll be a good read.
430840507632467968,2014-02-04 23:09:16,"RT @ScottKelby: Super proud &amp; very psyched to see my assistant, Brad Moore's, awesome image on the Rolling Stone site today! :-) http://t.c…"
430805991471742976,2014-02-04 20:52:07,This stuff is all going in the trash today unless somebody comes to the studio today and picks it up. http://t.co/vC4TYuBgww
430545888189374464,2014-02-04 03:38:33,What a treat when you walk into the grocery store and hear Brendan Benson playing.
430485769476902912,2014-02-03 23:39:40,The way this guy on NPR is pronouncing Cuyahoga is driving me crazy.
430172073177403393,2014-02-03 02:53:09,You can definitely tell they legalized pot in Colorado.
430171513640472576,2014-02-03 02:50:55,"RT @Ihnatko: This is usually the point in the movie where the waterboy says “You GOTTA put the donkey in the game! We’ve nothing to lose!"""
430171295427616768,2014-02-03 02:50:03,The puppy bowl wasn't even this much of a blowout.
430160883231117312,2014-02-03 02:08:41,I'm starting to think I could have a chance playing in the NFL.
430160609817419776,2014-02-03 02:07:36,"RT @TheMattyPenny: No, I do not want a car from Detroit.

Keep your crap."
429792515580235777,2014-02-02 01:44:55,"Whoa, things just got crazy at the airport... http://t.co/jxp25ZPBfA"
429757458551431168,2014-02-01 23:25:37,The work never stops. http://t.co/pHmGXCRpDl
429746210468274176,2014-02-01 22:40:55,Chicago red line. http://t.co/5aNBgdMiwr
429735203628941313,2014-02-01 21:57:11,Train to the airport... http://t.co/eUXLASso4C
429707676315303936,2014-02-01 20:07:48,@BrianECarey iPhone.
429702965604388864,2014-02-01 19:49:05,Just posted a video http://t.co/J7i7JQ6wOK
429682054327201792,2014-02-01 18:25:59,The first of many time-lapses I'm go to shoot today in Chicago beforehand flight later... http://t.co/3op0kM8WBG
429444021895716864,2014-02-01 02:40:08,"I always thought e-cigarettes were weird, but I just walked into a 7-Eleven and saw e-hookah's."
429399070814126080,2014-01-31 23:41:30,Why do I always come to Chicago in the dead of winter?
429322068698480640,2014-01-31 18:35:32,"Uh oh, this hotel has a ping pong table. I may have to feed my addiction. http://t.co/5ooSMUDIk8"
429316212318040064,2014-01-31 18:12:15,"Nice city, way too cold. http://t.co/y2Ncsr31VP"
429314925497188352,2014-01-31 18:07:09,"Chicago. Man, it's cold here. http://t.co/TwI9wK3TlG"
429300309077135360,2014-01-31 17:09:04,I love that Google Maps has a subway route option. So handy right now.
429294047321403392,2014-01-31 16:44:11,@milambyers What a nice surprise. May God give us both safe and amazing trips.
428956684627632128,2014-01-30 18:23:37,Today I celebrate 21 years of marriage with @sumatrabear. Whoohoo!!!
428722717719031808,2014-01-30 02:53:55,"Goodbye Y, it's been nice knowing ya. Hello FAC; you're quite impressive. http://t.co/d8dbw7YnGI"
428215984445345792,2014-01-28 17:20:21,"RT @HistoryInPics: Shooting the MGM logo, 1924. http://t.co/MryhEaz7Js"
426884200982380544,2014-01-25 01:08:19,I just earned the 'Land of the Free (Level 2)' badge on @untappd! http://t.co/Zdcmid6n2D
426759629268586496,2014-01-24 16:53:19,"RT @MeaganNRhodes: Ridiculous that Cosmo would call Robyn Lawley ""plus-sized""... http://t.co/mIZJCVuDON She's an amazing model &amp; she's NORM…"
425841427042426880,2014-01-22 04:04:42,These are some of the most gorgeous photos I've ever seen in my whole life...  http://t.co/BRMkZkFVOG
425770698791854081,2014-01-21 23:23:39,"I'm really not sure who does ""Stolen Car"" better; Patty Griffin or the original by Springsteen."
425770254560919552,2014-01-21 23:21:53,RT @Talitatwoshoes: I just had a cyber tour of the @rivalsons studio via @davidbean - that's pretty much the best thing that's happened tod…
425722254245498880,2014-01-21 20:11:09,"Waiting to see if I broke or just sprained my finger... 
http://t.co/h8lpS9F1yX
#OKDOTHIS"
425104081162883072,2014-01-20 03:14:45,"@bradleyspitzer Yeah, at The End. Was a great show."
425097845755367425,2014-01-20 02:49:59,"Shai Hulud; good guys/friends from back in the day. 
http://t.co/DhjPOyNuYW
#OKDOTHIS"
