id,created_at,text
456859570057781248,2014-04-17 18:19:44,It's really unhealthy how I know every single line in frozen😳🙈
456597126110146560,2014-04-17 00:56:52,@GSpacOfficial @marissa_rocco @Madi_Kreck SORRY IM LATE BUT TELL HER THANK YOU AND I LOVE HER
456560505616732160,2014-04-16 22:31:21,@kristynmonforte I deleted iBooks so it's working now
456559082741059584,2014-04-16 22:25:42,im trying to download ios 7 and i physically cannot delete anything else off my ipad😒😒
456533095936577536,2014-04-16 20:42:26,RT @Shann_OBrien: 🎶🎹 http://t.co/YANmIEuT9p
456498004107608064,2014-04-16 18:23:00,"Happy birthday to my best friend, other half, &amp;sister👯congrats on the L love you to death girl😘💕💋 @erwinizer http://t.co/e4HkAUyfWQ"
456449242953838594,2014-04-16 15:09:14,I hate when I second guess myself
456261384309719042,2014-04-16 02:42:45,My motivation to move right now is at an all time low
456200013371035648,2014-04-15 22:38:53,RT @reIatabIe: if i was a ghost id help little kids with math and throw vases at mean people
456192740330864640,2014-04-15 22:09:59,Laid down in my bed at 4:30 and just woke up now👌 #neededthatnap
456115925457334272,2014-04-15 17:04:45,"@love_like_lydia yes, yes you are🏆"
456114854215290880,2014-04-15 17:00:30,If your hair still looks good at this point in the day you deserve an award
456087014279241728,2014-04-15 15:09:52,RT @RachelRobb_12: it's so annoying when people don't pay attention at all in class and then just expect you to send them the notes
455896970209820674,2014-04-15 02:34:42,And yes I am aware of the grammatical error in my last tweet and no I'm not going to fix it
455896694631456768,2014-04-15 02:33:36,Daily tweet about how messed up me and Madi's friendship is😂😂😂 #itsgettingoutofhand
455894013942726656,2014-04-15 02:22:57,School is sucking the life out of me
455893841921716224,2014-04-15 02:22:16,I feel like crap and I couldn't even give you a reason why😕
455839958990094336,2014-04-14 22:48:10,RT @CommonWhiteGirI: my heart says yes but my mom says no
455831536152375296,2014-04-14 22:14:41,Sitting out on my hammock in this weather is such love☺☀
455829506767728640,2014-04-14 22:06:37,"RT @syddibernardo: Life is a series of choices. If you aren't happy with your life, make new choices."
455828516085698560,2014-04-14 22:02:41,“@TheFunnyVine: Food makes everything better. https://t.co/RsgkNTOIOa”this is me😂😂
455826614358913025,2014-04-14 21:55:08,RT @peacelovemeganx: Being in shape is one of the best feelings
455826530753851392,2014-04-14 21:54:48,RT @CommonWhiteGirI: If brunettes didn't do it better than the wife emoji would be blonde 👰 #sorrynotsorry
455772923723538432,2014-04-14 18:21:47,Happy birthday @jillianwright_ 🎊🎁 hope you have a fantastic rest of your day😘💕✨
455757010085347328,2014-04-14 17:18:33,RT @kadougherty25: @edancergirlxoxo thanks em ilym gf☺️😘❤️
455752964364582913,2014-04-14 17:02:28,@kadougherty25 keep your head up pretty ily😘💕
455529471572209665,2014-04-14 02:14:24,@kristynmonforte 😭😭😭😭
455526181614665728,2014-04-14 02:01:19,"RT @Aboggs25: @edancergirlxoxo lies, can't wait to see you first period tomorrow☺️❤️"
455525510530228224,2014-04-14 01:58:39,@Aboggs25 thanks but that's you girl😘💕
455525309715349504,2014-04-14 01:57:51,RT @JuliaTaormina: How do people even handle being 16&amp; pregnant I can't even do my own laundry
455525137656606720,2014-04-14 01:57:10,@Aboggs25 how can you love yourself more than yourself...??
455524447244804097,2014-04-14 01:54:26,"Zac Efron is, always has been, and always will be my first love😍😍"
455523899250573312,2014-04-14 01:52:15,To live is to love and to love is to live
455523637446316032,2014-04-14 01:51:13,@haley_buechele missed you too ilysm😘
455513509842149376,2014-04-14 01:10:58,Can I just skip to Florida pretty please with a cherry on top
455513172301340673,2014-04-14 01:09:37,RT @rob_helsel: Tonight is one of those nights where I realize I don't have a freaking clue what I'm doing with my life
455507264284409856,2014-04-14 00:46:09,RT @abbyeds: @edancergirlxoxo  join the club! #pale4life
455504202023071744,2014-04-14 00:33:59,Being pale is the worst😫 #ineedthesun
455163881061892096,2014-04-13 02:01:40,Only bad thing about Florida over spring break is that I can't hang out with friends until the last Saturday before we go back to school😔
455162759060406272,2014-04-13 01:57:12,Just worked out.....now making my way to go eat Nutella and strawberries😁
455162017016713216,2014-04-13 01:54:16,RT @Jessica_Johns26: I'm just happy. Super happy.
455113065445752832,2014-04-12 22:39:45,Someone please hang out with them
454824016663306240,2014-04-12 03:31:10,Teehee
454766572947914752,2014-04-11 23:42:54,"“@nuteIla: every day this week days is gonna be the same backwards...
4/12/14
4/13/14
4/14/14
4/15/14
4/16/14
4/17/14
4/18/14
4/19/14”
WOAH"
454762098690891777,2014-04-11 23:25:08,@Madi_Kreck @EvanNeilio get a new joke ohmygoddddd
454761562516234240,2014-04-11 23:23:00,@EvanNeilio say it to my face you're sitting across the table anywayssss
454685812181839872,2014-04-11 18:21:59,@Madi_Kreck @EvanNeilio i h8 u but this is still really funny
454684658391724032,2014-04-11 18:17:24,@Madi_Kreck you miss me don't try to hide it
454682965260632064,2014-04-11 18:10:41,Spring fever is at an all time high right now
454456801900396544,2014-04-11 03:11:59,RT @SucksToSucks: this movie is going to ruin my life http://t.co/trYObG0umL
454442672691109888,2014-04-11 02:15:50,RT @EvanNeilio: First the country music and then she deleted a tweet ..... So disappointed
454441137655529473,2014-04-11 02:09:44,@Madi_Kreck ur ugleeer
454440156339384320,2014-04-11 02:05:51,#NationalSiblingsDay model status with my favorites💕 http://t.co/i8UU7BU8ep
454432356024471552,2014-04-11 01:34:51,Of course I have to walk on a college campus all day tomorrow and my teacher had me doing killer turns tonight...b a r e f o o t😖
454426514608889856,2014-04-11 01:11:38,@runner131girl exactly!!
454423552226521088,2014-04-11 00:59:52,RT @PortableShua: Vine Outtake. My attempt at Lounge Singer does Frozen https://t.co/q5blWnKZka
454398602514038785,2014-04-10 23:20:43,@GioSparacio I'll let him know you think so
454397795743834112,2014-04-10 23:17:31,@GioSparacio yeah he's cool sometimes
454396722379493376,2014-04-10 23:13:15,yeah dad? http://t.co/iAwuWkoczs
454387485951676416,2014-04-10 22:36:33,@lex_giovanna WE WILL I PROMISE
454387291008815104,2014-04-10 22:35:46,@lex_giovanna I KNOW RIGHT😍😍
454385655897149440,2014-04-10 22:29:17,“@howtopics: how to make Kit Kat brownies http://t.co/2N12UpHht0”YES YES ONE THOUSAND TIMES YES
