id,created_at,text
456817181787824128,2014-04-17 15:31:18,RT @LoveBranddi: “@kacigrooms: 👌 http://t.co/2RXVec9sVE”
456642333811810304,2014-04-17 03:56:31,Going to bed so I can stop overthinking every single thing.
456633777804943360,2014-04-17 03:22:31,"RT @autumn_woods14: If you care about someone you're supposed to fight for them.. But if you cared, you wouldn't expect me to wait on you."
456631397151543296,2014-04-17 03:13:03,I only miss the little things when it comes to being in a relationship.
456625015622881280,2014-04-17 02:47:42,RT @madi2361: At night I always have the deepest thoughts about life and just everything.
456523785831604224,2014-04-16 20:05:27,It takes all I have sometimes not to just throw the towel in on everything.
456521656001765377,2014-04-16 19:56:59,RT @LeggggoMyMegggo: only know you love her when you let her go 🎶
456360461412212736,2014-04-16 09:16:27,I'm so tired.😔
456089601476554752,2014-04-15 15:20:09,“@lbtay04: Hello perfection http://t.co/PdbkdAfKwD”😍
456027940665294848,2014-04-15 11:15:08,"It's like I'm looking from a distance, standing in the background."
455908057474555904,2014-04-15 03:18:45,“@HopeRundels: It's the small things that count. ⭐️” 👌yes!
455906672976723968,2014-04-15 03:13:15,"RT @Southern_Voices: ""In all the world, you'll never find, a love as true as mine"" - #GeorgeStrait"
455904326704435201,2014-04-15 03:03:56,"Trying to see eye to eye, but it's like we're both blind."
455719951509094400,2014-04-14 14:51:17,RT @5StarNay: Lacking sleep so bad. And I have to work again tonight 😭 I just need sleep.
455719557659770880,2014-04-14 14:49:44,"RT @bigbootyprobs: If brunettes didn't do it better, then the wife emoji would be blonde 👰 #sorrynotsorry"
455535653892403200,2014-04-14 02:38:58,"RT @Country_Words: She's got her daddy's tongue and temper, sometimes her mouth could use a filter, God shook his head the day he built her…"
455533005159686144,2014-04-14 02:28:26,This weekend was pretty damn good actually!👌😊
454102391713841152,2014-04-10 03:43:41,"I've really been missing the little things lately. Call me crazy, but I do. 😔"
454102106979696640,2014-04-10 03:42:33,Now if I could just fall back asleep!
454101325949980673,2014-04-10 03:39:27,RT @hopeelizabeth14: The Country Strong soundtrack is the best soundtrack. 😍
454088048163028992,2014-04-10 02:46:41,RT @nsgstudentprobs: When you're a nurse you know that every day you will touch a life or a life will touch yours.
453907248205422592,2014-04-09 14:48:15,In God's eyes we're all the same. Someday we'll all have perfect wings.
453906623191203840,2014-04-09 14:45:46,"Once you've loved somebody, it ain't that easy to do. Once you've loved somebody, like I love you."
453559186643640320,2014-04-08 15:45:11,"RT @ohmoviefacts: Stop your crying. It'd be all right. Just take my hand, hold it tight. –Kala (Tarzan)"
453549866908942336,2014-04-08 15:08:09,Everyone is going to Athens for 12 Fest! I want to go!
453484541114474498,2014-04-08 10:48:34,I'm so tired. 😩
453375081339568128,2014-04-08 03:33:37,"Today's the first day in forever I've woke up happy, stayed happy all day, and went to bed happy.👌😊❤️"
453367826544594945,2014-04-08 03:04:47,"We accept the love we think we deserve. Some deserve the world, and settle for a crumb."
452989007589150721,2014-04-07 01:59:30,“@kaitlinefree: yesss. 😞 http://t.co/Zv0Qqxbw0f”
452973914872766464,2014-04-07 00:59:31,"RT @SamanthaKeeton1: George Strait may be 60 years old, but he's so handsome. 😍"
452946750643261440,2014-04-06 23:11:35,If you don't have to be kept a secret then I probably envy you...
452885239107694593,2014-04-06 19:07:09,"RT @BuschLightBabe: oh my God, this is my song, I've been listenin' to the radio all night long' sittin' round waitin' for it to come on an…"
452847486818742273,2014-04-06 16:37:09,RT @raquellibre: when a random scent immediately takes you back to a time or place or person
452704170189918209,2014-04-06 07:07:39,So over all of it anymore.
452568896881446912,2014-04-05 22:10:08,RT @Shelby_lyn12: Why is EVERYONE being lame on a Saturday night?!
452244335593926656,2014-04-05 00:40:26,I love how I get sick to my stomach all at once.😩😷
452238363332857856,2014-04-05 00:16:42,Looks like things might have to get a little wild at the Fry residence tomorrow night since everywhere is raining out!
452233982646579200,2014-04-04 23:59:18,"#Reason2WhyImSingle @lizzie_throcky and I make ""love faces"" to each other.😏😋😱😩😮 kinda like those..😂"
452232259223822336,2014-04-04 23:52:27,"Reason1WhyImSingle I like raunchy music. Like panty droppin', hardcore, raunchy.😂😂😂"
452226016509837312,2014-04-04 23:27:38,RT @BurgSpeedway: Looking Good! Lights work too ;) http://t.co/tjmyFJf3Cf
452099611327352832,2014-04-04 15:05:21,So if we rainout everywhere tomorrow I might just have to hit up the @sugarbar3info.👌
451868047117004800,2014-04-03 23:45:12,“@itsrealchris: girls going to school vs. girls on the weekend http://t.co/nStpjw1K4k” So beyond true.👌
451850967282380800,2014-04-03 22:37:20,@mikemoore1m same place! It's basically in my backyard lol
451849032361455616,2014-04-03 22:29:38,@mikemoore1m I know! Lol
451846843412926464,2014-04-03 22:20:57,@mikemoore1m aww bummer! Looks like my only hope is that they get the show in down here.
451845203884662784,2014-04-03 22:14:26,"So @mikemoore1m, how's it looking up north for Spring Nationals?! Mother Nature is being your typical bitch down here.💁"
451835363565527040,2014-04-03 21:35:20,"I would just about pay someone to come over, cuddle, and nap with me."
451822638298460160,2014-04-03 20:44:46,I haven't been this sick in awhile. All I've done all week is lay in bed. Sooo over it.
451547386993598465,2014-04-03 02:31:01,"So jealous of all these cute relationships. Like they're only suppose to be in movies, not real life. 😒"
451541951775375360,2014-04-03 02:09:25,@hopeelizabeth14 thank you! I'm working on it! :)
451540675373182976,2014-04-03 02:04:20,"RT @Zibby32: RED SOX WIN!!! First #HighFiveCity of the year. One down, many more to come"
451540661984964608,2014-04-03 02:04:17,RT @alllisoncraig: I don't wanna go to sleep bc I know I'll wake up feeling even worse 😷😷😷😷
451540388981927936,2014-04-03 02:03:12,I love a man that's good with kids.👌
451540194345242624,2014-04-03 02:02:26,Happy Birthday pretty girl! @hopeelizabeth14 😊
451526708961611776,2014-04-03 01:08:51,I'm such a loner these days lol. I should really start talking to people again.
451506225444683776,2014-04-02 23:47:27,Days like today it would be nice to have a boyfriend. Just to come over or call and make me feel better. Lol I'm just a typical needy female
451505492162916352,2014-04-02 23:44:32,RT @steinbrookiee: http://t.co/WYTmEwXSG5
451464203560566788,2014-04-02 21:00:28,@AmandaWright71 Bill is getting me some! Lol
451460781054230528,2014-04-02 20:46:52,Someone just bring me chipotle please.
451459991451750400,2014-04-02 20:43:44,RT @Nursingstress: To be a Nurse 😷💊💉❤️ #NursingLife http://t.co/qkHHzlBlV1
451186338734170112,2014-04-02 02:36:20,My whole body hurts so bad. I hate being sick.😔
450834989488570368,2014-04-01 03:20:12,It's seriously so cute when guys post cute stuff about their girl. ☺️
450825259088740354,2014-04-01 02:41:32,Like that's the stuff I want.😔
450816638191812609,2014-04-01 02:07:16,"Sick, cold, and hurting. I just want to cuddle.😔"
450729170402672640,2014-03-31 20:19:43,"I can do it slow now, tell me what you want.😘"
450727946777788416,2014-03-31 20:14:51,Baby I love you. Don't want to lose you. Don't make me let you go.
450715016077930496,2014-03-31 19:23:28,"RT @OHcountry: Pretty girl's drinking tall boys, swinging their hips to a country song"
450703440432603136,2014-03-31 18:37:28,@kaitlinefree @lizzie_throcky what time?
450702154089500672,2014-03-31 18:32:21,@kaitlinefree @lizzie_throcky 68 days until we leave!
450698271049412608,2014-03-31 18:16:56,Lil momma so dope you gonna mess around and get addicted.😏😘
450697674866434048,2014-03-31 18:14:33,RT @Nursingstress: This is why we go through the hell of Nursing school. #WeMakeADifference #NursingLife http://t.co/viA0p9ERYO
450688153196576770,2014-03-31 17:36:43,RT @kaitlinefree: i think jealousy is my biggest weakness.
450644807983968256,2014-03-31 14:44:29,My head hurts so bad. 😒
450641437722681345,2014-03-31 14:31:05,Happy opening day! Go get em Red Sox! 👍⚾️❤️
450640757850787840,2014-03-31 14:28:23,RT @bigbootyprobs: Happy Opening Day 😍 http://t.co/W71fmMpp9v
450586145701642241,2014-03-31 10:51:23,I feel so miserable.😩
450429550048997376,2014-03-31 00:29:07,RT @TayRiffle: “@awkwardposts: Best Part of The Notebook http://t.co/Sjth8vz2ul” this is perfect👌
450424305818411008,2014-03-31 00:08:17,"Say something, I'm giving up on you."
450422648708030464,2014-03-31 00:01:42,Only know you love her when you let her go.
450418072206467072,2014-03-30 23:43:31,"Two steps forward, and three back..."
450417872624300032,2014-03-30 23:42:43,“@ry_benny: Just wish something would go my way just one freaking time.”
450417687374462976,2014-03-30 23:41:59,RT @LoveQuotes: The little things mean the most.
450415719755182080,2014-03-30 23:34:10,Well my stupid headache is back. Sweeeeet
450399763209674752,2014-03-30 22:30:46,I woke up from that nap in a super depressed mood.😔
