id,created_at,text
456592971589120001,2014-04-17 00:40:22,@kkkkimboslice ditto friend
456539672357793793,2014-04-16 21:08:34,RT @kobebryant: S*** season. Flush it. Forget it #amnesia Next Season will be epic #blackout #bussfam
456536321457025024,2014-04-16 20:55:15,"RT @AbbyDraper: Sometimes you find #friends that just get it. And clearly, @emsteinyyy is one of them. #swoon http://t.co/e5JfHrb5xY"
456523945680711683,2014-04-16 20:06:05,@kkkkimboslice hi
456507467212402688,2014-04-16 19:00:36,"""L.A. has 99 problems, but Jay Z and Budweiser Made in America ain't one"" http://t.co/03wM3C2bfz"
456485649189597186,2014-04-16 17:33:54,I just ordered a heart attack inducing amount of bacon that I had delivered to me at my desk at work. How's your day going?
456234027796533248,2014-04-16 00:54:03,RT @lindseyberg: Jay Z Grand Park Concert is Official ... YES!! http://t.co/7k5XspNZlO via @laweekly
456096857551147008,2014-04-15 15:48:59,"If you order a skinny vanilla latte at Starbucks and are male, you need to grow some cojones."
455951539111096320,2014-04-15 06:11:32,Phil Jackson saving Lamar Odom warms my heart.
455947885570314240,2014-04-15 05:57:01,"The second I was given a Blackberry, my 9-6 turned into 24/7.  I don't mind it one bit as long as I get in a workout in between emails."
455947479960133632,2014-04-15 05:55:24,@AbbyDraper #feelingsensitive
455939481615343617,2014-04-15 05:23:38,I think I signed up for an eternity of pain in my obliques #cantstopwontstop
455934628411346944,2014-04-15 05:04:20,some nights I'm extremely grateful for my life and the people in it.  tonight is one of those nights.
455922219802058753,2014-04-15 04:15:02,I better look so damn good after what I'm putting my body through RT @AbbyDraper #LosAngeles http://t.co/mhQw5N3N2w
455858478657978368,2014-04-15 00:01:45,The 20 Signs You Need To Be Shipped Off To Wineaholics Anonymous http://t.co/m5pxBzvKoa via @EliteDaily
455844200068554753,2014-04-14 23:05:01,"RT @Jzokun: L.A. Passover Seder Suggestions:
Best Chocolate Covered Macaroons - Sweet Lady Jane
Best Matzah - Spago
Best Gefilte Fish - Now…"
455828385789276160,2014-04-14 22:02:10,I CANNOT HANDLE THIS FAMILY --  Jessa Duggar: We're Saving Holding Hands for Our Engagement http://t.co/QvQItEOgO7 via @PeopleMag
455824452341604352,2014-04-14 21:46:32,RT @kerrywashington: Happy Passover! Wishing you a beautiful holiday. And sending heartfelt prayers of healing to the Jewish Community in K…
455818299742232576,2014-04-14 21:22:06,this. RT @united @scottkfoley  We want to be sure we protected the identity of B613 command. Enjoy your stay. ^FM
455788712904122368,2014-04-14 19:24:31,"press clipping fitness mags is making me so damn hungry.  i thought they were about fitness, not food."
455563777417555968,2014-04-14 04:30:43,"If I drink enough wine, maybe I'll be able to numb the pain of my muscles."
455562673715822592,2014-04-14 04:26:20,ICHIRO! #yankees http://t.co/0hI0z6GHpR
455478348093747200,2014-04-13 22:51:15,Going to the grocery store as a favor to my mother and not finding anything I need might be the worst.
455470400890105856,2014-04-13 22:19:40,I was feeling really lazy today so I took a @soulcycle survivor class then hiked Runyon.
455431065671172096,2014-04-13 19:43:22,Emma Stone adorably loses her cool over cruel Spice Girls prank | Vanity Fair http://t.co/cab6ghSVT0 via @VanityFair
455430545980157952,2014-04-13 19:41:18,in case you were wondering what leonardo dicaprio looks like at coachella -- https://t.co/JInwpB5AW7
455423906942173184,2014-04-13 19:14:55,@SpinVillain ha! that's what you think... not my A game but still a perfect class
