id,created_at,text
439393737425567744,2014-02-28 13:36:45,Beautiful eatery in Sembawang. The rustic wood fairy lights are all you need for just appetizers.… http://t.co/zXSyHsoPjX
435581031471521792,2014-02-18 01:06:25,@Sumahateslatha Eh ya uhhh
433661127197982720,2014-02-12 17:57:24,"With Wah, banana #latergram #lastfridaynight http://t.co/8L3Vp9p5El"
433660505556000768,2014-02-12 17:54:56,Last Friday night at a social media networking gathering. #latergram http://t.co/QdFcCcfCUX
432536539097079809,2014-02-09 15:28:41,@ZubeidaaNoor I'm just hungry
432536144161415169,2014-02-09 15:27:07,@ZubeidaaNoor you don't but I don't even know why
432534017598963712,2014-02-09 15:18:40,@ZubeidaaNoor cook me mutton briyani
432065850125074432,2014-02-08 08:18:20,"I think I might be missing out something. So, do I need this? http://t.co/ALBNvGt2Uf"
429086727852933120,2014-01-31 03:00:22,"This family going for CNY visiting probably,  the dad's in shorts and a red polo shirt. That will be me."
426939753552809984,2014-01-25 04:49:04,O
426424713733079040,2014-01-23 18:42:29,@Elizah6 THE DRINKING PART
425487151606689792,2014-01-21 04:36:56,@Sumahateslatha @XSTROLOGY LOL
423522056823529472,2014-01-15 18:28:21,"@Sumahateslatha just wanna sat you're mine, you're mine..."
422803781827719168,2014-01-13 18:54:11,You are allowed one beverage for the rest of your life. What would you choose? — Beer http://t.co/jT5LP57AHQ
419240620134506496,2014-01-03 22:55:27,Up and On. http://t.co/CSAT9GXHhs
419240115589115904,2014-01-03 22:53:27,Just posted a photo http://t.co/Sy3SGWddcb
419239431741407232,2014-01-03 22:50:44,Been a long while http://t.co/24FfRnPRhn
417989829167951873,2013-12-31 12:05:15,This is sweet! #memostatigram http://t.co/KHsUdeie8R
416997467096248320,2013-12-28 18:21:58,@Elizah6 @Sumahateslatha We too leeeezah!
415524504929320960,2013-12-24 16:48:56,Christmas Eve dinner @sumahateslatha elizahhhhh http://t.co/kwy4IDv8Kk
415323212403077120,2013-12-24 03:29:04,"Miss ""tuk-tuk?"" Greetings first thing walking out of my block l. @Sumahateslatha"
414651312178221056,2013-12-22 06:59:11,kandhi flaming the stage. sandhyasuresh look at him! @sumahateslatha #cambodia #phnompenh #wedding http://t.co/r2wRDM02LZ
414647689469779968,2013-12-22 06:44:47,Totally partying it up at a wedding house kandhi @sumahateslatha http://t.co/iLk1wsqrOd
414632701556453376,2013-12-22 05:45:14,Here's to an hour of bliss. http://t.co/eSdkbAyhHs
414246542069886976,2013-12-21 04:10:46,Just posted a photo @ National Museum of Cambodia http://t.co/jQHRfDFVZk
412931256738148353,2013-12-17 13:04:18,Moksha Maya drum tracking http://t.co/WRHywAZk3m
412610190476079104,2013-12-16 15:48:29,Just chillin with Chuck Norris @tharenii http://t.co/1zb0tiuvUH
410706297504686080,2013-12-11 09:43:06,Best pisangs you'd ever have. Pisang Raja Toa Payoh Central BLK 177 http://t.co/IEXgE1zbnm
