id,created_at,text
389016299764219904,2013-10-12 13:14:48,Mary and joey another cinderella story http://t.co/IOiB6HO79Z
389015488095068161,2013-10-12 13:11:34,Another cindrella story was just on tv #selenagomez http://t.co/Zex486KhCs
354700328068853760,2013-07-09 20:35:22,Today http://t.co/HtjG2euiIk
354565921496506368,2013-07-09 11:41:17,Just posted a photo http://t.co/4MwaBEI8jS
354544737119768576,2013-07-09 10:17:07,"RT @TheRock: ""Become the man you were born to be.."" ~ Hercules 

#ThracianWars http://t.co/Ognt2DM9bP"
354473222537883648,2013-07-09 05:32:56,RT @WWE: #WWE PHOTO GALLERY: The McMahon Family's public job evaluation of Vickie Guerrero: photos http://t.co/51HZ6VjADa
354468902367006720,2013-07-09 05:15:46,"RT @eonline: Kourtney Kardashian's Baby Girl Turns 1: Happy Birthday, Penelope Disick! http://t.co/ctOm6Ae5eo"
354464101373706240,2013-07-09 04:56:42,Stephanie mcmahon Monday raw http://t.co/zwaY5DU1fm
354447302112456704,2013-07-09 03:49:56,Stephanie mcmahon Monday night raw http://t.co/mh2h0IX5Ta
354445993279885312,2013-07-09 03:44:44,RT @D_laurel: Makeup by @RBchanco hair by felicity:) thanks @cruzkatrina big big hugs n kisses http://t.co/8fP48mi22P
354445983960137730,2013-07-09 03:44:42,@D_laurel love your make up here gorgeous
354445843882971137,2013-07-09 03:44:09,RT @D_laurel: Smokey eyes for a change wat u think ? Make up by @rbchanco http://t.co/EA7Rp0fiGU
354442644023296000,2013-07-09 03:31:26,Watching boxing with my dad in the living room
354439285006544897,2013-07-09 03:18:05,"RT @WWERoadDogg: Alright, rate #Raw and let me know what you thought about the Wyatt Family?!?! What a debut!"
354436038212595712,2013-07-09 03:05:11,@RafaelRosell how was your experience when u came to new york how did u liked the weather we had here
354435693096861697,2013-07-09 03:03:49,RT @RafaelRosell: ...Then why can't we use this… http://t.co/gwWyBHPqxu
354432945647390721,2013-07-09 02:52:53,@StephMcMahon Stephanie u should have been the gm for raw u ca  be the best ever
354428515971637250,2013-07-09 02:35:17,"RT @WWE: Trending Worldwide for @WWE RAW: Brad Maddox (@BradMaddoxIsWWE, @WWERawGM), Stephanie McMahon (@StephMcMahon)"
354423999968714753,2013-07-09 02:17:21,Vickie guerreo fired from @StephMcMahon @TripleH thats good cause vickie is so annoying even her voice like come on shut the hell up #RAW
354356616524599296,2013-07-08 21:49:35,@StephMcMahon @ExcuseMeWWE @TripleH @VinceMcMahon @WWE cant wait for this tonight #RAW
354353268052332544,2013-07-08 21:36:17,RT @trishstratuscom: Still time to get ur ques in for the next #fanforumfive #babystratus edition! Send me ur baby/prego questions here-&gt; h…
354346829950881792,2013-07-08 21:10:42,Cant wait for raw tonight will vickie be raw gm or geta fired @StephMcMahon and @TripleH should be together the gm of raw
354346551247769600,2013-07-08 21:09:35,RT @kelly_clarkson: I had the best time playing the July 4th #StadiumOfFire show in Utah! Loudest crowd ever! http://t.co/JmBicutvO5
354340531792396288,2013-07-08 20:45:40,RT @JohnCena: Dear @TheMarkHenry just want u and the @WWEUniverse to know that ill be there to 'talk' tonight on #Raw #thechampishere
354338130981158913,2013-07-08 20:36:08,RT @realmickfoley: Those familiar with my background in Memphis in 1988 would probably be shocked to hear who I'm meeting up with tonight.
354318375821905922,2013-07-08 19:17:38,RT @StephMcMahon: “@Team_Centon: @StephMcMahon :) these were next to each other in the store! #EverythingHasAWWEReference http://t.co/7hl20…
354318324827561986,2013-07-08 19:17:26,RT @StephMcMahon: #pottyhumor for the day :))) http://t.co/j4VX69MLLp
354290860726292480,2013-07-08 17:28:18,@StephMcMahon cant wait to see o  raw tonight
354290315408064512,2013-07-08 17:26:08,"RT @StephMcMahon: I'm looking forward to @ExcuseMeWWE job evaluation on #RAW tonight.  Remember Vickie, anything can happen.  @TripleH @Vin…"
354275618294202368,2013-07-08 16:27:44,Celine dion  to loveu more listening to it now
354273918888058880,2013-07-08 16:20:59,The weather rivht now ots not that really hot but its humid I the house
354272856181456897,2013-07-08 16:16:45,Took a nap
354231110177275904,2013-07-08 13:30:52,My plans for monday is to stay home cause its really hot outside feels good when inside then out in the sun
354230614758653952,2013-07-08 13:28:54,"RT @WWERoadDogg: Today I pray that I am confidant. Not cocky, but confidant. I have been given gifts by God and I pray I use them properly …"
354199899346182144,2013-07-08 11:26:51,RT @TheRock: Damn right I do. (I think..;) RT: @peoplemag: Dwayne Johnson knows how to satisfy women.. via @essencemag #hot http://t.co/ZNh…
354187416543834112,2013-07-08 10:37:15,Good morning happy monday
354120512319930368,2013-07-08 06:11:24,Now I can feel the cold from the fan and my bed sheets are perfect to awsome
354106060652560387,2013-07-08 05:13:58,Just got home from doing laundry so tired
354105959360106497,2013-07-08 05:13:34,"RT @RafaelRosell: #imagine
If every city had this...
Benefit all.
Maintained by… http://t.co/nRFr8JiwGb"
353982620108980224,2013-07-07 21:03:27,So hot http://t.co/h7eAjtFVrE
353982250968297472,2013-07-07 21:01:59,Going out again right now
353981972600729601,2013-07-07 21:00:53,RT @TheRock: Our HERCULES set created by award winning designer Jean-Vincent Puzos w/ great detail. I sit in awe.. #ThracianWars http://t.c…
353962643297550336,2013-07-07 19:44:05,"RT @ShawnMichaels: #MRA Crew getting ready for Africa!! Hope to tweet from there...we'll see. @ZachMark12 , @SauceMark7 , @theAnnaMark Q&amp;A …"
353940719112695808,2013-07-07 18:16:57,Its so hot
353936765532389377,2013-07-07 18:01:15,"RT @WWERoadDogg: So 45 mins of cardio,shoulders,and abs w/ Mrs Tracy this morning. Steak and egg whites w/ spinach for breakfast now it's o…"
353905817499607040,2013-07-07 15:58:16,Going to  church with sister
353905005671092226,2013-07-07 15:55:03,RT @TheRock: One of the first songs I learned on guitar years ago. If ya dig blues I highly recommend Mr Mo'. #SundayBlues http://t.co/Ve8i…
353894877102215171,2013-07-07 15:14:48,After taking a cold shower I feel so good now cold showers are good for this kind of heat weather
353894045174595586,2013-07-07 15:11:30,RT @ShawnMichaels: And now I start the looong journey to Africa...meet up with @keithmarkmra &amp; @JoshIshmaelcam in Chicago. #MRA
353851940582604800,2013-07-07 12:24:11,Sitting In front of the fan it little helps feels a little like ac cold but not really
353816061033988099,2013-07-07 10:01:37,Woke up ealry had to get out of room because of the heat it is so bad
353771226033958912,2013-07-07 07:03:27,Cant sleep in this heat we are having
353751270533758976,2013-07-07 05:44:09,"RT @RafaelRosell: That was some messed up fight... But i guess thats what you get...
✌
#UFC162"
353743892144848896,2013-07-07 05:14:50,Its so hot in the house i need ac here
353700294418378753,2013-07-07 02:21:36,RT @WWERoadDogg: Me an Miss Hanna today outside the Pizza joint she got a slice from! http://t.co/Z7KXNMbZ2G
353684799887638529,2013-07-07 01:20:02,"RT @WWERoadDogg: Finally got back home from the outlet mall  in Destin,Fl.. Got some new Tumi bags and a couple of sport coats. Tracy n Kid…"
353674286382321664,2013-07-07 00:38:15,RT @ShawnMichaels: I'm a bit behind on the #CokeZero400 but my DVR will catch me up in no time!! #DaytonaTNT #NASCAR
353667309069537280,2013-07-07 00:10:31,Just posted a photo http://t.co/rTWaLsEDe7
353667216320901120,2013-07-07 00:10:09,http://t.co/Zf5UNW6Q61
353667135169499136,2013-07-07 00:09:50,Me posing http://t.co/ReWoAHacoC
353666845749952512,2013-07-07 00:08:41,Just posted a photo http://t.co/QzGwZjY6c1
353666697825222656,2013-07-07 00:08:06,Waiting in the car in this heat wave in July http://t.co/WYEkEY8aPG
353666358090813440,2013-07-07 00:06:45,I look tan in this picture http://t.co/iLTcQVmV89
353666176758476800,2013-07-07 00:06:02,Today on this heat wave in july http://t.co/gmRXDG630c
353648060364107779,2013-07-06 22:54:02,RT @trishstratuscom: Just got my #sweaton with a wicked #thirdtrimester full-body workout! All my workouts now are in preparation for  #bab…
353633701126606848,2013-07-06 21:56:59,"RT @ShawnMichaels: Lots 'o work going on, building garden, packing for Africa &amp; almost time for the encore airing of #MRA on Outdoor Ch. 7:…"
353628100954832897,2013-07-06 21:34:44,I am finally home oh man it was very hot outside finally om home from the heat outside
353552752875544578,2013-07-06 16:35:19,Going out to buy a air  onditionor for the house no fan dont work in this kind of heat wave we are having on this summer time
353550775089238016,2013-07-06 16:27:28,"RT @WWERoadDogg: It's a CrackerBarrel tradition! Even though we always come out as "" egnoramoose""  #DOGGLB #OUDK http://t.co/5rX4CAA6jn"
353550560395395072,2013-07-06 16:26:36,"RT @WWERoadDogg: Well, 45 mins of cardio,arms,and abs! Workout done! Now for some CrackerBarrel and Outlet mall shopping! JamesGang style! …"
