id,created_at,text
456865121126457345,2014-04-17 18:41:47,RT @FemaleFootwear: Want 💕 http://t.co/pVmqWwSLiq
456864884454461442,2014-04-17 18:40:51,"RT @WarrenHolstein: May a cute, cuddly Easter Bunny distract your kids from asking uncomfortable questions about your savior's violent cruc…"
456647431929597952,2014-04-17 04:16:46,"Looks like I'm not going to bed, like I planned on doing."
456644236075474944,2014-04-17 04:04:04,I think I have anger issues sometimes but then I realize that it's everyone else around me because I'm perfect and it can't be me :-)
456640987951939585,2014-04-17 03:51:10,"RT @SMACKHighOR: ""Westview High School: Where the freshman think they run shit """
456640566109814786,2014-04-17 03:49:29,RT @TotiTotiperry: Just wanna vent to a friend and a big hug
456640444059774976,2014-04-17 03:49:00,"It's nothing but a big fat fuck you and a slap in the face to me, but you remain unscathed."
456639717111377921,2014-04-17 03:46:07,😡😡😡😡😡
456639456422805504,2014-04-17 03:45:05,RT @paytonbrusse: ugggggggghhhhhhhhhhhhhhhhhh
456639312558186496,2014-04-17 03:44:30,So fucking mad.
456631191282544641,2014-04-17 03:12:14,"Lol why am I always dealing with the same fucking situation, just different people, every single day."
456590577509752832,2014-04-17 00:30:51,"She gon profit everything I taught if I let ya go, I can't let ya go"
456585647164116992,2014-04-17 00:11:15,I just slept for two hours and had SUCH a solid dream.
456531495453073408,2014-04-16 20:36:05,RT @CASHMERECAT: http://t.co/2yHg4wN6DP
456482732105682945,2014-04-16 17:22:19,"@OGMicic I like, hate you a little sometimes, ya know????? But like, not really too???"
456482083515285504,2014-04-16 17:19:44,RT @RealRaymondJ: When somebody staring at your girl.. http://t.co/PW4Qscjkav
456481297511108608,2014-04-16 17:16:37,@OGMicic lol
456476007499694080,2014-04-16 16:55:35,RT @kylegotjokes: Nigga shuffled cards out his gun https://t.co/HkjZYkum5J
456324420370300928,2014-04-16 06:53:14,Mr. Pickles is being a friggin a hole
456316630201417728,2014-04-16 06:22:17,RT @BestVlNES: IM WEAK 😂😭 https://t.co/ZxnT6RwLWk
456315167848947712,2014-04-16 06:16:28,RT @BestVlNES: He's cool with dolphins tho... https://t.co/0HNehQKBOB
456276084246339585,2014-04-16 03:41:10,RT @ReactKardashian: Skourt is my fav http://t.co/xK5xorMgcm
