id,created_at,text
456783209833852928,2014-04-17 13:16:18,RT @_ratedmosth8ted: This how niggas bitches be getting took 😂😫😭 http://t.co/uJK3yVUWMA
456676671009980416,2014-04-17 06:12:57,That's all I'm gone say. Goodnight 👋
456676354189049856,2014-04-17 06:11:42,"My journey won't be easy, but it'll be all worth it in the end 👌"
456675673247993856,2014-04-17 06:08:59,RT @Deezy_Dope: Some People don't really appreciate the stuff you do for them.
456675549075632128,2014-04-17 06:08:30,"RT @kaitlynannn_: “@RealPaulJr: I got people I don't fuck with anymore.
But I still kept their secrets.....and that's as real as it gets 💯”…"
456675267381981184,2014-04-17 06:07:23,Fuck all the bs tho. Caring about others ain't getting me no where. Bout to just do what I do regardless.
456674843174244352,2014-04-17 06:05:41,RT @csh_ixvv: my mama ain't raise no fools
456674614731501568,2014-04-17 06:04:47,Swear it ain't easy being me.
456674422594621440,2014-04-17 06:04:01,The amount of times people changed up on me..
456674295142289409,2014-04-17 06:03:31,If only people knew the amount of bs that gets thrown at me daily.
456673057319305216,2014-04-17 05:58:36,RT @CallMe_Mr_: Nobody gonna have your back in the future like you think. After you graduate everybody goes their separate ways in the worl…
456672460524371968,2014-04-17 05:56:13,"I wanna just stay in Eutawville the whole weekend, ducked w/ no service."
456672112762044416,2014-04-17 05:54:50,I can't stand try hards. Stay in yo lane buddy
456628077322199040,2014-04-17 02:59:52,"My temper like a bubble, you bust it you in trouble."
456622093409325057,2014-04-17 02:36:05,Back at it 👌👌
456621647085068288,2014-04-17 02:34:18,You ain't shit 😒😒
456619438322626560,2014-04-17 02:25:32,Swear Brittany be with 20 different niggas a day on snapchat 😂
456551081770635264,2014-04-16 21:53:54,"😂😂""@KrownBunny: first time hearing ""we made it""  😂😂 https://t.co/6Yrt8oZ1Q8"""
456464316573548544,2014-04-16 16:09:08,RT @kingreid98: What she really wanted to say 😂😂😂 https://t.co/wJAczRQRl6
456301508171415552,2014-04-16 05:22:11,RT @pinKHEY: Lmao Jordan play too much
456300459171786752,2014-04-16 05:18:01,@_ayyohershey exactly 😒😒😂😂
456300382437007360,2014-04-16 05:17:43,"""@pinKHEY: Got to follow Jordan back then back to this paper ..."" 👌👌 Great idea"
456299292719087616,2014-04-16 05:13:23,RT @perfectkadaiyah: @iLive_ToPlay 😒
456298966347677696,2014-04-16 05:12:05,Got me fucked up if you think I'm gone clean that shit up.
456298854120701952,2014-04-16 05:11:39,Nigga left bruh over here pass out on the floor throwing up.
456298670741553152,2014-04-16 05:10:55,"RT @Renaee_Caitlinn: @iLive_ToPlay duh, of course (:"
456278066684514304,2014-04-16 03:49:02,@Renaee_Caitlinn you love me!!
456277796935843840,2014-04-16 03:47:58,@Renaee_Caitlinn thank God the blonde is back 🙌😍
456270557357412352,2014-04-16 03:19:12,@L_E_ayy_H 😁👌
456101032175894530,2014-04-15 16:05:34,RT @VineForTheBird: Where your girlfriend is mad at you and tries to leave 😂😂😂😂😂😩😩😩😩 https://t.co/BPouD7R3WL
456100395249856512,2014-04-15 16:03:02,RT @VineFights: Damn that's fucked up https://t.co/j2ne2NUfjP
455931222699831296,2014-04-15 04:50:48,"😂😂👌👌""@Air_mare24: @iLive_ToPlay get tf out my mentions bitch *Lincoln voice*"""
455931135386976257,2014-04-15 04:50:28,RT @L_E_ayy_H: @iLive_ToPlay don't underestimate!
455931125782048768,2014-04-15 04:50:25,@L_E_ayy_H I'll #waitonit lol
